BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440070159004,623,346,224,53,0,0,340,158,25,13,14,73,340,134,25,24,3,7,2,4,1,2,0,73
440070160001,519,289,187,43,0,0,260,135,28,11,16,69,260,124,28,11,3,9,2,3,4,0,1,69
440070160002,567,349,179,39,0,0,233,154,92,4,9,75,233,137,91,17,1,3,0,2,1,0,0,75
440070160003,831,478,307,46,0,0,330,279,92,10,21,99,330,264,91,15,4,13,2,5,2,1,0,99
440070161001,642,340,259,43,0,0,288,203,70,10,13,58,288,196,70,7,4,7,2,2,1,0,1,58
440070161002,493,297,169,27,0,0,131,182,85,10,12,73,131,165,85,17,3,4,2,3,2,0,1,73
440070161003,716,408,278,30,0,0,172,282,123,9,17,113,172,237,122,45,3,10,1,4,3,0,0,113
440070161004,618,362,227,29,0,0,123,324,92,5,5,69,123,299,92,25,3,5,0,0,1,0,0,69
440070163001,726,426,243,57,0,0,389,187,32,8,10,100,389,164,31,23,3,6,0,0,3,2,0,100
440070163002,726,424,235,67,0,0,399,180,35,3,20,89,399,152,35,28,0,7,3,8,1,0,0,89
440070163003,432,247,148,37,0,0,198,143,25,6,4,56,198,123,25,20,3,2,0,2,2,1,0,56
440070164001,872,504,301,67,0,0,300,293,136,12,10,121,300,247,136,46,4,2,2,6,6,0,2,121
440070164002,458,273,163,22,0,0,117,176,97,5,8,55,117,158,97,18,2,5,1,1,0,3,0,55
440070164003,656,371,256,29,0,0,166,267,132,6,8,77,166,239,132,28,1,4,0,3,3,0,2,77
440070164004,608,371,213,24,0,0,135,254,120,4,11,84,135,213,120,41,1,7,0,3,2,0,0,84
440070165001,1009,684,295,30,0,0,695,84,5,26,39,160,695,73,5,11,9,11,4,16,14,0,1,160
440070165002,975,619,293,63,0,0,503,192,51,23,69,137,503,170,51,22,8,12,2,36,7,2,1,137
440070165003,797,498,242,57,0,0,409,139,60,16,28,145,409,114,60,25,8,6,2,11,7,1,0,145
440070166001,1022,588,368,66,0,0,423,340,103,10,22,124,423,307,103,33,4,17,0,4,3,1,0,124
440070167001,780,442,272,66,0,0,356,238,63,3,18,102,356,214,63,24,2,6,1,5,0,0,1,102
440070167002,1065,597,397,71,0,0,467,351,83,10,11,143,467,305,82,46,6,3,1,4,0,0,0,143
440070168001,635,298,274,63,0,0,385,169,10,2,13,56,385,139,10,30,1,5,5,1,1,0,0,56
440070168002,518,265,210,43,0,0,320,105,20,7,11,55,320,90,20,15,2,8,1,1,5,0,0,55
440070168003,953,509,365,79,0,0,567,214,16,8,14,134,567,182,16,32,3,5,1,4,3,0,0,134
440070169001,430,230,160,40,0,0,292,77,3,6,6,46,292,53,3,24,2,4,1,1,1,0,0,46
440070169002,523,266,204,53,0,0,384,43,4,8,16,68,384,30,4,13,0,4,6,1,2,1,2,68
440070169003,465,220,184,61,0,0,305,101,1,5,8,45,305,84,1,17,0,3,0,1,2,0,1,45
440070170001,590,322,220,48,0,0,357,151,12,3,13,54,357,125,12,26,2,5,4,1,0,0,1,54
440070170002,439,221,170,48,0,0,249,110,12,5,10,53,249,92,12,18,2,4,0,3,2,0,0,53
440070170003,592,301,230,61,0,0,381,118,8,2,15,68,381,88,8,30,0,8,2,2,1,0,0,68
440070170004,475,245,188,42,0,0,279,109,12,14,7,54,279,94,12,15,4,3,0,0,3,1,3,54
440070170005,984,495,367,122,0,0,601,208,15,13,19,128,601,169,15,39,3,12,3,0,7,0,0,128
440070171001,539,289,208,42,0,0,279,125,27,5,14,89,279,99,27,26,2,10,2,1,1,0,0,89
440070171002,515,286,178,51,0,0,282,138,22,2,9,62,282,112,22,26,1,2,2,2,0,1,0,62
440070171003,1447,753,573,121,0,0,589,623,56,10,21,148,589,564,56,59,2,14,1,0,2,2,1,148
440070171004,416,228,140,48,0,0,181,150,14,8,6,57,181,118,14,32,3,3,0,1,3,2,0,57
440070173001,633,246,277,110,0,0,493,44,9,3,6,78,493,40,9,4,1,1,0,1,0,0,0,78
440070173002,968,396,438,134,0,0,658,149,28,27,12,94,658,133,28,16,11,5,5,0,2,4,1,94
440070173003,396,143,207,46,0,0,284,39,4,12,12,45,284,39,4,0,5,2,5,3,0,1,0,45
440070174001,936,409,410,117,0,0,535,238,39,22,12,90,535,235,39,3,0,3,1,4,4,2,3,90
440070174002,620,268,287,65,0,0,335,171,20,19,9,66,335,166,20,5,0,5,1,1,1,1,1,66
440070174003,898,394,415,89,0,0,324,421,25,45,3,80,324,417,25,4,3,3,0,0,3,16,0,80
440070175001,607,224,307,76,0,0,427,88,18,9,15,50,427,86,17,2,1,7,1,3,1,3,1,50
440070175002,675,248,334,93,0,0,484,91,8,24,7,61,484,90,8,1,4,4,0,1,4,2,2,61
440070175003,689,260,335,94,0,0,516,68,11,20,12,62,516,64,11,4,2,6,0,2,0,4,0,62
440070176001,693,324,310,59,0,0,240,255,109,24,9,56,240,252,109,3,3,5,0,2,0,8,1,56
440070176002,774,281,396,97,0,0,487,127,39,17,18,86,487,115,39,12,0,9,1,3,3,5,0,86
440070177001,878,321,398,159,0,0,713,63,3,27,7,65,713,59,3,4,3,3,0,3,0,12,1,65
440070177002,934,348,433,153,0,0,706,66,7,29,21,105,706,63,7,3,5,8,1,7,5,4,1,105
440070177003,774,310,356,108,0,0,555,78,14,22,17,88,555,75,14,3,3,8,1,7,0,5,5,88
440070178001,474,185,208,81,0,0,353,52,6,9,5,49,353,49,6,3,2,4,0,1,2,0,0,49
440070178002,571,212,289,70,0,0,366,117,26,13,6,43,366,111,26,6,6,2,0,4,0,0,0,43
440070178003,436,176,209,51,0,0,210,138,41,10,6,31,210,132,41,6,0,3,0,1,1,0,0,31
