BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_14,eth2_21,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk
010730119012,580,336,232,12,0,0,347,13,188,2,9,21,347,184,13,4,4,1,0,0,1,0,5,0,0,0,21
010730119013,166,91,66,9,0,0,95,15,46,1,2,7,95,43,14,3,1,0,0,0,1,0,0,0,0,1,7
010730119041,661,40,616,5,0,0,47,2,607,0,2,3,47,600,2,7,1,0,0,0,0,0,0,0,0,0,3
010730119042,285,9,276,0,0,0,8,4,272,0,0,1,8,268,4,4,0,0,0,0,0,0,0,0,0,0,1
010730119043,890,22,866,2,0,0,18,4,867,0,0,1,18,856,4,11,0,0,0,0,0,0,0,0,0,0,1
010730120011,1551,162,1374,15,0,0,170,11,1339,1,5,25,170,1325,11,14,3,0,0,1,0,0,2,0,0,0,25
010730120012,459,377,64,18,0,0,381,7,37,2,4,28,381,35,7,2,1,0,0,0,0,0,2,0,1,0,28
010730120013,405,285,98,22,0,0,310,1,70,3,7,14,310,67,1,3,2,0,1,1,0,0,3,0,0,1,14
010730120014,643,90,542,11,0,0,96,5,524,0,2,16,96,516,5,8,1,0,1,0,0,0,0,0,0,0,16
010730120031,763,359,377,27,0,0,401,27,296,9,7,23,401,293,27,3,0,2,6,5,1,1,1,0,0,0,23
010730120032,615,346,247,22,0,0,378,13,181,9,6,28,378,181,13,0,3,2,1,4,1,2,1,0,0,1,28
010730120041,1382,520,818,44,0,0,604,33,673,15,10,47,604,666,33,7,2,1,5,3,2,8,2,0,0,0,47
010730120042,421,121,270,30,0,0,167,6,230,1,3,14,167,225,6,5,0,1,3,0,0,0,0,0,0,0,14
010730120043,832,8,823,1,0,0,10,3,818,0,0,1,10,799,3,19,0,0,0,0,0,0,0,0,0,0,1
010730120044,1180,773,350,57,0,0,887,55,179,5,10,44,887,177,55,2,2,3,1,0,1,1,5,0,0,2,44
010730121031,890,148,724,18,0,0,173,7,696,3,1,10,173,687,7,9,1,0,0,0,3,0,0,0,0,0,10
010730121032,533,155,374,4,0,0,159,6,355,2,2,9,159,351,6,4,0,0,0,0,0,0,1,2,0,0,9
010730121033,485,259,207,19,0,0,288,3,180,2,3,9,288,178,3,2,1,0,1,2,0,0,0,0,0,1,9
010730121034,471,239,216,16,0,0,262,3,188,3,1,14,262,183,3,5,1,0,0,1,0,2,0,0,0,0,14
010730121035,694,200,486,8,0,0,207,7,458,4,4,14,207,445,7,13,1,2,0,0,1,1,3,0,0,0,14
010730121041,981,618,324,39,0,0,658,10,252,2,9,50,658,249,10,3,3,1,4,0,1,0,0,0,0,0,50
010730121042,479,216,249,14,0,0,231,4,228,1,4,11,231,228,4,0,3,1,1,0,0,0,0,0,0,0,11
010730121043,434,133,294,7,0,0,144,5,282,0,1,2,144,278,5,4,1,0,0,0,0,0,0,0,0,0,2
010730122001,831,686,67,78,0,0,776,13,3,2,5,32,776,3,13,0,4,1,0,0,1,0,0,0,0,0,32
010730122002,962,834,67,61,0,0,910,4,5,1,10,32,910,5,4,0,4,1,1,0,0,0,5,0,0,0,32
010730123021,811,619,153,39,0,0,637,14,108,1,8,43,637,107,13,1,3,0,1,0,0,1,2,0,0,1,43
010730123022,985,852,77,56,0,0,900,8,15,5,5,52,900,15,8,0,4,1,1,2,2,0,0,0,0,0,52
010730123023,1011,808,139,64,0,0,867,14,62,6,4,58,867,62,14,0,2,0,2,0,1,4,0,0,0,0,58
010730123041,586,299,270,17,0,0,322,6,232,1,7,18,322,230,6,2,0,0,4,0,1,0,3,0,0,0,18
010730123042,1146,387,737,22,0,0,424,8,677,0,9,28,424,668,8,9,2,0,1,0,0,0,3,0,0,0,28
010730123061,1184,44,1138,2,0,0,34,4,1136,0,2,8,34,1123,4,13,2,0,0,0,0,0,0,0,0,0,8
010730123062,736,15,720,1,0,0,11,0,718,0,0,7,11,712,0,6,0,0,0,0,0,0,0,0,0,0,7
010730123063,943,283,651,9,0,0,295,3,624,2,0,19,295,619,3,5,0,1,0,0,1,0,0,0,0,0,19
010730123071,939,343,571,25,0,0,380,3,524,1,3,28,380,521,3,3,1,1,1,0,0,0,1,0,0,0,28
010730123072,1427,505,903,19,0,0,549,5,844,2,5,22,549,839,5,5,2,0,0,0,2,0,2,0,0,1,22
010730123073,549,298,231,20,0,0,337,6,190,1,2,13,337,189,6,1,0,0,2,1,0,0,0,0,0,0,13
010730124011,1087,88,995,4,0,0,99,8,967,1,5,7,99,962,8,5,2,0,0,0,0,1,2,0,0,1,7
010730124012,1774,53,1713,8,0,0,63,1,1703,0,3,4,63,1690,1,13,2,0,1,0,0,0,0,0,0,0,4
010730124021,616,79,533,4,0,0,79,4,525,2,1,5,79,520,4,5,0,1,1,1,0,0,0,0,0,0,5
010730124022,633,205,422,6,0,0,226,9,375,4,8,11,226,373,9,2,2,1,4,0,2,0,0,0,0,0,11
010730124023,673,223,439,11,0,0,227,8,403,1,7,27,227,391,8,12,5,0,2,0,1,0,0,0,0,0,27
010730124031,1340,331,989,20,0,0,354,6,951,0,4,25,354,944,6,7,1,0,0,0,0,0,3,0,0,0,25
010730124032,701,462,220,19,0,0,478,11,188,0,4,20,478,185,11,3,1,0,0,0,0,0,0,0,0,0,20
010730124033,364,169,186,9,0,0,179,9,163,1,3,9,179,161,9,2,3,1,0,0,0,0,0,0,0,0,9
010730125001,362,110,242,10,0,0,120,5,219,8,0,10,120,216,5,3,0,1,0,0,0,7,0,0,0,0,10
010730125002,859,198,651,10,0,0,219,8,617,2,1,12,219,600,8,17,0,0,1,1,1,0,0,0,0,0,12
010730125003,946,415,509,22,0,0,443,17,445,3,3,35,443,432,17,13,2,1,1,0,0,1,0,1,0,0,35
010730125004,609,421,151,37,0,0,469,6,101,3,2,28,469,100,6,1,2,1,0,1,0,0,0,1,0,0,28
010730126021,474,290,157,27,0,0,368,14,40,1,8,43,368,36,14,4,3,0,1,0,0,1,1,0,0,0,43
010730126022,435,187,218,30,0,0,290,6,110,3,5,21,290,108,4,2,0,0,2,2,0,1,2,0,1,0,21
010730126023,328,145,172,11,0,0,156,5,153,1,0,13,156,152,5,1,0,1,0,0,0,0,0,0,0,0,13
010730126024,647,255,374,18,0,0,274,11,328,4,14,16,274,322,11,6,3,1,5,0,0,2,0,0,0,1,16
010730127011,1109,450,596,63,0,0,597,33,368,28,19,64,597,353,33,15,3,9,8,9,5,4,2,1,0,1,64
010730127012,416,310,81,25,0,0,333,34,9,1,2,37,333,8,34,1,2,1,0,0,0,0,0,0,0,0,37
010730127013,619,326,275,18,0,0,386,53,146,3,5,26,386,135,53,11,1,0,0,0,0,3,2,0,0,0,26
010730127014,627,450,156,21,0,0,495,12,71,3,6,40,495,57,12,14,1,2,0,0,1,0,2,0,1,0,40
010730127031,226,73,120,33,0,0,115,9,82,5,4,11,115,79,9,3,2,0,2,3,0,0,0,2,0,0,11
010730127032,1635,1157,406,72,0,0,1265,38,136,33,31,132,1265,128,38,8,4,12,11,5,7,5,4,1,0,1,132
010730127033,1791,1342,399,50,0,0,1382,52,82,85,42,148,1382,69,50,13,1,32,30,39,13,0,3,1,3,1,148
010730127034,1236,949,262,25,0,0,988,28,46,39,30,105,988,32,28,14,1,11,17,19,6,1,6,2,0,1,105
010730127041,892,730,127,35,0,0,781,14,40,3,6,48,781,39,13,1,1,2,0,0,0,0,5,0,0,0,48
010730127042,936,659,240,37,0,0,738,32,116,7,7,36,738,115,32,1,2,4,5,1,1,1,0,0,0,0,36
010730128021,479,354,100,25,0,0,401,13,12,3,10,40,401,9,13,3,1,3,4,0,0,0,0,0,0,0,40
010730128022,767,539,176,52,0,0,625,15,27,2,15,83,625,16,15,11,1,1,6,0,0,1,5,0,0,1,83
010730128023,963,668,234,61,0,0,794,27,21,12,20,89,794,18,25,3,0,3,11,3,1,1,2,1,3,0,89
010730128041,769,560,179,30,0,0,635,12,15,13,25,69,635,5,12,10,0,4,19,4,2,0,2,3,0,1,69
010730128042,1407,857,406,144,0,0,1049,31,47,32,32,216,1049,35,31,12,1,11,12,11,2,7,4,0,4,1,216
010730128043,568,377,158,33,0,0,468,8,27,8,10,47,468,19,8,8,3,1,5,4,1,2,0,0,0,0,47
010730128051,455,169,185,101,0,0,283,19,94,8,11,40,283,92,19,2,3,3,3,2,1,2,0,0,0,0,40
010730128052,787,397,307,83,0,0,511,25,162,20,27,42,511,155,25,7,0,6,22,6,4,2,2,0,0,1,42
010730129051,1358,1064,268,26,0,0,1181,25,28,15,10,99,1181,12,25,16,0,5,3,1,6,0,3,0,0,3,99
