BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_34,eth2_21,eth2_23,eth2_14,eth2_12,eth2_38,eth2_unk
310790008002,559,276,164,114,5,0,0,451,48,2,1,4,53,451,48,2,1,0,3,0,0,0,0,0,53
310790008003,756,415,182,144,15,0,0,616,59,0,11,3,67,616,59,0,3,0,0,3,0,2,2,0,67
310790009001,508,196,150,153,9,0,0,318,94,4,10,9,73,318,94,4,6,5,2,2,2,0,0,0,73
310790009002,612,240,198,167,7,0,0,370,151,0,0,13,78,370,151,0,9,0,2,0,0,0,0,0,78
310790009003,377,184,98,90,5,0,0,293,52,0,3,2,27,293,50,0,2,0,0,2,1,0,0,0,27
310790009004,469,180,142,136,11,0,0,259,147,2,7,15,39,259,145,2,9,1,1,1,1,0,3,0,39
310790010001,489,181,177,120,11,0,0,241,142,14,11,31,50,241,140,14,29,4,0,3,1,2,0,1,50
310790010002,699,236,234,219,9,1,0,381,184,12,17,33,72,381,183,12,26,4,3,3,1,1,1,0,72
310790010003,360,166,95,95,4,0,0,232,64,3,14,4,43,232,63,3,0,5,3,3,5,0,1,1,43
310790010004,778,481,184,107,6,0,0,671,28,0,7,7,65,671,28,0,0,1,5,0,0,3,3,0,65
310790011001,575,227,170,170,8,0,0,380,127,0,7,5,56,380,127,0,1,3,1,2,0,0,0,0,56
310790011002,735,393,196,138,8,0,0,519,84,0,13,16,103,519,84,0,4,1,6,0,0,0,2,1,103
310790011003,720,354,199,145,22,0,0,468,177,4,9,14,48,468,174,4,9,2,1,2,3,1,0,0,48
310790012001,858,512,186,150,10,0,0,710,32,1,5,7,103,710,32,1,2,2,2,0,0,0,1,1,103
310790012002,862,525,178,152,7,0,0,687,41,0,5,7,122,687,41,0,1,2,3,1,2,0,0,1,122
310790012003,715,389,180,143,3,0,0,575,33,1,2,22,82,575,33,1,12,1,5,0,0,0,1,1,82
310790013001,1203,751,210,229,13,0,0,1014,47,0,6,4,132,1014,47,0,0,3,3,0,1,1,1,0,132
310790013002,744,435,151,148,10,0,0,653,12,0,1,2,76,653,12,0,2,1,0,0,0,0,0,0,76
310790014001,788,437,184,163,4,0,0,608,65,0,2,9,104,608,65,0,0,1,2,0,1,0,0,0,104
310790014002,434,271,78,84,1,0,0,354,25,0,1,2,52,354,25,0,0,1,1,0,0,0,0,0,52
311279681001,320,161,76,75,8,0,0,284,4,1,1,0,30,284,4,1,0,1,0,0,0,0,0,0,30
311279681002,893,559,182,144,8,0,0,754,10,0,1,22,106,754,10,0,0,0,0,0,0,1,0,7,106
311279681003,698,432,143,114,9,0,0,597,10,0,1,4,86,597,10,0,0,0,1,0,1,0,0,2,86
311279682001,455,247,100,102,5,1,0,390,11,0,5,2,47,390,11,0,2,1,0,0,2,1,1,0,47
311279682002,741,400,167,165,9,0,0,657,12,0,3,13,56,657,12,0,0,1,3,0,0,0,2,1,56
311279682003,623,349,156,115,3,0,0,541,11,0,4,6,61,541,11,0,1,0,0,3,1,0,0,0,61
311279682004,429,258,92,75,4,0,0,383,8,0,1,5,32,383,8,0,1,0,0,0,1,0,0,2,32
310739676001,641,451,89,97,4,0,0,566,14,0,2,2,57,566,14,0,0,0,0,0,2,0,0,2,57
310739676002,731,551,86,90,4,0,0,624,16,1,4,0,86,624,16,1,0,4,0,0,0,0,0,0,86
310199689001,613,430,105,75,2,1,0,475,7,0,8,4,119,475,7,0,1,1,2,0,0,0,3,1,119
310199689002,494,302,104,81,7,0,0,404,8,0,0,5,77,404,8,0,5,0,0,0,0,0,0,0,77
310199689003,496,276,103,110,7,0,0,399,21,0,1,10,65,399,21,0,7,1,1,0,0,0,0,2,65
310199689004,1007,774,121,104,8,0,0,838,11,0,1,12,145,838,11,0,3,0,2,0,1,0,0,1,145
310199690001,876,634,102,134,6,0,0,700,16,0,6,9,145,700,16,0,3,5,2,0,0,1,0,3,145
310199690002,462,337,54,67,4,0,0,383,2,0,2,4,71,383,2,0,0,1,2,0,0,1,0,1,71
310199690003,748,500,104,130,14,0,0,635,17,0,6,1,89,635,17,0,0,0,1,0,5,0,0,0,89
310199690004,1008,673,136,183,16,0,0,860,29,0,1,7,111,860,29,0,3,0,2,1,0,0,0,0,111
310199691001,702,501,102,90,9,0,0,611,19,0,0,7,65,611,19,0,2,0,2,0,0,0,0,1,65
310199691002,515,367,64,77,7,0,0,434,21,0,2,1,57,434,21,0,1,2,0,0,0,0,0,0,57
310199691003,649,376,126,138,9,0,0,499,64,0,5,2,79,499,64,0,0,3,1,2,0,0,0,0,79
310199691004,978,576,213,167,22,0,0,704,172,0,7,4,91,704,172,0,1,0,2,0,4,1,1,0,91
310199692021,1734,1043,367,302,22,0,0,1446,52,4,12,30,190,1446,52,4,16,2,5,0,6,1,2,2,190
310199692022,722,412,177,124,9,0,0,591,29,0,9,10,83,591,29,0,3,2,0,3,4,0,0,1,83
310199692031,2332,1489,438,373,32,0,0,1950,56,10,22,32,262,1950,56,10,12,11,3,2,6,3,0,2,262
310199692032,935,594,191,138,11,1,0,778,24,0,7,11,115,778,24,0,7,4,1,1,2,0,0,1,115
310199692033,1077,678,235,152,12,0,0,891,20,0,14,16,136,891,20,0,6,3,2,7,2,2,0,0,136
310199692041,1796,1109,362,302,23,0,0,1472,71,2,21,13,217,1472,71,2,8,7,2,2,3,6,3,0,217
310199692042,1155,762,193,187,13,0,0,952,37,0,8,11,147,952,37,0,2,2,0,0,3,2,0,2,147
310199692043,894,575,159,152,8,0,0,759,23,0,6,2,104,759,23,0,0,1,0,0,3,1,1,2,104
310199693001,405,194,97,102,12,0,0,323,29,1,1,2,49,323,29,1,1,1,0,0,0,0,0,0,49
310199693002,714,338,166,193,17,0,0,529,75,0,5,9,96,529,72,0,3,2,4,0,0,1,1,0,96
