BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_con,party_grn,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_66,eth2_85,eth2_21,eth2_35,eth2_12,eth2_61,eth2_29,eth2_55,eth2_33,eth2_32,eth2_26,eth2_38,eth2_59,eth2_57,eth2_19,eth2_99,eth2_28,eth2_unk
340170056001,1033,617,336,42,3,14,11,4,2,4,0,108,211,639,12,35,28,108,211,638,7,24,2,2,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,28
340170056002,709,381,264,54,0,3,0,3,1,3,0,105,223,174,57,54,96,105,223,174,35,20,5,1,0,0,30,10,0,0,0,1,0,0,1,7,0,0,0,0,0,0,96
340170056003,799,439,278,68,0,4,6,0,3,1,0,128,248,156,80,82,105,128,246,156,59,50,5,1,0,2,26,13,0,1,0,2,0,0,0,2,0,0,0,0,0,0,105
340170058011,1323,844,388,64,2,8,5,1,5,6,0,96,212,954,20,16,25,96,212,953,10,11,1,0,1,0,3,5,1,1,0,0,0,1,0,2,0,0,0,0,1,0,25
340170058012,746,481,228,24,1,2,3,2,2,3,0,59,136,511,14,4,22,59,134,511,9,2,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
340170058013,805,538,227,24,0,3,3,3,1,6,0,51,127,577,14,18,18,51,127,576,8,10,4,3,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,18
340170058014,453,296,128,22,2,2,1,0,1,1,0,37,63,322,8,10,13,37,63,322,0,9,2,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13
340170058021,944,447,326,166,1,0,2,1,0,1,0,489,85,15,137,78,140,489,85,15,78,29,36,29,14,0,8,2,3,2,0,1,2,2,0,4,1,1,1,1,0,0,140
340170059011,1449,741,489,192,3,8,5,3,5,3,0,352,566,105,113,148,165,352,565,105,41,50,24,3,1,1,84,30,0,5,0,3,0,4,4,10,0,0,0,1,0,0,165
340170059012,404,224,137,36,1,2,3,0,1,0,0,105,127,60,36,33,43,105,127,60,23,25,5,0,0,0,5,2,0,0,0,2,0,0,1,4,0,0,0,2,0,0,43
340170059021,399,249,120,25,1,1,1,1,0,1,0,59,132,117,21,37,33,59,132,117,11,17,5,2,1,0,13,3,2,0,1,1,0,0,1,1,0,0,0,0,0,0,33
340170059022,1081,601,355,106,2,3,5,4,5,0,0,273,356,142,70,119,121,273,352,142,33,58,16,4,0,4,51,6,3,1,0,3,0,0,0,12,0,0,0,1,0,0,121
340170059023,856,492,270,72,7,8,3,2,2,0,0,278,292,96,49,70,71,278,292,96,25,35,5,0,2,0,21,14,0,0,0,12,0,1,0,2,0,0,0,1,0,0,71
340170059024,392,202,149,31,2,0,3,4,0,1,0,56,98,174,19,20,25,56,96,174,12,10,0,0,0,2,10,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,25
340170060001,1545,986,475,49,7,9,6,4,7,2,0,123,291,1053,19,18,41,123,291,1052,12,10,5,1,1,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,41
340170060002,1295,734,457,63,4,13,6,3,5,10,0,166,359,646,23,51,50,166,358,645,12,38,4,1,1,1,10,0,0,5,0,2,0,0,0,1,0,0,0,0,1,0,50
340170061011,1274,644,443,161,4,3,6,2,6,5,0,328,518,104,69,135,120,328,517,102,24,59,22,1,3,1,67,14,0,1,1,5,0,1,1,5,0,0,0,0,2,0,120
340170061012,1064,528,378,144,2,4,3,5,0,0,0,388,336,25,49,148,118,388,336,25,18,90,11,6,4,0,38,13,0,1,2,7,0,0,4,2,0,1,0,0,0,0,118
340170061021,422,251,144,21,1,1,1,1,1,1,0,64,142,170,14,18,14,64,141,170,9,10,4,1,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
340170061022,682,462,190,20,0,3,4,2,0,1,0,91,112,410,14,25,30,91,112,410,8,21,3,1,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,30
340170061023,917,515,306,67,3,12,7,1,2,4,0,147,324,250,57,48,91,147,323,248,43,38,7,1,0,1,7,4,0,1,0,1,0,0,0,1,0,1,0,0,2,0,91
340170062001,1150,712,333,78,1,8,4,6,4,4,0,236,333,395,52,68,66,236,333,395,35,42,8,5,2,0,11,4,0,2,2,4,0,1,3,1,0,0,0,0,0,0,66
340170062002,1119,606,385,102,6,7,7,1,3,2,0,210,369,382,46,53,59,210,369,382,36,23,0,3,1,0,18,0,0,4,0,3,2,0,4,4,0,0,0,1,0,0,59
340170063001,704,455,184,57,4,3,0,0,1,0,0,104,230,287,20,20,43,104,230,287,11,15,8,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43
340170063002,671,411,211,37,3,4,4,1,0,0,0,120,235,248,18,25,25,120,234,248,13,20,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25
340170063003,1295,770,403,94,2,7,5,6,4,4,0,252,458,428,42,43,72,252,457,428,23,22,5,1,1,1,13,7,2,1,1,0,0,0,0,5,0,0,0,0,0,0,72
340170064001,1180,744,339,75,3,7,0,7,3,2,0,584,281,34,67,66,148,584,281,34,27,19,29,23,4,0,8,0,1,6,3,0,1,3,3,1,1,1,0,0,0,0,148
340170064002,414,271,118,24,1,0,0,0,0,0,0,243,51,15,24,22,59,243,50,15,8,5,9,6,5,1,1,1,1,1,2,2,1,1,1,0,1,0,0,0,0,0,59
340170064003,706,418,235,49,1,0,0,2,1,0,0,402,97,21,74,27,85,402,94,21,25,14,35,4,9,3,1,0,3,5,0,0,2,1,2,0,0,0,0,0,0,0,85
340170065001,478,291,149,30,2,3,1,1,0,1,0,167,167,49,34,21,40,167,165,49,17,10,12,3,3,2,3,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,40
340170065002,1023,638,295,75,5,1,2,2,2,3,0,491,263,49,79,30,111,491,261,49,33,20,32,5,6,2,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,111
340170066001,973,458,372,127,2,3,3,5,2,1,0,217,191,10,133,352,70,217,191,10,65,256,49,5,3,0,34,8,0,0,0,46,0,5,1,4,0,0,0,0,0,1,70
340170067001,701,391,238,53,1,10,3,2,1,2,0,91,182,361,6,43,18,91,181,361,2,41,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
340170067002,23,15,7,1,0,0,0,0,0,0,0,2,5,16,0,0,0,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340170067003,741,541,173,10,2,2,9,0,1,3,0,63,236,413,6,8,15,63,236,413,5,4,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15
340170067004,378,241,111,20,0,1,1,3,0,1,0,82,169,84,8,8,27,82,169,83,6,4,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,27
340170068001,1050,627,359,38,4,8,4,5,4,1,0,100,181,704,18,20,27,100,181,704,16,15,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,27
340170068002,1362,843,420,62,6,9,11,4,6,1,0,99,200,985,6,33,39,99,199,985,2,23,2,1,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,39
340170069001,57,30,21,5,0,1,0,0,0,0,0,7,31,5,4,10,0,7,31,5,1,8,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
340170070011,320,220,81,15,0,0,0,0,3,1,0,63,190,24,21,9,13,63,189,24,8,6,11,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
340170070012,1146,703,340,94,3,2,3,1,0,0,0,450,389,38,96,44,129,450,389,38,22,21,50,9,4,0,5,18,0,0,2,2,2,0,0,2,1,0,0,0,0,0,129
340170070021,1936,1061,684,180,4,2,0,4,1,0,0,848,316,67,296,143,266,848,313,67,117,62,119,26,33,3,20,10,5,3,1,7,7,5,5,4,1,3,0,9,0,0,266
340170070022,579,305,216,50,2,3,0,3,0,0,0,248,118,13,78,30,92,248,115,13,39,17,23,2,10,3,8,1,0,2,0,1,1,0,0,0,0,0,0,0,0,2,92
340170071001,449,254,149,38,2,0,2,2,0,2,0,178,128,17,29,47,50,178,128,17,17,21,3,4,6,0,7,1,0,0,0,3,0,2,1,1,0,0,0,0,0,1,50
340170071002,830,491,264,64,4,1,4,0,1,1,0,330,195,47,93,68,97,330,192,47,41,42,35,7,2,3,6,8,0,2,2,9,0,0,0,2,1,0,1,1,0,1,97
340170071003,559,289,212,47,2,3,1,3,2,0,0,141,171,40,73,63,71,141,170,40,56,37,3,2,6,1,16,2,0,1,1,2,1,1,1,0,1,0,0,1,0,0,71
340170072001,938,574,299,62,0,0,0,3,0,0,0,571,79,30,80,49,129,571,77,30,27,25,37,9,7,2,6,4,1,4,1,2,0,1,2,1,0,0,2,0,0,0,129
