BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_rin,party_lib,party_wfp,party_grn,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_93,eth2_21,eth2_34,eth2_30,eth2_23,eth2_12,eth2_14,eth2_85,eth2_66,eth2_55,eth2_35,eth2_61,eth2_15,eth2_32,eth2_83,eth2_38,eth2_33,eth2_59,eth2_81,eth2_19,eth2_29,eth2_unk
410710306023,1643,478,543,523,66,15,2,5,3,8,0,1283,178,1,25,19,137,1283,174,10,1,3,8,3,2,4,4,1,4,2,3,0,1,0,0,0,2,0,0,0,0,137
410710307021,1188,359,438,317,44,9,0,4,6,11,0,868,193,0,15,10,102,868,193,1,0,3,2,3,2,6,2,0,0,0,4,0,1,0,0,0,0,0,1,0,0,102
410710307022,595,171,252,128,33,2,2,1,2,4,0,434,88,0,9,7,57,434,88,4,0,0,1,3,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,57
410710307023,2123,604,758,587,111,23,6,6,4,24,0,1610,292,2,24,25,170,1610,289,9,2,3,6,9,2,0,8,0,3,0,1,6,0,0,2,0,0,0,1,0,0,170
410710307024,1390,418,483,402,59,8,6,2,1,11,0,1058,200,0,8,19,105,1058,198,1,0,0,3,10,2,1,2,1,2,0,0,0,1,1,4,0,0,0,0,1,0,105
410710307031,2417,807,908,521,122,28,10,3,1,17,0,1893,271,4,20,24,205,1893,271,4,4,1,6,8,2,6,6,2,0,2,2,0,0,0,0,0,1,0,2,1,0,205
410710307032,1360,457,372,453,56,7,3,3,1,8,0,1120,81,3,25,13,118,1120,80,7,3,1,7,3,0,10,4,0,1,0,0,0,2,2,0,0,0,0,0,0,1,118
410710307041,1389,525,370,410,65,5,1,2,2,9,0,1124,97,3,19,17,129,1124,97,4,3,2,4,1,2,5,4,6,0,2,0,0,1,0,1,0,0,1,2,0,0,129
410710307042,1603,585,403,512,82,7,3,4,1,6,0,1264,128,9,21,19,162,1264,127,11,9,3,5,4,2,3,1,3,1,1,0,3,0,2,1,0,0,0,0,0,0,162
410710308011,1258,347,511,307,65,13,3,3,6,3,0,927,198,0,17,15,101,927,198,4,0,0,3,4,4,6,3,0,0,0,3,2,0,0,1,1,0,0,1,0,0,101
410710308012,1185,440,451,207,63,9,2,4,2,7,0,907,156,3,7,11,101,907,156,1,3,0,3,5,1,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,101
410710308013,1264,390,518,256,66,18,3,3,2,8,0,925,195,1,19,14,110,925,190,8,1,1,3,3,3,5,2,1,5,0,1,0,0,0,3,2,0,1,0,0,0,110
410710308021,1369,440,577,242,75,14,6,2,4,9,0,1068,152,3,10,7,129,1068,152,4,3,0,2,1,2,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,129
410710308022,746,251,315,135,33,2,0,1,1,8,0,531,162,0,5,8,40,531,160,1,0,0,0,6,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,40
410710309001,2288,609,843,690,100,21,7,6,2,10,0,1618,394,1,24,26,225,1618,387,5,1,4,9,7,2,4,4,0,7,0,3,0,4,0,1,4,0,2,0,0,0,225
410710309002,1184,311,333,478,40,10,0,5,1,6,0,922,140,0,15,11,96,922,136,3,0,0,6,2,0,4,4,0,4,0,3,0,2,0,0,0,0,0,0,0,0,96
410710310001,1579,408,452,602,84,17,2,1,7,6,0,1340,62,3,9,18,147,1340,59,5,3,1,3,2,0,0,2,1,3,0,4,6,0,0,1,1,0,0,0,1,0,147
410710310002,1623,322,639,547,77,15,2,3,6,12,0,1310,146,0,8,21,138,1310,139,2,0,0,10,1,0,0,5,3,7,2,0,1,0,0,1,1,2,0,0,0,0,138
410359701001,685,113,254,252,51,5,2,1,0,7,0,603,14,0,1,4,63,603,13,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,63
410359701002,1007,194,359,366,73,4,0,1,5,5,0,910,24,7,5,5,56,910,24,1,7,1,1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,56
410359701003,743,137,268,280,45,8,1,0,1,3,0,640,17,0,4,9,73,640,16,0,0,1,0,0,0,1,0,2,1,2,2,0,0,0,0,1,2,0,0,0,0,73
410359701004,514,111,169,192,32,3,3,1,1,2,0,438,12,0,4,2,58,438,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,58
410359702011,789,100,299,343,32,5,3,1,4,2,0,646,30,0,8,6,99,646,29,1,0,3,2,0,3,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,99
410359702012,970,148,402,335,56,11,2,2,4,10,0,803,58,2,8,6,93,803,57,4,2,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,93
410359702021,566,99,246,177,32,4,2,3,0,3,0,459,39,2,1,13,52,459,39,0,2,0,1,2,1,0,0,1,0,2,5,0,0,0,0,0,1,0,1,0,0,52
410359702022,973,207,356,348,47,4,1,1,1,8,0,801,47,0,8,13,104,801,46,2,0,2,3,2,1,0,3,2,1,2,0,2,0,0,1,0,0,0,0,0,1,104
410359702023,1000,159,453,320,46,4,3,3,3,9,0,823,50,1,9,15,102,823,50,2,1,1,3,5,1,4,1,0,0,2,1,0,0,0,0,0,1,0,2,0,0,102
410359703001,732,149,250,287,31,8,1,1,3,2,0,625,21,4,7,7,68,625,21,3,4,1,1,1,2,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,68
410359703002,562,77,166,271,34,5,1,2,0,6,0,463,27,0,3,9,60,463,26,0,0,0,4,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60
410359703003,832,122,269,390,32,8,1,1,1,8,0,687,49,0,6,11,79,687,48,2,0,1,3,1,1,0,1,0,1,1,0,2,0,0,0,2,0,2,0,0,0,79
410359703004,644,86,208,297,42,5,1,1,1,3,0,566,27,3,3,6,39,566,27,1,3,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39
410359704001,1183,113,378,630,49,2,2,1,3,5,0,997,77,1,8,8,92,997,74,4,1,1,1,3,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,92
410359705001,869,118,287,414,41,3,2,0,2,2,0,756,49,1,6,7,50,756,47,1,1,0,4,1,4,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,50
