BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160739502003,93,65,22,4,1,1,0,0,75,7,0,1,4,6,75,7,1,2,0,0,0,0,0,6
160739502004,333,221,75,35,2,0,0,0,288,22,0,4,4,15,288,21,0,0,4,0,0,0,0,15
160270201001,477,206,180,83,7,1,0,0,354,59,0,11,5,48,354,57,2,1,4,3,1,0,1,48
160270202001,605,175,267,153,9,1,0,0,378,185,0,3,6,33,378,182,1,5,1,1,0,0,1,33
160270202002,508,164,210,118,13,3,0,0,333,129,0,10,2,34,333,128,6,0,1,1,0,2,1,34
160270203001,880,305,379,177,16,3,0,0,661,114,2,7,6,90,661,114,4,3,2,0,0,0,0,90
160270203002,903,397,337,148,13,8,0,0,681,113,1,9,6,93,681,108,2,1,5,0,1,0,0,93
160270204031,725,298,315,94,15,3,0,0,555,88,0,7,10,65,555,88,1,4,0,1,2,0,4,65
160270204032,787,404,265,102,10,6,0,0,623,88,2,3,5,66,623,88,0,1,1,2,0,1,0,66
160270204033,563,313,170,75,5,0,0,0,457,52,0,6,0,48,457,52,4,0,0,0,1,1,0,48
160270204041,535,229,206,90,8,2,0,0,354,114,0,7,6,54,354,111,1,2,2,1,4,0,0,54
160270204042,501,233,177,83,7,1,0,0,357,85,0,4,7,48,357,85,3,1,0,0,0,1,0,48
160270204043,453,201,169,76,4,3,0,0,335,74,0,0,7,37,335,74,0,2,0,3,0,0,0,37
160270204051,439,200,171,64,2,2,0,0,326,62,1,2,2,46,326,62,0,0,2,1,0,0,0,46
160270204052,712,314,246,134,18,0,0,0,538,105,0,6,3,60,538,105,2,0,1,0,3,0,0,60
160270204061,452,173,192,74,10,3,0,0,350,63,1,1,1,36,350,63,0,0,1,0,0,0,0,36
160270204062,1098,615,324,142,13,4,0,0,853,126,0,20,15,84,853,126,5,5,5,0,3,4,0,84
160270205011,516,271,182,58,5,0,0,0,384,68,1,1,12,50,384,68,0,3,0,2,0,0,1,50
160270205012,464,240,163,52,8,1,0,0,352,64,1,1,5,41,352,64,0,1,1,1,0,0,0,41
160270205013,682,364,220,86,7,5,0,0,523,87,0,8,5,59,523,87,1,1,1,1,0,2,2,59
160270205031,701,373,218,103,7,0,0,0,548,81,1,2,13,56,548,81,0,5,0,4,0,2,0,56
160270205032,817,426,247,126,14,4,0,0,649,94,0,15,11,48,649,92,8,5,4,0,0,0,2,48
160270205051,852,392,316,130,8,6,0,0,660,95,0,8,9,80,660,95,3,6,3,3,0,1,1,80
160270205052,377,174,143,54,5,1,0,0,289,49,0,1,6,32,289,49,0,0,0,0,1,0,0,32
160270205061,460,208,151,89,9,3,0,0,352,65,0,3,3,37,352,65,1,1,1,0,0,1,0,37
160270205062,379,121,150,91,15,2,0,0,270,70,1,3,4,31,270,68,1,1,0,1,1,1,0,31
160270206011,1447,746,466,207,21,7,0,0,1031,253,0,22,15,126,1031,252,6,7,4,3,4,2,4,126
