BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_rin,party_grn,party_cnt,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_12,eth2_14,eth2_unk
350010001251,1084,399,456,215,10,3,0,0,0,1,0,721,175,4,67,27,90,721,175,0,4,19,20,0,12,4,23,6,5,90
350010001252,1205,520,412,257,7,2,1,1,0,5,0,819,195,4,63,25,99,819,192,2,4,10,17,3,11,2,33,7,1,99
350010001253,917,355,354,196,9,1,2,0,0,0,0,608,181,2,17,23,86,608,174,3,2,4,8,7,0,4,8,3,1,86
350010001261,810,345,266,178,8,6,5,0,1,1,0,535,168,6,9,15,77,535,168,2,6,2,5,0,3,2,4,0,0,77
350010001262,930,387,362,153,14,7,2,0,1,4,0,602,216,2,19,26,65,602,214,1,2,4,18,2,5,3,9,0,0,65
350010001271,497,227,146,108,7,1,3,0,0,5,0,251,191,3,8,5,39,251,189,1,3,2,1,2,0,0,4,2,0,39
350010001272,660,299,213,128,9,4,2,1,0,4,0,395,193,2,14,3,53,395,193,0,2,4,2,0,0,0,6,1,3,53
350010001273,714,306,228,163,8,2,3,0,0,4,0,425,190,5,24,13,57,425,187,2,4,12,6,3,1,4,7,2,1,57
350010001281,411,202,106,94,5,2,0,1,0,1,0,214,153,5,3,11,25,214,152,4,5,1,3,1,1,3,0,0,1,25
350010001282,581,245,170,150,6,2,3,0,0,5,0,325,191,4,7,14,40,325,189,0,4,2,4,2,0,3,4,0,0,40
350010001283,365,181,105,73,2,0,1,1,0,2,0,199,120,5,10,3,28,199,119,0,5,3,2,1,1,1,4,2,0,28
350010001284,461,226,123,103,3,3,3,0,0,0,0,238,187,3,8,4,21,238,186,3,3,2,0,1,1,0,5,0,0,21
350010001291,788,378,209,180,6,6,3,1,0,5,0,492,194,7,12,21,62,492,192,9,7,1,8,2,3,0,2,4,1,62
350010001292,955,408,322,201,14,4,4,0,1,1,0,577,224,3,41,19,91,577,219,1,3,17,10,5,5,0,15,0,3,91
350010001293,504,190,181,121,7,1,2,1,0,1,0,292,156,2,8,6,40,292,156,1,2,1,2,0,0,1,7,0,0,40
350010002031,691,319,208,144,14,0,5,0,0,1,0,473,142,2,10,11,53,473,142,0,2,0,1,0,2,2,3,3,1,53
350010002032,532,279,122,111,10,2,2,1,0,5,0,320,132,8,10,12,50,320,130,6,8,5,4,2,1,0,1,1,2,50
350010002041,831,417,219,177,11,2,3,0,0,2,0,435,299,13,18,10,56,435,299,3,13,7,3,0,4,1,0,2,3,56
350010002042,906,470,225,188,11,2,3,0,0,7,0,487,327,5,10,16,61,487,325,9,5,4,1,2,1,1,1,2,2,61
350010002051,477,262,105,98,6,1,4,0,0,1,0,239,173,2,7,10,46,239,173,5,2,2,2,0,1,0,1,0,1,46
350010002052,386,170,109,101,4,0,1,0,0,1,0,178,174,3,4,8,19,178,174,1,3,1,0,0,0,1,0,0,0,19
350010002053,425,241,91,88,2,1,0,0,0,2,0,198,195,2,3,4,23,198,190,1,1,0,1,5,1,0,0,2,0,23
350010002054,502,262,112,119,3,0,3,1,0,2,0,255,191,2,8,11,35,255,190,7,2,1,3,1,4,0,3,0,0,35
350010002061,1198,630,300,230,23,6,3,1,0,5,0,619,460,4,14,10,91,619,456,3,4,3,2,4,5,1,3,2,1,91
350010002062,901,470,257,159,9,1,0,0,0,5,0,608,199,5,10,8,71,608,192,0,4,3,2,7,4,2,1,2,0,71
350010002071,760,375,214,159,7,0,2,0,0,3,0,422,243,6,19,5,65,422,240,1,6,3,2,3,2,1,8,3,1,65
350010002072,695,376,156,141,10,5,3,0,0,4,0,349,263,5,17,17,44,349,261,4,5,10,9,2,4,3,2,0,1,44
350010002073,782,372,238,155,8,3,1,1,0,4,0,405,289,2,16,13,57,405,289,9,2,6,4,0,1,0,2,4,3,57
350010002081,453,259,92,88,6,2,4,0,1,1,0,183,210,5,19,6,30,183,203,2,5,8,2,7,3,0,5,0,1,30
350010002082,626,303,124,171,7,7,6,2,0,6,0,276,259,5,15,11,60,276,258,7,5,9,2,1,0,2,6,0,0,60
350010002083,758,385,182,173,10,2,4,0,0,2,0,370,320,1,19,6,42,370,314,1,1,9,2,6,0,1,8,0,2,42
350010003001,923,580,171,157,5,2,4,1,0,3,0,551,203,5,24,25,115,551,200,5,5,12,3,3,2,4,5,1,2,115
350010003002,570,400,69,96,1,0,2,0,0,2,0,365,110,1,7,10,77,365,108,1,1,1,1,2,2,3,2,2,0,77
350010003003,566,422,52,88,1,0,3,0,0,0,0,403,82,1,3,9,68,403,81,0,1,1,4,1,2,3,0,0,0,68
