BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_23,eth2_34,eth2_14,eth2_12,eth2_38,eth2_unk
201770018002,629,188,185,249,7,0,0,488,32,18,11,10,70,488,32,18,7,2,3,0,1,3,3,0,70
201770018003,414,127,107,173,7,0,0,344,21,7,5,3,34,344,21,7,1,1,0,3,0,0,1,0,34
201770018004,573,170,178,216,9,0,0,480,31,4,1,10,47,480,31,4,7,0,0,1,1,0,0,2,47
201770019001,770,285,182,297,6,0,0,650,30,11,6,5,68,650,30,11,4,0,0,3,1,0,2,0,68
201770019002,569,229,119,213,8,0,0,488,24,0,2,3,52,488,23,0,0,1,0,1,1,0,0,0,52
201770019003,424,187,85,148,4,0,0,369,14,2,8,6,25,369,14,2,0,3,3,1,0,0,0,2,25
201770019004,577,244,124,204,5,0,0,474,31,1,1,2,68,474,30,1,1,0,0,1,1,0,0,0,68
201770021001,398,71,136,184,7,0,0,256,46,53,3,5,35,256,46,53,3,0,1,0,1,1,1,0,35
201770021002,304,74,94,135,1,0,0,216,30,35,0,0,23,216,30,35,0,0,0,0,0,0,0,0,23
201770021003,355,94,113,142,6,0,0,275,19,28,2,1,30,275,19,28,0,1,1,0,0,0,0,0,30
201770021004,743,214,254,263,12,0,0,581,66,20,2,2,72,581,65,20,2,0,1,0,0,1,0,0,72
201770022001,392,118,133,135,6,0,0,330,22,2,2,4,32,330,22,2,1,2,0,0,0,0,0,0,32
201770022002,793,246,210,327,10,0,0,671,40,10,3,4,65,671,40,10,2,1,0,1,1,0,1,1,65
201770022003,453,118,138,192,5,0,0,371,37,12,1,4,28,371,37,12,3,0,1,0,1,0,0,0,28
201770024011,949,346,241,357,5,0,0,795,41,16,9,11,77,795,41,16,3,5,0,2,4,1,1,0,77
201770024012,907,433,162,305,7,0,0,781,40,8,1,14,63,781,39,8,5,1,0,0,5,0,0,2,63
201770024013,562,308,105,149,0,0,0,473,14,1,5,5,64,473,14,1,3,2,0,3,0,0,0,0,64
201770024021,962,338,293,326,5,0,0,790,34,31,6,15,86,790,34,31,6,3,0,1,6,1,0,0,86
