BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk
295101081001,910,40,870,0,0,0,57,11,825,2,2,13,57,825,11,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
295101081002,852,24,825,3,0,0,72,11,761,1,1,6,72,759,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
295101081003,245,4,240,1,0,0,25,6,204,3,2,5,25,204,6,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
295101082001,789,22,766,1,0,0,55,9,700,4,8,13,55,700,9,4,1,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,13
295101082002,996,46,949,1,0,0,66,8,902,5,1,14,66,902,8,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
295101083001,800,31,768,1,0,0,59,10,721,4,1,5,59,721,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
295101083002,534,23,511,0,0,0,39,5,478,1,1,10,39,478,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
295101096001,378,15,363,0,0,0,35,3,330,0,4,6,35,330,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
295101096002,346,9,337,0,0,0,12,6,322,2,4,0,12,322,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
295101096003,428,9,419,0,0,0,29,6,387,3,2,1,29,386,6,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
295101096004,379,8,371,0,0,0,36,1,332,0,3,7,36,332,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
295101096005,307,4,303,0,0,0,20,2,282,0,1,2,20,282,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
295101097001,946,10,936,0,0,0,81,15,828,5,6,11,81,828,15,3,0,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,11
295101097002,395,15,380,0,0,0,33,2,336,13,1,10,33,336,2,0,1,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,10
295101101001,574,11,562,1,0,0,40,6,511,4,0,13,40,511,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
295101101002,364,5,359,0,0,0,26,8,326,2,0,2,26,326,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
295101101003,765,16,748,1,0,0,83,7,661,3,7,4,83,661,7,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
295101102001,371,4,367,0,0,0,22,2,344,2,0,1,22,344,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
295101102002,465,8,457,0,0,0,36,3,417,3,1,5,36,417,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
295101102003,582,12,570,0,0,0,46,11,511,5,2,7,46,511,11,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
295101103001,785,16,768,1,0,0,45,12,719,3,0,6,45,719,12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
295101103002,483,7,476,0,0,0,32,4,439,0,2,6,32,439,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
295101104001,514,8,506,0,0,0,26,3,470,5,3,7,26,470,3,2,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7
295101104002,530,12,517,1,0,0,36,3,480,3,5,3,36,480,3,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
295101104003,421,8,413,0,0,0,24,3,383,3,2,6,24,383,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
295101105001,865,13,852,0,0,0,81,9,751,10,0,14,81,751,9,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
295101111001,568,5,563,0,0,0,66,4,484,2,3,9,66,483,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
295101111002,691,22,669,0,0,0,66,3,609,4,0,9,66,609,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
295101112001,842,13,828,1,0,0,101,7,722,1,1,10,101,722,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
295101113001,384,6,378,0,0,0,33,2,340,5,1,3,33,339,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
295101113002,461,11,450,0,0,0,42,2,409,0,4,4,42,409,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4
295101121001,1083,318,648,117,0,0,679,35,168,37,29,135,679,168,29,8,14,13,12,2,5,3,1,1,0,1,0,0,3,6,1,0,135
295101121002,1019,261,629,129,0,0,566,32,222,50,31,118,566,222,32,11,27,14,6,3,3,1,2,1,2,1,1,1,1,0,3,2,118
295101121003,749,107,437,205,0,0,467,26,110,30,24,92,467,108,24,12,15,9,5,1,2,0,0,1,0,2,1,0,0,2,1,1,92
295101122001,994,25,967,2,0,0,92,12,851,11,7,21,92,851,12,2,4,3,1,3,1,3,0,0,0,1,0,0,0,0,0,0,21
295101123001,349,1,348,0,0,0,20,2,319,4,1,3,20,319,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
