BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_61,eth2_12,eth2_38,eth2_35,eth2_15,eth2_55,eth2_59,eth2_unk
191130014003,1004,233,466,292,10,3,0,0,841,22,2,9,14,116,841,22,2,1,3,0,4,0,2,3,0,2,0,0,0,4,116
191130015001,690,125,347,210,6,2,0,0,547,6,40,7,9,81,547,6,40,1,3,0,6,2,0,0,0,0,0,0,3,0,81
191130015002,1450,491,627,323,8,1,0,0,1208,16,3,19,22,182,1208,16,3,5,8,2,1,6,9,0,1,0,2,0,1,1,182
191130016001,850,233,416,193,6,2,0,0,714,20,2,9,11,94,714,18,2,5,4,0,0,4,4,0,0,0,0,0,0,0,94
191130016002,1228,212,623,369,19,5,0,0,1023,34,16,11,17,127,1023,34,16,4,3,3,0,4,4,2,0,0,3,0,2,0,127
191130016003,717,169,336,204,7,1,0,0,594,16,4,8,11,84,594,16,4,1,4,6,0,2,0,1,1,0,1,0,3,0,84
191130016004,892,263,432,190,5,2,0,0,728,13,1,11,18,121,728,13,1,1,8,4,2,2,0,0,4,2,4,0,0,0,121
191130016005,698,217,308,169,3,1,0,0,597,12,2,7,5,75,597,12,2,4,3,2,1,0,0,0,0,0,0,0,0,0,75
191130017001,844,222,419,188,14,1,0,0,690,20,27,11,9,87,690,18,27,2,4,4,1,3,2,0,0,0,0,0,2,0,87
191130017002,470,96,285,81,5,3,0,0,381,11,17,1,11,49,381,11,15,0,7,1,0,2,0,0,0,0,0,0,0,0,49
191130017003,635,105,339,180,9,2,0,0,404,27,125,3,8,68,404,27,125,0,7,1,0,0,1,0,1,0,0,0,1,0,68
191130017004,793,146,471,168,7,1,0,0,657,9,5,5,16,101,657,9,5,1,7,0,1,3,0,3,3,1,0,0,1,1,101
191130017005,1135,139,610,363,16,7,0,0,700,44,264,9,13,105,700,44,263,4,9,1,1,1,0,0,2,0,0,0,0,0,105
191130018001,755,155,347,241,12,0,0,0,601,13,16,7,20,98,601,13,16,3,8,0,1,7,1,0,1,1,2,0,0,1,98
191130018002,803,150,418,226,4,5,0,0,629,36,48,7,4,79,629,35,48,4,3,1,0,0,1,0,0,0,0,0,0,0,79
191130018003,406,68,204,127,4,3,0,0,308,12,34,5,11,36,308,12,34,2,8,1,2,0,0,0,0,0,2,0,0,0,36
191130019001,387,53,182,145,5,2,0,0,271,35,15,10,9,47,271,33,15,3,3,3,2,3,2,1,0,1,0,0,0,1,47
191130019002,293,65,152,70,5,1,0,0,187,12,59,0,6,29,187,12,59,0,3,0,0,0,0,0,0,0,0,0,1,0,29
191130019003,330,54,149,121,5,1,0,0,256,18,10,0,10,36,256,18,10,0,6,0,0,2,0,0,0,0,0,0,0,1,36
191130022001,628,125,292,204,6,1,0,0,464,35,26,8,18,77,464,35,24,2,12,1,4,2,1,0,0,0,0,0,0,1,77
191130022002,673,86,317,257,9,4,0,0,549,16,17,5,11,75,549,16,17,2,4,1,1,2,0,0,1,0,2,0,0,0,75
191130023001,529,70,265,183,8,3,0,0,429,13,13,6,6,62,429,13,13,2,4,1,3,2,0,0,0,0,0,0,0,0,62
191130023002,693,130,332,219,9,3,0,0,592,15,6,2,6,72,592,15,6,2,2,0,0,1,0,0,0,2,0,0,0,0,72
191130023003,783,180,361,235,6,1,0,0,618,29,5,6,12,113,618,29,5,0,4,2,4,0,0,4,0,0,0,0,0,2,113
191130023004,618,127,280,201,9,1,0,0,511,13,8,10,2,74,511,13,8,5,1,0,2,0,3,0,0,0,1,0,0,0,74
191130024001,614,115,277,211,8,3,0,0,501,22,5,5,0,81,501,22,5,3,0,0,1,0,1,0,0,0,0,0,0,0,81
191130024002,994,210,447,331,5,1,0,0,799,20,20,9,31,115,799,20,20,2,28,0,5,1,0,0,2,0,0,0,2,0,115
191130024003,1007,210,433,358,5,1,0,0,814,25,12,23,9,124,814,25,12,6,6,1,11,3,1,0,1,0,0,2,0,0,124
191130025001,528,97,259,160,7,5,0,0,438,15,18,2,5,50,438,15,18,2,1,0,0,1,0,0,0,1,1,0,0,0,50
191130025002,580,93,282,197,6,2,0,0,487,26,7,2,7,51,487,26,7,2,5,0,0,0,0,0,0,0,2,0,0,0,51
191130025003,739,138,332,251,16,2,0,0,606,19,9,6,11,88,606,19,9,2,4,0,4,2,0,0,0,2,0,0,1,0,88
