BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
400272015094,3,1,2,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
400272015095,587,361,151,71,4,0,0,507,26,2,11,10,31,507,26,2,3,4,6,1,2,0,1,1,0,31
400272015096,16,10,2,4,0,0,0,14,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,2
400272015097,4,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
400272015111,501,190,196,110,5,0,0,401,22,14,3,10,51,401,22,14,0,5,1,2,1,0,1,0,0,51
400272015112,691,319,243,124,5,0,0,541,10,6,34,26,74,541,10,6,15,18,2,11,1,4,3,0,1,74
400272015113,545,268,171,104,2,0,0,421,18,3,35,26,42,421,17,2,15,15,1,18,0,0,0,0,3,42
400272015121,8,3,5,0,0,0,0,7,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0
400272015122,1085,502,412,163,8,0,0,889,26,2,39,49,80,889,26,2,21,26,1,11,0,2,5,2,6,80
400272015123,343,137,140,64,2,0,0,305,6,5,5,9,13,305,6,5,0,3,1,2,0,0,2,1,2,13
400272015124,909,388,364,149,8,0,0,729,43,29,14,25,69,729,43,29,4,17,6,1,0,2,2,0,2,69
400272015131,1513,843,443,223,4,0,0,1261,38,6,77,31,100,1261,38,6,47,21,9,17,0,2,2,1,5,100
400272015132,334,209,83,37,5,0,0,292,11,0,6,7,18,292,11,0,2,4,2,0,0,1,0,0,0,18
400272015141,753,306,280,161,6,0,0,573,37,12,40,25,66,573,37,12,17,7,5,15,5,2,5,0,0,66
400272015142,1329,698,426,196,9,0,0,1086,41,4,60,38,100,1086,41,4,32,14,9,13,5,4,3,0,2,100
400272015143,1312,678,421,210,3,0,0,1075,45,10,60,28,94,1075,45,9,30,12,0,16,1,9,2,2,2,94
400272015144,24,8,15,1,0,0,0,21,0,0,1,0,2,21,0,0,0,0,0,1,0,0,0,0,0,2
400272016021,522,263,133,119,7,0,0,422,45,2,8,4,41,422,44,2,3,2,3,0,0,0,1,1,1,41
400272016022,462,226,129,103,4,0,0,375,45,1,1,6,34,375,45,1,0,4,1,0,0,0,0,0,0,34
400272016023,258,124,73,55,6,0,0,207,17,1,1,5,27,207,16,1,0,3,0,0,0,0,2,1,0,27
400272016031,215,95,55,61,4,0,0,173,12,10,5,1,14,173,12,10,2,1,0,1,0,2,0,0,0,14
400272016032,419,172,131,108,8,0,0,337,51,4,0,8,19,337,51,4,0,4,0,0,1,0,1,0,0,19
400272016033,342,170,99,67,6,0,0,290,17,2,7,1,25,290,17,2,0,0,1,1,0,5,0,0,0,25
400272016034,423,205,110,104,4,0,0,346,32,6,4,5,30,346,32,6,1,1,1,1,1,1,1,0,1,30
400272016041,441,192,131,112,6,0,0,334,32,18,10,4,43,334,32,18,3,3,6,0,1,1,0,0,0,43
400272016042,823,399,250,166,8,0,0,642,85,12,11,8,65,642,82,12,0,1,6,3,3,1,2,1,0,65
400272016043,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
400272016044,377,196,107,65,9,0,0,304,34,2,3,3,31,304,34,2,1,2,1,0,0,1,0,0,0,31
400272016071,797,456,217,117,7,0,0,637,43,19,50,6,42,637,43,19,6,0,34,1,2,2,4,5,0,42
400272016072,1861,1105,472,265,19,0,0,1486,90,23,132,18,112,1486,85,22,31,8,83,6,1,7,1,0,1,112
400272016073,629,413,128,80,8,0,0,535,24,1,28,12,29,535,24,1,2,1,12,6,0,7,3,1,2,29
400272016074,810,449,213,136,12,0,0,628,63,8,24,12,75,628,63,8,7,3,9,3,4,3,3,1,1,75
400272016091,1359,762,347,248,2,0,0,1021,64,18,145,11,100,1021,64,18,28,6,81,30,0,4,0,1,1,100
400272016092,1667,1016,424,211,16,0,0,1292,34,15,189,41,96,1292,32,13,27,16,98,44,2,10,8,5,6,96
400272016101,1106,658,270,169,9,0,0,856,57,15,80,15,83,856,57,15,18,10,46,4,0,8,1,3,0,83
400272016102,709,460,170,79,0,0,0,549,33,16,41,13,57,549,33,16,12,7,24,3,1,2,0,0,4,57
400272016103,878,539,181,149,9,0,0,666,30,11,107,7,57,666,28,11,27,3,56,15,1,5,0,2,2,57
400272016111,1257,702,327,220,8,0,0,1034,73,13,41,12,84,1034,73,13,10,3,22,3,2,6,6,0,1,84
400272016121,469,246,138,81,4,0,0,399,24,6,6,4,30,399,24,6,1,0,2,0,3,1,1,2,0,30
400272016122,808,439,246,117,6,0,0,674,49,11,10,12,52,674,46,11,5,3,2,1,0,2,2,0,4,52
