BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
221190312001,496,217,167,111,1,0,0,0,297,4,173,0,5,17,297,168,4,5,1,0,3,0,0,1,0,0,0,0,0,0,17
221190312002,421,294,44,83,0,0,0,0,73,2,335,1,4,6,73,330,2,5,2,0,0,0,1,0,0,0,0,0,0,0,6
221190312003,447,134,199,112,2,0,0,0,365,5,56,4,4,13,365,56,5,0,1,0,0,1,0,0,3,0,0,0,0,0,13
221190313001,553,177,207,167,2,0,0,0,445,8,80,1,3,16,445,80,8,0,1,0,2,0,0,0,1,0,0,0,0,0,16
221190313002,449,181,166,102,0,0,0,0,297,5,116,1,4,26,297,115,5,1,0,1,0,0,0,0,0,1,0,0,0,0,26
221190313003,466,219,110,136,1,0,0,0,231,5,209,4,5,12,231,205,5,4,1,0,1,2,2,0,0,0,0,2,0,0,12
221190313004,457,334,37,86,0,0,0,0,45,1,406,0,0,5,45,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
221190313005,661,184,310,167,0,0,0,0,564,9,66,7,2,13,564,66,9,0,0,0,2,0,1,0,6,0,0,0,0,0,13
221190314001,539,117,272,147,2,1,0,0,465,8,28,5,2,31,465,28,8,0,1,1,0,0,0,0,4,0,0,0,0,0,31
221190314002,612,267,177,166,2,0,0,0,347,3,238,1,5,18,347,237,3,1,5,0,0,1,0,0,0,0,0,0,0,0,18
221190314003,655,128,352,172,2,1,0,0,572,6,24,5,3,45,572,24,6,0,2,0,0,2,1,0,2,0,0,0,0,0,45
221190315011,478,93,248,136,1,0,0,0,407,7,34,3,1,26,407,33,7,1,1,0,0,3,0,0,0,0,0,0,0,0,26
221190315012,312,59,164,88,1,0,0,0,279,4,11,3,1,14,279,11,4,0,0,1,1,0,0,0,1,0,0,0,1,0,14
221190315013,540,154,237,147,1,1,0,0,403,7,101,1,3,25,403,101,7,0,0,0,2,1,0,0,0,0,0,0,0,0,25
221190315014,517,135,246,136,0,0,0,0,402,12,72,2,4,25,402,71,12,1,3,0,1,0,0,0,2,0,0,0,0,0,25
221190315021,531,155,246,130,0,0,0,0,387,9,111,1,5,18,387,110,9,1,3,0,1,0,1,0,0,0,0,0,0,0,18
221190315022,647,302,196,145,4,0,0,0,373,5,240,2,6,21,373,237,5,3,5,0,0,1,1,1,0,0,0,0,0,0,21
221190316001,593,154,310,127,1,1,0,0,486,4,71,5,3,24,486,71,4,0,2,0,0,2,0,0,2,0,0,0,1,0,24
221190316002,1438,312,821,301,4,0,0,0,1154,18,152,7,13,94,1154,149,18,3,0,5,8,2,0,1,0,0,0,0,0,0,94
221190317001,689,513,52,124,0,0,0,0,70,2,609,2,1,5,70,606,2,3,1,0,0,0,2,0,0,0,0,0,0,0,5
221190317002,335,257,12,64,2,0,0,0,9,1,321,3,1,0,9,317,1,4,1,0,0,0,3,0,0,0,0,0,0,0,0
221190317003,481,321,52,107,1,0,0,0,99,3,373,0,1,5,99,366,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5
221190318001,532,243,152,134,3,0,0,0,276,5,227,1,2,21,276,224,5,3,0,0,1,1,0,0,0,0,0,0,0,0,21
221190318002,496,167,202,123,4,0,0,0,329,7,129,4,6,21,329,126,7,3,1,0,3,2,0,0,2,0,0,0,0,0,21
