BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240338001092,1267,960,78,209,7,4,0,2,0,7,0,328,122,629,38,43,107,328,627,120,10,34,11,6,4,6,0,3,1,3,0,0,2,0,0,2,0,0,1,0,0,107
240338001093,428,307,35,78,2,3,0,0,0,3,0,87,70,232,7,15,17,87,230,70,1,11,1,0,1,3,0,1,1,0,0,0,0,2,0,2,0,1,0,0,0,17
240338002031,1818,960,441,367,21,6,5,2,0,16,0,1200,148,153,75,71,171,1200,153,148,12,32,20,10,8,18,3,10,5,7,5,2,0,6,2,0,0,1,0,0,0,171
240338002032,1707,995,318,349,21,13,2,0,0,9,0,926,162,232,117,68,202,926,231,162,30,43,52,20,5,11,2,1,9,6,1,0,0,1,0,1,0,2,0,0,0,202
240338002061,1125,782,113,195,20,4,2,0,0,9,0,305,140,534,49,39,58,305,534,138,19,24,16,4,5,10,3,0,3,2,0,0,2,0,0,0,2,0,0,0,0,58
240338002062,1126,875,64,167,10,2,1,1,0,6,0,105,72,857,21,30,41,105,856,72,11,22,3,3,1,2,1,1,2,2,0,1,0,1,0,1,0,1,0,0,0,41
240338002063,353,285,14,49,2,0,0,0,0,3,0,28,30,267,6,9,13,28,267,30,3,7,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,13
240338002091,785,575,64,129,4,1,2,1,0,9,0,116,111,483,8,28,39,116,482,110,2,27,3,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,39
240338002092,884,668,59,132,11,3,3,0,1,7,0,114,96,583,25,20,46,114,582,94,6,18,9,3,0,6,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,46
240338002101,615,437,63,106,5,1,0,0,0,3,0,90,88,310,44,46,37,90,309,88,10,21,13,2,4,7,3,6,8,6,0,0,0,1,1,1,0,1,3,2,0,37
