BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_12,eth2_64,eth2_10,eth2_85,eth2_83,eth2_14,eth2_66,eth2_26,eth2_21,eth2_30,eth2_23,eth2_93,eth2_34,eth2_unk
150030036062,860,470,289,101,0,0,252,52,4,402,56,94,252,188,52,116,16,9,56,0,3,26,15,9,4,6,94
150030037011,318,161,143,14,0,0,142,36,4,82,14,40,142,34,35,20,9,2,14,1,3,8,0,1,4,1,40
150030037012,487,236,156,95,0,0,248,24,3,150,13,49,248,56,22,55,2,0,28,2,2,4,5,5,3,1,49
150030037013,490,238,142,110,0,0,87,41,2,300,20,40,87,73,40,147,16,2,61,1,1,14,1,2,2,0,40
150030037014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030037021,818,383,230,205,0,0,231,49,2,442,24,70,231,217,48,141,4,6,52,1,4,17,2,9,2,7,70
150030037022,271,120,113,38,0,0,59,8,1,175,5,23,59,82,8,59,2,1,14,0,3,10,1,4,1,0,23
150030037023,487,253,154,80,0,0,161,41,2,198,31,54,161,41,40,76,15,6,53,1,1,20,5,6,2,1,54
150030037024,182,65,51,66,0,0,67,6,0,84,5,20,67,41,6,27,3,0,15,0,0,0,0,0,0,1,20
150030037031,721,363,220,138,0,0,212,41,1,378,21,68,212,165,39,145,7,3,44,2,2,12,4,6,1,2,68
150030037032,111,47,36,28,0,0,19,7,0,75,2,8,19,40,7,11,0,1,23,0,0,1,1,0,0,0,8
150030037033,640,293,216,131,0,0,292,28,2,240,25,53,292,104,28,77,10,4,39,0,1,11,5,7,1,1,53
150030037034,4,3,1,0,0,0,2,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150030037035,247,134,81,32,0,0,74,7,0,121,17,28,74,50,7,36,5,7,18,0,0,16,0,0,0,2,28
150030038011,985,444,422,119,0,0,293,99,2,439,34,118,293,145,95,140,12,12,115,4,3,26,5,7,2,2,118
150030038012,672,372,240,60,0,0,160,45,4,358,30,75,160,107,45,123,17,6,92,0,2,32,5,2,4,1,75
150030038013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030038014,867,183,165,519,0,0,332,52,1,360,34,88,332,143,48,126,12,9,61,4,2,17,4,7,1,5,88
150030038015,25,18,4,3,0,0,21,2,0,1,1,0,21,1,2,0,0,0,0,0,0,0,0,0,0,1,0
150030038021,288,147,78,63,0,0,112,21,0,126,10,19,112,57,21,47,4,1,15,0,1,4,1,1,0,2,19
150030038022,1138,668,364,106,0,0,268,77,3,665,35,90,268,310,76,250,20,7,46,1,7,37,5,6,3,2,90
150030038023,378,200,118,60,0,0,112,23,3,172,27,41,112,91,23,48,14,6,14,0,0,10,3,4,3,1,41
150030038024,4,4,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
150030038025,849,394,246,209,0,0,274,45,0,412,29,89,274,227,43,109,10,5,50,2,2,12,9,5,0,2,89
150030039001,240,51,174,15,0,0,88,22,1,81,10,38,88,38,20,20,3,3,14,2,1,4,2,4,1,1,38
150030040001,815,436,287,92,0,0,411,81,3,187,30,103,411,85,78,65,12,4,15,3,4,10,7,4,3,2,103
150030040002,308,138,131,39,0,0,130,29,3,88,15,43,130,37,27,25,4,5,12,2,4,7,4,3,3,2,43
150030041011,265,147,99,19,0,0,97,26,2,92,11,37,97,50,23,27,5,2,9,3,0,6,2,0,2,1,37
