BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_21,eth2_99,eth2_34,eth2_14,eth2_unk
280870005002,759,358,79,322,0,0,0,99,7,640,4,1,8,99,639,7,2,1,1,1,1,0,0,8
280870005003,906,497,68,341,0,0,0,104,11,763,7,5,16,104,762,11,2,1,2,2,1,4,0,16
280870006001,689,313,63,313,0,0,0,128,4,541,3,0,13,128,540,4,2,0,0,0,1,0,1,13
280870006002,550,241,146,162,0,1,0,200,1,325,3,4,17,200,325,1,2,3,0,1,0,0,0,17
280870006003,893,576,9,308,0,0,0,45,9,823,4,0,12,45,823,9,2,0,2,0,0,0,0,12
280870007001,861,374,232,255,0,0,0,614,12,177,7,4,47,614,176,11,3,2,2,1,1,0,0,47
280870007002,1019,523,27,468,0,1,0,71,6,916,7,2,17,71,916,6,5,1,0,1,0,1,1,17
280870007003,479,274,12,193,0,0,0,39,10,419,2,0,9,39,418,10,2,0,0,0,1,0,0,9
280870007004,582,313,7,261,0,1,0,61,12,500,4,0,5,61,499,12,4,0,0,0,1,0,0,5
280870008001,1005,522,17,466,0,0,0,74,8,906,4,0,13,74,901,7,2,0,0,0,5,0,0,13
280870008002,322,210,3,109,0,0,0,17,3,295,1,1,5,17,295,3,1,1,0,0,0,0,0,5
280870008003,311,189,2,120,0,0,0,17,1,285,0,0,8,17,284,1,0,0,0,0,1,0,0,8
280870008004,686,422,6,258,0,0,0,41,9,633,1,0,2,41,633,9,0,0,0,0,0,0,1,2
280870009011,796,459,135,202,0,0,0,297,11,435,22,3,28,297,435,11,11,0,5,2,0,1,1,28
280870009012,449,304,42,102,0,1,0,258,13,152,8,4,14,258,149,13,4,2,2,2,3,2,0,14
280870009013,466,218,149,99,0,0,0,294,6,123,5,6,32,294,123,6,1,2,1,1,0,1,1,32
280870009021,466,179,173,114,0,0,0,350,6,86,1,4,19,350,86,6,0,3,0,0,0,0,1,19
280870009022,1233,720,47,466,0,0,0,169,12,1017,8,1,26,169,1016,12,4,1,1,0,1,0,2,26
280870009023,511,265,120,126,0,0,0,278,10,192,9,2,20,278,192,10,6,1,1,0,0,0,1,20
