BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_34,eth2_23,eth2_21,eth2_14,eth2_12,eth2_61,eth2_66,eth2_35,eth2_85,eth2_32,eth2_55,eth2_38,eth2_59,eth2_33,eth2_83,eth2_15,eth2_81,eth2_29,eth2_unk
080350141104,352,176,97,72,4,0,2,1,0,263,38,2,2,4,43,263,38,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,43
080350141121,1215,517,307,374,14,1,1,1,0,954,81,2,32,26,120,954,81,2,6,6,9,6,6,7,7,1,0,1,0,4,0,0,1,1,0,0,1,0,120
080350141122,1587,662,382,525,15,2,1,0,0,1237,106,2,48,26,168,1237,105,2,20,11,8,8,3,5,11,1,1,2,0,1,0,0,0,0,1,0,0,1,168
080350141131,1208,509,282,396,15,1,4,1,0,876,77,4,65,43,143,876,75,3,35,20,3,10,11,5,4,3,2,3,1,1,0,5,0,5,1,0,0,1,143
080350141132,863,376,191,284,11,0,1,0,0,624,79,6,44,23,87,624,79,6,19,6,8,6,8,9,2,2,0,0,1,6,0,0,0,0,0,0,0,0,87
080350141141,620,291,140,174,9,2,1,3,0,460,54,3,21,11,71,460,54,2,11,2,5,3,4,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,71
080350141142,1773,775,410,567,18,3,0,0,0,1384,138,9,44,23,175,1384,138,9,7,4,7,7,11,5,7,0,0,2,0,0,4,0,1,3,2,0,0,0,175
080350141151,1734,676,380,660,15,1,1,1,0,1362,84,5,58,43,182,1362,80,5,19,16,10,11,8,10,5,4,4,2,2,6,2,0,0,0,0,0,0,1,182
080350141152,1382,551,321,491,14,2,0,3,0,1022,74,8,57,45,176,1022,74,8,17,22,5,6,13,18,2,3,0,3,0,7,0,0,1,2,0,0,0,1,176
080350141161,1321,519,202,589,8,0,2,1,0,962,48,3,83,46,179,962,48,3,17,15,12,26,12,16,8,2,0,1,0,9,3,1,0,3,0,0,0,0,179
080350141162,632,278,150,197,4,2,1,0,0,451,36,3,44,16,82,451,36,3,21,5,9,11,5,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,82
080350141163,377,179,111,78,9,0,0,0,0,274,37,4,8,8,46,274,37,3,2,2,4,2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,46
080350141164,638,305,204,112,14,1,1,1,0,444,76,15,16,9,78,444,75,14,4,3,0,2,1,4,4,1,1,1,2,0,0,0,0,0,1,1,0,1,78
080350141165,805,392,183,217,12,0,1,0,0,570,73,6,41,15,100,570,71,6,12,9,0,15,2,7,4,1,2,1,0,1,1,0,0,2,0,0,0,0,100
080350141231,1349,500,180,651,14,1,1,2,0,1105,37,2,37,38,130,1105,36,2,11,25,8,9,2,7,6,0,1,0,0,0,0,2,2,1,0,0,0,0,130
080350141232,752,358,169,199,9,7,5,5,0,543,112,6,12,5,74,543,110,5,2,0,3,3,4,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,74
080350141241,1813,765,424,604,14,2,3,1,0,1349,147,9,46,45,217,1349,143,9,13,18,13,8,7,12,5,5,4,1,0,1,0,1,0,1,0,0,3,0,217
080350141242,882,371,218,277,11,1,1,3,0,670,56,6,31,20,99,670,56,6,12,10,5,11,1,1,6,0,0,0,1,4,0,0,0,0,0,0,0,0,99
080350141243,1269,515,300,447,4,1,2,0,0,1026,70,0,25,24,124,1026,70,0,10,7,8,3,2,3,7,0,0,2,0,0,2,2,0,0,0,0,0,0,124
080350141251,962,393,169,390,6,2,1,1,0,699,42,2,88,31,100,699,42,2,44,5,13,10,9,11,11,4,0,1,0,4,2,0,0,0,0,1,0,1,100
080350141252,1039,482,286,255,15,0,1,0,0,793,61,5,37,16,127,793,61,3,14,4,4,3,1,13,5,0,0,1,0,1,1,1,0,0,2,0,2,0,127
080350141253,1482,593,228,640,14,3,3,1,0,1245,66,0,35,36,100,1245,64,0,13,14,8,13,0,4,4,1,2,0,2,8,0,0,1,0,0,0,0,0,100
080350141254,759,329,167,252,8,0,2,1,0,547,73,8,21,12,98,547,72,2,11,2,7,1,0,8,1,0,1,0,1,0,0,0,0,1,0,0,0,1,98
080350141261,1225,524,325,358,12,1,3,2,0,947,76,1,35,19,147,947,75,1,8,10,3,8,9,4,5,2,1,0,0,0,2,0,0,0,0,1,0,1,147
080350141271,1737,654,298,768,15,2,0,0,0,1351,83,7,66,43,187,1351,83,6,23,15,9,13,5,22,1,2,0,3,0,6,2,0,4,0,1,0,0,1,187
080350141272,1237,474,202,550,9,1,0,1,0,975,57,0,35,32,138,975,57,0,15,10,12,5,2,11,2,2,0,0,0,2,0,3,0,0,0,0,1,0,138
