BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250235107005,1088,448,569,57,4,0,0,0,1,9,0,506,171,263,23,21,104,506,140,263,6,8,31,5,5,11,4,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,104
250235108001,371,142,207,18,0,0,0,0,0,4,0,77,101,150,4,6,33,77,88,150,4,1,13,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,33
250235108002,433,165,257,8,1,0,0,0,0,2,0,86,89,197,11,11,39,86,84,197,4,8,5,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39
250235108003,352,149,178,17,4,0,0,0,0,4,0,73,104,124,1,3,47,73,90,124,0,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
250235108004,657,266,362,21,3,1,0,0,0,4,0,117,148,300,16,16,60,117,126,300,6,12,22,0,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,60
250235108005,441,168,253,15,1,1,0,0,0,3,0,84,87,211,8,8,43,84,78,211,2,6,9,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
250235108006,783,345,396,32,4,1,0,1,0,4,0,196,173,310,14,10,80,196,148,310,4,7,25,3,2,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80
250235109001,709,317,348,39,2,0,0,0,0,3,0,219,176,184,8,16,106,219,152,184,2,5,24,3,9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106
250235109002,772,310,405,38,3,1,0,1,0,14,0,216,206,257,10,10,73,216,189,257,1,5,17,2,4,2,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,73
250235110001,920,406,460,35,6,0,1,0,1,11,0,243,218,327,13,17,102,243,184,326,3,13,34,6,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,102
250235110002,765,348,386,24,1,0,0,0,0,6,0,202,217,229,4,18,95,202,189,228,2,7,28,2,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,95
250235111001,1574,768,668,111,6,1,0,0,3,17,0,801,230,318,27,32,166,801,204,318,8,14,26,8,0,11,6,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,166
250235111002,1092,540,453,83,3,0,3,0,0,10,0,569,144,213,30,15,121,569,119,212,10,4,25,7,6,10,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,121
250235111003,1007,487,452,46,4,0,2,2,0,14,0,416,184,272,17,14,104,416,166,272,5,8,18,3,0,5,0,0,2,0,1,0,0,6,0,0,0,1,0,0,0,0,104
250235112001,1519,698,673,119,13,1,0,0,0,15,0,701,266,339,16,19,178,701,230,339,6,13,36,4,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,178
250235112002,769,350,378,29,3,2,0,1,0,6,0,313,158,203,9,9,77,313,134,203,1,5,24,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77
250235112003,778,317,412,41,3,0,0,1,0,4,0,222,202,239,6,8,101,222,174,238,1,3,28,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101
250235113011,1629,750,763,92,3,2,3,1,1,14,0,551,321,498,19,23,217,551,280,497,5,11,41,2,11,8,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,217
250235113012,480,208,233,32,1,0,0,1,0,5,0,182,86,139,2,12,59,182,77,136,1,8,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
250235113013,1102,467,569,47,4,0,1,1,0,13,0,304,281,370,15,11,121,304,252,370,6,4,29,3,3,4,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,121
250235113021,506,233,220,45,2,0,0,1,0,5,0,249,77,132,5,10,33,249,62,132,1,10,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
250235113022,486,230,213,34,2,2,0,1,0,4,0,232,124,27,12,5,86,232,114,27,0,1,10,1,2,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,86
250235113023,1336,645,578,88,3,0,3,0,0,19,0,645,189,351,11,12,128,645,171,351,3,8,18,1,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,128
