BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
132470603052,809,609,120,80,0,0,140,45,587,10,5,22,140,515,44,72,1,3,0,3,0,2,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,0,22
132470603053,1042,821,156,65,0,0,177,67,757,6,4,31,177,663,67,94,1,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31
132470603054,358,313,37,8,0,0,39,6,306,0,3,4,39,286,6,20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
132470603061,772,656,73,43,0,0,104,24,632,4,5,3,104,539,24,93,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
132470603062,1389,1174,136,79,0,0,186,51,1112,6,9,25,186,998,51,114,1,1,2,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25
132470603063,815,720,63,32,0,0,77,17,696,9,5,11,77,589,17,107,0,3,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,11
132470603101,432,307,90,35,0,0,119,22,275,3,5,8,119,250,22,25,3,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
132470603102,462,282,111,69,0,0,167,31,242,10,2,10,167,225,31,17,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
132470603103,593,481,66,46,0,0,107,13,452,10,5,6,107,389,13,63,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
132470603111,1638,1282,161,195,0,0,366,40,1174,19,15,24,366,1035,39,139,3,6,4,6,3,6,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,24
132470603112,921,652,131,138,0,0,269,22,599,3,5,23,269,546,22,53,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
132470603121,1216,1011,106,99,0,0,148,31,979,26,8,24,148,877,31,102,14,8,2,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24
132470603122,941,790,59,92,0,0,128,15,728,30,23,17,128,650,15,78,12,7,18,4,3,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,17
132470603123,1271,952,138,181,0,0,314,31,847,31,18,30,314,738,31,109,13,4,8,8,3,2,4,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,30
132470603131,1723,1525,112,86,0,0,136,36,1485,19,28,19,136,1286,36,199,15,2,10,1,1,8,5,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,19
