BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_34,eth2_30,eth2_23,eth2_10,eth2_unk
500110109003,959,470,229,260,0,0,829,24,1,3,3,99,829,24,0,2,0,3,99
500110110001,2015,807,607,601,0,0,1764,39,3,18,19,172,1764,39,5,7,9,3,172
500110110002,1571,707,417,447,0,0,1353,24,5,16,19,154,1353,22,5,0,11,3,154
500110110003,2182,1122,534,526,0,0,1920,26,1,3,19,213,1920,25,5,6,0,2,213
500279650001,1059,670,273,116,0,0,839,20,2,34,20,144,839,20,9,4,12,13,144
500279650002,647,397,168,82,0,0,513,12,0,13,10,99,513,11,4,4,6,6,99
500279650003,1261,833,270,158,0,0,1055,18,0,16,13,159,1055,18,5,2,4,9,159
500279651001,625,360,160,105,0,0,546,9,1,6,11,52,546,9,3,5,3,2,52
500279651002,641,372,160,109,0,0,558,9,5,3,8,58,558,7,3,2,0,2,58
500279651003,794,407,220,167,0,0,705,8,1,3,10,67,705,8,0,0,0,1,67
500279654001,1104,595,284,225,0,0,958,17,1,6,12,110,958,14,4,3,2,2,110
500279654002,445,212,161,72,0,0,400,6,0,1,1,37,400,6,0,1,1,0,37
500279654003,719,398,177,144,0,0,635,18,0,4,4,58,635,16,1,3,0,2,58
500279654004,562,279,142,141,0,0,483,18,1,0,3,57,483,18,1,0,0,0,57
500279655011,49,24,16,9,0,0,40,0,1,1,1,6,40,0,1,0,1,0,6
500279655012,67,34,26,7,0,0,66,0,0,0,0,1,66,0,0,0,0,0,1
500279655013,58,30,21,7,0,0,46,2,0,2,1,7,46,2,0,0,0,0,7
500279655021,28,14,10,4,0,0,21,1,0,0,0,6,21,1,0,0,0,0,6
500279655022,3090,1570,883,637,0,0,2720,44,3,31,44,248,2720,40,14,5,7,12,248
500279655023,5361,2762,1963,636,0,0,4541,103,7,76,88,546,4541,99,26,24,34,26,546
500279656001,21,15,6,0,0,0,16,0,0,0,0,5,16,0,0,0,0,0,5
500279656002,62,36,18,8,0,0,57,1,0,0,1,3,57,1,0,1,0,0,3
500279656003,44,27,12,5,0,0,36,2,0,1,1,4,36,2,0,1,0,1,4
500279656004,158,94,51,13,0,0,135,3,0,4,0,16,135,3,0,0,0,1,16
500279656005,34,17,11,6,0,0,27,0,0,4,0,3,27,0,0,0,3,1,3
500279657001,505,260,110,135,0,0,437,2,1,1,2,62,437,2,0,1,0,0,62
500279657002,1291,696,303,292,0,0,1134,17,0,8,6,126,1134,17,3,2,3,0,126
