BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_30,eth2_34,eth2_81,eth2_10,eth2_21,eth2_14,eth2_55,eth2_12,eth2_85,eth2_35,eth2_61,eth2_66,eth2_unk
450479707024,991,152,712,127,0,0,807,20,92,2,7,63,807,91,20,1,0,0,0,4,0,0,2,0,0,0,0,3,0,63
450479708011,375,299,50,26,0,0,73,17,282,0,1,2,73,279,17,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2
450479708012,953,579,289,85,0,0,325,43,555,1,5,24,325,550,43,5,0,0,1,2,0,1,0,0,0,0,0,0,0,24
450479708013,329,162,101,66,0,0,179,13,122,2,2,11,179,121,13,1,0,1,0,1,1,1,0,0,0,0,0,0,0,11
450479708014,426,241,126,59,0,0,177,13,220,5,1,10,177,218,13,2,2,0,1,0,0,2,1,0,0,0,0,0,0,10
450479708021,817,493,233,91,0,0,308,9,471,2,0,27,308,469,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,27
450479708022,1311,535,692,84,0,0,746,26,467,5,1,66,746,467,25,0,1,0,0,0,2,1,1,0,0,0,0,0,1,66
450479709001,778,223,437,118,0,0,561,21,146,2,2,46,561,146,21,0,0,1,0,0,1,0,1,0,0,0,0,1,0,46
450479709002,548,233,258,57,0,0,308,9,218,0,3,10,308,218,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10
450479710001,693,81,497,115,0,0,596,5,43,4,2,43,596,43,5,0,0,2,0,0,0,3,1,0,0,0,0,0,0,43
450479710002,541,106,365,70,0,0,429,6,86,0,1,19,429,86,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
450870301001,432,275,151,6,0,0,271,3,141,2,5,10,271,140,3,1,1,4,0,1,1,0,0,0,0,0,0,0,0,10
450870301002,910,647,246,17,0,0,441,3,443,3,2,18,441,443,3,0,0,0,1,1,2,0,0,0,1,0,0,0,0,18
450870302001,531,403,120,8,0,0,198,5,307,0,0,21,198,305,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
450870302002,619,479,135,5,0,0,237,7,346,3,1,25,237,344,7,2,1,0,0,1,2,0,0,0,0,0,0,0,0,25
450870302003,323,253,67,3,0,0,136,3,175,2,0,7,136,175,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
450870303001,487,261,212,14,0,0,336,2,126,0,0,23,336,126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
450870303002,487,384,94,9,0,0,149,2,324,0,1,11,149,323,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
450870303003,718,504,210,4,0,0,378,10,305,2,3,20,378,303,10,2,0,2,0,0,0,0,2,0,0,0,0,0,0,20
450870303004,242,127,108,7,0,0,179,1,55,0,0,7,179,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
450870303005,489,238,242,9,0,0,400,9,60,0,2,18,400,60,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18
450870304011,983,597,369,17,0,0,684,5,261,1,3,29,684,260,5,1,0,1,0,1,0,0,1,0,0,0,1,0,0,29
450870304012,833,549,271,13,0,0,518,2,294,0,2,17,518,292,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,17
450870304021,536,295,216,25,0,0,406,7,97,0,1,25,406,97,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25
450870304022,972,549,402,21,0,0,766,13,148,5,4,36,766,147,13,1,5,3,0,1,0,0,0,0,0,0,0,0,0,36
450870305001,1315,793,491,31,0,0,950,11,318,1,3,32,950,315,11,3,1,0,1,2,0,0,0,0,0,0,0,0,0,32
450870306001,740,521,212,7,0,0,339,2,373,1,2,23,339,371,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,23
450870306002,495,447,42,6,0,0,65,2,421,0,0,7,65,416,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
450870307001,734,385,333,16,0,0,601,5,104,1,1,22,601,104,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22
450870307002,593,280,302,11,0,0,485,1,72,3,0,32,485,72,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,32
450870307003,825,454,354,17,0,0,472,6,319,0,4,24,472,318,5,1,0,0,0,3,0,0,0,0,0,0,1,0,1,24
450870308001,636,253,362,21,0,0,510,8,100,0,0,18,510,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
450870308002,455,260,186,9,0,0,294,0,146,0,0,15,294,144,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
450870308003,621,378,226,17,0,0,405,12,186,0,0,18,405,186,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
450870308004,505,246,252,7,0,0,376,4,113,0,1,11,376,113,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
450870309001,928,613,292,23,0,0,682,5,218,3,0,20,682,217,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20
450870309002,596,395,186,15,0,0,526,1,51,0,5,13,526,51,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,13
450179501001,959,454,407,98,0,0,542,22,322,3,6,64,542,320,22,2,0,1,3,2,0,3,0,0,0,0,0,0,0,64
450179501002,1235,684,416,135,0,0,526,20,610,4,9,66,526,604,20,6,1,3,3,3,3,0,0,0,0,0,0,0,0,66
450179501003,1059,274,624,161,0,0,806,18,154,2,10,69,806,154,18,0,1,2,2,4,1,0,0,0,0,1,0,1,0,69
450179501004,603,188,350,65,0,0,427,8,122,0,4,42,427,122,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,42
450179502011,1456,863,507,86,0,0,745,20,591,1,6,93,745,588,20,3,0,1,0,4,0,0,1,0,0,0,0,0,0,93
450179502021,786,420,271,95,0,0,441,10,262,2,4,67,441,260,10,2,0,0,2,2,0,0,0,0,2,0,0,0,0,67
450179502022,855,707,100,48,0,0,192,5,639,0,0,19,192,634,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19
450179502023,1337,1040,227,70,0,0,360,9,920,0,3,45,360,915,9,5,0,0,2,0,0,0,0,0,0,1,0,0,0,45
450179504001,645,388,218,39,0,0,348,5,262,1,0,29,348,261,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29
450179504002,950,507,363,80,0,0,488,16,397,0,7,42,488,396,16,1,0,1,2,0,0,0,0,2,0,0,0,2,0,42
450179504003,448,202,214,32,0,0,241,5,155,1,1,45,241,152,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,45
450179504004,474,246,202,26,0,0,277,4,162,0,4,27,277,160,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,27
