BlockGroupID,total_reg,party_rep,party_dem,party_rin,party_npp,party_lib,party_cnt,party_grn,party_lbl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_30,eth2_10,eth2_34,eth2_93,eth2_unk
461030109041,1333,663,336,169,156,8,0,1,0,0,0,1119,32,7,6,15,154,1119,31,8,2,3,0,7,154
461030109042,1699,906,442,195,151,4,1,0,0,0,0,1379,53,5,14,15,233,1379,53,7,0,7,4,5,233
461030109051,1683,801,421,222,215,18,2,2,0,2,0,1372,59,6,9,23,214,1372,59,6,3,2,3,5,214
461030109052,2397,1430,458,281,218,7,1,1,0,1,0,1979,53,4,17,46,298,1979,51,7,9,6,9,4,298
461030109061,889,439,188,138,112,9,1,0,0,2,0,715,22,2,18,14,118,715,22,3,0,6,1,2,118
461030109062,720,339,145,131,95,7,2,0,0,1,0,574,22,6,5,5,108,574,21,0,0,0,1,6,108
461030109063,1989,1007,420,298,245,15,1,2,0,1,0,1621,70,3,9,18,268,1621,70,5,3,3,3,3,268
461030109071,1677,870,373,240,185,6,0,1,0,2,0,1355,43,2,8,23,246,1355,41,7,5,2,2,2,246
461030109081,822,364,208,129,112,5,0,0,0,4,0,681,28,2,9,9,93,681,27,0,1,1,4,2,93
461030109082,894,463,153,134,135,3,3,0,1,2,0,733,39,5,3,7,107,733,39,0,1,2,2,5,107
461030109083,706,345,156,118,85,0,1,0,0,1,0,611,15,1,4,9,66,611,13,3,1,2,0,1,66
461030109084,1786,819,403,302,247,14,0,0,1,0,0,1469,57,10,17,24,209,1469,56,7,5,6,9,10,209
461030110011,1099,525,287,161,115,8,0,0,0,3,0,936,25,2,7,14,115,936,24,2,3,2,2,2,115
461030110012,639,317,151,116,45,9,0,0,0,1,0,540,9,0,1,13,76,540,9,2,7,0,1,0,76
461030110021,1615,941,345,180,142,4,2,0,0,1,0,1359,29,3,21,29,174,1359,28,8,6,6,10,3,174
461030110022,1146,693,216,139,94,2,0,1,0,1,0,948,10,2,2,33,151,948,10,0,16,0,6,2,151
461030110023,1204,680,222,180,110,10,1,0,0,1,0,995,19,2,19,17,152,995,19,2,5,6,8,2,152
461030110024,816,511,156,78,69,2,0,0,0,0,0,670,15,0,7,16,108,670,15,0,7,1,5,0,108
461030110041,1794,1030,371,231,152,7,1,0,0,2,0,1500,21,0,9,28,236,1500,19,1,3,2,14,0,236
461030110042,1531,894,256,219,154,4,1,2,0,1,0,1270,39,1,31,22,168,1270,37,2,11,11,5,1,168
461030110043,2083,1152,430,278,207,11,2,1,1,1,0,1739,41,1,16,42,244,1739,41,10,10,4,8,1,244
461030110051,640,332,112,100,86,6,0,1,1,2,0,547,13,0,2,1,77,547,13,1,0,0,0,0,77
461030110052,1604,1019,215,214,147,6,1,0,0,2,0,1351,26,2,4,24,197,1351,26,0,4,1,6,2,197
461030111001,542,251,145,84,54,6,0,0,0,2,0,447,14,1,3,11,66,447,14,1,3,1,2,1,66
461030111002,521,198,168,96,53,6,0,0,0,0,0,417,19,1,5,10,69,417,19,3,0,2,2,1,69
461030111003,674,267,181,117,97,6,0,1,0,5,0,554,22,1,3,14,80,554,21,6,3,0,3,1,80
461030112001,477,186,138,90,57,3,1,0,0,2,0,379,20,0,6,7,65,379,20,3,1,3,0,0,65
461030112002,447,208,130,67,37,3,0,1,0,1,0,366,14,0,0,9,58,366,13,3,5,0,0,0,58
461030112003,827,379,228,137,80,2,0,1,0,0,0,684,20,1,8,15,99,684,20,0,6,1,2,1,99
461030113001,1412,815,296,181,107,10,0,1,0,2,0,1204,30,1,10,24,143,1204,30,2,14,3,1,1,143
461030113002,1639,964,337,186,144,5,1,0,0,2,0,1370,29,1,7,15,217,1370,27,2,1,4,5,1,217
461030113003,948,413,245,157,123,8,0,0,0,2,0,788,27,2,5,18,108,788,27,2,4,2,2,2,108
461030113004,833,450,167,114,93,7,0,0,0,2,0,694,21,1,7,14,96,694,21,2,4,0,4,1,96
461030114001,10358,5000,1722,1680,1868,68,3,3,1,13,0,8688,217,3,73,90,1287,8688,206,3,11,32,35,3,1287
461030114002,1405,642,317,233,193,15,2,0,1,2,0,1143,44,6,20,28,164,1143,44,9,10,11,2,6,164
461030114003,614,324,131,81,72,2,1,0,0,3,0,504,14,0,2,17,77,504,14,6,7,0,3,0,77
461030114004,2023,851,588,314,252,11,0,1,1,5,0,1569,91,6,21,50,286,1569,87,36,3,7,6,6,286
461030116011,2250,1388,262,293,296,6,3,0,0,2,0,1886,39,4,22,29,270,1886,39,6,5,8,5,4,270
461030116021,841,578,108,79,72,2,2,0,0,0,0,732,9,0,4,9,87,732,7,1,2,1,0,0,87
461030116022,627,275,135,111,100,3,0,1,1,1,0,509,26,1,5,10,76,509,26,3,5,0,2,1,76
461030116023,643,445,91,70,33,3,0,0,0,1,0,555,3,0,3,7,75,555,3,1,1,2,0,0,75
461030116024,325,209,53,40,20,1,0,0,1,1,0,279,5,0,0,5,36,279,5,0,0,0,0,0,36
461030117001,1076,651,187,118,110,7,1,0,0,2,0,903,30,4,13,9,117,903,30,0,0,3,3,4,117
461030117002,718,380,136,99,95,5,2,0,0,1,0,587,42,1,5,4,79,587,42,0,2,2,0,1,79
461030117003,798,432,143,104,112,4,2,1,0,0,0,669,23,1,2,5,98,669,23,1,0,2,2,1,98
461030117004,532,307,86,72,61,2,4,0,0,0,0,471,6,0,2,5,48,471,6,1,2,1,2,0,48
461030118001,877,374,195,150,151,6,0,0,0,1,0,730,34,0,4,5,104,730,33,3,0,1,1,0,104
461030118002,1251,522,241,217,249,15,1,3,0,3,0,1053,52,3,20,13,110,1053,52,1,1,6,2,3,110
461259651001,725,427,158,108,29,1,0,0,0,2,0,583,4,0,12,8,118,583,4,0,2,2,2,0,118
461259651002,534,309,113,81,30,0,0,0,0,1,0,449,4,0,8,10,63,449,4,0,3,1,2,0,63
461259651003,617,364,129,96,25,2,0,0,0,1,0,532,8,0,4,7,66,532,8,0,0,3,0,0,66
461259651004,931,499,213,150,64,2,0,0,1,2,0,763,9,0,3,19,137,763,6,0,5,1,0,0,137
461259652001,641,355,138,124,21,1,1,0,0,1,0,528,7,0,6,1,99,528,7,1,0,3,0,0,99
461259652002,853,427,226,157,40,1,1,0,0,1,0,729,5,0,2,9,108,729,5,0,0,0,1,0,108
461259652003,639,369,162,94,13,1,0,0,0,0,0,530,4,0,3,3,99,530,4,0,0,2,3,0,99
461259652004,557,340,122,72,21,2,0,0,0,0,0,445,3,0,4,15,90,445,3,0,0,0,2,0,90
460859401001,554,38,391,74,48,2,0,0,0,1,0,371,26,1,9,51,96,371,26,45,2,3,0,1,96
460859726001,616,446,101,50,19,0,0,0,0,0,0,512,4,0,4,13,83,512,2,0,7,1,0,0,83
460859726002,366,257,72,21,13,3,0,0,0,0,0,319,5,0,1,0,41,319,2,0,0,0,0,0,41
460859726003,555,322,155,52,25,1,0,0,0,0,0,450,14,0,4,6,81,450,8,4,0,1,2,0,81
460559601001,827,657,91,62,12,4,0,0,0,1,0,729,10,0,1,12,75,729,10,1,0,0,6,0,75
460559601002,622,493,72,43,14,0,0,0,0,0,0,567,6,0,3,3,43,567,6,1,1,0,0,0,43
461219401001,452,37,343,55,15,1,0,0,0,1,0,325,8,2,25,44,48,325,8,42,0,8,0,2,48
461219401002,624,49,469,76,30,0,0,0,0,0,0,450,24,1,23,60,66,450,24,56,0,8,0,1,66
461219401003,37,5,20,8,4,0,0,0,0,0,0,27,1,0,0,1,8,27,1,1,0,0,0,0,8
461219402001,157,10,104,29,13,0,0,0,0,1,0,138,4,0,2,3,10,138,4,3,0,0,0,0,10
461219402002,96,8,60,13,15,0,0,0,0,0,0,71,5,0,3,6,11,71,5,6,0,2,0,0,11
461219402003,1574,247,1018,196,110,2,0,0,1,0,0,1135,49,6,27,93,264,1135,48,85,4,3,1,6,264
461219402004,576,70,374,80,50,1,0,0,0,1,0,383,9,0,22,77,85,383,9,73,2,19,0,0,85
461359661001,313,104,120,57,29,2,0,0,0,1,0,263,13,4,4,1,28,263,13,0,1,2,0,4,28
461359661002,390,159,112,85,32,2,0,0,0,0,0,320,10,2,3,5,50,320,10,0,0,1,4,2,50
461359661003,404,155,144,78,24,2,0,1,0,0,0,326,9,0,3,4,62,326,9,2,2,3,0,0,62
461359661004,382,128,127,77,44,6,0,0,0,0,0,298,13,1,2,6,62,298,13,1,1,1,3,1,62
461359662001,1900,1014,500,294,89,2,1,0,0,0,0,1593,34,0,6,17,250,1593,34,0,1,0,6,0,250
461359662002,640,318,163,118,35,6,0,0,0,0,0,509,14,0,2,9,106,509,14,0,6,0,3,0,106
461359662003,575,217,192,118,45,2,0,1,0,0,0,466,24,1,5,5,74,466,24,1,2,1,1,1,74
461359662004,540,225,138,116,58,2,0,0,0,1,0,441,18,0,2,3,76,441,18,0,0,1,0,0,76
461359663011,711,328,189,141,50,2,0,1,0,0,0,576,12,0,4,4,115,576,12,1,2,1,0,0,115
461359663012,1748,873,447,325,97,6,0,0,0,0,0,1418,14,2,16,10,288,1418,14,0,1,4,3,2,288
461359663021,1398,643,370,261,119,5,0,0,0,0,0,1124,32,0,16,16,210,1124,32,2,1,7,3,0,210
461359663022,391,149,132,71,33,6,0,0,0,0,0,294,12,2,6,5,72,294,12,1,1,4,0,2,72
461359663023,924,408,253,175,88,0,0,0,0,0,0,736,23,0,12,5,148,736,22,1,1,4,0,0,148
461359663024,1045,453,317,185,85,5,0,0,0,0,0,849,22,0,3,16,155,849,22,3,3,1,1,0,155
461359664001,464,241,149,58,15,1,0,0,0,0,0,403,4,0,2,2,53,403,4,1,0,0,1,0,53
461359664002,477,286,104,67,18,2,0,0,0,0,0,384,12,2,1,1,77,384,12,0,0,1,0,2,77
461359664003,498,234,151,76,33,4,0,0,0,0,0,374,1,0,2,12,109,374,1,0,0,0,1,0,109
461359664004,435,223,89,86,34,3,0,0,0,0,0,366,4,0,2,0,63,366,4,0,0,0,0,0,63
461359664005,571,233,152,137,44,2,0,0,0,3,0,487,14,0,5,7,58,487,14,0,0,1,1,0,58
460079410001,421,158,159,66,36,1,0,0,0,1,0,343,12,0,7,20,39,343,12,15,1,3,0,0,39
460079410002,186,64,68,26,26,2,0,0,0,0,0,158,3,0,3,5,17,158,3,3,1,1,0,0,17
460079412001,810,328,379,61,42,0,0,0,0,0,0,680,18,3,9,33,67,680,18,28,4,2,1,3,67
460079412002,381,124,150,57,49,0,0,0,0,1,0,305,12,1,8,20,35,305,12,14,1,2,3,1,35
460639687001,830,690,62,57,19,2,0,0,0,0,0,683,10,0,8,5,124,683,8,1,0,3,3,0,124
460579551001,817,508,158,104,45,1,0,0,0,1,0,637,6,0,20,3,151,637,6,0,1,16,1,0,151
460579551002,906,497,229,125,54,1,0,0,0,0,0,707,15,3,12,2,167,707,13,0,0,8,1,3,167
460579552001,698,567,73,45,12,0,0,0,0,1,0,555,4,0,3,2,134,555,4,0,0,0,0,0,134
460579552002,550,422,67,44,16,1,0,0,0,0,0,423,1,0,1,3,122,423,1,0,0,0,3,0,122
460579552003,682,502,83,56,40,1,0,0,0,0,0,525,9,0,9,4,135,525,9,0,1,5,3,0,135
460599756001,487,343,89,44,9,1,0,0,0,1,0,389,4,0,2,0,92,389,4,0,0,2,0,0,92
460599756002,589,421,122,38,8,0,0,0,0,0,0,525,1,0,4,0,59,525,1,0,0,3,0,0,59
460599757001,599,377,147,55,19,1,0,0,0,0,0,517,5,1,3,4,69,517,5,0,0,1,0,1,69
460599757002,586,348,172,52,11,2,0,0,0,1,0,497,2,0,2,4,81,497,2,0,0,1,1,0,81
460539711001,810,487,221,91,10,1,0,0,0,0,0,633,14,2,10,3,148,633,14,0,0,1,0,2,148
460539711002,613,379,163,57,13,1,0,0,0,0,0,493,9,0,11,4,96,493,9,2,1,2,0,0,96
460539712001,507,308,131,58,10,0,0,0,0,0,0,445,2,0,1,13,46,445,2,3,1,1,9,0,46
460539712002,719,418,213,79,8,1,0,0,0,0,0,583,10,0,4,6,116,583,8,4,0,0,1,0,116
461119621001,702,385,204,66,42,3,1,0,0,1,0,617,4,0,2,5,74,617,3,0,0,1,4,0,74
461119621002,420,214,129,45,29,2,0,0,0,1,0,358,5,0,0,3,54,358,5,0,0,0,3,0,54
461119621003,412,274,79,36,22,0,0,0,1,0,0,351,1,0,0,3,57,351,1,0,1,0,1,0,57
460119586001,739,392,155,138,52,0,0,0,1,1,0,597,1,0,4,8,129,597,1,0,1,1,3,0,129
460119586002,494,234,119,86,55,0,0,0,0,0,0,389,6,0,4,7,88,389,6,1,1,1,3,0,88
460119586003,824,351,202,162,105,3,0,0,0,1,0,687,10,0,4,8,115,687,10,3,1,2,2,0,115
460119586004,507,249,91,110,54,1,1,0,0,1,0,415,3,0,2,5,82,415,3,3,1,1,0,0,82
460119587001,835,468,189,127,45,3,3,0,0,0,0,688,14,0,3,5,125,688,11,0,0,1,2,0,125
460119587002,591,305,128,111,41,6,0,0,0,0,0,491,4,0,4,3,89,491,4,0,0,4,0,0,89
460119587003,1366,653,347,236,119,9,1,0,0,1,0,1132,32,1,3,17,181,1132,32,1,3,2,10,1,181
460119587004,861,437,222,133,65,2,0,0,0,2,0,688,8,5,10,12,138,688,6,1,2,1,5,5,138
460119588031,1010,451,271,159,119,6,1,2,0,1,0,801,7,4,11,14,173,801,7,2,6,4,1,4,173
460119588032,819,308,240,163,104,3,0,0,0,1,0,682,9,0,11,11,106,682,9,1,6,8,0,0,106
460119588033,1576,736,395,252,186,6,0,0,0,1,0,1276,21,1,19,30,229,1276,20,3,8,10,6,1,229
460119588041,432,144,151,75,57,4,0,0,0,1,0,351,7,0,8,4,62,351,7,0,1,1,2,0,62
460119588042,431,143,158,73,54,2,0,1,0,0,0,342,10,1,5,16,57,342,10,1,7,3,0,1,57
460119588043,183,59,63,38,21,2,0,0,0,0,0,148,1,1,2,2,29,148,1,0,2,0,0,1,29
460119588044,250,90,67,64,29,0,0,0,0,0,0,205,7,0,3,0,35,205,7,0,0,0,0,0,35
460119588051,170,47,46,50,24,3,0,0,0,0,0,132,6,1,3,3,25,132,6,0,3,2,0,1,25
460119588052,755,278,203,145,123,6,0,0,0,0,0,608,22,5,5,9,106,608,22,0,2,2,7,5,106
460119588053,247,97,66,39,43,2,0,0,0,0,0,203,3,1,2,2,36,203,3,0,1,1,0,1,36
460119589001,369,135,120,73,39,0,0,1,0,1,0,306,10,2,3,2,46,306,10,0,0,2,2,2,46
460119589002,53,22,15,9,6,1,0,0,0,0,0,40,2,0,0,1,10,40,2,0,1,0,0,0,10
460119589003,1108,458,351,187,104,5,1,1,0,1,0,915,15,0,10,6,162,915,15,2,1,5,0,0,162
460119589004,419,150,129,86,52,2,0,0,0,0,0,331,4,0,4,5,75,331,4,1,1,1,1,0,75
460119589005,537,210,139,109,77,1,1,0,0,0,0,412,5,3,6,7,104,412,5,0,4,3,3,3,104
460119590001,792,305,256,153,74,2,2,0,0,0,0,637,22,0,12,11,110,637,21,1,1,2,0,0,110
460119590002,891,401,242,150,95,2,0,0,0,1,0,693,20,1,27,14,136,693,20,0,6,6,0,1,136
460119590003,1551,694,459,253,137,4,2,1,1,0,0,1232,27,2,54,24,212,1232,27,1,11,27,7,2,212
461179601001,477,290,125,35,24,2,0,0,0,1,0,420,6,0,2,6,43,420,6,4,2,1,0,0,43
461179601002,514,367,78,47,18,0,1,0,0,3,0,437,8,0,8,8,53,437,8,1,5,0,0,0,53
461179601003,1114,671,258,129,51,1,1,0,0,3,0,967,18,7,12,13,97,967,18,8,1,4,1,7,97
460519531001,448,197,106,109,29,4,1,0,0,2,0,356,10,1,3,7,71,356,10,0,0,1,4,1,71
460519531002,564,343,118,87,14,1,1,0,0,0,0,471,2,0,5,3,83,471,2,0,0,1,0,0,83
460519531003,361,194,96,50,20,1,0,0,0,0,0,296,2,0,3,2,58,296,2,0,0,0,0,0,58
460519531004,445,254,120,54,17,0,0,0,0,0,0,384,3,0,4,2,52,384,3,0,0,0,0,0,52
460519531005,605,315,191,72,26,0,0,0,0,1,0,486,7,2,5,1,104,486,7,0,0,2,0,2,104
460519531006,505,249,143,83,29,1,0,0,0,0,0,394,5,0,4,2,100,394,5,0,0,0,1,0,100
460519531007,410,197,109,75,27,1,0,0,0,1,0,346,5,0,1,1,57,346,5,0,0,0,0,0,57
460519533001,495,241,158,73,20,1,0,0,0,2,0,409,4,0,2,0,80,409,3,0,0,0,0,0,80
460519533002,955,471,278,156,48,0,0,0,0,2,0,753,1,1,8,5,187,753,1,0,0,2,0,1,187
460899631001,603,425,74,62,36,6,0,0,0,0,0,468,10,0,4,4,117,468,10,0,1,1,0,0,117
460899631002,451,354,59,30,5,2,0,0,0,1,0,361,2,0,4,2,82,361,2,0,0,2,1,0,82
460899631003,567,405,88,56,18,0,0,0,0,0,0,350,7,0,2,5,203,350,7,0,1,0,2,0,203
461059683001,482,343,71,48,18,2,0,0,0,0,0,413,1,0,1,5,62,413,1,0,4,1,1,0,62
461059683002,753,597,77,51,26,2,0,0,0,0,0,663,5,0,2,4,79,663,4,0,0,0,2,0,79
461059683003,777,429,170,108,65,1,2,0,0,2,0,663,7,1,3,8,95,663,6,1,1,0,4,1,95
460699767001,555,384,109,52,9,0,0,0,0,1,0,467,5,0,4,1,78,467,5,1,0,3,0,0,78
460699767002,329,220,75,32,1,0,0,0,0,1,0,266,1,0,2,3,57,266,1,2,0,0,0,0,57
460139513001,765,396,239,108,19,3,0,0,0,0,0,581,9,3,10,15,147,581,8,1,2,0,0,3,147
460139513002,1455,805,375,205,64,4,0,0,0,2,0,1180,15,3,24,14,219,1180,15,7,1,5,1,3,219
460139513003,794,373,289,97,30,4,0,0,0,1,0,646,15,1,12,11,109,646,15,1,7,4,0,1,109
460139513004,695,287,245,115,45,2,0,0,0,1,0,555,22,1,6,4,107,555,22,0,1,1,1,1,107
460139514001,579,259,206,79,35,0,0,0,0,0,0,466,12,0,3,7,91,466,12,0,2,0,1,0,91
460139514002,644,269,224,98,50,3,0,0,0,0,0,503,28,0,5,15,93,503,28,3,6,1,1,0,93
460139514003,1232,655,351,165,56,4,0,0,0,1,0,1011,17,2,8,17,177,1011,17,0,7,2,1,2,177
460139514004,1026,655,222,96,48,5,0,0,0,0,0,823,8,2,6,5,182,823,7,0,0,2,0,2,182
460139514005,947,368,356,152,61,9,0,0,0,1,0,736,27,1,10,20,153,736,27,2,5,1,10,1,153
460139515001,422,151,147,96,25,2,0,0,0,1,0,307,16,0,8,5,86,307,16,2,1,0,0,0,86
460139515002,329,111,115,72,30,1,0,0,0,0,0,253,20,1,2,7,46,253,20,1,6,0,0,1,46
460139515003,521,182,203,88,39,8,0,1,0,0,0,402,6,2,9,11,91,402,6,0,5,1,3,2,91
460139516001,839,342,298,141,56,1,0,0,0,1,0,678,13,0,15,8,125,678,13,0,0,6,6,0,125
460139516002,586,211,192,121,55,3,1,1,0,2,0,473,13,1,7,9,83,473,13,0,0,3,0,1,83
460139516003,413,150,139,88,35,1,0,0,0,0,0,342,10,0,1,8,52,342,10,1,0,1,1,0,52
460139516004,512,229,171,79,31,1,0,0,0,1,0,427,7,0,5,7,66,427,7,0,3,1,0,0,66
460139517001,500,188,204,84,24,0,0,0,0,0,0,407,9,0,6,3,75,407,9,1,0,2,0,0,75
460139517002,897,467,266,125,33,3,1,1,0,1,0,736,15,0,6,20,120,736,15,2,6,3,6,0,120
460139517003,1083,542,309,160,70,2,0,0,0,0,0,866,26,0,23,11,157,866,25,5,0,11,3,0,157
460139518001,1482,785,429,183,81,2,0,0,0,2,0,1192,27,0,30,21,212,1192,25,2,8,8,0,0,212
460139518002,482,178,199,58,45,0,0,0,0,2,0,360,18,4,10,26,64,360,18,3,16,3,1,4,64
460139518003,698,308,240,109,38,3,0,0,0,0,0,551,16,0,14,8,109,551,16,0,4,4,2,0,109
460139518004,635,266,260,73,31,2,0,0,0,3,0,505,12,0,5,16,97,505,11,2,2,2,5,0,97
460139519001,481,213,174,76,14,1,1,0,0,2,0,407,3,0,1,0,70,407,3,0,0,1,0,0,70
460139519002,964,455,341,126,40,1,0,0,0,1,0,779,5,1,1,7,171,779,5,0,3,0,0,1,171
460139519003,849,396,323,104,24,0,0,0,0,2,0,683,8,0,14,1,143,683,5,0,0,0,1,0,143
460139520001,414,159,176,67,11,1,0,0,0,0,0,324,21,0,1,7,61,324,21,0,0,1,4,0,61
460139520002,839,436,273,89,34,3,0,0,0,4,0,683,0,0,6,11,139,683,0,1,0,3,8,0,139
460139520003,351,123,173,41,10,4,0,0,0,0,0,294,7,0,0,0,50,294,7,0,0,0,0,0,50
460139520004,465,213,190,44,14,0,1,2,0,1,0,404,4,0,0,3,54,404,4,2,0,0,0,0,54
460139520005,901,429,298,127,41,5,0,0,0,1,0,748,7,0,1,25,120,748,7,0,0,1,3,0,120
460419415001,332,38,210,39,42,1,0,0,0,2,0,255,16,1,1,19,40,255,16,18,0,0,1,1,40
