BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_unk
050310012003,526,161,227,138,0,0,0,0,0,496,6,0,0,1,23,496,0,6,0,0,0,0,0,0,23
050310012004,1029,461,349,218,1,0,0,0,0,913,19,17,4,2,74,913,17,19,1,1,0,0,1,0,74
050534701001,693,246,254,193,0,0,0,0,0,588,3,48,1,2,51,588,48,3,1,2,0,0,0,0,51
050534701002,1312,523,566,222,1,0,0,0,0,1201,23,5,6,6,71,1201,5,21,0,2,2,1,2,0,71
050534701003,1066,382,441,243,0,0,0,0,0,948,7,33,4,7,67,948,33,7,3,1,0,0,3,0,67
050534702001,1270,475,547,248,0,0,0,0,0,1159,26,1,6,6,72,1159,1,24,1,1,0,5,3,0,72
050534702002,1042,367,453,222,0,0,0,0,0,975,3,1,2,1,60,975,1,3,0,1,1,1,0,0,60
050534703001,1030,309,433,288,0,0,0,0,0,868,31,86,1,0,44,868,86,29,0,0,0,0,0,1,44
050534703002,493,174,205,114,0,0,0,0,0,455,12,0,3,0,23,455,0,12,0,0,0,0,0,1,23
050534703003,755,284,324,147,0,0,0,0,0,699,9,4,0,2,41,699,4,9,0,0,0,0,0,0,41
050534704011,1030,385,411,234,0,0,0,0,0,921,22,3,12,11,61,921,3,22,2,1,7,0,2,3,61
050534704012,976,372,397,207,0,0,0,0,0,888,16,1,5,4,62,888,1,16,0,0,4,0,0,1,62
050534704021,1278,449,517,311,0,1,0,0,0,1154,24,10,7,10,73,1154,10,24,2,4,1,3,2,1,73
050959501001,303,136,31,136,0,0,0,0,0,79,4,211,1,0,8,79,211,4,0,0,0,0,0,1,8
050959501002,257,89,20,148,0,0,0,0,0,81,6,156,4,1,9,81,154,6,0,0,4,0,0,0,9
050959501003,711,237,115,359,0,0,0,0,0,432,23,218,10,6,22,432,218,23,1,4,6,0,2,2,22
050959501004,380,126,63,191,0,0,0,0,0,192,4,154,3,1,26,192,154,4,0,0,2,0,1,1,26
050959502001,622,186,123,313,0,0,0,0,0,464,10,117,2,1,28,464,117,9,0,0,0,0,0,2,28
050959502002,436,133,63,240,0,0,0,0,0,239,2,175,1,1,18,239,175,2,1,0,0,0,1,0,18
050959503001,500,156,45,299,0,0,0,0,0,249,3,239,0,2,7,249,239,3,0,1,0,0,1,0,7
050959503002,566,134,134,298,0,0,0,0,0,465,3,68,3,2,25,465,68,3,3,0,0,0,0,0,25
050479501001,613,174,272,167,0,0,0,0,0,557,8,7,5,0,36,557,7,7,2,0,0,1,0,0,36
050479501002,740,211,354,174,1,0,0,0,0,691,8,2,4,0,35,691,2,8,0,0,0,0,0,2,35
050479501003,575,171,257,146,1,0,0,0,0,511,6,2,16,0,40,511,2,6,4,0,0,1,0,4,40
050479502011,1763,532,705,526,0,0,0,0,0,1516,36,15,13,10,173,1516,15,35,4,3,3,2,5,0,173
050479502021,459,137,197,125,0,0,0,0,0,411,9,5,3,2,29,411,5,9,0,1,3,0,0,0,29
050479502022,681,246,273,161,0,1,0,0,0,572,16,2,13,8,70,572,2,16,3,5,3,3,1,3,70
050479502023,629,225,243,161,0,0,0,0,0,555,23,2,5,3,41,555,2,23,2,1,2,0,0,0,41
050479503011,1140,320,558,261,1,0,0,0,0,1018,28,3,8,6,77,1018,3,25,3,3,1,1,0,1,77
050479503012,554,163,267,124,0,0,0,0,0,493,2,1,9,3,46,493,1,2,4,0,0,3,0,1,46
050479503013,392,137,164,91,0,0,0,0,0,347,6,1,9,2,27,347,1,6,4,0,0,3,0,0,27
050479503021,614,230,240,144,0,0,0,0,0,563,10,1,5,2,33,563,1,10,2,0,1,1,1,0,33
050479503022,983,307,454,222,0,0,0,0,0,898,11,2,6,3,63,898,2,11,2,0,2,1,0,1,63
051139501001,622,188,351,83,0,0,0,0,0,573,11,1,1,2,34,573,1,11,0,0,0,0,0,1,34
051139501002,1061,300,600,159,0,1,1,0,0,938,24,4,5,2,88,938,4,24,2,0,1,1,2,1,88
051139501003,743,222,425,96,0,0,0,0,0,672,6,1,2,7,55,672,1,6,1,2,1,0,4,0,55
051139502011,934,286,477,171,0,0,0,0,0,854,34,2,9,0,35,854,2,32,1,0,2,1,0,2,35
051139502012,436,189,160,87,0,0,0,0,0,401,13,0,0,1,21,401,0,13,0,0,0,0,0,0,21
051139502021,699,242,352,104,1,0,0,0,0,622,19,2,2,7,47,622,2,19,0,1,1,0,1,1,47
051139502022,665,235,323,107,0,0,0,0,0,599,11,0,3,5,47,599,0,9,0,0,1,2,2,0,47
051139502023,404,103,232,68,1,0,0,0,0,376,7,1,1,0,19,376,1,7,0,0,0,0,0,1,19
051139503001,687,219,357,110,1,0,0,0,0,639,7,0,4,3,34,639,0,7,1,0,2,0,0,1,34
051139503002,676,217,353,106,0,0,0,0,0,627,15,1,7,3,23,627,1,15,0,1,5,0,0,1,23
051139504001,1174,364,597,213,0,0,0,0,0,1061,25,6,4,5,73,1061,6,25,1,2,1,1,1,0,73
051139504002,633,185,323,125,0,0,0,0,0,570,23,5,6,2,27,570,5,23,2,0,3,0,0,0,27
051139505001,498,169,248,81,0,0,0,0,0,455,14,0,2,1,26,455,0,14,1,0,0,0,0,0,26
051139505002,514,187,266,61,0,0,0,0,0,479,9,2,4,0,20,479,2,9,1,0,2,0,0,1,20
051139506001,619,280,269,70,0,0,0,0,0,527,51,2,4,2,33,527,2,51,0,2,3,0,0,0,33
051139506002,303,119,148,36,0,0,0,0,0,264,28,0,1,1,9,264,0,28,0,1,0,0,0,1,9
050774701001,226,65,31,129,0,1,0,0,0,89,1,132,0,0,4,89,131,1,0,0,0,0,0,0,4
050774701002,212,49,27,136,0,0,0,0,0,182,6,17,0,0,7,182,17,6,0,0,0,0,0,0,7
050774702001,344,77,30,237,0,0,0,0,0,125,2,212,0,0,5,125,212,2,0,0,0,0,0,0,5
050774702002,498,102,93,303,0,0,0,0,0,347,4,112,2,0,33,347,112,4,1,0,1,0,0,0,33
050774703001,397,106,18,273,0,0,0,0,0,66,5,314,1,0,11,66,314,5,1,0,0,0,0,0,11
050774703002,210,69,5,136,0,0,0,0,0,53,3,141,4,0,9,53,141,3,2,0,1,1,0,0,9
050774703003,714,155,69,489,0,1,0,0,0,283,11,395,2,4,19,283,395,11,0,1,2,0,3,0,19
050774703004,715,217,50,447,1,0,0,0,0,230,10,448,7,3,17,230,448,10,3,1,2,2,1,0,17
050774704001,187,35,28,124,0,0,0,0,0,92,3,83,1,1,7,92,83,3,1,1,0,0,0,0,7
050774704002,428,79,54,295,0,0,0,0,0,204,6,205,0,0,13,204,205,6,0,0,0,0,0,0,13
050419501001,663,214,156,293,0,0,0,0,0,476,9,155,5,0,18,476,155,9,1,0,1,0,0,0,18
050419502001,927,359,167,401,0,0,0,0,0,427,25,446,6,0,23,427,446,25,1,0,3,0,0,2,23
050419502002,420,199,21,200,0,0,0,0,0,97,5,299,3,1,15,97,298,5,3,0,0,0,0,0,15
050419502003,429,180,77,171,1,0,0,0,0,239,24,135,5,4,22,239,135,24,1,2,3,0,0,1,22
050419502004,555,192,137,226,0,0,0,0,0,433,29,66,1,0,26,433,66,29,0,0,1,0,0,0,26
050419503001,258,124,16,118,0,0,0,0,0,104,4,148,0,0,2,104,148,4,0,0,0,0,0,0,2
050419503002,550,280,10,260,0,0,0,0,0,90,9,441,2,3,5,90,441,9,0,2,2,0,1,0,5
050419504001,545,195,150,200,0,0,0,0,0,432,12,54,15,4,28,432,54,12,2,3,12,1,1,0,28
050419504002,459,229,32,198,0,0,0,0,0,125,6,313,1,2,12,125,313,6,0,1,0,0,1,1,12
050419504003,555,273,30,252,0,0,0,0,0,145,4,367,2,1,36,145,367,4,0,1,1,1,0,0,36
050419505001,389,158,52,179,0,0,0,0,0,212,13,147,1,5,11,212,147,13,0,3,1,0,0,0,11
050419505002,619,219,153,247,0,0,0,0,0,474,13,90,11,7,24,474,90,12,5,6,1,3,0,1,24
050839501001,902,378,351,173,0,0,0,0,0,807,23,0,7,10,55,807,0,23,4,2,0,0,2,0,55
050839501002,988,353,392,243,0,0,0,0,0,857,23,2,15,5,86,857,2,23,6,1,0,4,0,1,86
050839501003,396,134,208,54,0,0,0,0,0,371,6,4,1,2,12,371,4,6,0,0,0,1,0,0,12
050839502001,623,226,259,138,0,0,0,0,0,541,8,20,11,3,40,541,20,8,6,2,0,2,0,1,40
050839502002,563,199,241,123,0,0,0,0,0,490,8,0,10,3,52,490,0,8,4,0,0,2,1,0,52
050839502003,788,267,339,182,0,0,0,0,0,719,10,5,5,1,48,719,5,10,1,0,1,1,0,0,48
050839503001,713,236,289,188,0,0,0,0,0,653,16,0,5,6,33,653,0,16,0,1,0,1,0,2,33
050839503002,359,127,141,91,0,0,0,0,0,323,11,1,5,3,16,323,1,11,2,0,1,0,0,1,16
050839503003,813,357,276,180,0,0,0,0,0,730,23,5,7,6,42,730,5,23,3,3,0,2,0,1,42
050839504001,730,285,299,146,0,0,0,0,0,661,12,1,5,3,48,661,1,12,4,2,0,0,0,1,48
050839504002,1128,419,518,191,0,0,0,0,0,1011,24,2,16,6,69,1011,2,24,11,3,0,1,1,0,69
050839505001,705,290,270,145,0,0,0,0,0,646,14,3,6,2,34,646,3,14,5,1,0,0,1,1,34
050839505002,632,297,186,149,0,0,0,0,0,566,20,0,3,2,41,566,0,18,0,0,3,0,0,0,41
050839505003,288,177,52,59,0,0,0,0,0,252,13,0,3,1,19,252,0,13,2,0,1,0,1,0,19
050839505004,278,134,97,47,0,0,0,0,0,250,3,2,2,0,21,250,2,3,0,0,0,1,0,1,21
050839506001,566,238,216,112,0,0,0,0,0,521,5,1,7,1,31,521,1,5,3,0,0,1,0,0,31
