BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
210930007004,1285,645,448,68,9,3,1,0,0,111,0,824,98,280,20,8,55,824,278,98,0,4,7,2,4,1,1,1,1,0,55
210930008001,1936,967,732,81,12,1,3,0,0,140,0,1217,115,410,40,24,130,1217,401,114,3,13,5,7,12,4,0,2,0,1,130
210930008002,1027,471,417,46,7,0,0,0,0,86,0,734,52,146,8,12,75,734,146,50,2,4,1,1,1,2,0,0,0,0,75
210930008003,859,348,392,50,6,1,0,0,0,62,0,676,46,33,12,12,80,676,33,45,6,5,2,0,2,2,0,1,0,0,80
210930009021,718,282,330,41,2,1,0,0,0,62,0,580,35,25,10,6,62,580,24,34,1,4,2,2,2,0,0,0,0,0,62
210930009022,1818,1006,591,58,15,1,0,0,0,147,0,821,158,685,37,15,102,821,684,158,5,18,4,1,5,4,0,5,1,2,102
210930009023,1077,492,454,49,2,2,1,1,0,76,0,691,50,225,32,12,67,691,224,50,3,12,2,1,8,4,1,5,0,1,67
210930009031,818,310,434,24,4,0,0,0,0,46,0,737,17,6,7,2,49,737,4,17,2,4,0,1,2,0,0,0,0,0,49
210930009032,1902,749,918,74,6,3,7,0,0,145,0,1575,80,80,32,10,125,1575,80,77,3,8,2,6,14,1,0,2,1,0,125
210930009033,1117,428,598,32,3,0,2,0,0,54,0,945,32,38,11,9,82,945,38,32,0,1,1,1,6,0,0,1,0,0,82
210930009041,402,157,207,12,0,0,0,0,0,26,0,343,9,6,4,6,34,343,6,9,1,3,0,0,0,0,0,1,1,0,34
210930009042,758,319,356,32,2,0,0,0,0,49,0,615,22,48,12,11,50,615,48,22,5,3,4,1,3,3,0,1,0,0,50
210930009043,896,418,380,36,5,0,1,0,0,56,0,728,37,25,22,20,64,728,24,37,10,9,6,1,2,7,0,4,1,1,64
210930009044,1607,630,782,77,3,0,2,0,0,113,0,1293,54,80,13,33,134,1293,79,54,4,3,1,4,3,7,0,0,3,2,134
