BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_34,eth2_10,eth2_30,eth2_unk
300490009004,1086,260,479,347,0,0,875,24,1,8,19,159,875,24,3,3,2,3,159
300490010001,578,121,198,259,0,0,482,14,3,6,3,70,482,13,0,0,2,1,70
300490010002,625,212,113,300,0,0,543,6,0,3,5,68,543,6,0,1,1,3,68
300490010003,765,165,197,403,0,0,639,11,2,4,13,96,639,10,0,4,2,7,96
300490010004,957,300,240,417,0,0,805,19,1,7,14,111,805,19,1,4,2,3,111
300490011011,827,452,151,224,0,0,693,15,1,12,8,98,693,14,0,4,7,0,98
300490011012,792,445,158,189,0,0,655,26,0,6,10,95,655,26,1,4,0,2,95
300490011021,473,166,131,176,0,0,414,7,0,4,0,48,414,6,0,0,0,0,48
300490011022,835,279,248,308,0,0,683,20,0,9,18,105,683,20,0,11,4,3,105
300490011023,1309,619,123,567,0,0,1106,26,0,8,25,144,1106,25,0,13,3,3,144
300490012011,341,133,142,66,0,0,292,3,1,2,5,38,292,3,0,2,1,0,38
300490012012,665,221,307,137,0,0,564,20,0,0,6,75,564,20,3,0,0,0,75
300490012013,1733,711,598,424,0,0,1441,44,0,13,16,219,1441,44,2,9,4,2,219
300490012014,1051,430,401,220,0,0,862,19,0,3,14,153,862,19,0,5,2,0,153
300490012015,482,177,209,96,0,0,407,10,1,2,2,60,407,9,0,2,1,0,60
300490012021,1498,688,416,394,0,0,1255,41,0,11,12,179,1255,41,0,6,4,1,179
300490012022,879,367,323,189,0,0,736,33,3,5,6,96,736,33,0,2,1,3,96
300490012023,1423,703,397,323,0,0,1159,20,1,8,23,212,1159,20,0,6,3,2,212
300570001011,411,231,96,84,0,0,354,6,0,4,3,44,354,6,0,3,3,0,44
300570001012,815,423,243,149,0,0,724,12,0,3,7,69,724,12,0,1,0,0,69
300570001021,1582,788,491,303,0,0,1336,41,0,12,22,171,1336,39,0,6,1,3,171
300570002001,535,345,103,87,0,0,468,6,0,0,10,51,468,6,0,0,0,1,51
300570002002,523,284,122,117,0,0,459,7,0,6,9,42,459,7,0,0,1,0,42
300570002003,807,463,203,141,0,0,674,20,0,4,6,103,674,17,0,2,2,2,103
300570003001,953,551,210,192,0,0,844,7,0,1,16,85,844,7,1,6,0,0,85
300570003002,640,333,178,129,0,0,570,10,0,4,5,51,570,10,2,1,2,0,51
300739770001,536,289,122,125,0,0,466,3,0,3,1,63,466,3,0,1,0,0,63
300739770002,409,240,63,106,0,0,358,10,0,1,2,38,358,10,0,1,0,0,38
300739770003,357,224,69,64,0,0,296,1,0,4,4,52,296,1,0,2,1,0,52
300739770004,507,279,139,89,0,0,434,7,0,6,5,55,434,7,1,0,2,2,55
300739770005,440,222,140,78,0,0,374,11,0,3,1,51,374,11,0,1,0,0,51
300739772001,438,97,224,117,0,0,186,10,0,2,75,165,186,10,73,1,0,0,165
300739772002,812,435,269,108,0,0,682,5,0,2,17,106,682,5,4,4,0,7,106
300930001011,656,30,1,625,0,0,552,27,0,4,7,66,552,27,0,1,0,3,66
300930001012,349,21,0,328,0,0,280,17,3,1,7,41,280,17,0,0,1,1,41
300930001021,321,23,1,297,0,0,265,10,0,2,1,43,265,10,0,0,1,0,43
300930001022,421,15,0,406,0,0,343,14,1,3,9,51,343,13,0,0,0,6,51
300930001023,270,15,0,255,0,0,217,11,0,2,1,39,217,11,0,0,0,0,39
300930001024,281,18,0,263,0,0,230,15,0,1,3,32,230,15,2,1,0,0,32
300930002001,352,16,0,336,0,0,277,14,0,6,8,47,277,14,0,3,1,0,47
300930002002,384,10,0,374,0,0,309,10,1,2,3,59,309,10,0,2,0,0,59
300930002003,395,20,0,375,0,0,318,13,1,4,13,46,318,12,1,2,1,2,46
300930002004,850,48,4,798,0,0,708,20,0,2,14,106,708,20,0,3,1,4,106
300930002005,636,28,1,607,0,0,526,27,0,3,7,73,526,25,0,2,1,0,73
300930003001,581,30,0,551,0,0,481,18,0,2,11,69,481,17,0,3,0,1,69
300930003002,422,28,0,394,0,0,367,7,0,3,4,41,367,7,0,3,0,0,41
300930003003,713,36,3,674,0,0,606,23,0,1,15,68,606,23,1,6,0,1,68
300930004001,781,40,0,741,0,0,645,22,0,4,5,105,645,22,0,2,0,0,105
300930004002,748,48,1,699,0,0,626,22,0,1,18,81,626,22,0,0,0,7,81
300930004003,696,43,0,653,0,0,573,21,0,7,6,89,573,21,0,3,2,1,89
300930005001,460,39,0,421,0,0,353,8,0,7,23,69,353,8,0,14,2,0,69
300930005002,638,40,1,597,0,0,516,11,0,4,17,90,516,11,2,7,2,0,90
300930005003,430,32,0,398,0,0,349,10,0,4,13,54,349,10,0,1,2,4,54
300930005004,466,42,2,422,0,0,409,3,0,0,10,44,409,3,0,6,0,0,44
300930005005,465,29,2,434,0,0,382,8,0,0,15,60,382,7,1,4,0,0,60
300930005006,435,29,3,403,0,0,362,16,2,1,7,47,362,15,0,0,1,0,47
300930006001,400,33,0,367,0,0,326,13,0,3,7,51,326,13,0,2,0,0,51
