BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_mnt,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_34,eth2_23,eth2_10,eth2_unk
540110020002,1626,722,510,340,20,17,2,13,0,2,0,1440,32,18,12,21,103,1440,18,30,17,2,7,1,103
540110021001,762,315,292,124,17,6,2,5,0,1,0,709,3,2,2,7,39,709,2,3,5,0,0,2,39
540110021002,845,346,321,136,22,13,0,7,0,0,0,726,5,9,21,19,65,726,8,5,13,2,11,9,65
540110021003,593,267,179,124,12,5,1,3,0,2,0,504,20,16,8,9,36,504,16,20,5,0,4,3,36
540110101031,804,250,382,142,15,12,0,3,0,0,0,753,4,1,4,1,41,753,1,4,0,0,2,2,41
540110101032,965,330,394,210,12,7,3,8,0,1,0,893,6,0,1,3,62,893,0,6,1,0,0,1,62
540110101041,574,230,223,107,6,6,0,2,0,0,0,532,7,0,1,4,30,532,0,7,4,0,0,1,30
540110101042,586,210,231,116,15,10,1,2,0,1,0,531,10,0,3,6,36,531,0,10,2,4,1,2,36
540110101043,784,299,330,132,9,7,1,5,0,1,0,695,13,4,19,8,45,695,3,13,4,1,7,4,45
540110102021,516,183,199,117,5,5,0,4,1,2,0,419,12,4,8,12,61,419,4,12,8,2,4,2,61
540110102022,1019,374,468,150,9,11,0,6,0,1,0,928,10,0,10,8,63,928,0,9,1,0,3,1,63
540110102023,940,361,363,192,9,8,0,6,0,1,0,864,7,1,10,13,45,864,1,7,2,3,3,3,45
540110102031,1010,420,378,192,7,7,1,5,0,0,0,877,23,12,11,7,80,877,12,23,1,4,0,9,80
540110102032,1205,396,532,240,13,15,1,5,1,2,0,1061,15,9,18,20,82,1061,9,15,8,6,11,3,82
540110102033,261,102,95,53,1,5,1,4,0,0,0,237,2,1,4,1,16,237,1,2,1,0,2,1,16
540110102041,801,306,343,134,4,7,1,6,0,0,0,662,9,8,22,31,69,662,8,8,15,2,8,7,69
540110102042,227,91,89,42,1,4,0,0,0,0,0,180,6,1,9,6,25,180,1,6,5,0,4,2,25
540110103001,291,112,106,59,8,2,0,4,0,0,0,276,0,1,4,1,9,276,1,0,1,0,0,4,9
540110103002,606,214,253,113,9,10,0,7,0,0,0,567,5,1,2,3,28,567,1,5,2,0,1,1,28
540110103003,658,183,365,97,6,5,1,1,0,0,0,600,9,0,7,7,35,600,0,9,5,0,6,0,35
540110103004,461,159,192,97,5,2,2,4,0,0,0,414,6,1,5,5,30,414,1,6,3,2,0,1,30
540110104011,494,225,164,86,3,12,0,3,1,0,0,437,9,2,1,5,40,437,2,9,3,2,0,0,40
540110104012,756,293,284,150,12,9,0,8,0,0,0,683,11,4,9,7,42,683,4,11,4,2,1,7,42
540110104013,335,120,152,52,5,3,1,2,0,0,0,309,6,0,2,6,12,309,0,6,2,1,0,2,12
540110104021,712,294,287,112,10,6,1,2,0,0,0,624,10,3,19,8,48,624,3,10,6,2,8,7,48
540110104022,499,204,183,92,8,5,3,4,0,0,0,465,4,1,1,2,26,465,1,4,1,0,1,0,26
540110104023,835,296,364,154,7,8,0,6,0,0,0,768,8,2,4,13,40,768,2,8,7,3,0,3,40
540110105001,520,195,208,101,6,1,3,6,0,0,0,495,5,0,1,1,18,495,0,5,0,1,0,0,18
540110105002,1086,349,524,178,18,5,2,10,0,0,0,1010,13,1,2,14,46,1010,1,13,11,0,0,2,46
540110105003,519,157,232,117,5,3,1,4,0,0,0,494,3,1,1,3,17,494,1,3,3,0,1,0,17
540110105004,1182,373,565,207,14,13,1,8,0,1,0,1087,3,2,4,9,77,1087,2,3,7,0,2,2,77
540110106001,579,177,264,122,6,4,2,4,0,0,0,549,2,0,1,3,24,549,0,2,2,0,0,1,24
540110106002,354,111,162,71,4,3,2,1,0,0,0,337,2,0,1,2,12,337,0,2,1,0,1,0,12
540110106003,606,194,288,112,5,4,0,3,0,0,0,565,5,1,4,0,31,565,1,5,0,0,0,3,31
540110106004,618,184,284,131,12,4,2,1,0,0,0,570,2,0,8,9,29,570,0,2,7,0,2,3,29
540110107011,470,154,223,78,6,4,1,4,0,0,0,440,4,1,0,4,21,440,1,4,1,3,0,0,21
540110107012,232,69,122,36,1,3,1,0,0,0,0,222,0,0,2,0,8,222,0,0,0,0,1,1,8
540110107013,476,197,185,82,4,4,1,3,0,0,0,428,15,0,0,0,33,428,0,13,0,0,0,0,33
540110107021,1738,566,821,305,17,19,2,8,0,0,0,1594,18,2,7,17,100,1594,2,18,8,4,0,4,100
540110107022,1324,401,621,259,20,16,3,4,0,0,0,1232,4,4,8,9,67,1232,4,4,6,1,1,4,67
540110108011,1040,298,497,217,16,7,2,2,0,1,0,951,14,0,2,4,69,951,0,14,1,3,0,1,69
540110108012,467,120,227,99,12,3,2,2,0,2,0,432,5,0,1,2,27,432,0,5,2,0,0,0,27
540110108021,1062,329,511,192,17,5,2,6,0,0,0,994,9,2,0,2,55,994,2,9,2,0,0,0,55
540110108022,550,193,245,96,6,4,0,6,0,0,0,516,3,0,2,2,27,516,0,3,0,1,0,0,27
