BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_34,eth2_21,eth2_14,eth2_12,eth2_32,eth2_85,eth2_61,eth2_35,eth2_66,eth2_33,eth2_55,eth2_38,eth2_unk
470730506021,1096,497,503,96,0,0,1010,17,3,5,2,59,1010,2,1,17,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,59
470730506022,720,245,383,92,0,0,655,17,6,4,5,33,655,2,4,17,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,33
470730506023,1047,484,421,142,0,0,940,21,5,3,6,72,940,3,2,21,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,72
470730507001,637,281,267,89,0,0,613,4,1,0,0,19,613,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
470730507002,687,297,324,66,0,0,651,1,2,6,2,25,651,0,2,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,25
470730507003,577,229,261,87,0,0,538,5,0,0,0,34,538,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
470730508001,857,345,422,90,0,0,804,7,0,3,6,37,804,0,0,7,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,37
470730508002,1117,440,554,123,0,0,1049,17,0,0,5,46,1049,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,46
470730508003,835,313,427,95,0,0,787,11,5,1,4,27,787,2,3,11,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,27
470730509001,617,280,286,51,0,0,570,5,1,0,1,40,570,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
470730509002,897,392,406,99,0,0,837,6,3,3,4,44,837,1,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,44
471611102011,1041,384,476,181,0,0,950,25,1,3,0,62,950,1,0,25,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,62
471611102012,820,303,359,158,0,0,745,22,0,1,2,50,745,0,0,20,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,50
471611102013,1041,436,409,196,0,0,941,14,6,4,2,74,941,3,3,14,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,74
471611102021,992,433,388,171,0,0,880,30,1,6,3,72,880,0,1,27,0,1,1,0,0,1,2,0,0,0,0,3,0,0,0,72
471611106001,1075,411,473,191,0,0,976,13,8,4,11,63,976,6,2,9,4,1,0,3,0,2,1,0,3,0,0,4,0,1,0,63
471611106002,506,210,174,122,0,0,447,10,17,2,2,28,447,12,5,10,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,28
471611107001,658,238,266,154,0,0,598,9,11,3,3,34,598,10,1,9,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,34
471611107002,793,240,418,135,0,0,727,12,3,2,2,47,727,3,0,12,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47
471611107003,491,175,229,87,0,0,447,8,2,8,4,22,447,1,1,7,0,0,4,1,0,4,0,0,0,0,0,1,0,0,0,22
471611107004,978,243,502,233,0,0,841,13,9,61,6,48,841,6,3,13,1,0,20,2,1,39,0,0,0,0,0,0,0,0,0,48
471619801001,4,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471619802001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470819501001,538,214,221,103,0,0,482,11,7,2,1,35,482,6,1,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35
470819501002,770,311,285,174,0,0,676,12,18,1,2,61,676,11,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61
470819501003,1000,408,423,169,0,0,906,25,3,3,6,57,906,0,3,24,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,57
470819501004,915,393,358,164,0,0,814,15,9,7,6,64,814,7,2,15,1,1,4,2,1,1,0,0,0,0,0,0,0,1,2,64
470819502011,1290,542,491,257,0,0,1116,29,51,3,3,88,1116,40,11,29,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,88
470819502012,620,291,193,136,0,0,559,15,1,1,3,41,559,1,0,15,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,41
470819502021,1063,513,349,201,0,0,965,19,11,1,5,62,965,8,3,19,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,62
470819502022,859,358,341,160,0,0,777,20,1,2,8,51,777,0,1,20,4,0,1,1,0,0,1,1,2,0,0,0,0,0,0,51
470819503011,782,308,267,207,0,0,671,12,65,3,1,30,671,45,20,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,30
470819503012,927,328,394,205,0,0,841,14,19,2,4,47,841,13,6,14,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,47
470819503021,1153,431,469,253,0,0,1089,15,12,3,2,32,1089,8,4,15,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,32
470819503022,1299,416,557,326,0,0,1198,13,17,4,3,64,1198,17,0,13,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,64
470819503023,619,241,261,117,0,0,552,16,4,0,3,44,552,4,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
470819504001,714,270,322,122,0,0,661,3,0,2,0,48,661,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,48
470819504002,565,213,270,82,0,0,529,5,2,1,6,22,529,2,0,5,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0,22
470819505001,772,314,306,152,0,0,702,20,4,1,0,45,702,3,1,18,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,45
470590901001,370,202,137,31,0,0,329,19,6,0,0,16,329,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
470590901002,475,245,162,68,0,0,421,6,17,5,1,25,421,13,4,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,25
470590901003,384,216,81,87,0,0,293,12,49,1,2,27,293,34,15,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27
470590901004,508,233,160,115,0,0,350,10,116,0,1,31,350,71,45,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
470590901005,632,310,251,71,0,0,579,9,8,6,1,29,579,7,1,9,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,29
470590901006,608,297,238,73,0,0,544,9,16,3,4,32,544,8,8,9,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,32
470590902001,817,289,449,79,0,0,748,18,2,9,2,38,748,1,1,18,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,38
470590902002,632,152,383,97,0,0,580,6,4,9,2,31,580,1,3,6,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,31
470590903001,672,282,285,105,0,0,579,14,13,11,5,50,579,12,1,14,4,6,1,0,1,2,0,1,0,0,0,0,0,0,0,50
470590903002,835,277,426,132,0,0,749,13,12,2,8,51,749,9,3,13,2,0,1,5,0,0,0,0,0,1,0,0,0,0,0,51
470590903003,1350,344,851,155,0,0,1199,30,8,9,10,94,1199,8,0,30,2,2,5,1,2,0,0,3,0,0,0,0,2,0,0,94
470590903004,869,320,434,115,0,0,802,15,7,0,7,38,802,6,1,15,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38
470590904001,423,166,202,55,0,0,376,8,11,1,6,21,376,10,1,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21
470590904002,935,375,441,119,0,0,858,22,3,2,3,47,858,2,1,19,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0,47
470590904003,817,292,395,130,0,0,736,21,5,3,3,49,736,4,1,20,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,49
470590904004,174,88,67,19,0,0,158,3,4,1,0,8,158,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
470590904005,583,250,244,89,0,0,505,13,17,4,7,37,505,10,7,13,2,1,1,4,2,0,0,1,0,0,0,0,0,0,0,37
470590905011,690,281,315,94,0,0,619,13,4,2,6,46,619,2,2,13,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,46
470590905012,781,297,382,102,0,0,707,11,6,8,4,45,707,5,1,10,0,3,0,0,0,1,3,1,0,0,0,1,3,0,0,45
470590905013,821,347,344,130,0,0,729,15,26,1,7,43,729,20,6,14,3,0,0,0,0,1,0,2,2,0,0,1,0,0,0,43
470590905014,817,317,397,103,0,0,731,16,6,3,4,57,731,3,3,15,0,2,0,1,1,0,0,3,0,0,0,1,0,0,0,57
470590905021,1257,455,646,156,0,0,1169,15,6,9,5,53,1169,5,1,15,2,2,1,2,1,0,3,0,0,0,0,0,0,1,0,53
470590906001,686,259,334,93,0,0,637,17,0,0,1,31,637,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
470590906002,693,229,413,51,0,0,637,6,3,1,0,46,637,3,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46
470590906003,937,314,512,111,0,0,861,11,4,3,4,54,861,3,1,11,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,54
470590907001,796,325,397,74,0,0,724,8,2,1,2,59,724,2,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,59
470590907002,726,275,362,89,0,0,683,4,1,0,3,35,683,1,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,35
470590908001,745,325,320,100,0,0,688,5,2,4,7,39,688,0,2,5,1,0,2,2,0,2,0,0,0,0,4,0,0,0,0,39
470590908002,723,296,339,88,0,0,666,8,3,1,4,41,666,1,2,8,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,41
470590908003,1021,461,411,149,0,0,937,13,5,4,10,52,937,4,1,13,3,0,3,4,0,1,0,0,0,1,0,0,0,0,2,52
470590909001,1133,486,535,112,0,0,1046,16,10,4,3,54,1046,5,5,16,2,0,1,0,0,3,0,0,0,0,0,0,1,0,0,54
470590909002,957,352,500,105,0,0,869,17,4,1,3,63,869,1,3,17,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,63
470590909003,1016,411,495,110,0,0,945,15,2,6,1,47,945,1,1,15,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,47
470590910011,1282,445,696,141,0,0,1184,13,3,2,6,74,1184,2,1,12,5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,74
470590910012,639,315,253,71,0,0,582,7,1,2,2,45,582,1,0,7,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,45
