BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_cnt,party_grn,party_rin,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_30,eth2_12,eth2_14,eth2_21,eth2_23,eth2_34,eth2_83,eth2_93,eth2_35,eth2_81,eth2_61,eth2_unk
490351135401,974,383,388,162,23,10,4,1,2,1,0,668,165,2,26,23,90,668,163,10,7,6,0,2,1,5,3,2,0,0,1,90
490351135402,981,376,366,192,32,7,3,1,1,3,0,656,174,4,33,19,95,656,174,8,6,1,2,8,9,2,5,4,1,0,0,95
490351135411,917,347,363,180,20,3,0,1,1,2,0,634,156,0,32,10,85,634,155,10,4,5,2,10,1,1,2,0,2,0,0,85
490351135421,2023,696,770,447,65,26,9,2,1,7,0,1418,335,6,77,32,155,1418,331,16,8,5,10,30,7,3,8,6,1,2,3,155
490351135431,1107,576,356,127,31,8,5,1,0,3,0,945,63,0,31,13,55,945,63,10,2,2,7,8,2,2,6,0,2,0,0,55
490351135432,1178,571,370,179,36,11,3,1,3,4,0,926,142,0,30,17,63,926,142,4,3,5,12,4,1,10,3,0,1,0,0,63
490351135441,685,204,268,174,21,10,5,0,0,3,0,429,171,1,21,14,49,429,168,5,2,0,0,10,0,1,2,1,1,0,2,49
490351135442,705,261,258,145,23,12,2,0,0,4,0,479,162,3,9,8,44,479,160,4,1,0,2,1,1,1,1,3,0,0,2,44
490351135451,1249,386,438,360,38,14,0,2,1,10,0,546,318,34,208,38,105,546,318,60,18,4,7,113,7,1,5,34,0,1,4,105
490351136001,560,165,214,155,19,2,2,1,1,1,0,361,130,0,20,7,42,361,129,5,3,0,1,8,1,0,2,0,0,0,0,42
490351136002,389,104,142,120,12,6,0,1,0,4,0,261,87,1,11,6,23,261,87,2,2,2,0,6,1,0,0,1,0,0,1,23
490351136003,460,129,193,113,19,2,0,1,0,3,0,312,102,0,6,7,33,312,102,2,2,2,1,0,0,1,4,0,0,0,0,33
490351136004,443,118,165,135,10,6,1,4,0,4,0,291,113,0,7,4,28,291,113,4,2,1,1,1,0,0,0,0,0,0,1,28
490351137011,552,191,215,117,18,8,1,0,0,2,0,380,102,0,11,7,52,380,102,1,0,0,1,4,1,2,2,0,0,0,1,52
490351137012,330,90,132,86,11,4,1,1,0,5,0,215,82,0,4,1,28,215,82,1,1,1,0,1,0,0,0,0,0,0,0,28
490351137013,549,172,236,107,17,8,4,0,1,4,0,373,116,0,14,5,41,373,114,3,0,2,4,2,3,0,2,0,0,2,0,41
490351137021,519,135,196,152,21,2,4,2,1,6,0,372,113,0,3,3,28,372,112,3,0,0,0,0,0,0,3,0,0,0,0,28
490351137022,448,152,182,92,13,3,4,1,0,1,0,311,95,0,8,5,29,311,94,3,1,1,1,1,0,0,1,0,0,0,0,29
490351138011,622,190,238,152,28,8,1,0,1,4,0,383,171,0,9,8,51,383,170,5,1,0,0,2,1,1,1,0,1,0,0,51
490351138012,483,172,168,120,19,1,2,0,0,1,0,305,123,5,7,18,25,305,121,1,3,0,3,0,1,0,8,5,1,0,0,25
490351138013,367,121,160,68,15,1,1,0,0,1,0,241,72,0,8,7,39,241,72,2,5,0,3,1,1,0,0,0,0,0,0,39
490351138014,305,100,119,68,9,2,0,3,0,4,0,204,86,0,3,3,9,204,85,1,2,0,1,1,0,0,0,0,1,0,0,9
490351138021,463,125,180,123,21,7,4,1,0,2,0,296,136,0,6,0,25,296,136,3,0,0,0,1,1,0,0,0,0,0,0,25
490351138022,487,155,179,128,15,2,2,3,0,3,0,337,104,0,5,9,32,337,104,1,3,0,3,1,0,2,1,0,0,1,0,32
490351138023,211,48,94,55,8,2,3,0,0,1,0,150,52,1,0,1,7,150,52,0,0,0,0,0,0,0,0,1,0,0,0,7
490351138041,950,327,365,209,30,7,5,1,0,6,0,585,214,1,47,17,86,585,213,11,4,4,2,18,0,2,5,1,0,0,1,86
490351138042,587,180,245,125,27,2,2,2,0,4,0,364,145,1,17,17,43,364,145,5,6,0,0,9,2,3,5,1,0,0,0,43
490351138051,566,231,195,108,20,3,3,2,1,3,0,368,116,1,15,9,57,368,116,3,3,6,1,4,0,0,3,1,0,0,0,57
490351138052,273,70,115,70,10,6,1,0,0,1,0,154,92,2,6,2,17,154,92,2,0,0,1,2,1,1,0,2,0,0,0,17
490351138053,604,155,245,165,19,8,3,2,3,4,0,380,147,2,15,23,37,380,146,6,5,0,2,4,1,1,8,2,0,1,1,37
490351139031,656,232,227,153,23,13,3,2,0,3,0,459,116,1,14,8,58,459,114,3,5,3,1,5,0,0,2,1,0,0,0,58
490351139032,888,357,318,166,25,6,6,4,2,4,0,650,139,1,15,14,69,650,139,6,0,0,2,5,1,2,5,1,0,2,0,69
490351139033,494,148,210,106,20,4,3,1,0,2,0,336,107,4,11,6,30,336,106,3,1,2,2,2,1,1,0,1,0,1,1,30
490351139041,458,202,144,83,15,6,3,2,0,3,0,340,67,0,10,6,35,340,67,6,0,0,0,0,2,1,3,0,1,0,0,35
490351139042,338,103,137,78,9,8,1,0,1,1,0,266,44,1,5,2,20,266,44,1,0,1,2,1,0,0,2,1,0,0,0,20
490351139043,561,188,190,148,18,11,1,1,1,3,0,408,99,1,1,9,43,408,99,1,2,0,0,0,0,4,2,1,1,0,0,43
490351139044,1130,373,431,253,45,18,4,0,0,6,0,820,179,4,13,17,97,820,176,2,6,0,3,2,2,2,8,3,1,0,0,97
490351139051,589,213,218,125,19,3,6,0,1,4,0,399,133,0,10,3,44,399,132,2,0,0,0,2,1,0,1,0,0,0,1,44
490351139052,713,260,241,170,29,6,2,2,0,3,0,511,129,1,22,8,42,511,128,6,2,4,1,6,3,2,2,1,0,0,1,42
490351139053,586,198,230,121,24,5,2,0,0,6,0,398,130,1,9,5,43,398,128,4,0,0,3,0,0,1,2,1,0,0,0,43
490351139054,707,226,264,167,37,6,1,2,1,3,0,497,135,0,11,4,60,497,134,4,1,2,1,3,1,0,3,0,0,0,0,60
490351139061,546,153,219,116,34,6,7,3,0,8,0,397,92,4,7,10,36,397,92,2,5,4,0,0,1,0,4,4,0,0,0,36
490351139062,401,127,157,81,23,3,4,1,1,4,0,304,52,0,4,2,39,304,52,3,1,0,1,0,0,0,1,0,0,0,0,39
490351139063,419,141,164,92,16,4,1,1,0,0,0,333,48,0,3,1,34,333,46,1,0,0,1,0,0,0,1,0,0,0,0,34
