BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_con,party_grn,party_lbl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_21,eth2_unk
100050510131,1699,599,688,377,21,4,2,1,0,7,0,1411,34,24,33,20,177,1411,24,33,12,3,5,10,7,4,177
100050510132,1522,539,598,358,23,3,0,0,0,1,0,1248,47,40,11,30,146,1248,40,47,6,7,3,10,1,0,146
100050510141,1017,401,355,246,12,1,1,1,0,0,0,842,30,5,14,22,104,842,5,30,5,7,1,10,2,3,104
100050510142,674,225,246,184,15,1,0,0,2,1,0,561,15,2,8,13,75,561,2,14,4,1,3,6,0,1,75
100050510151,1164,479,375,288,19,2,0,0,0,1,0,983,28,5,13,9,126,983,5,25,1,1,8,2,1,2,126
100050510152,396,115,181,93,5,2,0,0,0,0,0,321,14,2,5,6,48,321,2,14,0,0,1,1,0,1,48
100050510161,473,238,119,108,5,2,0,0,0,1,0,402,7,4,6,7,47,402,4,7,0,2,2,2,0,1,47
100050510162,1138,437,454,228,14,2,1,0,0,2,0,941,19,5,19,29,125,941,5,17,7,12,9,6,0,1,125
100050510171,699,324,201,161,5,3,1,0,3,1,0,558,31,11,8,10,81,558,11,31,1,4,4,3,0,2,81
100050510172,1919,944,567,365,27,8,1,2,1,4,0,1578,54,39,35,19,194,1578,39,54,11,5,12,1,3,2,194
100050510173,615,233,242,128,6,3,1,0,1,1,0,500,27,3,12,12,61,500,3,27,8,3,2,1,0,2,61
100050511011,178,67,74,36,1,0,0,0,0,0,0,143,2,0,1,3,29,143,0,2,0,2,1,0,0,0,29
100050511012,178,49,80,46,3,0,0,0,0,0,0,148,4,0,2,4,20,148,0,4,0,4,2,0,0,0,20
100050511013,311,166,88,51,5,1,0,0,0,0,0,249,8,3,3,2,46,249,3,7,1,0,1,0,1,0,46
100050511021,254,90,117,43,2,1,0,1,0,0,0,210,1,0,3,13,27,210,0,1,0,2,3,7,0,0,27
100050511022,431,227,110,91,0,1,0,1,1,0,0,357,8,3,5,10,48,357,3,8,0,7,3,1,0,0,48
100050511023,276,110,94,66,4,1,1,0,0,0,0,238,6,0,0,4,28,238,0,5,0,1,0,1,0,0,28
100050511031,467,207,153,98,4,3,0,1,0,1,0,397,11,3,3,9,44,397,3,8,1,3,1,0,0,0,44
100050511032,291,107,93,82,6,0,1,1,1,0,0,238,2,6,1,5,39,238,6,2,0,1,0,4,1,0,39
100050511033,44,17,19,7,1,0,0,0,0,0,0,31,0,3,1,2,7,31,3,0,0,0,1,1,0,0,7
100050512011,578,167,266,139,6,0,0,0,0,0,0,485,18,2,3,6,64,485,2,18,0,3,2,3,0,1,64
100050512012,660,167,324,156,9,1,2,1,0,0,0,563,15,6,2,12,62,563,6,13,0,2,0,7,1,1,62
100050512021,674,237,264,162,8,2,0,1,0,0,0,552,15,2,6,6,93,552,2,15,0,1,2,2,1,2,93
100050512022,101,25,60,15,1,0,0,0,0,0,0,94,3,0,0,0,4,94,0,3,0,0,0,0,0,0,4
100050512031,491,172,207,101,6,2,0,1,2,0,0,412,1,9,3,13,53,412,9,1,1,9,1,0,1,0,53
100050512032,70,26,34,7,3,0,0,0,0,0,0,57,3,0,0,0,10,57,0,3,0,0,0,0,0,0,10
100050512033,37,16,18,2,1,0,0,0,0,0,0,35,0,0,0,0,2,35,0,0,0,0,0,0,0,0,2
100050512034,123,49,42,31,0,0,1,0,0,0,0,106,0,0,0,2,15,106,0,0,0,0,0,2,0,0,15
100050512041,275,86,113,69,5,2,0,0,0,0,0,235,5,0,3,3,29,235,0,5,0,2,0,0,0,0,29
100050512042,54,17,24,13,0,0,0,0,0,0,0,40,0,0,0,1,13,40,0,0,0,0,0,0,0,0,13
100050512043,59,24,23,12,0,0,0,0,0,0,0,51,0,0,1,0,7,51,0,0,0,0,0,0,0,0,7
100050512044,228,82,82,60,3,0,0,0,0,1,0,192,1,0,5,2,28,192,0,1,0,0,4,0,0,0,28
100050512051,239,67,120,51,1,0,0,0,0,0,0,203,0,1,0,1,34,203,1,0,0,0,0,0,0,0,34
100050512052,302,80,165,53,0,2,1,0,0,1,0,258,7,1,2,4,30,258,1,7,0,1,2,1,0,0,30
100050513021,1211,352,586,240,17,5,3,3,1,4,0,983,36,67,5,8,112,983,67,36,1,3,2,1,0,1,112
100050513022,1462,434,668,333,19,1,2,1,0,4,0,1217,38,17,12,16,162,1217,17,37,0,3,3,6,4,0,162
100050513023,1507,469,686,324,21,1,1,1,1,3,0,1229,33,22,7,18,198,1229,22,33,1,1,3,4,0,0,198
100050513071,2394,779,1094,488,24,1,3,3,0,2,0,1982,39,14,22,41,296,1982,14,37,2,7,6,17,0,7,296
100050513081,2054,579,1012,426,27,4,2,2,0,2,0,1795,44,4,9,21,181,1795,4,41,1,4,5,11,3,0,181
100050513082,378,96,185,88,5,3,0,0,0,1,0,331,3,2,6,0,36,331,2,3,1,0,1,0,1,0,36
100050513083,950,263,470,202,8,2,1,0,0,4,0,825,12,2,7,8,96,825,2,12,1,2,2,4,2,1,96
100050513091,688,191,357,132,6,1,0,0,0,1,0,578,5,0,5,15,85,578,0,5,0,8,1,4,3,0,85
100050513092,415,112,198,100,5,0,0,0,0,0,0,347,11,4,1,9,43,347,4,10,0,2,0,2,0,0,43
100050513101,1641,447,855,306,29,2,0,0,0,2,0,1367,29,33,14,22,176,1367,33,28,0,4,9,9,0,4,176
100050513111,996,270,491,217,12,3,0,0,1,2,0,798,20,8,8,13,149,798,8,20,1,2,5,5,2,0,149
100050513112,515,145,259,102,5,1,1,1,0,1,0,415,15,3,3,6,73,415,3,15,0,0,0,3,0,0,73
100050513121,763,232,400,113,12,1,2,2,0,1,0,643,10,3,2,11,94,643,3,10,1,3,0,7,0,1,94
100050513122,1396,427,671,278,14,1,4,0,0,1,0,1164,40,35,8,15,134,1164,35,40,0,4,3,6,0,1,134
100050513131,736,232,352,138,13,0,1,0,0,0,0,630,15,9,3,3,76,630,9,13,1,1,1,1,0,0,76
100050513132,1012,335,429,236,10,2,0,0,0,0,0,837,20,5,11,15,124,837,5,20,3,4,2,4,3,2,124
100050513133,1192,389,522,252,19,3,3,3,1,0,0,984,30,12,7,15,144,984,12,28,1,1,4,6,2,0,144
100050513141,994,329,435,213,12,2,2,0,1,0,0,829,28,0,11,16,110,829,0,28,2,7,4,3,1,1,110
100050513142,1212,413,505,270,16,3,2,2,0,1,0,994,38,32,15,20,113,994,32,38,3,9,6,8,4,0,113
100050514001,730,299,247,167,13,1,1,0,1,1,0,498,69,96,7,9,51,498,96,69,1,6,3,0,0,3,51
100050514002,1090,320,545,212,12,0,0,0,1,0,0,875,25,80,7,6,97,875,80,24,0,0,4,2,1,2,97
100050514003,610,245,224,125,9,1,2,0,2,2,0,386,72,107,9,1,35,386,107,72,2,1,1,0,0,1,35
100050515011,1060,491,374,179,14,0,0,0,1,1,0,600,92,298,8,5,57,600,298,91,2,1,1,0,1,0,57
100050515012,394,98,212,80,2,1,1,0,0,0,0,344,10,3,5,2,30,344,3,10,1,0,1,1,0,0,30
100050515021,1110,376,499,214,15,2,1,0,0,3,0,852,33,129,8,17,71,852,129,33,2,12,5,3,1,0,71
100050515022,745,276,316,139,7,3,1,0,0,3,0,606,25,37,7,5,65,606,37,25,1,1,1,1,2,1,65
100050515023,512,180,222,102,5,1,0,2,0,0,0,382,28,69,1,4,28,382,69,27,0,2,0,1,0,0,28
100050517011,957,259,468,202,19,4,3,0,2,0,0,783,32,39,27,6,70,783,39,30,21,2,2,2,0,1,70
100050517012,909,293,407,196,8,1,2,0,1,1,0,741,34,56,6,5,67,741,56,34,3,1,0,3,0,3,67
100050517013,1090,254,589,229,12,2,1,1,1,1,0,942,35,28,6,10,69,942,28,34,0,6,2,2,3,0,69
100050517021,1156,307,611,217,14,2,2,2,0,1,0,1028,24,39,6,9,50,1028,39,24,4,4,1,0,1,0,50
100050517022,1752,497,884,331,27,8,0,1,0,4,0,1435,45,122,19,14,117,1435,119,43,14,2,2,3,1,0,117
100050517023,1700,510,788,366,21,8,1,1,2,3,0,1392,39,137,15,11,106,1392,137,38,7,4,4,6,3,1,106
100050518011,918,395,270,229,17,1,0,1,1,4,0,592,73,185,13,4,51,592,185,73,9,1,0,1,0,3,51
100050518012,485,123,238,116,3,4,0,0,0,1,0,438,9,6,7,4,21,438,6,9,2,1,2,0,0,3,21
100050518013,626,164,320,134,4,1,2,0,0,1,0,545,11,19,8,6,37,545,19,10,0,3,3,2,2,1,37
100050518014,1190,322,592,253,16,5,0,0,0,2,0,1021,40,23,7,11,88,1021,23,37,2,2,2,1,3,0,88
100050518021,1365,512,522,304,21,3,1,0,1,1,0,946,47,241,10,17,104,946,241,47,6,10,0,3,1,2,104
