BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
370510032073,1534,356,531,636,9,1,1,0,0,1008,111,193,108,44,70,1008,166,111,27,15,42,21,19,17,2,27,0,0,3,1,0,0,1,1,0,0,0,1,1,0,70
370510032081,491,274,153,58,5,1,0,0,0,135,35,304,1,7,9,135,256,35,48,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9
370510032082,494,260,163,67,3,0,1,0,0,145,36,294,2,8,9,145,255,36,39,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
370510032083,911,496,291,119,2,2,1,0,0,224,98,551,9,11,18,224,470,98,81,3,0,4,3,1,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,18
370510032091,848,403,277,160,8,0,0,0,0,279,85,431,11,15,27,279,386,85,45,4,2,1,4,1,0,5,1,3,0,0,0,0,0,2,0,0,0,1,0,0,27
370510032092,1897,831,661,390,10,3,2,0,0,737,164,877,36,36,47,737,756,164,121,14,6,10,14,8,4,11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,47
370510033021,1331,866,350,100,9,3,3,0,0,173,93,1005,27,10,23,173,875,93,130,6,0,7,3,13,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23
370510033022,844,599,187,50,6,1,1,0,0,103,47,666,4,7,17,103,595,47,71,4,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,17
370510033023,735,459,185,80,8,1,2,0,0,152,48,497,11,9,18,152,446,48,51,3,1,4,2,1,0,5,0,0,0,1,0,1,0,2,0,0,0,0,0,0,18
370510033041,577,239,175,155,6,1,1,0,0,222,49,253,25,6,22,222,213,49,40,0,2,10,0,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22
370510033042,651,450,155,43,1,1,1,0,0,68,60,498,10,7,8,68,446,58,52,1,0,5,5,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
370510033043,1335,755,406,157,14,2,1,0,0,294,102,845,33,23,38,294,740,102,105,9,2,12,7,6,2,11,1,0,1,0,0,1,0,1,0,0,0,0,0,0,38
370510033044,511,284,156,67,3,0,1,0,0,159,34,291,12,7,8,159,246,34,45,3,0,4,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8
370510033045,632,249,222,154,7,0,0,0,0,237,64,284,17,9,21,237,244,64,40,3,0,3,2,2,3,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21
370510033046,347,227,76,42,2,0,0,0,0,55,37,238,6,4,7,55,206,37,32,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
370510033071,434,258,120,51,4,1,0,0,0,82,52,285,4,2,9,82,256,52,29,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
