BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
271174601002,430,229,84,117,0,0,366,2,0,2,5,55,366,2,0,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55
271174602001,551,208,153,190,0,0,447,13,2,3,3,83,447,13,2,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83
271174602002,457,146,118,193,0,0,372,11,2,8,8,56,372,11,2,7,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,56
271174603001,341,117,89,135,0,0,289,13,3,1,0,35,289,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
271174603002,560,221,122,217,0,0,458,14,1,2,5,80,458,14,1,2,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,80
271174603003,393,95,102,196,0,0,301,18,0,4,9,61,301,18,0,5,1,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,61
271174604001,450,293,67,90,0,0,356,6,0,2,5,81,356,6,0,0,0,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,81
271174604002,410,140,155,115,0,0,341,10,0,6,4,49,341,10,0,0,2,1,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,49
271174605001,378,285,63,30,0,0,309,2,0,3,0,64,309,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
271174605002,862,652,209,1,0,0,681,9,0,5,5,162,681,9,0,1,3,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,162
270917901001,773,428,155,190,0,0,691,6,0,3,3,70,691,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70
270917901002,431,118,168,145,0,0,368,3,0,1,3,56,368,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56
270917901003,773,263,230,280,0,0,636,11,3,4,14,105,636,11,3,1,2,1,7,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,0,0,105
270917902001,360,163,81,116,0,0,309,5,0,2,2,42,309,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42
270917902002,357,194,87,76,0,0,313,4,0,2,3,35,313,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,35
270917902003,443,135,121,187,0,0,372,10,0,0,2,59,372,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59
270917902004,371,182,76,113,0,0,300,9,0,5,8,49,300,9,0,0,3,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,49
270917903001,739,379,123,237,0,0,621,4,0,1,3,110,621,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,110
270917903002,736,246,226,264,0,0,609,21,1,4,3,98,609,21,1,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98
270917904001,662,411,116,135,0,0,565,10,0,2,4,81,565,10,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,81
