BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330150610012,2119,781,769,569,0,0,1785,41,2,27,26,238,1785,37,3,13,5,7,4,2,5,0,5,3,238
330150610013,1527,537,647,343,0,0,1276,40,2,22,26,161,1276,40,11,7,8,5,0,2,5,0,2,3,161
330150620001,1803,635,450,718,0,0,1610,25,0,6,20,142,1610,22,4,1,1,9,3,0,2,4,0,0,142
330150625001,688,274,212,202,0,0,594,13,0,4,14,63,594,12,5,0,0,6,1,0,0,0,3,0,63
330150625002,1722,772,437,513,0,0,1504,19,0,20,27,152,1504,18,6,7,7,11,1,0,0,2,1,1,152
330150630011,1117,457,319,341,0,0,973,33,1,8,12,90,973,31,1,4,3,3,2,1,5,1,0,0,90
330150630012,1058,374,297,387,0,0,892,35,1,12,18,100,892,32,7,4,3,6,3,1,2,2,0,3,100
330150630031,1045,391,254,400,0,0,903,31,0,2,13,96,903,27,4,0,1,8,4,0,0,1,0,0,96
330150630032,467,167,126,174,0,0,414,8,0,2,5,38,414,4,4,1,0,1,4,0,0,0,0,1,38
330150630033,1365,481,286,598,0,0,1185,27,0,9,33,111,1185,27,6,4,3,23,0,0,0,1,0,1,111
330150630041,811,269,233,309,0,0,683,19,0,3,24,82,683,16,8,1,2,2,3,0,10,0,0,0,82
330150640001,1959,674,511,774,0,0,1681,30,0,30,33,185,1681,26,14,8,5,4,4,0,4,6,7,3,185
330150650051,1742,652,608,482,0,0,1505,33,0,17,38,149,1505,24,9,9,2,9,9,0,11,1,3,1,149
330150650052,607,238,187,182,0,0,519,13,0,2,13,60,519,12,6,1,0,3,1,0,4,0,0,1,60
330150650061,632,241,227,164,0,0,522,10,1,7,17,75,522,9,7,3,0,5,1,1,1,0,0,4,75
330150650062,1005,369,321,315,0,0,817,16,1,10,25,136,817,13,11,2,4,6,3,1,0,2,1,1,136
330150650071,858,344,240,274,0,0,718,24,0,10,18,88,718,23,5,5,2,2,1,0,7,1,1,1,88
330150650072,599,221,199,179,0,0,505,14,0,8,13,59,505,12,7,1,4,0,2,0,2,2,0,1,59
