BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230270430002,1122,489,325,263,45,0,0,0,1015,8,1,5,3,90,1015,8,0,0,1,1,0,1,0,90
230270430003,1103,628,257,159,59,0,0,0,970,19,3,6,8,97,970,17,2,3,4,3,0,1,0,97
230270430004,1215,686,235,248,46,0,0,0,1067,21,1,9,11,106,1067,20,1,4,5,1,3,2,0,106
230270430005,697,280,194,189,34,0,0,0,615,7,0,7,7,61,615,7,2,3,2,0,0,1,3,61
230270440001,539,297,161,68,13,0,0,0,495,9,0,2,6,27,495,9,0,1,1,0,0,0,0,27
230270440002,766,312,220,190,44,0,0,0,661,19,0,3,13,70,661,16,1,0,3,0,1,0,1,70
230270440003,1238,491,325,362,60,0,0,0,1117,10,1,5,6,99,1117,7,1,2,1,1,2,0,0,99
230270440004,1180,533,330,259,58,0,0,0,1050,14,0,8,12,96,1050,13,2,2,3,0,0,2,4,96
230270450001,594,109,230,229,26,0,0,0,562,2,0,0,1,29,562,1,1,0,0,0,0,0,0,29
230270450002,710,179,211,293,27,0,0,0,647,10,0,3,4,46,647,10,3,0,0,0,1,0,0,46
230270450003,726,194,241,255,36,0,0,0,677,3,0,2,6,38,677,3,0,0,2,0,0,1,1,38
230270450004,1041,346,300,355,40,0,0,0,940,10,5,2,5,79,940,10,4,0,1,5,1,0,1,79
230270450005,706,237,209,235,25,0,0,0,636,17,0,2,3,48,636,17,2,0,0,0,0,0,1,48
230270450006,779,271,257,210,41,0,0,0,705,6,0,0,4,64,705,5,2,0,2,0,0,0,0,64
230270460011,1199,320,348,457,74,0,0,0,1078,14,0,7,11,89,1078,13,0,0,3,0,1,1,1,89
230270460012,542,178,167,161,36,0,0,0,476,5,0,2,2,57,476,5,0,0,2,0,1,1,0,57
230270460021,633,183,204,198,48,0,0,0,561,14,0,0,2,56,561,13,1,0,0,0,0,0,0,56
230270460022,764,164,261,275,64,0,0,0,693,10,1,1,5,54,693,10,2,0,2,1,0,0,0,54
230270460023,1220,369,439,307,105,0,0,0,1042,38,0,9,9,122,1042,37,4,1,2,0,3,3,1,122
230270460024,473,145,138,156,33,0,1,0,411,8,0,1,5,48,411,6,2,1,0,0,0,0,0,48
