BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_14,eth2_21,eth2_34,eth2_32,eth2_29,eth2_12,eth2_85,eth2_35,eth2_66,eth2_61,eth2_33,eth2_99,eth2_55,eth2_19,eth2_26,eth2_38,eth2_15,eth2_59,eth2_13,eth2_83,eth2_unk
510853214011,1902,531,1151,220,0,0,1657,30,48,23,25,119,1657,48,30,10,4,5,2,9,5,1,1,2,1,4,0,0,1,0,1,1,0,0,0,0,0,1,119
510853214021,1604,406,996,202,0,0,1451,20,15,7,7,104,1451,15,20,2,1,1,1,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104
510853214022,1186,291,748,147,0,0,1061,15,29,9,5,67,1061,29,15,3,0,3,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,67
510853214031,2428,673,1465,290,0,0,2058,51,96,17,14,192,2058,96,46,0,1,7,2,4,6,3,0,3,0,3,5,1,0,0,0,0,0,0,0,1,0,0,192
511330201001,456,162,231,63,0,0,415,10,11,2,1,17,415,11,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
511330201002,1053,387,423,243,0,0,655,19,328,6,7,38,655,328,19,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,38
511330201003,631,237,305,89,0,0,496,8,77,1,4,45,496,76,8,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
511330201004,471,195,182,94,0,0,307,8,131,3,1,21,307,131,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
511330202001,997,441,414,142,0,0,629,13,286,10,15,44,629,285,11,0,4,1,5,0,10,0,0,0,1,0,2,0,0,1,3,0,0,1,0,0,0,0,44
511330202002,988,446,341,201,0,0,560,13,359,5,6,45,560,359,13,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,45
511330202003,469,177,189,103,0,0,239,8,192,1,4,25,239,192,8,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25
511330203011,574,202,284,88,0,0,402,11,112,8,4,37,402,112,11,1,0,2,3,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,37
511330203012,733,238,369,126,0,0,548,14,129,3,5,34,548,129,14,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,34
511330203013,712,281,344,87,0,0,574,14,76,5,8,35,574,76,14,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,35
511330203021,482,154,253,75,0,0,383,1,59,7,1,31,383,59,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
511330203022,1150,422,562,166,0,0,793,9,259,5,11,73,793,259,9,1,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73
511330203023,930,375,434,121,0,0,658,12,177,6,7,70,658,177,11,0,1,1,2,2,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,70
511339901000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510650201011,1124,458,400,266,0,0,937,26,72,13,8,68,937,71,26,0,2,5,3,0,1,1,0,3,1,2,0,0,2,1,0,0,0,0,0,0,0,1,68
510650201012,924,384,330,210,0,0,736,32,86,9,10,51,736,86,32,6,1,4,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51
510650201013,675,284,282,109,0,0,559,15,18,2,12,69,559,18,15,3,0,0,0,2,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,69
510650201014,1164,546,385,233,0,0,914,34,123,14,9,70,914,121,34,4,6,3,3,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,70
510650201031,1745,859,686,200,0,0,1466,59,18,26,22,154,1466,18,59,3,7,13,2,4,7,4,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,154
510650201032,903,415,374,114,0,0,763,39,10,5,9,77,763,10,39,0,1,1,0,0,4,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77
510650201041,1601,741,552,308,0,0,1368,43,57,13,15,105,1368,56,43,8,1,2,5,1,3,1,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,105
510650201042,1378,652,459,267,0,0,1200,44,17,9,9,99,1200,17,42,0,5,2,1,0,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,99
510650201043,1674,765,619,290,0,0,1393,40,23,18,26,174,1393,23,40,8,8,5,2,1,5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,2,0,174
510650202001,1756,745,625,386,0,0,1306,28,317,6,16,83,1306,317,27,8,0,1,3,0,2,1,1,2,0,0,1,0,2,0,0,0,0,1,0,1,0,0,83
510650202002,764,355,255,154,0,0,497,14,214,8,4,27,497,214,13,0,4,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27
510650202003,1011,427,351,233,0,0,601,10,342,8,6,44,601,342,10,0,0,4,4,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,44
510650202004,438,208,145,85,0,0,253,8,150,0,1,26,253,150,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
510650203001,2135,820,907,408,0,0,1825,38,96,11,27,138,1825,95,38,13,3,3,4,0,10,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,138
510650203002,1310,561,457,292,0,0,898,17,302,3,16,74,898,302,16,8,0,1,1,1,0,1,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,1,74
510650203003,670,247,265,158,0,0,594,9,9,2,6,50,594,9,9,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50
511076101011,2152,916,948,288,0,0,1808,95,5,34,36,174,1808,5,90,15,11,13,5,2,5,0,0,2,7,2,5,0,0,0,3,1,0,0,0,1,0,0,174
511076101012,1681,753,656,272,0,0,1321,126,18,29,26,161,1321,16,125,14,3,13,4,9,2,2,1,0,2,0,1,3,1,2,0,0,0,0,0,0,0,0,161
511076101021,1084,463,445,176,0,0,861,54,25,23,18,103,861,25,50,8,1,8,6,2,4,0,1,3,0,0,4,2,0,0,0,0,0,1,1,0,1,0,103
511076101022,1911,923,747,241,0,0,1592,73,13,50,32,151,1592,13,72,4,12,12,5,7,11,4,0,9,0,1,1,4,1,0,5,2,0,0,3,2,0,0,151
511076102011,1856,834,774,248,0,0,1456,106,9,24,38,223,1456,9,100,9,5,11,3,1,10,2,0,3,2,7,6,2,4,0,0,0,0,0,0,0,0,0,223
511076102012,2868,1248,1243,377,0,0,2213,138,22,93,101,301,2213,22,134,51,22,32,10,15,17,3,6,10,8,4,4,1,8,0,0,1,0,1,3,0,0,1,301
511076102021,1698,746,717,235,0,0,1322,105,20,39,51,161,1322,20,105,26,11,15,4,6,9,0,1,1,0,2,0,2,4,0,3,2,0,0,0,0,0,2,161
511076102022,1702,757,735,210,0,0,1322,92,21,47,53,167,1322,21,92,20,16,9,7,7,13,1,2,4,2,7,0,0,0,0,3,1,2,0,1,0,0,0,167
511076102023,521,237,215,69,0,0,428,10,2,10,19,52,428,2,10,10,0,2,5,1,2,2,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,52
511076103001,1077,506,397,174,0,0,859,59,2,7,40,110,859,2,58,15,0,3,1,3,6,8,4,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,110
511076103002,1530,772,553,205,0,0,1079,119,38,70,72,152,1079,38,115,43,44,16,5,1,10,4,1,2,8,2,4,3,0,0,1,0,2,0,0,0,0,0,152
511076103003,2388,1077,1029,282,0,0,1747,128,20,122,118,253,1747,20,125,70,56,31,20,10,4,9,8,2,1,9,3,7,2,0,7,2,1,0,0,0,0,0,253
511076103004,1524,774,577,173,0,0,1216,62,4,52,45,145,1216,4,61,23,24,13,7,3,2,11,1,0,3,1,1,0,0,0,1,2,2,0,0,0,0,0,145
511076104001,1809,946,624,239,0,0,1468,95,9,41,48,148,1468,9,95,21,15,12,8,3,6,5,0,1,4,0,0,2,1,0,7,1,0,0,0,2,0,0,148
511076104002,1576,855,475,246,0,0,1202,94,40,43,41,156,1202,40,92,20,7,17,6,7,3,4,1,5,1,7,2,2,2,0,0,0,0,0,0,1,0,0,156
511076105031,1792,1067,550,175,0,0,1169,155,46,107,123,192,1169,46,153,72,59,19,8,11,12,12,14,3,0,0,2,3,5,0,0,0,0,0,0,2,5,0,192
