GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
22079012900,1495,1108,52,334,1,0,0,0,18,4,1456,2,9,6
22079013000,1705,1318,79,306,2,0,0,0,80,5,1608,0,4,8
22079013100,1334,650,303,375,5,1,0,0,621,21,591,2,21,78
22079013201,4345,949,2251,1122,21,2,0,0,3423,100,424,29,73,296
22079013202,1676,354,881,434,7,0,0,0,1401,35,79,6,27,128
22079013300,3317,1319,1239,741,16,2,0,0,1920,58,1100,6,26,207
22079013400,2537,516,1428,583,10,0,0,0,2078,59,159,14,31,196
22079013501,2128,500,1117,501,9,1,0,0,1749,100,77,12,23,167
22079013502,1410,496,554,352,8,0,0,0,957,66,264,4,12,107
22079013600,1914,571,891,442,10,0,0,0,1654,42,0,8,38,172
22079013700,2428,523,1168,724,10,3,0,0,1939,76,209,5,18,181
22079013800,2032,881,600,542,7,2,0,0,1029,48,811,21,34,89
22079013900,1516,995,134,385,2,0,0,0,181,15,1275,2,8,35
22079980000,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22103040103,3469,619,1877,951,20,2,0,0,2879,179,27,21,46,317
22103040105,3972,804,1829,1300,34,5,0,0,3022,257,205,26,63,399
22103040106,2834,622,1336,858,16,2,0,0,2430,106,14,9,28,247
22103040107,2722,414,1598,692,18,0,0,0,2206,157,25,14,25,295
22103040108,1952,430,945,560,17,0,0,0,1612,88,56,19,24,153
22103040203,2895,791,1262,826,12,4,0,0,2051,115,384,29,36,280
22103040204,3503,641,1781,1051,28,2,0,0,2580,234,288,28,35,338
22103040205,3808,662,2136,968,37,5,0,0,3048,236,118,19,47,340
22103040206,1882,399,994,482,7,0,0,0,1462,82,132,7,24,175
22103040304,5255,617,3249,1334,50,5,0,0,4261,271,54,41,43,585
22103040306,3675,582,2050,998,37,8,0,0,2786,254,93,52,59,431
22103040307,2636,401,1406,793,30,6,0,0,1964,185,60,53,54,320
22103040308,4760,777,2559,1380,41,3,0,0,3503,271,239,47,61,639
22103040309,6930,851,4205,1820,52,2,0,0,5237,428,202,60,114,889
22103040401,5617,903,3281,1384,45,4,0,0,4245,337,224,44,70,697
22103040402,2203,399,1134,640,26,4,0,0,1712,116,81,19,35,240
22103040501,2320,993,673,636,16,2,0,0,1146,83,904,17,26,144
22103040502,3007,865,1258,848,31,5,0,0,1871,138,638,32,40,288
22103040601,2422,260,1631,516,11,4,0,0,2023,90,8,25,34,242
22103040602,2118,464,1079,548,27,0,0,0,1663,120,51,10,24,250
22103040606,2650,538,1200,878,30,4,0,0,1911,210,180,28,43,278
22103040607,3061,420,1829,783,22,7,0,0,2324,214,113,61,29,320
22103040608,2082,488,991,584,13,6,0,0,1437,141,273,20,30,181
22103040609,3017,632,1391,949,43,2,0,0,2102,254,225,25,41,370
22103040705,3958,1041,1651,1235,27,4,0,0,2612,220,707,38,47,334
22103040706,3826,788,1817,1193,22,6,0,0,2894,233,215,32,66,386
22103040708,4478,849,2307,1289,32,1,0,0,3203,274,401,105,63,432
22103040709,2740,581,1351,791,16,1,0,0,1974,184,249,41,38,254
22103040710,4332,1347,1675,1272,35,3,0,0,2545,278,1045,86,55,323
22103040711,2499,953,740,785,17,4,0,0,1168,141,942,25,32,191
22103040712,3231,721,1438,1036,32,4,0,0,2402,204,228,27,51,319
22103040713,2520,846,885,775,13,1,0,0,1393,111,784,9,22,201
22103040714,1632,325,819,475,13,0,0,0,1304,91,44,11,19,163
22103040801,2793,912,947,912,17,5,0,0,1614,165,734,24,32,224
22103040804,1935,507,907,511,10,0,0,0,1152,114,363,76,20,210
22103040805,3202,575,1752,852,20,3,0,0,2369,189,156,79,56,353
22103040806,4094,2174,681,1211,21,7,0,0,1252,171,2419,53,51,148
22103040807,2062,705,725,624,7,1,0,0,1039,89,686,57,28,163
22103040900,2033,970,469,580,10,4,0,0,776,93,987,10,25,142
22103041002,1998,503,898,579,14,4,0,0,1443,127,189,16,31,192
22103041003,3702,871,1680,1123,24,4,0,0,2573,211,457,63,45,353
22103041004,3109,742,1392,950,22,3,0,0,2271,163,290,15,47,323
22103041101,2498,697,987,794,19,1,0,0,1641,138,421,26,32,240
22103041103,1909,712,516,660,18,3,0,0,950,111,691,8,16,133
22103041104,1877,567,710,587,11,2,0,0,1212,104,347,11,35,168
22103041105,3562,1422,956,1156,23,5,0,0,1719,179,1390,28,30,216
22103041106,907,319,333,247,8,0,0,0,518,42,255,6,9,77
22103041202,1656,554,633,452,14,3,0,0,1016,72,379,9,12,168
22103041207,3127,533,1708,851,33,2,0,0,2341,214,94,44,58,376
22103041208,3254,446,1955,831,21,1,0,0,2479,190,49,53,60,423
22103041209,3749,674,1970,1066,38,1,0,0,2847,246,178,16,35,427
22103041210,1846,351,951,536,8,0,0,0,1387,116,78,22,23,220
22103041211,4220,659,2246,1269,40,6,0,0,3170,301,84,56,75,534
22103041212,2492,325,1413,724,29,1,0,0,1897,206,50,18,34,287
22103041213,3518,1159,1238,1096,23,2,0,0,2092,219,854,29,43,281
22103041214,2598,789,1128,666,10,5,0,0,1613,132,559,20,39,235
22103041301,2892,581,1378,886,36,11,0,0,2191,167,186,24,44,280
22103041302,2042,388,1021,601,25,7,0,0,1594,140,37,19,24,228
22103990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22089060100,1402,398,603,396,2,3,0,0,887,77,237,12,24,165
22089062100,3217,1300,952,950,14,1,0,0,1565,329,1021,23,63,216
22089062200,1776,1043,325,401,7,0,0,0,482,76,1137,5,16,60
22089062301,4240,946,2132,1131,29,2,0,0,2776,361,563,51,71,418
22089062302,3359,1114,1341,885,17,2,0,0,2173,241,587,19,46,293
22089062400,802,456,152,186,5,3,0,0,287,20,432,1,9,53
22089062500,1946,567,799,570,9,1,0,0,1373,141,142,9,30,251
22089062700,2831,1615,667,540,8,1,0,0,976,90,1561,5,21,178
22089062800,3572,1821,868,869,12,2,0,0,1232,154,1893,25,34,234
22089062900,1653,501,655,489,8,0,0,0,1163,102,152,12,24,200
22089063000,980,560,233,185,2,0,0,0,457,25,418,0,5,75
22089063100,5542,1232,2808,1459,40,3,0,0,4091,338,453,50,65,545
22089063200,3455,1010,1499,921,24,1,0,0,2502,202,281,20,49,401
22049970100,1685,622,675,381,6,1,0,0,1095,22,492,4,6,66
22049970200,2295,680,1153,450,10,2,0,0,1766,30,377,19,7,96
22049970300,2437,551,1306,563,17,0,0,0,2028,30,226,7,5,141
22049970400,2078,1277,431,365,4,1,0,0,698,13,1311,7,0,49
22049970500,943,383,369,187,4,0,0,0,651,13,244,8,1,26
22007050100,2214,1395,455,360,4,0,0,0,816,103,1148,4,11,132
22007050201,2004,906,690,399,8,1,0,0,1575,125,16,12,16,260
22007050202,1496,662,533,297,4,0,0,0,1133,67,13,13,4,266
22007050300,2605,1689,474,436,6,0,0,0,900,97,1381,4,27,196
22007050400,1925,967,584,368,6,0,0,0,989,98,677,4,19,138
22007050500,1631,1037,278,312,4,0,0,0,577,51,910,3,23,67
22007050600,2573,1032,832,702,7,0,0,0,1760,138,399,16,55,205
22117950101,1804,924,443,430,6,1,0,0,902,17,801,3,5,76
22117950102,2636,1101,974,552,8,1,0,0,1822,36,656,6,7,109
22117950201,2393,1001,871,514,7,0,0,0,1525,27,704,10,13,114
22117950202,1642,533,723,381,5,0,0,0,1512,26,29,4,6,65
22117950300,2575,1628,469,473,5,0,0,0,772,27,1698,2,10,66
22117950400,2498,985,936,569,8,0,0,0,1663,56,601,3,17,158
22117950501,1851,379,963,493,15,1,0,0,1462,55,74,7,25,228
22117950502,1579,410,793,371,4,1,0,0,1326,39,82,3,10,119
22117950600,2874,769,1335,755,12,3,0,0,2419,84,169,12,22,168
22117950700,2508,1033,805,661,7,2,0,0,1624,60,653,21,18,132
22117950800,2172,1293,410,463,5,1,0,0,651,9,1434,6,15,57
22117950900,566,340,83,142,1,0,0,0,229,9,309,1,4,14
22117951000,1978,961,563,447,6,1,0,0,1076,24,782,14,8,74
22061960100,2558,573,1348,626,10,1,0,0,2029,25,330,15,15,144
22061960200,2531,1048,838,636,7,2,0,0,1344,51,1030,5,12,89
22061960300,2185,1568,158,451,6,2,0,0,202,12,1940,8,5,18
22061960401,1273,413,431,403,24,2,0,0,728,40,389,23,26,67
22061960402,1363,301,726,320,14,2,0,0,1072,19,149,23,17,83
22061960500,2731,692,1313,702,22,2,0,0,2038,65,387,40,46,155
22061960600,2816,987,1093,713,23,0,0,0,1646,56,923,28,13,150
22061960701,2443,455,1394,578,14,2,0,0,2024,33,200,6,14,166
22061960702,1971,280,1260,422,9,0,0,0,1712,40,77,21,9,112
22061960800,1949,1260,226,456,5,2,0,0,310,13,1580,5,6,35
22061960900,1359,875,118,362,3,1,0,0,176,23,1129,6,8,17
22061961000,2656,1199,679,744,30,4,0,0,1192,46,1268,19,23,108
22017020500,1818,1335,77,406,0,0,0,0,83,14,1704,0,3,14
22017020600,537,418,13,106,0,0,0,0,9,0,526,0,1,1
22017020700,703,545,19,139,0,0,0,0,4,0,697,0,1,1
22017021000,824,303,241,262,16,2,0,0,453,23,273,6,22,47
22017021100,1228,695,151,370,10,2,0,0,379,27,764,4,8,46
22017021200,2099,905,439,726,24,5,0,0,1151,94,704,9,32,109
22017021300,1412,998,95,314,4,1,0,0,136,16,1227,2,4,27
22017021400,1192,505,313,357,14,3,0,0,604,61,449,12,13,53
22017021500,1358,492,455,391,19,1,0,0,904,55,279,15,23,82
22017021600,2315,743,838,705,25,4,0,0,1733,66,267,21,39,189
22017021700,779,522,54,203,0,0,0,0,88,6,674,1,7,3
22017021800,807,579,47,180,0,1,0,0,60,5,725,2,4,11
22017021900,856,659,33,162,2,0,0,0,31,6,815,0,0,4
22017022000,1140,887,28,221,2,2,0,0,9,2,1126,0,2,1
22017022101,3363,2550,182,623,5,3,0,0,230,23,3064,4,8,34
22017022102,1069,805,29,234,1,0,0,0,17,9,1041,1,0,1
22017022200,2238,1620,144,470,4,0,0,0,195,25,1983,5,9,21
22017022300,1504,1071,55,377,1,0,0,0,66,11,1413,1,2,11
22017022400,1709,1184,75,446,4,0,0,0,102,10,1575,1,5,16
22017022500,2515,1818,96,596,4,1,0,0,131,15,2344,0,11,14
22017022600,2307,537,1140,605,22,3,0,0,1911,45,149,19,26,157
22017022700,1558,341,761,431,23,2,0,0,1287,41,76,12,23,119
22017022800,2649,588,1285,734,38,4,0,0,2201,82,110,31,46,179
22017022900,3040,996,1199,813,30,2,0,0,1989,91,685,48,29,198
22017023000,2996,794,1437,733,29,3,0,0,2266,90,317,36,42,245
22017023100,1088,291,551,237,9,0,0,0,755,19,179,11,8,116
22017023200,780,503,42,232,1,2,0,0,80,6,679,4,2,9
22017023300,1187,863,64,260,0,0,0,0,45,4,1121,1,8,8
22017023401,2031,1369,102,555,3,2,0,0,165,12,1828,4,6,16
22017023402,1627,1170,94,360,2,1,0,0,129,8,1469,0,8,13
22017023500,2339,1818,37,483,1,0,0,0,10,2,2322,0,2,3
22017023600,1902,1485,43,372,2,0,0,0,17,6,1872,1,5,1
22017023701,2004,1397,67,536,3,1,0,0,95,7,1884,0,2,16
22017023702,1503,1087,79,333,2,2,0,0,98,5,1381,3,5,11
22017023801,2750,1348,847,536,17,2,0,0,1199,39,1342,30,26,114
22017023802,1212,943,40,226,3,0,0,0,32,1,1169,1,2,7
22017023903,2590,704,1251,619,14,2,0,0,1767,96,494,40,49,144
22017023904,1945,620,829,480,16,0,0,0,1251,64,444,32,44,110
22017023905,2730,831,1165,714,17,3,0,0,1722,45,634,79,76,174
22017023906,2082,608,954,497,21,2,0,0,1461,60,397,23,22,119
22017023907,2273,693,944,621,11,4,0,0,1440,85,485,72,38,153
22017024001,4862,807,2913,1105,33,4,0,0,3742,143,428,111,65,373
22017024002,4585,827,2747,989,21,1,0,0,3573,111,390,131,110,270
22017024102,2518,988,895,621,14,0,0,0,1465,42,836,12,29,134
22017024104,3717,2304,573,825,13,2,0,0,940,59,2616,14,23,65
22017024107,2829,1557,570,692,9,1,0,0,1044,53,1605,23,16,88
22017024108,3996,1813,1256,914,11,2,0,0,1941,102,1738,18,31,166
