GEOID20,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
49045131101,1887,797,758,244,45,17,3,14,0,1477,167,6,27,18,192
49045131102,1705,849,563,187,68,19,4,5,0,1416,120,3,14,20,132
49045131200,1722,760,649,226,56,20,1,3,0,1410,149,0,22,20,121
49045980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49053270101,2434,1642,433,187,86,36,1,14,0,2127,67,1,33,18,188
49053270102,1681,833,513,207,77,19,1,6,0,1473,40,0,23,18,127
49053270200,1580,1174,232,80,58,12,1,10,0,1392,45,0,7,9,127
49053270301,2724,1694,597,269,97,43,4,7,0,2328,142,1,27,26,200
49053270302,1856,1153,369,243,61,12,0,9,0,1604,28,1,18,10,195
49053270401,3598,2065,840,467,143,40,4,13,0,3049,201,2,36,40,270
49053270402,1523,821,361,245,56,16,2,10,0,1339,49,3,10,13,109
49053270501,1345,984,223,71,53,9,0,1,0,1196,29,0,13,10,97
49053270502,2816,1842,611,243,69,28,2,7,0,2413,134,0,28,16,225
49053270601,3243,1984,700,377,120,29,4,11,0,2774,184,0,26,50,209
49053270602,964,621,179,107,39,9,1,3,0,811,38,4,9,10,92
49053270701,1837,874,484,303,100,35,2,17,0,1365,243,4,17,26,182
49053270702,2570,1517,546,346,118,15,2,12,0,2097,181,4,27,25,236
49053270802,3568,2305,729,329,132,41,2,11,0,2973,192,0,50,41,312
49053270803,2790,1966,518,163,84,30,3,12,0,2429,95,2,27,24,213
49053270804,2551,1779,503,120,90,30,4,12,0,2241,93,0,22,20,175
49053270805,3081,1876,711,284,127,33,8,16,0,2567,215,0,37,30,232
49053270806,1126,693,223,156,43,4,0,1,0,959,48,0,11,9,99
49053270901,1906,1312,358,135,68,18,1,7,0,1714,57,2,13,9,111
49053270903,1726,1074,417,115,63,25,5,12,0,1482,81,1,28,14,120
49053270904,2548,1496,535,335,123,30,1,11,0,2127,145,2,22,23,229
49053270905,3154,2103,595,225,133,49,2,22,0,2693,138,0,25,25,273
49053271000,2001,1205,454,185,103,23,2,7,0,1732,107,0,15,13,134
49053271101,1859,1011,447,241,104,26,6,14,0,1458,186,1,31,35,148
49053271102,2526,1427,605,323,93,46,4,12,0,2006,231,2,29,42,216
49053271200,1580,988,344,161,54,22,5,1,0,1298,96,2,28,14,142
49053271300,1417,809,331,170,60,27,4,9,0,1142,119,1,19,23,113
49053271400,1541,948,324,165,55,27,1,7,0,1291,114,1,11,10,114
49053271501,2589,1544,563,283,123,41,1,16,0,2161,137,2,32,32,225
49053271502,1410,902,285,146,53,10,2,5,0,1210,58,1,20,15,106
49053271600,4198,2671,854,467,141,37,2,7,0,3611,143,4,45,38,357
49053271702,5656,3796,1139,386,221,63,3,14,0,4865,236,2,69,61,423
49053271703,3544,2490,651,222,127,33,3,9,0,3100,85,1,41,53,264
49053271704,4221,2931,786,258,136,64,1,13,0,3664,159,1,57,40,300
49053271800,1732,1163,327,165,43,20,1,3,0,1490,71,1,22,21,127
49033950100,1306,1065,174,44,16,6,0,1,0,1184,29,0,10,6,77
49049000102,2734,1545,800,247,89,28,2,7,0,2351,149,1,36,21,176
49049000103,1942,1147,560,137,61,22,2,5,0,1727,77,1,17,11,109
49049000104,1586,983,436,111,33,14,0,2,0,1397,50,2,19,14,104
49049000105,2064,1332,530,114,55,17,1,7,0,1845,69,0,19,21,110
49049000203,2173,1315,582,148,78,25,3,6,0,1862,93,0,30,22,166
49049000205,1934,1311,454,91,56,11,0,3,0,1741,47,1,25,15,105
49049000206,1959,1246,503,138,46,12,3,2,0,1712,52,1,36,25,133
49049000207,981,595,242,89,27,20,2,4,0,811,51,1,22,17,79
49049000208,1825,1072,517,139,59,20,3,5,0,1603,83,1,19,15,104
49049000400,1851,954,577,204,71,22,4,7,0,1551,137,2,31,17,113
49049000504,1980,1193,530,146,64,20,4,13,0,1701,56,1,22,19,181
49049000505,1739,1082,435,133,53,26,0,2,0,1544,54,0,19,22,100
49049000506,1907,1179,509,134,47,21,0,6,0,1686,97,0,14,24,86
49049000507,1081,634,303,78,34,19,1,5,0,960,37,0,16,9,59
49049000508,1979,1114,567,185,72,21,2,9,0,1677,126,1,16,21,138
49049000510,1277,670,354,153,63,23,2,6,0,1034,83,0,21,19,120
49049000511,1527,711,521,178,66,39,3,2,0,1225,140,5,23,26,108
49049000601,1862,1243,418,119,47,18,1,10,0,1575,99,1,30,25,132
49049000603,2370,1685,506,95,53,18,2,5,0,2092,70,1,24,18,165
49049000604,1803,1255,372,112,40,18,1,1,0,1527,84,5,27,18,142
49049000703,2022,1091,593,210,68,31,4,13,0,1617,196,2,35,27,145
49049000706,2555,1433,703,264,94,33,4,7,0,2035,200,1,52,50,217
49049000707,1753,1067,452,153,37,21,5,3,0,1439,128,2,34,13,137
49049000708,1495,938,388,115,33,15,3,2,0,1268,82,0,24,15,106
49049000709,1497,950,393,108,26,7,0,5,0,1244,97,0,37,6,113
49049000710,1693,1098,405,131,40,11,2,1,0,1464,56,1,42,22,108
49049000711,1297,894,278,74,32,6,1,10,0,1152,29,2,21,13,80
49049000801,1787,888,573,218,60,21,4,14,0,1342,271,1,37,21,115
49049000803,802,385,269,93,34,13,0,4,0,611,98,1,14,13,65
49049000804,1488,771,430,191,64,15,1,7,0,1195,146,0,21,24,102
49049000901,1837,946,534,249,68,23,2,9,0,1410,259,1,32,17,118
49049000903,1823,1176,453,126,45,12,2,3,0,1562,83,0,35,19,124
49049000904,1725,1114,384,132,53,28,2,3,0,1466,84,0,27,20,128
49049001001,1900,1174,480,163,58,12,4,2,0,1596,110,0,42,31,121
49049001002,1317,839,314,102,45,12,1,3,0,1131,56,0,33,11,86
49049001103,1426,738,422,180,56,18,4,4,0,1142,111,4,25,12,132
49049001105,1614,910,444,169,49,25,1,2,0,1330,119,5,39,18,103
49049001106,1354,755,397,129,38,21,1,8,0,1113,106,0,16,12,107
49049001107,1890,1184,460,171,46,20,0,1,0,1544,124,1,37,39,145
49049001108,932,413,303,141,44,21,2,3,0,662,141,1,18,25,85
49049001201,2202,1271,613,184,84,32,4,5,0,1775,128,6,59,36,198
49049001202,1749,898,538,214,54,21,1,6,0,1386,176,0,33,22,132
49049001300,1903,1042,540,203,78,24,2,5,0,1560,115,1,59,20,148
49049001401,2128,1380,485,175,53,22,2,1,0,1843,61,0,42,15,167
49049001403,497,223,174,54,31,8,0,1,0,405,49,0,1,1,41
49049001404,1266,607,439,144,47,19,0,3,0,994,122,3,25,17,105
49049001501,2273,1504,487,186,67,21,2,1,0,1968,68,3,52,26,156
49049001503,2119,1363,500,186,53,8,2,2,0,1850,70,4,38,13,144
49049001504,2320,1520,570,165,39,16,0,3,0,1998,79,0,55,29,159
49049001601,779,362,292,65,40,10,1,2,0,645,42,0,18,6,68
49049001602,208,83,100,14,7,3,0,0,0,167,8,0,4,5,24
49049001701,1766,1031,444,218,51,10,1,1,0,1501,53,4,44,19,145
49049001702,1471,717,538,122,64,14,3,3,0,1190,72,1,39,29,140
49049001801,1506,603,614,175,80,24,1,3,0,1272,60,4,33,11,126
49049001802,1770,761,666,199,100,29,2,5,0,1449,107,0,27,14,173
49049001803,731,311,264,109,23,13,0,5,0,598,58,1,9,7,58
49049001900,1088,508,395,98,51,24,1,3,0,853,76,4,23,13,119
49049002001,980,449,347,111,45,11,3,4,0,773,95,1,16,17,78
49049002002,1027,444,360,150,38,21,3,4,0,735,188,0,17,13,74
49049002101,2162,1409,522,164,35,20,1,7,0,1838,92,0,43,20,169
49049002102,1335,740,399,121,42,18,0,5,0,1082,118,0,23,15,97
49049002204,1846,1007,509,227,64,19,1,6,0,1346,248,3,38,27,184
49049002205,1641,870,485,190,60,20,4,5,0,1256,225,2,26,22,110
49049002206,1480,764,451,196,43,7,1,8,0,1093,234,3,33,12,105
49049002208,2172,1233,616,175,94,39,3,4,0,1727,167,2,51,32,193
49049002209,1035,425,334,169,70,29,0,1,0,741,125,6,23,24,116
49049002210,640,273,205,109,26,22,1,1,0,466,93,5,16,13,47
49049002211,527,235,165,82,27,12,3,0,0,406,50,3,7,3,58
49049002212,2294,1366,614,178,96,23,5,1,0,1827,179,1,69,35,183
