GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
55045960400,2895,1019,1159,717,0,0,2358,61,0,23,25,428
55045960500,2352,866,897,589,0,0,1899,44,2,16,22,369
55045960600,2213,917,791,505,0,0,1844,28,2,22,24,293
55045960700,3205,1619,1085,501,0,0,2694,46,0,9,26,430
55045960800,2779,1146,1040,593,0,0,2334,36,1,14,14,380
55037190101,918,404,47,467,0,0,773,13,0,2,15,115
55037190102,1461,792,136,533,0,0,1248,12,2,3,22,174
55037190200,1448,808,128,512,0,0,1242,15,0,5,13,173
55125940000,2622,850,493,1279,0,0,2150,52,2,5,32,381
55125950201,2681,1179,406,1096,0,0,2181,34,1,18,39,408
55125950202,1445,628,259,558,0,0,1166,17,1,5,41,215
55125950501,2752,1230,448,1074,0,0,2236,43,2,14,45,412
55125950502,2939,1195,447,1297,0,0,2340,38,0,22,61,478
55125950601,2663,1142,418,1103,0,0,2176,22,2,10,58,395
55125950602,1884,821,285,778,0,0,1544,14,1,5,20,300
55125950700,3697,1529,594,1574,0,0,2999,40,1,20,58,579
55117000100,2720,1231,629,860,0,0,2093,120,3,62,37,405
55117000201,1403,409,331,663,0,0,914,144,9,117,25,194
55117000202,2729,965,611,1153,0,0,1939,150,7,128,45,460
55117000300,4868,2287,1066,1515,0,0,3473,244,10,291,89,761
55117000400,2878,1164,634,1080,0,0,2071,141,7,160,31,468
55117000500,1813,322,445,1046,0,0,1209,183,17,118,17,269
55117000800,2672,770,663,1239,0,0,1775,312,17,146,50,372
55117000900,3214,1128,797,1289,0,0,2245,223,12,164,53,517
55117001000,4791,2243,1067,1481,0,0,3399,246,10,306,80,750
55117001100,2516,1103,565,848,0,0,1854,144,5,100,30,383
55117010100,1116,684,191,241,0,0,892,23,0,16,13,172
55117010200,3320,2049,493,778,0,0,2639,62,7,26,31,555
55117010300,2657,1593,473,591,0,0,2154,21,0,14,42,426
55117010400,1936,1223,332,381,0,0,1581,15,0,7,13,320
55117010502,3005,1380,564,1061,0,0,2385,46,2,27,34,511
55117010503,2643,1149,464,1030,0,0,2131,51,3,21,33,404
55117010504,3351,1976,579,796,0,0,2725,44,2,21,32,527
55117010601,4829,2478,784,1567,0,0,3796,89,3,39,56,846
55117010602,3299,1661,449,1189,0,0,2536,61,1,54,33,614
55117010700,7161,4106,1423,1632,0,0,5501,142,7,219,105,1187
55117010800,2970,1769,620,581,0,0,2239,87,0,60,46,538
55117010900,2378,1515,341,522,0,0,1899,24,0,20,33,402
55117011000,2060,1196,292,572,0,0,1616,42,0,10,18,374
55117011100,2408,1535,328,545,0,0,1906,23,1,31,14,433
55117011200,2796,1705,357,734,0,0,2222,48,1,18,37,470
55117011301,3544,2122,522,900,0,0,2672,85,2,14,28,743
55117011302,2234,1440,318,476,0,0,1676,71,3,7,24,453
55117011400,1694,438,426,830,0,0,1250,104,9,35,29,267
55117990000,0,0,0,0,0,0,0,0,0,0,0,0
55001950100,2888,1290,976,622,0,0,2363,26,2,15,20,462
55001950201,1135,418,400,317,0,0,940,14,0,10,14,157
55001950203,824,225,536,63,0,0,667,21,0,1,10,125
55001950204,1367,456,721,190,0,0,1128,28,0,4,3,204
55001950400,3111,844,1638,629,0,0,2561,73,4,13,36,424
55001950501,1137,419,444,274,0,0,945,21,1,4,21,145
55001950502,1968,680,1014,274,0,0,1656,37,6,7,21,241
55001950700,2910,1169,1026,715,0,0,2392,68,3,17,36,394
55103970100,1917,666,801,450,0,0,1594,25,5,6,11,276
55103970200,2825,1301,977,547,0,0,2388,28,0,17,27,365
55103970300,2615,828,860,927,0,0,2214,27,0,13,21,340
55103970400,2598,713,793,1092,0,0,2188,42,0,17,36,315
55103970500,2655,980,1013,662,0,0,2217,28,1,20,31,358
55043960100,2151,822,818,511,0,0,1780,12,1,25,17,316
55043960200,2448,764,1212,472,0,0,2095,29,2,15,14,293
55043960300,2514,1004,973,537,0,0,2118,32,0,19,31,314
55043960400,2116,939,734,443,0,0,1797,23,1,6,43,246
55043960500,2456,1142,837,477,0,0,2006,12,0,17,16,405
55043960600,2168,1069,724,375,0,0,1826,15,1,20,10,296
55043960700,2605,1133,935,537,0,0,2235,32,1,17,16,304
55043960800,2281,1058,751,472,0,0,1900,20,0,13,17,331
55043960900,3875,709,1017,2149,0,0,3136,74,10,32,37,586
55043961000,6376,1102,1399,3875,0,0,5132,98,21,69,84,972
55043961100,3170,1433,1052,685,0,0,2683,36,0,8,21,422
55043961200,3121,1350,983,788,0,0,2565,32,1,6,18,499
55061960100,2096,946,417,733,0,0,1668,32,0,7,17,372
55061960200,1840,975,375,490,0,0,1346,16,0,4,15,459
55061960401,3569,2035,623,911,0,0,2656,26,2,17,40,828
55061960402,2925,1746,526,653,0,0,2157,34,0,9,25,700
55061960500,4311,2185,881,1245,0,0,3104,52,4,21,91,1039
55061990000,0,0,0,0,0,0,0,0,0,0,0,0
55137960100,2250,1247,382,621,0,0,1793,26,0,6,28,397
55137960201,1071,568,202,301,0,0,845,24,1,0,11,190
55137960202,2153,1144,367,642,0,0,1764,25,1,19,22,322
55137960300,2141,960,449,732,0,0,1701,116,0,6,10,308
55137960400,2357,1149,450,758,0,0,1868,63,1,8,26,391
55137960600,1677,832,283,562,0,0,1324,23,0,12,20,298
55137960700,2250,1074,380,796,0,0,1768,60,0,21,19,382
55137960800,2730,1172,545,1013,0,0,2102,148,2,16,31,431
55035000100,2488,873,1057,558,0,0,2061,45,0,13,38,331
55035000200,3546,1667,1101,778,0,0,2927,43,2,22,28,524
55035000301,2811,1239,1051,521,0,0,2292,26,0,41,39,413
55035000302,6462,2753,1866,1843,0,0,5203,85,9,124,79,962
55035000401,1960,824,581,555,0,0,1586,18,0,32,36,288
55035000402,4761,1485,1731,1545,0,0,3825,78,11,67,49,731
55035000501,3919,1492,1562,865,0,0,3185,53,1,117,36,527
55035000502,3797,1508,1323,966,0,0,3052,44,2,114,50,535
55035000600,3881,765,1753,1363,0,0,2944,74,13,183,51,616
55035000700,4232,1059,1671,1502,0,0,3410,71,3,99,35,614
55035000801,4565,1669,1165,1731,0,0,3643,54,8,93,58,709
55035000802,3339,1363,1045,931,0,0,2645,39,6,114,36,499
55035000803,4814,1426,1760,1628,0,0,3677,104,15,150,73,795
55035000900,4036,1187,1790,1059,0,0,3119,70,9,160,57,621
55035001101,2064,110,1676,278,0,0,1598,31,12,44,20,359
55035001200,6130,339,2486,3305,0,0,4722,98,10,118,88,1094
55035001300,3986,1505,1405,1076,0,0,3114,47,6,209,44,566
55035001401,2607,859,939,809,0,0,2039,37,2,106,22,401
55035001402,2972,850,1095,1027,0,0,2366,53,6,95,30,422
55035001500,2740,1093,904,743,0,0,2222,21,4,90,21,382
55035001600,4492,2386,1386,720,0,0,3670,45,1,72,49,655
55035001700,5736,369,848,4519,0,0,4403,105,9,114,72,1033
55055100100,3651,1634,769,1248,0,0,2870,126,6,20,34,595
55055100200,1991,692,448,851,0,0,1552,92,6,11,17,313
55055100301,2747,1466,624,657,0,0,2180,100,1,13,34,419
55055100302,2944,415,326,2203,0,0,2320,106,0,16,47,455
55055100400,4070,1853,1118,1099,0,0,3129,170,6,32,20,713
55055100500,5190,2204,1501,1485,0,0,4194,132,8,36,56,764
55055100601,1305,654,410,241,0,0,1062,26,1,10,10,196
55055100602,2633,1269,777,587,0,0,2125,38,3,20,52,395
55055100700,3670,1880,803,987,0,0,2902,106,7,26,37,592
55055100800,3207,1860,525,822,0,0,2601,46,1,9,27,523
55055100900,2923,1639,594,690,0,0,2433,46,0,27,40,377
55055101000,2684,1061,726,897,0,0,2119,98,2,14,33,418
55055101100,2981,1054,783,1144,0,0,2281,196,5,29,43,427
55055101201,1914,980,431,503,0,0,1602,20,1,6,13,272
55055101202,1318,678,317,323,0,0,1094,26,0,10,22,166
55055101300,4070,1580,1287,1203,0,0,3253,149,12,52,73,531
55055101400,2087,742,654,691,0,0,1624,112,0,19,33,299
55055101500,2559,1009,710,840,0,0,2089,82,3,31,19,335
55055101600,4009,1652,819,1538,0,0,2994,291,12,49,64,599
55055101701,1353,746,195,412,0,0,1097,22,2,7,15,210
55055101702,4069,2435,618,1016,0,0,3263,63,0,16,51,676
55135100100,2562,1403,289,870,0,0,2057,24,0,17,14,450
55135100200,1839,1104,226,509,0,0,1488,27,0,23,6,295
55135100300,2812,1539,493,780,0,0,2277,28,1,8,26,472
55135100400,3049,1756,395,898,0,0,2418,40,3,9,28,551
55135100500,1778,988,335,455,0,0,1443,32,2,11,20,270
55135100600,4106,2102,742,1262,0,0,3325,72,0,13,45,651
55135100700,2248,1119,324,805,0,0,1799,39,1,12,10,387
55135100800,3660,2315,504,841,0,0,2960,51,0,17,21,611
55135100900,3929,1808,670,1451,0,0,3166,157,1,32,34,539
55135101000,4343,1719,801,1823,0,0,3510,94,4,30,40,665
55135101100,3243,1287,492,1464,0,0,2595,68,0,24,24,532
55135101200,2751,1683,437,631,0,0,2302,31,1,7,11,399
55111000101,1160,519,445,196,0,0,946,23,0,21,9,161
55111000102,1121,284,398,439,0,0,878,44,0,12,35,152
55111000103,1716,663,557,496,0,0,1338,68,1,10,39,260
55111000104,601,176,179,246,0,0,450,27,0,9,9,106
55111000200,3755,1721,1145,889,0,0,3133,48,1,22,48,503
55111000301,2442,542,912,988,0,0,1956,86,4,27,27,342
55111000302,1064,284,338,442,0,0,877,26,0,4,9,148
55111000303,1584,532,565,487,0,0,1303,44,3,9,10,215
55111000401,4752,1745,1456,1551,0,0,3850,100,2,43,50,707
55111000402,2753,781,846,1126,0,0,2269,51,2,12,38,381
55111000500,2592,1156,850,586,0,0,2065,126,3,7,24,367
55111000601,1184,590,411,183,0,0,989,16,0,4,5,170
55111000602,1473,462,603,408,0,0,1181,60,4,6,9,213
55111000603,2511,958,882,671,0,0,2063,44,1,18,16,369
55111000700,2076,811,832,433,0,0,1689,68,1,7,18,293
55111000800,3032,1172,1194,666,0,0,2473,39,0,22,25,473
55111000901,1382,547,465,370,0,0,1158,11,1,7,12,193
55111000902,1088,464,328,296,0,0,905,7,0,2,14,160
55111000903,853,391,289,173,0,0,696,6,0,2,11,138
55111001002,1854,492,614,748,0,0,1502,75,1,6,21,249
