GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
53077002005,1027,836,151,40,0,0,190,772,1,13,14,37
53077002006,2325,1684,520,121,0,0,700,1503,0,18,15,89
53077002101,1069,484,468,117,0,0,568,413,0,7,5,76
53077002103,1234,718,419,97,0,0,476,678,0,2,6,72
53077002104,1898,1399,385,114,0,0,509,1289,1,7,11,81
53077002201,2928,1283,1273,372,0,0,1854,844,2,20,20,188
53077002202,1280,665,469,146,0,0,678,497,0,14,11,80
53077002701,1015,779,180,56,0,0,253,725,3,2,11,21
53077002801,4033,1198,2281,554,0,0,3138,398,3,42,51,401
53077002803,4037,1400,1928,709,0,0,3027,537,2,95,49,327
53077002804,2620,842,1411,367,0,0,1988,300,1,63,55,213
53077002900,3757,1716,1639,402,0,0,2478,951,3,34,32,259
53077003002,2504,778,1336,390,0,0,2066,193,3,18,22,202
53077003003,1240,342,678,220,0,0,1061,61,0,12,3,103
53077003004,2157,589,1247,321,0,0,1796,138,0,14,25,184
53077003100,3793,1186,2010,597,0,0,2999,389,5,22,48,330
53077003200,4069,1645,1676,748,0,0,3057,605,15,38,32,322
53077003400,3504,1099,1829,576,0,0,2883,274,0,35,35,277
53077940001,3216,1834,860,522,0,0,1474,1221,3,42,85,391
53077940002,1931,1268,419,244,0,0,881,718,0,18,50,264
53077940003,2058,1009,663,386,0,0,1229,417,8,13,41,350
53077940005,1721,1424,226,71,0,0,390,1225,0,8,21,77
53077940006,1719,1514,166,39,0,0,293,1296,6,7,16,101
53077940007,1530,1325,141,64,0,0,294,1074,1,12,32,117
53077940008,895,757,100,38,0,0,141,655,0,7,13,79
53075000100,1664,982,148,534,0,0,1182,130,11,73,50,218
53075000201,2593,1384,617,592,0,0,1982,154,21,112,55,269
53075000202,1681,1017,303,361,0,0,1270,98,10,61,35,207
53075000300,3770,1997,946,827,0,0,2848,184,14,234,93,397
53075000400,2743,1642,587,514,0,0,2159,121,11,106,55,291
53075000500,192,156,3,33,0,0,124,19,3,21,6,19
53075000601,1354,1051,97,206,0,0,878,142,17,105,46,166
53075000602,1592,1284,178,130,0,0,1036,236,23,85,47,165
53075000700,2718,978,1325,415,0,0,2358,52,5,18,20,265
53075000800,2590,726,1438,426,0,0,2229,51,3,39,26,242
53075000900,2671,758,1514,399,0,0,2304,55,2,24,17,269
53075001000,1603,472,904,227,0,0,1379,24,9,12,8,171
53059950100,48,21,24,3,0,0,37,0,0,0,0,11
53059950200,3401,1173,1478,750,0,0,2917,78,0,48,41,317
53059950300,1718,813,565,340,0,0,1472,52,2,16,22,154
53059950400,1627,747,598,282,0,0,1362,59,0,14,14,178
53059950500,1750,638,770,342,0,0,1481,67,0,10,20,172
53005010100,3608,1665,1377,566,0,0,2904,143,9,147,63,342
53005010201,4845,1647,2030,1168,0,0,3871,271,7,180,87,429
53005010203,2311,981,765,565,0,0,1789,229,6,62,34,191
53005010204,1551,887,349,315,0,0,1104,199,25,29,42,152
53005010300,3700,1352,1442,906,0,0,2905,326,11,59,55,344
53005010400,2224,949,767,508,0,0,1735,221,5,31,38,194
53005010500,1740,685,512,543,0,0,1331,196,8,25,26,154
53005010600,2734,1208,861,665,0,0,2062,286,11,52,62,261
53005010701,1637,389,890,358,0,0,1360,101,2,19,16,139
53005010703,2254,739,1070,445,0,0,1803,213,1,25,20,192
53005010705,4065,1207,2035,823,0,0,3365,208,10,73,60,349
53005010707,2367,652,1209,506,0,0,1964,135,2,38,32,196
53005010708,3389,1020,1576,793,0,0,2724,255,11,64,46,289
53005010807,868,193,514,161,0,0,707,51,1,13,15,81
53005010809,3981,1459,1516,1006,0,0,2933,528,13,91,64,352
53005010810,3808,1306,1728,774,0,0,3001,231,2,114,71,389
53005010811,3916,1156,2074,686,0,0,3111,220,1,147,91,346
53005010814,3585,783,2123,679,0,0,2952,150,6,66,55,356
53005010815,6851,2242,3081,1528,0,0,5377,590,3,167,142,572
53005010816,3777,1307,1780,690,0,0,2975,314,7,77,60,344
53005010817,4411,1498,2037,876,0,0,3421,313,9,177,118,373
53005010818,2149,729,892,528,0,0,1621,204,3,67,65,189
53005010819,3227,1145,1368,714,0,0,2482,240,6,129,78,292
53005010820,2630,1115,932,583,0,0,1935,265,11,96,63,260
53005010901,2774,1407,923,444,0,0,1961,479,32,36,64,202
53005010902,2831,1422,953,456,0,0,2076,442,11,49,41,212
53005011001,2779,1178,1038,563,0,0,1942,501,18,36,84,198
53005011002,2443,1134,758,551,0,0,1654,516,11,35,34,193
53005011100,4476,1833,1736,907,0,0,3117,818,7,55,79,400
53005011201,1624,1129,358,137,0,0,886,528,9,45,46,110
53005011202,1049,787,200,62,0,0,588,322,10,26,22,81
53005011300,2267,1454,640,173,0,0,1294,749,7,25,32,160
53005011401,1925,948,620,357,0,0,1254,480,5,29,27,130
53005011402,4075,1265,1980,830,0,0,3173,475,1,33,74,319
53005011501,4089,1302,1991,796,0,0,3145,578,1,24,41,300
53005011504,2048,629,1019,400,0,0,1561,263,1,22,39,162
53005011505,2858,1077,1295,486,0,0,2224,313,6,60,46,209
53005011506,4403,1387,2184,832,0,0,3385,406,7,98,95,412
53005011600,381,116,201,64,0,0,254,91,0,5,2,29
53005011701,1349,585,536,228,0,0,835,388,2,12,3,109
53005011702,2672,1195,1079,398,0,0,1793,655,2,35,15,172
53005011801,1884,688,914,282,0,0,1275,481,3,12,18,95
53005011802,1607,719,719,169,0,0,986,489,2,9,7,114
53005011900,3577,1177,1676,724,0,0,2717,524,2,18,42,274
53005012000,0,0,0,0,0,0,0,0,0,0,0,0
53037975101,2495,843,1167,485,0,0,2088,61,3,26,47,270
53037975102,1190,428,511,251,0,0,1008,26,1,10,12,133
53037975103,995,375,408,212,0,0,825,39,0,12,19,100
53037975104,1536,717,513,306,0,0,1230,41,6,15,44,200
53037975201,2485,854,1169,462,0,0,2097,57,3,42,25,261
53037975202,1287,490,632,165,0,0,1119,30,0,14,16,108
53037975203,1045,342,550,153,0,0,901,20,0,8,16,100
53037975300,3887,1227,1997,663,0,0,3332,133,3,42,54,323
53037975402,3710,1839,1264,607,0,0,3062,200,5,59,42,342
53037975403,2070,984,674,412,0,0,1633,140,2,36,30,229
53037975404,1740,1323,277,140,0,0,1342,162,15,43,21,157
53037975500,3699,2097,1012,590,0,0,2885,318,12,80,54,350
53037975600,1343,784,281,278,0,0,1064,115,4,24,20,116
53037975700,3217,1059,1661,497,0,0,2635,208,3,21,24,326
53063000201,1845,1241,476,128,0,0,1467,101,12,25,44,196
53063000202,1011,578,238,195,0,0,803,50,11,14,28,105
53063000301,1595,899,454,242,0,0,1268,87,11,27,40,162
53063000302,1624,962,413,249,0,0,1265,82,13,49,43,172
