GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
19023070300,1834,917,378,535,2,2,0,0,1558,8,0,10,12,246
19023070400,2647,1451,452,728,14,2,0,0,2196,18,0,22,15,396
19023070500,2055,785,506,752,9,3,0,0,1706,23,0,10,13,303
19071970100,1454,787,286,374,4,3,0,0,1279,7,0,6,24,138
19071970200,1888,1103,374,396,10,5,0,0,1688,32,0,9,9,150
19071970300,1312,678,290,331,9,4,0,0,1166,25,2,5,8,106
19049050100,5447,2023,1460,1916,43,5,0,0,4608,86,13,88,72,580
19049050200,2841,1141,688,988,20,4,0,0,2503,49,2,14,25,248
19049050300,2462,596,921,924,15,6,0,0,1765,436,8,24,25,204
19049050400,1568,312,585,651,15,5,0,0,975,438,1,17,17,120
19049050500,1495,568,380,539,6,2,0,0,1309,19,1,7,7,152
19049050600,2268,894,512,836,19,7,0,0,1973,39,2,12,21,221
19049050700,4452,1639,1033,1743,31,6,0,0,3834,72,1,35,49,461
19049050803,8374,3121,2425,2771,55,2,0,0,6734,174,30,246,203,987
19049050805,4743,1995,1405,1310,29,4,0,0,3900,101,9,156,83,494
19049050807,6067,1807,2033,2174,42,11,0,0,4709,236,33,140,166,783
19049050812,2895,1141,903,828,18,5,0,0,2372,52,10,74,71,316
19049050813,1054,293,335,409,15,2,0,0,792,54,12,38,17,141
19049050814,3268,1029,1070,1122,40,7,0,0,2493,84,21,131,111,428
19049050815,2729,863,977,861,22,6,0,0,2055,81,17,133,107,336
19049050816,3084,997,1085,965,33,4,0,0,2464,76,34,112,68,330
19049050817,4211,1339,1362,1466,42,2,0,0,3377,126,17,115,80,496
19049050818,2336,751,736,820,21,8,0,0,1821,75,27,73,58,282
19049050901,2442,787,819,813,20,3,0,0,2088,63,7,29,34,221
19049050902,3738,1432,845,1416,38,7,0,0,3229,63,4,34,53,355
19197680100,2276,1035,548,687,4,2,0,0,1808,101,0,20,15,332
19197680200,960,460,177,318,4,1,0,0,827,10,0,6,2,115
19197680300,1825,887,443,489,4,2,0,0,1473,112,1,13,9,217
19197680400,763,355,171,232,3,2,0,0,624,29,2,7,5,96
19197680500,1863,749,465,636,10,3,0,0,1555,90,0,18,6,194
19019950100,1618,505,438,668,5,2,0,0,1421,16,2,8,11,160
19019950200,1986,545,494,943,3,1,0,0,1704,25,0,12,22,223
19019950300,2053,558,567,919,9,0,0,0,1717,24,0,14,22,276
19019950400,1801,477,540,771,11,2,0,0,1563,22,1,15,14,186
19019950500,2676,733,838,1089,13,3,0,0,2319,41,2,26,26,262
19019950600,3241,999,856,1371,10,5,0,0,2819,19,3,6,22,372
19189680100,2926,1228,661,1021,12,4,0,0,2349,88,1,19,23,446
19189680200,1858,807,403,638,10,0,0,0,1452,49,0,6,7,344
19189680300,2696,968,684,1017,24,3,0,0,2162,117,4,31,15,367
19087970100,2593,1240,471,862,16,4,0,0,2179,56,1,17,21,319
19087970200,2211,1053,405,738,10,5,0,0,1915,16,1,9,5,265
19087970300,2897,1053,737,1088,17,2,0,0,2367,110,42,79,12,287
19087970400,2768,1082,767,892,17,10,0,0,2303,95,4,94,27,245
19087970500,2630,996,616,1007,9,2,0,0,2317,28,2,19,13,251
19005960100,1577,613,463,497,3,1,0,0,1334,16,0,4,7,216
19005960200,1851,896,411,536,8,0,0,0,1609,40,0,1,9,192
19005960300,2703,1262,644,781,12,4,0,0,2270,42,6,8,17,360
19005960400,1564,695,366,490,9,4,0,0,1337,28,0,2,5,192
19005960500,1584,755,322,500,6,1,0,0,1125,90,5,6,56,302
19075960100,3254,1458,682,1096,16,2,0,0,2736,25,0,18,28,447
19075960200,1965,1125,265,567,7,1,0,0,1618,17,0,17,30,283
19075960300,2083,995,466,607,13,2,0,0,1736,26,1,20,18,282
19075960400,1388,730,274,378,3,3,0,0,1239,17,0,5,9,118
19163010101,2854,1101,698,1030,18,7,0,0,2362,38,1,14,29,410
19163010103,3530,1501,803,1206,20,0,0,0,2843,77,8,111,96,395
19163010104,2876,962,798,1087,24,5,0,0,2413,62,11,14,29,347
19163010201,4822,1727,1222,1841,23,9,0,0,4112,99,5,31,47,528
19163010202,4243,1453,1099,1654,26,11,0,0,3581,72,42,24,42,482
19163010300,1782,702,394,675,9,2,0,0,1526,19,3,6,22,206
19163010401,3847,1357,960,1500,24,6,0,0,3339,73,7,14,25,389
19163010402,2451,840,629,957,20,5,0,0,2097,47,0,20,21,266
19163010600,1470,174,702,570,18,6,0,0,829,117,362,12,12,138
19163010700,791,70,436,269,12,4,0,0,369,74,268,10,8,62
19163010800,1600,246,785,555,10,4,0,0,970,235,198,39,18,140
19163010900,1075,136,499,431,7,2,0,0,733,85,120,30,8,99
19163011000,1435,202,621,584,17,11,0,0,1095,152,58,15,11,104
19163011100,2245,532,833,853,24,3,0,0,1833,111,32,17,16,236
19163011200,1319,217,549,535,15,3,0,0,912,137,138,30,18,84
19163011300,2445,452,931,1037,16,9,0,0,1715,166,222,72,28,242
19163011400,1415,191,639,561,19,5,0,0,850,110,316,19,11,109
19163011500,1438,227,655,536,15,5,0,0,869,95,342,8,16,108
19163011600,2298,457,1009,811,15,6,0,0,1818,123,68,22,22,245
19163011700,2227,452,905,844,20,6,0,0,1800,108,33,25,25,236
19163011800,1696,399,699,585,11,2,0,0,1391,91,27,10,13,164
19163011900,1801,424,662,695,17,3,0,0,1474,70,39,25,13,180
19163012000,2442,645,834,938,19,6,0,0,1953,117,37,44,24,267
19163012100,2419,557,923,901,28,10,0,0,1930,123,30,51,26,259
19163012200,1378,229,545,588,13,3,0,0,1118,80,25,13,12,130
19163012300,973,205,365,389,9,5,0,0,816,59,13,5,4,76
19163012400,896,238,289,354,8,7,0,0,776,32,4,4,3,77
19163012501,2674,593,1015,1037,20,9,0,0,2022,113,166,74,19,280
19163012502,2706,610,1017,1054,20,5,0,0,2128,134,83,69,35,257
19163012601,3146,717,1105,1281,29,14,0,0,2488,153,113,81,30,281
19163012602,2537,549,956,1002,17,13,0,0,1897,138,201,65,25,211
19163012701,2051,471,795,768,15,2,0,0,1567,82,145,73,17,167
19163012702,2349,667,918,752,9,3,0,0,1882,96,56,47,27,241
19163012801,3320,732,1277,1282,22,7,0,0,2303,161,420,88,37,311
19163012802,2770,535,1070,1131,29,5,0,0,2092,137,227,46,32,236
19163012901,3736,1242,1178,1290,21,5,0,0,2849,141,162,137,59,388
19163012902,4389,1525,1432,1398,28,6,0,0,3574,171,59,63,70,452
19163013000,3382,941,1359,1055,26,1,0,0,2698,141,51,47,46,399
19163013100,1430,400,633,386,11,0,0,0,1197,41,9,20,18,145
19163013200,1354,448,475,421,9,1,0,0,1113,52,15,16,15,143
19163013300,2436,675,850,879,26,6,0,0,1979,96,22,29,29,281
19163013400,1987,479,689,797,18,4,0,0,1635,86,12,29,33,192
19163013500,2324,635,807,859,18,5,0,0,1849,82,73,39,34,247
19163013600,1846,528,580,721,11,6,0,0,1519,90,7,27,34,169
19163013702,4749,1755,1385,1581,25,3,0,0,3795,145,8,178,64,559
19163013703,1980,670,580,713,13,4,0,0,1577,87,4,27,47,238
19163013705,3884,1172,1289,1393,24,6,0,0,3145,136,27,60,67,449
19163013706,4977,1863,1310,1772,30,2,0,0,3793,159,15,280,146,584
19139050100,2594,1060,566,951,12,5,0,0,2246,59,1,12,13,263
19139050200,3452,1257,833,1340,15,7,0,0,2903,121,2,26,19,381
19139050300,3103,670,1225,1181,21,6,0,0,1886,910,1,48,18,240
19139050400,2747,1050,730,936,27,4,0,0,2272,222,2,12,12,227
19139050500,2867,867,966,1003,22,9,0,0,2185,331,20,19,22,290
19139050600,4040,1700,1125,1189,19,7,0,0,3325,202,2,47,34,430
19139050700,3498,981,1200,1284,20,13,0,0,2600,491,14,48,31,314
19139050800,1800,438,674,669,14,5,0,0,1274,341,7,12,17,149
19139050900,1565,345,612,589,13,6,0,0,1139,276,15,9,7,119
19139051000,1622,375,596,635,16,0,0,0,1193,286,7,7,2,127
19191950100,2490,1018,558,905,6,3,0,0,2043,22,0,11,40,374
19191950200,4227,930,1906,1364,18,9,0,0,3351,83,16,65,55,657
19191950300,2584,721,1083,766,13,1,0,0,2066,36,4,35,32,411
19191950400,3190,1300,792,1082,9,7,0,0,2563,29,1,21,51,525
19191950500,2113,752,527,822,9,3,0,0,1592,18,0,10,41,452
19095960100,2820,1122,703,971,18,6,0,0,2379,30,2,26,23,360
19095960200,2742,1119,591,1016,14,2,0,0,2285,53,5,20,27,352
19095960300,2325,961,497,848,17,2,0,0,1951,42,0,7,24,301
19095960400,3873,1571,918,1353,25,6,0,0,3198,99,2,20,20,534
19079960100,1337,657,288,387,4,1,0,0,1141,18,0,12,7,159
19079960200,2399,1205,462,716,13,3,0,0,2023,48,5,10,9,304
19079960300,1660,626,492,531,8,3,0,0,1402,60,1,23,9,165
19079960400,3083,1241,910,913,14,5,0,0,2571,117,0,38,19,338
19079960500,1283,646,254,376,6,1,0,0,1142,10,0,5,1,125
19127950100,2072,834,613,614,9,2,0,0,1770,65,0,10,14,213
19127950200,2043,908,440,684,10,1,0,0,1731,34,0,12,6,260
19127950300,2331,939,581,790,18,3,0,0,2043,22,0,16,17,233
19127950400,2078,807,512,742,13,4,0,0,1772,59,0,8,16,223
19127950500,1509,217,683,595,9,5,0,0,723,605,10,41,16,114
19127950600,2185,471,931,758,17,8,0,0,1434,505,13,35,18,180
19127950700,2412,706,940,740,22,4,0,0,1790,277,5,32,31,277
19127950801,2210,775,817,612,4,2,0,0,1708,213,2,48,12,227
19127950802,2454,964,771,699,18,2,0,0,1970,179,8,23,13,261
19127950900,1515,298,672,536,7,2,0,0,923,414,5,37,13,123
19127951000,2566,862,905,780,14,5,0,0,1913,324,11,61,14,243
19151780100,1290,570,245,451,18,6,0,0,1086,30,0,7,9,158
19151780200,2008,993,385,623,4,3,0,0,1704,22,2,16,12,252
19151780300,1415,730,252,425,7,1,0,0,1192,45,1,11,4,162
19181020101,1257,351,510,383,12,1,0,0,1068,72,1,12,16,88
19181020201,3509,1260,1086,1132,26,5,0,0,2986,86,0,30,28,379
19181020202,5702,1994,1725,1932,43,8,0,0,4874,133,6,50,78,561
19181020300,2542,1015,721,792,11,3,0,0,2179,38,6,10,27,282
19181020400,3114,1076,950,1062,22,4,0,0,2757,60,1,21,17,258
19181020500,1653,696,441,504,11,1,0,0,1443,22,7,11,6,164
19181020600,2886,1127,865,880,12,2,0,0,2588,27,4,21,9,237
19181020701,728,164,310,247,6,1,0,0,596,34,0,10,10,78
19181020702,2374,840,768,745,15,6,0,0,2081,30,0,33,15,215
19181020800,2179,786,767,617,7,2,0,0,1926,35,5,8,24,181
19181020900,2344,815,722,779,25,3,0,0,2039,41,3,23,23,215
19181021000,1926,674,601,628,18,5,0,0,1665,30,1,8,25,197
19181021100,3684,1650,878,1126,25,5,0,0,3174,53,3,30,39,385
19181021200,2916,1213,773,900,28,2,0,0,2580,42,0,17,19,258
19173180100,1378,590,281,497,9,1,0,0,1193,101,0,7,2,75
19173180200,1381,856,171,341,10,3,0,0,1241,10,0,14,1,115
19173180300,1110,648,172,286,3,1,0,0,984,10,0,11,3,102
19025950100,1715,801,299,602,11,2,0,0,1494,18,0,13,8,182
19025950200,2008,889,420,688,9,2,0,0,1688,36,1,14,5,264
19025950300,1186,520,210,448,6,2,0,0,1001,10,0,4,8,163
19025950400,1518,609,339,556,13,1,0,0,1322,14,0,3,2,177
19099040100,2713,954,856,894,6,3,0,0,2412,33,1,23,12,232
19099040200,2924,1074,915,924,11,0,0,0,2577,42,1,18,32,254
19099040300,1882,561,735,570,14,2,0,0,1625,42,10,21,11,173
19099040400,3622,974,1385,1231,24,8,0,0,3159,77,14,30,27,315
19099040500,3118,713,1222,1157,23,3,0,0,2705,84,13,23,24,269
19099040600,2091,643,758,672,15,3,0,0,1777,62,8,22,22,200
19099040700,3705,1215,1130,1334,22,4,0,0,3254,59,2,23,18,349
19099040800,3021,1110,822,1071,15,3,0,0,2658,51,3,15,16,278
19099040900,2128,1257,271,595,3,2,0,0,1860,19,0,11,22,216
19099980000,1,0,1,0,0,0,0,0,1,0,0,0,0,0
19149970100,4509,2311,894,1266,30,8,0,0,3608,179,5,20,46,651
19149970200,2268,1007,469,770,14,8,0,0,1761,179,1,21,13,293
19149970300,2235,1252,375,596,11,1,0,0,1907,54,2,4,18,250
19149970400,2142,1144,375,614,6,3,0,0,1793,21,0,3,4,321
19149970500,2117,1121,304,676,11,5,0,0,1822,23,0,12,9,251
19149970600,3982,2110,740,1121,9,2,0,0,3339,84,0,27,42,490
19027960100,2650,1020,566,1045,18,1,0,0,2188,31,0,4,20,407
19027960200,1715,625,389,695,6,0,0,0,1366,4,0,5,10,330
19027960300,4268,1524,1174,1540,22,8,0,0,3542,72,0,24,19,611
19027960400,2628,914,705,991,15,3,0,0,2155,68,4,20,11,370
19027960500,1296,466,345,478,6,1,0,0,1038,30,1,5,10,212
19027960600,1618,570,400,635,12,1,0,0,1354,11,0,11,4,238
19089960100,2578,675,751,1129,18,5,0,0,2060,41,0,13,70,394
19089960200,1868,587,478,799,3,1,0,0,1360,18,0,9,72,409
19089960300,1528,526,372,624,6,0,0,0,1222,18,0,8,22,258
19157370100,2140,761,425,944,9,1,0,0,1723,41,2,16,16,342
19157370200,2272,930,514,820,8,0,0,0,1977,27,1,13,11,243
19157370300,3920,780,2067,1043,23,7,0,0,3100,134,40,153,54,439
19157370400,3066,671,1312,1065,15,3,0,0,2498,102,10,55,46,355
19157370500,2206,914,379,901,10,2,0,0,1924,28,3,13,16,222
19113000101,4561,1690,1456,1392,21,2,0,0,3772,89,5,56,62,577
19113000102,4799,1492,1692,1575,36,4,0,0,3976,95,11,78,58,581
19113000103,1284,385,472,410,14,3,0,0,1084,25,9,9,16,141
19113000201,3332,897,1219,1175,30,11,0,0,2633,89,62,80,47,421
