GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40113940009,2161,1517,352,283,9,0,0,1918,39,2,18,12,172
40113940011,724,415,200,103,6,0,0,661,4,2,0,5,52
40113940012,1250,596,490,154,10,0,0,1081,19,6,4,40,100
40113940013,1210,505,452,249,4,0,0,1051,32,11,4,21,91
40113940014,1939,1207,409,302,21,0,0,1729,43,1,18,15,133
40113940015,2616,1660,547,385,24,0,0,2311,70,6,20,35,174
40147000100,838,383,216,227,12,0,0,723,43,10,2,15,45
40147000200,848,339,251,241,17,0,0,683,37,43,12,5,68
40147000300,1080,462,320,286,12,0,0,896,54,27,12,13,78
40147000400,2568,1495,548,498,27,0,0,2218,107,2,35,22,184
40147000500,3542,2144,752,613,33,0,0,3072,133,24,39,27,247
40147000601,3174,1960,655,535,24,0,0,2776,100,23,38,15,222
40147000602,1809,1118,348,333,10,0,0,1526,71,9,29,21,153
40147000700,4165,2827,737,578,23,0,0,3642,113,17,62,35,296
40147000800,1844,939,466,424,15,0,0,1588,69,13,9,19,146
40147000900,720,306,210,197,7,0,0,568,35,61,2,2,52
40147001000,1696,1171,323,197,5,0,0,1580,14,4,4,3,91
40147001100,2820,1778,550,478,14,0,0,2505,99,12,13,22,169
40147001200,1543,1105,228,201,9,0,0,1391,23,1,13,6,109
40147001300,3354,2166,706,452,30,0,0,3018,51,7,25,13,240
40103956600,1691,996,469,218,8,0,0,1449,40,18,13,11,160
40103956900,1868,1211,419,228,10,0,0,1613,57,21,11,17,149
40103957000,927,588,237,97,5,0,0,814,15,11,6,5,76
40103957100,1620,1125,337,150,8,0,0,1428,21,2,8,5,156
40015161601,1235,781,302,147,5,0,0,1083,53,15,3,10,71
40015161602,1184,665,417,99,3,0,0,963,57,50,8,7,99
40015161700,1009,619,257,126,7,0,0,852,54,7,2,4,90
40015161800,1461,602,631,224,4,0,0,1090,112,8,5,66,180
40015161900,937,420,397,116,4,0,0,771,33,21,5,15,92
40015162000,820,331,396,92,1,0,0,715,27,8,3,11,56
40015162101,2236,693,1200,330,13,0,0,1717,144,32,16,89,238
40015162102,1382,300,755,319,8,0,0,815,151,109,13,74,220
40015162200,1294,590,517,183,4,0,0,1018,57,7,6,40,166
40015162300,1437,762,449,221,5,0,0,1232,40,13,7,27,118
40071000100,2420,1184,695,523,18,0,0,2039,120,16,18,22,205
40071000201,1516,777,444,274,21,0,0,1287,75,6,7,13,128
40071000202,2463,1441,600,402,20,0,0,2106,108,9,22,22,196
40071000300,2964,1955,664,332,13,0,0,2570,86,15,29,24,240
40071000400,807,352,277,170,8,0,0,635,66,43,3,10,50
40071000500,1403,654,398,337,14,0,0,1144,129,15,6,12,97
40071000600,2152,1380,497,261,14,0,0,1893,43,2,9,31,174
40071001100,1769,1049,452,258,10,0,0,1545,75,3,8,15,123
40071001200,2668,1767,549,339,13,0,0,2344,74,5,14,24,207
40071001301,1755,1052,363,326,14,0,0,1517,94,2,5,13,124
40071001302,2215,1448,461,295,11,0,0,1961,68,1,11,17,157
40017300100,1366,880,324,153,9,0,0,1179,39,6,8,13,121
40017300201,3953,2810,653,461,29,0,0,3416,171,12,26,43,285
40017300202,2473,1609,559,292,13,0,0,2090,126,6,12,32,207
40017300300,1305,638,390,262,15,0,0,1023,137,7,9,17,112
40017300400,384,121,178,83,2,0,0,233,41,77,4,3,26
40017300500,1128,545,375,201,7,0,0,902,73,32,6,13,102
40017300600,1646,960,479,198,9,0,0,1382,72,7,7,30,148
40017300701,810,457,240,110,3,0,0,649,47,7,4,9,94
