GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
09009150600,5073,2490,1416,1073,10,0,2,0,3510,416,60,240,210,637
09009150700,3295,1544,860,821,3,1,0,0,2454,230,14,96,119,382
09009150800,2824,1284,760,728,2,1,0,0,2062,165,23,88,103,383
09009150900,3270,1454,974,778,6,2,1,0,2572,180,18,34,106,360
09009151000,3237,1473,1018,678,6,2,2,0,2465,218,12,55,103,384
09009151100,5037,2249,1564,1111,8,3,1,0,3749,314,34,131,171,638
09009151200,2464,1178,683,543,2,2,1,0,1837,159,15,64,87,302
09009154101,1555,565,823,151,5,2,0,0,609,372,401,33,37,103
09009154102,2769,897,1608,227,3,2,1,0,1002,405,1016,25,103,218
09009154200,3279,1176,1823,243,1,0,1,0,1146,616,1098,78,155,186
09009154500,2307,805,1229,244,1,1,2,0,1219,562,263,30,63,170
09009154600,2472,885,1266,287,3,0,0,0,1341,399,363,49,95,225
09009154700,4573,1525,2189,786,2,3,1,0,3418,379,112,106,98,460
09009154800,3619,1121,1841,612,4,0,0,0,2648,381,80,44,79,387
09009154900,2343,727,1255,327,4,2,0,0,1569,302,126,30,79,237
09009155000,2838,993,1492,308,3,1,0,0,1677,508,287,38,83,245
09009155100,2000,671,1070,239,2,0,0,0,1321,315,100,19,42,203
09009157100,1853,903,503,417,0,0,0,0,1295,100,13,105,98,242
09009157200,3017,1422,762,784,7,0,0,0,2160,106,13,179,112,447
09009157300,2857,1366,764,683,2,1,0,0,1910,150,10,194,129,464
09009157400,3347,1542,939,822,4,1,0,0,2404,156,29,182,168,408
09009160100,2785,1138,1055,552,1,3,0,0,1798,104,63,224,162,434
09009160200,4175,1731,1666,717,5,3,0,0,2619,200,101,309,218,728
09009161100,4336,1835,1273,1165,8,1,0,0,3224,166,86,157,149,554
09009165100,2576,955,1330,254,1,2,1,0,1339,402,462,84,70,219
09009165200,1899,543,1176,158,0,1,0,0,1375,73,75,67,70,239
09009165300,1654,442,1027,166,1,2,0,0,1282,67,35,30,48,192
09009165400,3806,1099,2403,261,2,4,2,0,2249,281,724,107,92,353
09009165500,2609,864,1616,97,2,0,1,0,415,298,1741,27,53,75
09009165600,3384,1207,1825,304,2,2,1,0,1583,461,1031,46,78,185
09009165700,2620,935,1478,171,0,3,0,0,928,333,1165,26,49,119
09009165801,3274,1272,1681,271,0,2,0,0,1734,305,643,96,174,322
09009165802,2956,1103,1412,396,2,2,0,0,1746,295,509,64,89,253
09009165900,5249,2001,2200,966,6,2,1,0,3711,379,273,147,176,563
09009166002,3572,1391,1527,587,4,5,2,0,2635,254,150,76,61,396
09009166003,1758,687,799,238,3,4,0,0,1204,135,128,53,50,188
09009166004,1986,780,918,243,3,2,0,0,1272,180,178,57,55,244
09009167101,2915,1270,846,752,4,3,0,0,2150,197,50,97,112,309
09009167102,3209,1307,1191,663,5,3,0,0,2459,178,23,117,76,356
09009167201,3182,1579,766,796,2,0,0,0,2462,218,57,81,79,285
09009167202,3347,1644,811,846,2,0,0,0,2522,248,25,91,71,390
09009167301,5593,2706,1247,1558,3,1,0,0,4348,399,27,212,117,490
09009170100,743,386,297,52,1,0,0,0,216,383,91,2,15,36
09009170200,851,423,340,80,1,0,0,0,310,421,57,3,18,42
09009170300,1014,542,369,86,1,2,0,0,361,543,50,7,14,39
09009170400,1022,512,359,135,1,0,2,0,557,318,52,5,13,77
09009170500,3805,1868,1142,743,7,3,9,0,2732,535,38,40,82,378
09009170600,1665,804,579,251,4,0,8,0,1033,390,43,25,31,143
09009170700,1495,741,528,204,6,1,1,0,794,506,45,4,32,114
09009170800,3297,1658,1083,513,7,2,0,0,1852,939,134,42,70,260
09009170900,1312,632,556,109,2,1,2,0,480,633,96,11,17,75
09009171000,937,464,399,66,0,0,1,0,327,451,75,7,22,55
09009171100,4400,2086,1710,542,7,3,0,0,2666,808,95,204,126,501
09009171201,3430,1600,1161,618,4,1,2,0,2391,390,61,97,118,373
09009171202,2287,1184,673,399,3,0,1,0,1568,303,43,39,60,274
09009171300,2130,1100,712,278,8,1,2,0,1178,673,48,24,45,162
09009171400,1260,577,543,122,1,2,1,0,511,489,56,69,35,100
09009171500,1597,815,630,140,1,0,0,0,507,788,160,22,21,99
09009171600,2948,1473,1012,430,3,1,0,0,1743,694,126,53,88,244
09009171700,2705,1261,927,473,2,0,3,0,1915,399,40,32,58,261
09009175100,1991,931,679,351,4,1,0,0,1452,222,10,35,41,231
09009175200,1367,668,467,201,7,1,0,0,957,205,12,17,29,147
09009175300,2832,1461,787,525,2,3,0,0,2160,274,12,62,49,275
09009175400,2370,1211,681,427,5,2,0,0,1528,390,17,86,96,253
09009175501,1112,546,281,275,2,0,0,0,882,55,0,26,28,121
09009175502,4379,2194,1200,911,7,1,0,0,3451,271,11,58,112,476
09009175600,3681,1900,939,762,5,0,0,0,2927,206,9,68,60,411
09009175700,1404,709,331,333,2,1,0,0,1119,88,2,22,25,148
09009175800,3014,1464,824,683,3,0,0,0,2273,158,8,137,114,324
09009175900,3149,1520,958,610,7,1,0,0,2428,266,9,37,65,344
09009176000,4719,2323,1129,1197,4,1,0,0,3786,231,11,88,140,463
09009180101,1509,641,522,321,0,1,0,0,1207,112,19,12,26,133
09009180102,2780,1153,938,635,3,0,0,0,2164,245,46,40,38,247
09009180200,3476,1580,1195,642,5,0,0,0,2352,582,93,93,72,284
09009180300,1522,689,500,310,1,1,0,0,1072,225,31,30,31,133
09009180400,1688,823,512,327,0,0,0,0,1166,253,31,51,27,160
09009180500,2929,1339,996,531,4,5,0,0,1889,486,92,85,87,290
09009180601,2127,995,610,485,2,2,0,0,1615,206,62,38,25,181
09009180602,2510,1109,819,532,1,1,0,0,1905,252,70,33,18,232
09009184101,3937,1858,1324,689,1,4,0,0,3101,194,28,78,97,439
09009184200,2733,1348,922,411,7,2,0,0,1893,197,41,175,133,294
09009184300,3398,1465,1352,527,9,1,0,0,2689,149,17,60,96,387
09009184400,2894,1226,1021,594,7,2,0,0,2401,73,6,22,69,323
09009184500,2131,1062,646,399,2,2,0,0,1733,93,3,38,43,221
09009184600,2452,973,970,473,0,1,0,0,2005,95,4,34,57,257
09009184700,4616,2231,1409,912,3,2,0,0,3571,295,20,175,123,432
09009186100,5155,2611,1268,1202,9,1,0,0,4174,268,21,62,100,530
09009186200,5096,2541,1157,1325,7,2,0,0,4181,246,17,59,98,495
09009190100,2564,959,1132,440,1,2,0,0,2125,92,2,51,38,256
09009190200,2684,981,1203,471,2,2,0,0,2153,87,3,58,54,329
09009190301,5004,2015,1792,1111,10,1,0,0,3958,192,7,156,136,555
09009190302,4080,1705,1484,826,4,6,1,0,3235,184,6,90,68,497
09009190303,2557,1162,736,603,7,3,0,0,2033,95,3,74,47,305
09009194101,1778,636,594,519,2,1,1,0,1486,38,3,21,28,202
09009194102,2484,944,849,652,0,2,0,0,2042,47,5,43,49,298
09009194201,6020,2521,1767,1619,14,3,0,0,4856,187,8,172,150,647
09009194202,4022,1625,1250,1078,4,5,0,0,3241,102,0,100,126,453
09009341100,4680,2171,1186,1239,10,0,0,0,3554,303,16,44,155,608
09009343101,2772,1189,817,719,3,2,0,0,2111,112,11,100,103,335
09009343102,2894,1264,822,755,5,0,0,0,2164,157,13,110,102,348
09009343200,4418,2005,1271,1058,16,4,0,0,3247,245,19,188,171,548
09009343300,5286,2454,1550,1205,9,3,0,0,4031,231,16,173,194,641
09009343400,5070,2331,1526,1140,7,4,0,0,3807,233,13,224,177,616
09009344100,3719,1343,841,1475,3,4,0,0,2850,236,6,64,148,415
09009344200,2248,839,542,836,1,0,0,0,1657,102,3,82,72,332
09009345100,4288,1904,1318,986,10,1,0,0,2945,600,78,71,113,481
09009345201,4442,2121,1336,926,6,3,0,0,2927,775,67,50,125,498
09009345202,3037,1387,935,671,2,3,0,0,2108,345,70,45,115,354
09009345300,3854,1790,1199,807,8,2,0,0,2463,727,46,28,100,490
09009345400,4771,2223,1430,1046,6,0,0,0,3247,735,81,60,133,515
09009346101,5290,2393,1009,1772,9,2,0,0,4020,314,12,82,178,684
09009346102,4650,2140,878,1540,7,3,0,0,3537,273,30,73,154,583
09009347100,4445,1941,992,1436,6,3,0,0,3416,289,31,33,168,508
09009347200,2817,1275,520,973,3,0,0,0,2163,217,6,21,98,312
09009348111,1804,739,450,579,5,1,0,0,1466,58,7,21,50,202
09009348122,3183,1356,708,1064,10,0,1,0,2503,131,14,52,71,412
09009348123,4281,1823,958,1428,5,1,0,0,3336,192,7,83,130,533
09009348124,2361,950,694,674,1,1,0,0,1910,82,8,36,43,282
09009348125,4040,1454,1289,1234,1,0,0,0,3274,114,8,79,102,463
09009350101,3183,1114,1809,214,0,2,9,0,809,1863,316,26,21,148
09009350200,1811,814,868,110,1,1,1,0,389,801,542,15,15,49
09009350300,993,452,485,42,1,0,0,0,170,434,345,4,4,36
09009350400,1398,623,683,80,0,0,1,0,250,698,375,7,17,51
09009350500,1535,605,801,110,1,0,2,0,292,1016,72,33,29,93
09009350800,3313,1428,1540,315,1,0,4,0,1080,1306,500,24,70,333
09009350900,1208,543,507,142,2,1,0,0,511,325,218,17,27,110
09009351000,2453,985,1168,256,3,2,1,0,915,914,416,12,48,148
09009351100,2276,978,1028,236,1,2,2,0,740,700,629,25,51,131
09009351200,1917,886,874,130,2,1,1,0,498,872,419,16,24,88
09009351300,3117,1387,1281,394,6,4,0,0,1450,959,307,42,108,251
09009351400,2260,946,1094,194,1,0,1,0,599,1213,174,43,60,171
09009351500,2842,1279,1132,357,4,1,3,0,1277,1045,152,61,64,243
09009351601,1976,867,763,307,4,0,1,0,1089,528,102,12,50,195
09009351602,3796,1584,1399,735,9,1,1,0,2359,710,128,49,132,418
09009351700,1451,673,636,123,0,0,3,0,522,620,212,10,13,74
09009351800,2739,1209,1027,458,4,0,0,0,1649,536,163,25,99,267
09009351900,1866,749,686,389,1,2,2,0,1175,301,94,40,76,180
09009352000,3324,1312,1283,657,1,2,0,0,2066,639,138,45,107,329
09009352100,2435,1073,917,401,2,2,0,0,1292,586,227,26,82,222
09009352200,1262,615,508,126,1,1,0,0,369,574,202,7,29,81
09009352300,2177,968,997,193,1,1,1,0,856,612,347,127,40,195
09009352400,1991,856,878,231,3,1,1,0,812,674,287,37,58,123
09009352500,1800,771,748,251,0,2,1,0,911,476,189,21,49,154
09009352600,3387,1525,1381,415,2,2,3,0,1693,892,288,74,140,300
09009352701,1846,820,740,257,1,2,1,0,990,475,103,28,67,183
09009352702,3516,1568,1344,525,5,2,3,0,1909,885,246,36,150,290
09009352800,3710,1569,1539,542,2,2,3,0,1768,1057,353,62,168,302
09009361100,4963,2290,1201,1381,6,2,1,0,3799,373,15,51,174,551
09009361200,4216,1929,966,1219,3,4,0,0,3283,272,22,30,123,486
09009361300,3264,1564,642,985,5,2,0,0,2557,222,6,34,108,337
