GEOID20,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
16027021006,2026,1143,571,285,18,0,0,1619,226,3,18,16,144
16027021007,1270,641,396,200,23,0,0,939,176,0,14,16,125
16027021008,1520,805,473,215,19,0,0,1189,194,4,10,14,109
16027021101,2630,1322,853,405,37,0,0,1937,433,2,16,23,219
16027021102,1357,696,472,163,20,0,0,1076,140,0,9,25,107
16027021103,2612,1325,871,360,46,0,0,2051,257,2,26,39,237
16027021104,1816,1049,541,189,26,0,0,1431,142,1,21,41,180
16027021105,2672,1625,720,272,39,0,0,2066,241,2,40,51,272
16027021201,1274,599,451,212,8,0,0,873,259,1,17,7,117
16027021202,1726,930,566,205,17,0,0,1261,323,2,12,7,121
16027021300,994,408,362,205,15,0,0,612,275,1,10,14,82
16027021500,1759,744,649,335,20,0,0,1226,322,0,17,11,183
16027021600,2283,1116,754,369,28,0,0,1684,371,2,21,17,188
16027021701,2187,1199,672,281,20,0,0,1580,396,3,32,20,156
16027021702,2145,963,756,395,24,0,0,1441,553,0,9,13,129
16027021801,2496,1734,556,174,20,0,0,2008,234,0,24,16,214
16027021802,1837,1161,459,195,18,0,0,1506,144,3,28,20,136
16027021901,3341,2069,902,299,50,0,0,2775,208,0,31,30,297
16027021904,1586,1010,432,123,14,0,0,1239,173,0,10,9,155
16027021905,2644,1865,559,185,24,0,0,2233,139,2,23,21,226
16027021906,3130,2148,728,208,36,0,0,2660,101,2,30,32,305
16027021907,1783,1197,421,136,19,0,0,1419,98,0,28,17,221
16027022100,2369,1543,643,145,19,0,0,1962,220,1,23,11,152
16027022200,2688,1740,702,219,20,0,0,2059,361,0,26,19,223
16027022301,1636,1178,360,83,12,0,0,1377,87,2,6,15,149
16027022302,727,509,162,46,9,0,0,572,59,0,8,8,80
16027022303,1254,843,308,90,12,0,0,1014,92,2,11,12,123
16027022400,2880,1914,701,232,25,0,0,2364,196,1,23,23,273
16043970100,1031,706,249,74,1,0,0,894,11,0,9,6,111
16043970200,1802,1429,283,76,8,0,0,1520,84,0,9,9,180
16043970301,2278,1792,358,110,9,0,0,2006,107,0,30,9,126
16043970302,1863,1500,266,82,8,0,0,1675,57,0,24,9,98
16069940000,2514,1065,964,463,12,0,0,2076,95,14,12,44,273
16069960200,238,159,62,14,2,0,0,201,7,0,0,1,29
16069960300,2319,1114,842,328,20,0,0,1967,61,2,17,13,259
16069960400,1663,645,687,302,20,0,0,1415,50,0,15,11,172
16069960500,2127,959,845,293,24,0,0,1859,45,3,19,6,195
16069960600,2837,1319,1086,406,19,0,0,2467,80,1,22,19,248
16069960700,3250,1622,1221,382,22,0,0,2784,84,0,22,28,332
16069960800,2345,1208,890,216,18,0,0,2077,53,1,19,12,183
16069960900,1666,851,583,214,14,0,0,1463,39,4,7,8,145
16069961000,3609,1811,1379,374,26,0,0,3215,57,3,19,12,303
16087970100,1203,971,180,41,8,0,0,1068,26,0,1,5,103
16087970200,1999,1376,408,198,11,0,0,1660,172,2,17,14,134
16087970300,2493,1682,518,271,18,0,0,2058,208,0,38,17,172
