GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
47105060204,2558,1248,1018,292,0,0,2208,137,17,17,19,160
47105060301,2898,1110,1425,363,0,0,2545,68,9,38,25,213
47105060303,3080,1185,1544,351,0,0,2774,76,15,14,15,186
47105060304,2121,790,1043,288,0,0,1908,32,9,18,16,138
47105060400,3815,1598,1819,398,0,0,3451,61,12,9,19,263
47105060502,1473,645,701,127,0,0,1338,33,5,13,5,79
47105060503,2540,856,1327,357,0,0,2210,76,12,11,11,220
47105060504,4408,1213,2395,800,0,0,3774,54,10,24,50,496
47105060505,2093,547,1202,344,0,0,1795,36,1,21,20,220
47105060600,2426,1014,1086,326,0,0,2078,111,41,25,16,155
47105060700,1785,750,880,155,0,0,1601,25,19,5,8,127
47055920100,2036,785,933,318,0,0,1838,25,39,9,10,115
47055920200,2593,1149,961,483,0,0,2118,39,271,17,7,141
47055920301,2856,1227,995,634,0,0,2112,37,559,17,12,119
47055920302,1172,464,545,163,0,0,1067,19,9,5,6,66
47055920400,1615,611,666,338,0,0,1405,26,96,9,8,71
47055920500,2652,1096,1025,531,0,0,2231,21,264,12,7,117
47055920600,1698,685,749,264,0,0,1574,13,17,5,10,79
47055920700,1141,428,494,219,0,0,963,14,78,1,9,76
47055920800,1700,762,654,284,0,0,1464,26,96,14,7,93
47007953000,2132,848,1047,237,0,0,1968,43,4,3,3,111
47007953101,1094,310,465,319,0,0,1023,8,0,1,3,59
47007953102,2530,802,1153,575,0,0,2337,25,44,6,18,100
47007953200,1963,643,935,385,0,0,1849,26,3,7,7,71
47087960100,1267,443,543,281,0,0,1160,19,2,3,10,73
47087960200,1576,536,713,327,0,0,1440,19,0,9,7,101
47087960300,3561,1427,1398,736,0,0,3281,37,8,14,11,210
47087960400,1026,402,359,265,0,0,939,17,1,3,5,61
47137925101,2321,677,1264,380,0,0,2144,23,6,13,5,130
47137925102,1360,402,712,246,0,0,1240,21,1,3,4,91
47171080100,1423,502,799,122,0,0,1332,18,0,6,2,65
47171080200,3308,1249,1724,335,0,0,3065,93,5,11,9,125
47171080300,3205,1171,1702,332,0,0,2950,66,4,5,22,158
47171080400,2571,901,1362,308,0,0,2374,65,3,7,3,119
47179060100,1746,1016,272,458,0,0,1284,67,271,13,17,94
47179060401,1628,518,828,282,0,0,1447,28,26,14,14,99
47179060402,3072,1144,1360,568,0,0,2689,66,40,55,45,177
47179060501,2607,1307,891,409,0,0,2280,67,31,38,46,145
47179060503,1540,704,561,275,0,0,1340,34,23,8,19,116
47179060504,2266,1070,801,395,0,0,1982,65,36,19,29,135
47179060601,1780,839,630,311,0,0,1562,49,23,13,13,120
47179060602,1789,947,421,421,0,0,1480,59,61,31,17,141
47179060700,231,192,8,31,0,0,182,13,12,3,2,19
47179060800,1681,745,344,592,0,0,1431,49,37,13,15,136
47179060901,1214,774,252,188,0,0,985,29,95,7,12,86
47179060902,1231,789,227,215,0,0,980,60,102,9,10,70
47179061000,1201,678,243,280,0,0,922,41,143,6,14,75
47179061100,3105,1210,1243,652,0,0,2726,72,36,17,42,212
47179061200,1767,920,589,258,0,0,1535,46,34,11,15,126
47179061301,1619,804,514,301,0,0,1439,48,19,19,12,82
47179061302,3436,1445,1417,574,0,0,3000,59,42,61,53,221
47179061401,3442,1602,1375,465,0,0,3083,55,25,29,30,220
47179061403,3403,1662,1314,427,0,0,2986,72,29,55,35,226
47179061404,2385,1014,1022,349,0,0,2050,50,12,53,52,168
47179061500,4575,2143,1934,498,0,0,4144,84,33,19,25,270
47179061601,3167,1198,1683,286,0,0,2880,54,7,10,7,209
47179061603,3227,1346,1552,329,0,0,3024,32,5,4,13,149
47179061604,2824,1266,1269,289,0,0,2607,24,8,15,15,155
47179061701,4733,1954,2276,503,0,0,4097,108,28,101,58,341
47179061703,2050,874,916,260,0,0,1880,43,10,9,11,97
47179061704,2777,1030,1262,485,0,0,2417,54,64,16,32,194
47179061800,3992,1675,1941,376,0,0,3712,61,12,13,27,167
47179061902,3115,1294,1479,342,0,0,2832,65,13,12,8,185
47179061903,2019,913,890,216,0,0,1865,35,3,6,14,96
47179061904,1841,795,841,205,0,0,1734,20,8,7,1,71
47179062000,1972,1181,406,385,0,0,1607,74,118,26,24,123
47009010100,1398,729,256,413,0,0,729,40,560,4,13,52
47009010200,4210,1677,1799,734,0,0,3703,84,115,31,35,242
47009010301,3085,1554,959,572,0,0,2621,84,118,25,26,211
47009010302,2233,994,895,344,0,0,1923,43,55,22,36,154
47009010400,1922,803,809,310,0,0,1720,30,35,7,3,127
47009010500,1535,704,511,320,0,0,1319,38,56,5,13,104
47009010600,2141,987,661,493,0,0,1865,45,25,14,17,175
47009010700,2951,1296,1152,503,0,0,2581,61,51,23,21,214
47009010800,1401,800,380,221,0,0,1176,63,45,4,7,106
47009010900,4068,1730,1720,618,0,0,3630,87,33,22,29,267
47009011001,4287,1655,1956,676,0,0,3812,91,29,21,35,299
47009011002,2944,1046,1484,414,0,0,2714,30,6,13,8,173
47009011101,3468,1368,1544,556,0,0,3113,75,19,21,14,226
47009011102,6570,2275,3186,1109,0,0,5909,113,34,32,50,432
47009011201,2951,1582,977,392,0,0,2582,60,33,35,28,213
47009011202,2617,1309,918,390,0,0,2250,60,36,58,17,196
47009011301,3961,1760,1739,462,0,0,3626,77,6,22,13,217
47009011302,3584,1513,1677,394,0,0,3255,57,11,9,14,238
47009011401,1310,512,594,204,0,0,1192,11,3,8,6,90
47009011403,1348,591,568,189,0,0,1246,18,3,6,5,70
47009011404,1743,602,866,275,0,0,1566,22,7,12,9,127
47009011501,1053,461,449,143,0,0,954,26,2,6,8,57
47009011502,2542,1168,1106,268,0,0,2333,49,4,6,12,138
47009011503,5035,1895,2483,657,0,0,4628,64,16,20,16,291
47009011603,3038,1391,1372,275,0,0,2750,51,7,15,16,199
47009011604,2674,1095,1230,349,0,0,2441,42,15,15,7,154
47009011605,2722,957,1362,403,0,0,2408,43,3,15,22,231
47009011606,3865,1721,1712,432,0,0,3487,59,15,18,19,267
47009011607,3014,1485,1168,361,0,0,2674,52,38,25,32,193
47009980100,0,0,0,0,0,0,0,0,0,0,0,0
47009980200,8,3,0,5,0,0,6,0,0,0,0,2
47177930100,2031,720,777,534,0,0,1833,66,37,8,1,86
47177930201,1762,519,826,417,0,0,1618,49,28,3,4,60
47177930202,1714,656,691,367,0,0,1584,50,8,4,11,57
47177930300,1508,504,647,357,0,0,1400,26,10,4,12,56
47177930400,3143,1359,1070,714,0,0,2764,132,92,21,9,125
47177930500,2147,955,657,535,0,0,1784,167,78,29,7,82
47177930600,1972,696,737,539,0,0,1697,69,106,10,6,84
47177930700,2778,939,1139,700,0,0,2483,82,34,17,14,148
47177930800,3704,1226,1612,866,0,0,3311,108,70,24,14,177
47177930900,1019,346,458,215,0,0,941,22,0,3,6,47
47173040101,2316,923,1061,332,0,0,2170,31,3,8,8,96
47173040102,1769,603,923,243,0,0,1661,19,1,4,7,77
47173040201,2151,915,950,286,0,0,1990,39,0,5,3,114
47173040202,3350,1229,1567,554,0,0,3121,24,4,20,9,172
47173040300,1710,625,860,225,0,0,1559,14,0,3,6,128
47157000100,3560,1920,510,1130,0,0,2421,102,438,162,107,330
47157000200,506,303,9,194,0,0,38,4,457,3,1,3
47157000300,433,225,2,206,0,0,28,4,393,1,4,3
47157000400,793,449,9,335,0,0,45,9,734,0,1,4
47157000600,1128,560,9,559,0,0,44,4,1073,0,4,3
47157000700,2599,1359,43,1197,0,0,239,19,2284,7,14,36
47157000800,1188,670,4,514,0,0,53,9,1121,0,0,5
47157000900,1460,759,11,690,0,0,69,14,1362,4,4,7
47157001100,1128,722,124,282,0,0,378,102,592,11,5,40
47157001200,1530,868,269,393,0,0,889,128,382,48,7,76
47157001300,1404,907,55,442,0,0,170,60,1137,23,2,12
47157001400,604,370,5,229,0,0,35,16,536,8,1,8
47157001500,1014,495,21,498,0,0,149,21,811,9,4,20
47157001600,1610,527,249,834,0,0,1254,27,150,28,17,134
47157001700,2569,1005,179,1385,0,0,987,46,1373,39,19,105
47157001900,706,366,5,335,0,0,24,6,671,0,0,5
47157002000,943,562,12,369,0,0,49,6,860,2,15,11
47157002100,705,355,41,309,0,0,82,6,589,3,5,20
47157002400,1113,604,24,485,0,0,193,19,862,9,2,28
47157002500,1768,813,139,816,0,0,828,49,731,48,15,97
47157002600,1885,635,266,984,0,0,1523,37,115,30,36,144
47157002700,933,460,99,374,0,0,461,36,333,37,9,57
47157002800,1592,922,111,559,0,0,280,19,1225,18,13,37
47157002900,3429,1274,1185,970,0,0,2846,50,158,43,43,289
47157003000,1834,845,302,687,0,0,905,24,779,20,15,91
47157003100,2075,776,328,971,0,0,1597,52,229,23,13,161
47157003200,2407,1029,262,1116,0,0,1623,62,464,40,35,183
47157003300,1721,520,292,909,0,0,1418,44,55,19,26,159
47157003400,1386,602,161,623,0,0,909,25,323,20,15,94
47157003500,2178,800,362,1016,0,0,1492,43,398,32,22,191
47157003600,821,452,67,302,0,0,381,19,311,51,11,48
47157003700,689,360,26,303,0,0,139,12,501,9,5,23
47157003800,317,186,15,116,0,0,55,2,249,1,3,7
47157003900,763,446,30,287,0,0,111,13,602,9,4,24
47157004200,2411,1259,314,838,0,0,1530,60,534,41,44,202
47157004300,1732,790,301,641,0,0,1124,31,342,41,37,157
47157004500,385,256,4,125,0,0,30,6,338,1,2,8
47157004600,811,462,27,322,0,0,109,6,674,3,6,13
47157005000,485,278,3,204,0,0,20,4,456,1,1,3
47157005300,2001,994,14,993,0,0,64,5,1917,1,6,8
47157005500,1236,685,19,532,0,0,41,6,1181,1,0,7
47157005600,2380,1179,17,1184,0,0,77,7,2278,1,0,17
47157005700,1216,678,11,527,0,0,49,8,1153,3,0,3
47157005800,501,303,2,196,0,0,17,1,481,1,0,1
47157005900,1201,701,10,490,0,0,53,4,1129,5,4,6
47157006000,1088,601,5,482,0,0,57,3,1005,9,5,9
47157006200,1304,650,18,636,0,0,59,15,1208,6,5,11
47157006300,1633,677,117,839,0,0,1033,46,450,10,7,87
47157006400,1056,429,17,610,0,0,77,10,954,3,2,10
47157006500,1448,761,9,678,0,0,58,7,1367,2,4,10
47157006600,1500,666,111,723,0,0,881,31,476,12,16,84
47157006700,1718,977,22,719,0,0,81,7,1599,2,7,22
47157006800,1408,754,5,649,0,0,51,6,1338,3,3,7
47157006900,2029,1114,14,901,0,0,89,14,1909,4,2,11
47157007000,1652,991,46,615,0,0,262,20,1315,14,7,34
47157007100,1789,674,531,584,0,0,1184,25,435,21,26,98
47157007200,2078,815,495,768,0,0,1783,29,82,26,24,134
