FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23019028500,1072,363,330,342,37,0,0,0,947,13,0,8,3,101
23019029000,1251,259,459,480,53,0,0,0,1137,9,1,11,5,88
23019030000,3770,1257,1341,1040,131,0,1,0,3418,76,2,14,17,243
23019031000,1186,443,272,416,54,1,0,0,1094,8,0,8,17,59
23019031100,4968,1628,1597,1585,154,4,0,0,4339,78,20,77,67,387
23019031200,2953,487,902,1465,98,1,0,0,2728,52,0,7,18,148
23019031300,4234,1048,1373,1626,185,2,0,0,3851,38,0,23,41,281
23019940000,470,265,139,40,26,0,0,0,365,6,0,5,5,89
23009965100,1414,299,449,612,54,0,0,0,1282,23,0,10,14,85
23009965200,1979,494,628,768,89,0,0,0,1801,20,0,4,7,147
23009965300,3808,1126,1382,1211,89,0,0,0,3477,57,4,9,18,243
23009965400,2085,636,656,684,109,0,0,0,1926,25,0,8,12,114
23009965503,2853,898,813,1030,112,0,0,0,2530,36,6,41,28,212
23009965504,3360,902,995,1326,133,4,0,0,3045,42,3,16,24,230
23009965700,2290,683,715,788,103,0,1,0,2053,29,0,21,16,171
23009965800,1968,562,586,734,84,0,2,0,1780,16,0,7,20,145
23009965900,4469,2354,1175,805,133,1,1,0,3806,97,12,66,68,420
23009966000,1889,937,472,426,54,0,0,0,1656,40,0,13,14,166
23009966100,1551,653,460,362,75,0,1,0,1374,29,2,11,14,121
23009966200,1520,570,436,449,63,2,0,0,1385,23,1,9,7,95
23009966300,3669,1597,945,993,134,0,0,0,3252,29,3,24,43,318
23009966400,2031,789,614,538,90,0,0,0,1788,39,1,12,25,166
23009966500,2574,1153,679,612,130,0,0,0,2309,24,1,14,24,202
23009966600,2479,1011,835,544,88,0,1,0,2255,32,2,6,15,169
23009966700,4659,1394,1369,1681,215,0,0,0,4226,60,0,30,28,315
23009990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23021960301,1452,361,497,550,43,1,0,0,1335,11,0,1,8,97
23021960302,325,66,130,119,10,0,0,0,297,6,0,2,0,20
23021960400,983,219,335,384,45,0,0,0,898,13,0,1,5,66
23021960500,1242,288,398,501,55,0,0,0,1141,16,0,2,7,76
23021960600,1831,449,528,778,75,1,0,0,1660,21,0,5,6,139
23021960700,3013,806,909,1184,113,1,0,0,2738,43,1,15,16,200
23021960800,2698,679,836,1039,142,2,0,0,2474,34,1,6,9,174
23021960900,845,221,338,257,29,0,0,0,770,14,1,5,3,52
23015975100,4250,1194,1346,1501,208,0,1,0,3871,39,0,6,34,300
23015975200,3839,1128,1274,1287,150,0,0,0,3441,36,1,15,21,325
23015975300,3460,1398,938,964,159,0,1,0,3064,37,0,17,18,324
23015975400,3322,1451,882,839,150,0,0,0,2917,53,3,19,25,305
23015975500,4975,1488,1685,1580,221,1,0,0,4486,59,2,18,28,382
23015975600,3195,1284,980,863,68,0,0,0,2823,34,0,16,43,279
23015975700,871,340,274,232,25,0,0,0,765,15,0,6,5,80
23015975800,2578,828,826,800,123,1,0,0,2371,28,4,2,18,155
23015976200,2257,810,635,768,43,1,0,0,2043,28,6,16,16,148
23015990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23029955100,1780,530,602,591,57,0,0,0,1531,18,1,5,47,178
23029955300,1206,308,409,459,29,0,1,0,1103,4,0,1,10,88
23029955400,919,225,333,325,36,0,0,0,870,6,0,5,10,28
23029955500,2068,507,830,694,36,1,0,0,1897,28,3,11,12,117
23029955600,1464,486,490,433,55,0,0,0,1289,23,2,5,24,121
23029955700,1077,458,297,284,38,0,0,0,928,21,1,7,17,103
23029955800,1718,585,620,471,40,0,2,0,1581,14,1,13,11,98
23029955900,1935,555,537,769,74,0,0,0,1771,12,0,9,8,135
23029956100,1635,416,542,599,78,0,0,0,1478,25,0,4,11,117
23029956200,2051,576,713,692,69,1,0,0,1849,50,0,7,13,132
23029956300,1872,599,530,662,79,2,0,0,1732,15,0,6,11,108
23029956400,2354,563,741,953,97,0,0,0,2120,38,2,12,12,170
23029956500,2722,747,864,1000,108,1,2,0,2440,58,0,8,31,185
23029990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
