FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35015000200,3661,816,2248,540,32,2,0,11,0,2664,675,6,49,28,239
35015000300,2899,850,1457,542,24,8,0,9,0,1838,846,11,21,11,172
35015000401,1917,587,945,341,19,7,0,8,0,1198,604,5,9,4,97
35015000402,2155,773,876,460,17,9,0,11,0,1078,944,11,8,15,99
35015000500,1891,765,663,415,17,7,0,16,0,735,1049,16,5,6,80
35015000600,3282,1142,1407,665,23,5,0,23,0,1535,1449,90,37,27,144
35015000700,3057,730,1741,524,23,5,0,19,0,1933,973,1,7,7,136
35015000800,1133,561,417,143,5,0,0,3,0,391,698,1,5,2,36
35015000900,2954,494,1984,434,26,0,0,7,0,1927,863,1,18,9,136
35015001001,1546,393,843,281,11,2,0,8,0,756,698,11,14,9,58
35015001002,1643,612,691,313,9,1,0,12,0,584,995,4,5,7,48
35015001100,4332,780,2782,689,40,6,0,20,0,2566,1509,5,16,26,210
35035000100,935,398,317,197,5,3,0,8,0,453,385,32,5,3,57
35035000200,956,333,382,221,8,1,0,4,0,576,298,11,8,6,57
35035000303,1130,322,520,261,14,1,0,6,0,756,261,11,10,11,81
35035000304,1840,377,1026,398,21,2,0,4,0,1322,310,12,25,24,147
35035000305,1979,607,827,502,21,2,0,7,0,1272,498,37,15,15,142
35035000306,1943,450,1092,362,19,4,0,5,0,1387,379,13,19,10,135
35035000401,2685,752,1270,607,28,8,1,7,0,1815,605,48,28,24,165
35035000403,1551,348,870,315,8,1,0,3,0,1143,211,15,31,13,138
35035000404,2321,639,1100,519,30,4,0,11,0,1539,548,45,30,17,142
35035000501,1272,343,585,304,13,3,0,10,0,795,367,18,9,4,79
35035000502,1024,241,487,272,15,4,0,2,0,687,244,3,12,7,71
35035000601,96,23,40,31,1,1,0,0,0,64,13,0,1,4,14
