FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
56005000300,2020,1715,114,157,26,0,0,0,1668,90,3,9,13,237
56005000400,1470,1202,111,137,16,0,0,0,1227,52,3,11,16,161
56005000500,3245,2776,175,245,47,0,0,0,2717,88,2,20,47,371
56005000600,1900,1550,150,178,16,0,0,0,1607,68,2,9,20,194
56005000701,810,740,33,33,2,0,0,0,701,17,0,3,5,84
56005000702,2833,2477,142,178,28,0,0,0,2421,90,0,14,29,279
56023978001,2134,1659,177,268,22,0,0,0,1825,51,0,15,13,230
56023978002,2112,1411,274,395,24,0,0,0,1810,57,1,5,25,214
56023978100,3743,3115,149,421,38,0,0,0,3364,59,0,13,18,289
56023978200,1044,872,47,111,9,0,1,0,921,12,0,5,4,102
56023978400,1530,1177,184,148,15,0,0,0,1295,52,0,12,14,157
56021000200,1496,695,502,284,12,0,0,0,1039,271,26,13,10,137
56021000300,1379,684,392,281,14,1,0,0,988,245,17,9,11,109
56021000401,1697,998,413,263,18,0,0,0,1349,179,2,7,13,147
56021000403,1160,659,278,207,13,0,0,0,888,144,0,8,6,114
56021000404,739,419,168,138,10,1,0,0,579,61,6,4,2,87
56021000502,1370,840,300,217,10,0,0,0,1074,120,6,9,16,145
56021000503,1934,1109,467,332,23,0,0,0,1506,208,11,13,18,178
56021000601,978,513,286,170,7,0,0,0,804,84,3,1,9,77
56021000602,1633,892,465,259,16,0,0,0,1311,142,7,10,19,144
56021000701,1187,588,346,232,18,0,0,0,936,108,6,13,9,115
56021000702,364,169,97,90,7,0,0,0,276,37,5,9,6,31
56021000800,953,547,262,138,3,1,0,0,762,76,2,8,7,98
56021000900,1628,943,454,216,14,1,0,0,1353,88,2,9,23,153
56021001000,1308,631,410,248,15,0,0,0,1045,107,18,7,14,117
56021001100,223,113,42,60,7,0,0,0,166,24,4,1,1,27
56021001200,3190,2119,656,398,12,1,0,0,2643,187,8,32,30,290
56021001301,1522,911,380,217,10,1,0,0,1281,73,5,10,13,140
56021001302,3710,2484,732,466,23,0,0,0,3032,214,3,41,25,395
56021001401,1880,1146,440,277,17,0,0,0,1528,146,3,10,19,174
56021001402,1468,989,299,166,11,1,0,0,1199,87,0,10,12,160
56021001501,2763,1752,581,397,30,1,0,0,2239,243,9,18,26,228
56021001502,2200,1290,490,402,12,0,0,0,1754,178,7,10,12,239
56021001901,3534,2650,459,404,18,1,0,0,3002,154,3,18,30,327
56021001902,2934,2162,383,362,19,1,0,0,2445,105,4,16,36,328
56021002001,2311,1779,226,290,11,1,0,0,1867,93,0,11,10,330
56021002002,2933,2128,399,381,21,0,0,0,2392,175,7,21,27,311
56021980801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56001962700,2432,1443,532,412,39,0,0,0,2023,135,0,19,26,229
56001962800,1487,759,395,301,27,0,0,0,1197,132,2,14,23,119
56001962900,699,253,282,142,15,0,0,0,508,113,0,4,10,64
56001963000,994,390,360,217,23,0,0,0,792,70,4,13,9,106
56001963101,2321,1100,793,398,29,0,0,0,1862,100,5,59,35,260
56001963102,1937,827,667,388,48,0,0,0,1513,151,3,32,33,205
56001963400,1554,494,708,318,30,0,0,0,1248,81,6,18,16,185
56001963500,335,122,116,84,13,0,0,0,258,24,1,2,8,42
56001963600,2516,888,1116,463,47,0,0,0,2081,119,1,26,32,257
56001963700,3467,1583,1165,647,67,0,0,0,2785,240,2,54,30,356
56001963900,1625,1136,228,239,17,0,0,0,1386,35,2,11,29,162
56037970500,1136,701,258,162,11,0,0,0,905,109,1,14,15,92
56037970601,1480,906,368,180,21,0,0,0,1191,141,1,5,16,126
56037970602,1686,1070,344,239,21,2,0,0,1403,132,0,5,20,126
56037970700,1891,1243,393,223,28,0,0,0,1574,137,3,9,12,156
56037970800,1477,892,353,208,20,0,0,0,1122,138,5,12,38,162
56037970902,2049,1325,443,256,23,0,0,0,1643,142,7,17,32,208
56037970903,824,523,189,102,7,0,0,0,652,66,3,6,17,80
56037970904,1242,957,157,119,6,0,0,0,1054,63,0,6,9,110
56037970905,2174,1408,429,300,29,0,0,0,1717,171,4,19,42,221
56037971000,700,405,179,106,8,0,0,0,542,70,0,6,11,71
56037971100,1263,705,355,187,15,0,0,0,986,86,1,20,23,147
56037971200,1256,740,363,143,9,0,0,0,957,81,1,14,33,170
56037971600,888,710,84,85,6,0,0,0,746,43,2,2,8,87
56007967600,863,703,68,81,8,0,0,0,753,33,1,5,6,65
56007967700,1612,996,339,258,17,0,0,0,1231,240,0,10,9,122
56007967800,1759,1043,446,246,17,0,0,0,1352,255,0,21,8,123
56007968000,1975,1443,255,257,17,0,0,0,1709,50,2,11,17,186
56007968100,693,474,71,130,12,0,0,0,592,26,0,2,2,71
56009956400,2483,2075,182,197,22,0,0,0,2094,94,0,13,14,268
56009956500,1465,1236,87,129,7,0,0,0,1255,39,1,7,8,155
56009956600,1865,1651,82,121,11,0,0,0,1607,44,3,12,4,195
56009956700,1394,1115,129,127,18,0,0,0,1180,38,0,7,9,160
56045951100,1707,1523,89,82,8,0,0,0,1534,19,0,6,8,140
56045951300,1852,1562,117,157,9,0,0,0,1613,26,2,5,13,193
