FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
45051980100,412,159,158,95,0,0,325,18,19,5,7,38
45051990100,2,0,0,2,0,0,2,0,0,0,0,0
45037970201,1362,487,754,121,0,0,918,11,381,4,3,45
45037970203,1840,833,885,122,0,0,1088,26,650,3,2,71
45037970204,1748,1038,550,160,0,0,751,12,933,5,7,40
45037970300,3000,1772,1016,212,0,0,1277,51,1574,7,5,86
45037970400,2226,1090,867,269,0,0,1144,49,939,6,10,78
45037970501,3079,1228,1346,505,0,0,1831,78,990,5,14,161
45037970502,4666,796,3285,585,0,0,3771,87,443,40,38,287
45047970101,2372,792,1288,292,0,0,1563,26,667,5,2,109
45047970102,2706,776,1481,449,0,0,1956,30,591,5,13,111
45047970201,3583,1037,2179,367,0,0,2533,52,765,25,22,186
45047970202,4186,1715,1843,628,0,0,2466,101,1389,29,18,183
45047970301,2324,719,1335,270,0,0,1676,55,458,24,12,99
45047970303,1665,544,879,242,0,0,1096,35,395,24,7,108
45047970304,2341,434,1693,214,0,0,1886,42,213,47,17,136
45047970401,1549,702,617,230,0,0,861,39,595,0,5,49
45047970402,2570,536,1784,250,0,0,2090,30,243,29,14,164
45047970500,2107,1883,124,100,0,0,171,61,1850,2,6,17
45047970601,2464,990,1163,311,0,0,1495,93,756,12,14,94
45047970602,2093,1009,857,227,0,0,1034,41,915,10,9,84
45047970701,1963,382,1397,184,0,0,1627,22,169,9,16,120
45047970702,3380,1312,1689,379,0,0,1979,48,1194,9,10,140
45047970801,2083,1281,566,236,0,0,754,86,1179,8,9,47
45047970802,2128,1028,925,175,0,0,1054,35,938,7,1,93
45047970900,1326,456,695,175,0,0,869,30,364,2,5,56
45047971000,1234,187,862,185,0,0,1025,11,129,4,3,62
45087030100,1342,922,397,23,0,0,712,6,584,5,7,28
45087030200,1473,1135,322,16,0,0,571,15,828,5,1,53
45087030300,2423,1514,866,43,0,0,1442,24,870,2,6,79
45087030401,1816,1146,640,30,0,0,1202,7,555,1,5,46
45087030402,1508,844,618,46,0,0,1172,20,245,5,5,61
45087030500,1315,793,491,31,0,0,950,11,318,1,3,32
45087030600,1235,968,254,13,0,0,404,4,794,1,2,30
45087030700,2152,1119,989,44,0,0,1558,12,495,4,5,78
45087030800,2217,1137,1026,54,0,0,1585,24,545,0,1,62
45087030900,1524,1008,478,38,0,0,1208,6,269,3,5,33
45017950100,3856,1600,1797,459,0,0,2301,68,1208,9,29,241
45017950201,1456,863,507,86,0,0,745,20,591,1,6,93
45017950202,2978,2167,598,213,0,0,993,24,1821,2,7,131
45017950400,2517,1343,997,177,0,0,1354,30,976,2,12,143
45091060102,1706,923,575,208,0,0,1260,57,253,6,12,118
45091060200,2250,1422,545,283,0,0,1168,101,848,9,22,102
45091060300,2558,2038,325,195,0,0,725,62,1699,3,10,59
45091060401,1809,1764,35,10,0,0,111,18,1668,0,5,7
45091060402,1733,1468,195,70,0,0,370,53,1242,14,4,50
45091060501,1724,1431,183,110,0,0,383,31,1247,5,10,48
45091060502,1784,1637,100,47,0,0,220,37,1506,1,5,15
45091060600,21,10,4,7,0,0,17,1,2,0,0,1
45091060700,3858,1723,1762,373,0,0,2842,113,617,31,36,219
45091060802,1139,564,442,133,0,0,770,70,207,27,10,55
45091060803,2944,1642,961,341,0,0,1694,218,820,36,26,150
45091060804,2834,1471,1007,356,0,0,1730,214,664,50,26,150
45091060901,2787,1685,724,378,0,0,1397,181,967,55,41,146
45091060904,5243,2295,2510,438,0,0,3561,196,1096,57,56,277
45091060908,2150,1307,643,200,0,0,1083,84,841,13,15,114
45091060909,3785,1602,1806,377,0,0,2667,160,640,30,50,238
45091060910,3404,1064,2033,307,0,0,2684,96,280,47,33,264
45091060911,3317,1359,1648,310,0,0,2379,125,529,37,35,212
45091060912,1516,593,789,134,0,0,1107,53,223,23,20,90
45091060913,4412,2094,1836,482,0,0,2849,173,976,98,47,269
45091061004,6217,2546,2978,693,0,0,4553,316,636,143,89,480
45091061006,2436,881,1327,228,0,0,1773,89,223,118,55,178
45091061007,5073,2133,2250,690,0,0,3335,420,615,174,103,426
45091061008,5356,1814,2920,622,0,0,3891,272,463,171,122,437
45091061009,6705,2432,3594,679,0,0,5101,307,368,202,118,609
45091061010,2879,1069,1486,324,0,0,2214,136,147,74,52,256
45091061011,5850,2542,2378,930,0,0,3879,391,815,185,95,485
45091061012,3036,1195,1546,295,0,0,2220,157,255,69,57,278
45091061101,3848,1793,1489,566,0,0,2609,161,778,26,44,230
45091061103,6288,2454,3280,554,0,0,4527,305,683,108,114,551
45091061104,4747,1750,2568,429,0,0,3534,255,390,102,72,394
45091061202,2722,906,1476,340,0,0,2123,73,218,4,163,141
45091061203,4185,1531,2156,498,0,0,3221,94,603,21,41,205
45091061204,2870,1606,919,345,0,0,1567,125,957,47,35,139
45091061205,2623,952,1372,299,0,0,1981,90,366,33,36,117
45091061301,3735,2682,755,298,0,0,1365,87,2139,12,27,105
45091061302,3466,1598,1514,354,0,0,2229,89,942,6,34,166
45091061401,2611,972,1277,362,0,0,2084,64,298,3,31,131
45091061403,4088,1543,2134,411,0,0,3100,107,622,29,36,194
45091061404,2990,1287,1519,184,0,0,2091,72,596,41,36,154
45091061503,2076,640,1155,281,0,0,1778,72,99,3,24,100
45091061504,3326,1238,1610,478,0,0,2554,93,426,13,53,187
45091061505,1549,558,766,225,0,0,1297,33,139,3,10,67
45091061506,4250,1352,2376,522,0,0,3518,127,298,28,36,243
45091061601,2066,1373,514,179,0,0,920,53,997,9,19,68
45091061602,3288,1865,1073,350,0,0,1944,104,1030,22,27,161
45091061701,2863,795,1632,436,0,0,2513,51,101,20,20,158
45091061705,5101,1809,2589,703,0,0,3903,200,570,68,65,295
45091061706,4147,1450,2241,456,0,0,3267,149,363,34,29,305
45091061708,4536,1687,2392,457,0,0,3336,225,531,51,51,342
45091061709,4385,1576,2184,625,0,0,3215,230,440,49,66,385
45091061710,3093,1094,1692,307,0,0,2506,92,172,31,42,250
45091061801,1850,1068,581,201,0,0,1093,87,561,9,15,85
45091061802,3209,1257,1537,415,0,0,2521,92,378,16,29,173
45091061900,3141,1128,1637,376,0,0,2550,50,397,5,20,119
45019000100,1661,786,734,141,0,0,1246,25,141,16,19,214
45019000200,1215,406,690,119,0,0,1015,18,14,9,23,136
45019000400,1552,915,335,302,0,0,1088,34,220,12,26,172
45019000500,1345,660,445,240,0,0,1097,24,32,11,14,167
45019000600,759,409,152,198,0,0,586,27,53,13,10,70
45019000700,1313,877,153,283,0,0,864,35,236,13,17,148
45019000900,982,803,62,117,0,0,408,31,444,4,17,78
45019001000,1227,829,138,260,0,0,753,37,293,7,23,114
45019001100,1704,1356,144,204,0,0,749,44,747,24,20,120
45019001500,1231,971,137,123,0,0,530,23,572,9,10,87
45019001901,3605,1839,1294,472,0,0,2752,74,344,23,61,351
45019001902,2987,1476,963,548,0,0,2239,83,313,24,49,279
45019002002,4949,2373,1789,787,0,0,3865,123,461,29,51,420
45019002004,1633,763,654,216,0,0,1409,20,35,3,14,152
45019002005,5219,2134,2573,512,0,0,4263,102,245,37,67,505
45019002006,3726,1762,1618,346,0,0,2644,60,627,22,47,326
45019002007,2862,1105,1550,207,0,0,2418,39,77,19,32,277
