FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25013813001,2129,1363,318,406,15,4,8,12,0,1838,34,1,15,29,212
25013813002,2802,1880,370,501,16,4,3,26,0,2354,62,2,16,72,296
25013813101,3914,2322,668,848,27,5,2,31,0,3272,110,8,33,110,381
25013813102,2689,1576,414,660,8,6,2,17,0,2250,85,4,15,71,264
25013813204,2490,1533,497,423,10,2,0,21,0,2032,77,3,32,75,271
25013813205,5605,3358,1261,899,24,5,5,39,0,4489,297,14,57,191,557
25013813206,2982,1805,685,445,8,3,1,30,0,2319,154,9,30,137,333
25013813207,3545,2132,800,554,18,2,4,31,0,2673,248,18,59,202,345
25013813208,2109,1272,482,309,13,7,1,20,0,1636,125,8,21,90,229
25013813209,3888,2244,911,656,15,5,3,44,0,3063,208,12,50,148,407
25013813301,5244,2682,1681,814,20,2,8,29,0,4137,182,2,140,152,631
25013813303,3231,1718,945,533,6,2,2,23,0,2238,104,8,197,146,538
25013813304,3074,1711,843,490,4,0,2,22,0,2152,84,9,170,176,483
25013813401,3754,2222,930,547,15,2,1,30,0,2936,247,12,94,90,375
25013813403,3007,1678,813,471,11,1,2,23,0,2465,148,7,44,60,283
25013813404,4983,2821,1143,944,18,2,6,37,0,4018,185,25,125,142,488
25013813500,3796,2404,636,701,12,4,4,28,0,3236,133,5,15,52,355
25013813601,5935,3316,1508,1028,23,5,4,41,0,4677,348,40,95,144,631
25013813602,4659,2717,1077,819,13,1,4,24,0,3821,210,12,60,120,436
25013813701,2411,1480,529,356,19,2,2,21,0,2062,66,2,28,35,218
25013813702,3469,2066,758,570,22,1,7,33,0,2928,95,5,24,52,365
25013813801,3232,2192,481,492,19,7,2,37,0,2772,90,12,10,54,294
25013813802,2768,1854,427,446,12,6,1,20,0,2350,83,7,15,37,276
25005600100,2845,1752,729,321,14,1,7,17,0,2279,134,21,47,65,299
25005600202,3739,2311,903,462,19,2,5,31,0,2771,276,82,65,119,426
25005600203,4419,2752,1039,580,13,3,2,24,0,3367,186,37,112,108,609
25005600204,2876,1756,704,377,11,4,2,19,0,2185,140,67,78,114,292
25005610100,3730,2337,956,380,20,3,5,28,0,2949,170,34,74,105,398
25005610202,4119,2661,851,552,18,4,0,29,0,3260,175,32,95,121,436
25005610203,5181,3383,1064,672,25,0,2,26,0,4159,194,11,128,129,560
