FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
12086000504,2915,1770,408,711,2,0,0,0,0,69,1315,1505,2,16,8
12086000505,2317,598,877,795,1,1,1,1,0,64,2203,26,1,9,14
12086000506,1972,1513,111,340,0,0,0,0,0,17,370,1572,2,7,4
12086000507,2793,1533,437,792,5,4,1,0,0,100,1409,1245,11,12,16
12086000508,1634,1174,135,312,0,0,0,0,0,16,456,1147,0,12,3
12086000509,1809,1050,236,504,0,2,1,0,0,46,944,806,2,6,5
12086000601,2822,590,1352,836,1,1,0,0,0,103,2680,8,4,11,16
12086000602,2891,611,1354,886,6,0,0,1,0,112,2750,8,1,7,13
12086000603,2789,629,1317,797,5,2,0,1,0,72,2681,11,3,5,17
12086000605,2509,583,1098,799,4,1,2,0,0,45,2419,20,5,6,14
12086000607,2440,513,1139,764,4,1,1,0,0,42,2366,5,6,8,13
12086000609,1177,283,511,370,3,0,0,0,0,22,1132,14,1,2,6
12086000610,1340,321,616,391,1,0,0,0,0,23,1307,4,3,0,3
12086000611,1464,354,647,443,2,0,0,2,0,26,1420,8,1,1,8
12086000612,1745,419,806,492,3,1,0,0,0,51,1664,12,2,4,12
12086000705,2573,670,1056,811,3,2,0,0,0,27,2519,17,2,3,5
12086000710,1716,453,682,564,2,2,0,0,0,23,1666,14,3,3,7
12086000711,2644,777,1036,790,1,1,1,0,0,43,2381,198,7,5,10
12086000712,860,217,368,267,0,0,0,0,0,18,823,6,0,6,7
12086000713,1380,344,581,441,2,1,0,1,0,9,1338,10,4,8,11
12086000714,2093,484,886,706,1,1,0,0,0,18,2052,9,2,8,4
12086000715,2227,579,910,705,2,0,0,0,0,41,2139,22,3,15,7
12086000716,1568,365,658,520,1,1,0,0,0,27,1513,7,5,9,7
12086000717,1692,321,892,462,0,0,0,0,0,53,1621,4,5,4,5
12086000718,1541,354,656,515,1,1,1,0,0,34,1470,7,2,13,15
12086000719,607,138,268,191,0,0,0,0,0,15,586,1,0,0,5
12086000720,1757,405,747,581,3,1,0,0,0,27,1711,5,1,5,8
12086000804,2132,530,891,678,2,2,0,0,0,46,2041,14,3,10,18
12086000805,2927,681,1324,882,5,0,0,1,0,58,2832,14,7,5,11
12086000806,1553,421,630,491,0,1,0,0,0,23,1496,18,5,2,9
12086000807,1301,375,493,420,1,0,1,0,0,20,1253,16,1,8,3
12086000808,1532,395,626,488,2,0,0,0,0,21,1489,9,2,6,5
12086000903,1879,1264,201,393,2,0,0,1,0,33,786,1043,0,9,8
12086000904,1597,889,291,404,4,0,1,1,0,45,824,709,4,7,8
12086000905,2003,977,417,588,0,0,0,0,0,28,1428,528,6,8,5
12086000906,1096,566,202,322,1,0,0,0,0,22,730,338,0,0,6
12086000907,960,414,270,262,2,2,0,0,0,22,786,142,1,5,4
