FULLCODE,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
20043020200,1408,987,251,165,5,0,0,1275,14,0,14,10,95
20043020300,1944,1129,527,277,11,0,0,1721,17,19,12,3,172
20067963600,601,420,111,66,4,0,0,459,94,2,1,3,42
20067963700,2910,1811,646,428,25,0,0,1644,1064,3,26,20,153
20197483100,3054,2028,541,460,25,0,0,2544,72,2,25,54,357
20197483200,1767,1051,398,300,18,0,0,1578,24,1,6,19,139
20111000101,1324,324,561,416,23,0,0,886,264,29,16,9,120
20111000102,32,11,8,10,3,0,0,24,3,0,1,0,4
20111000103,745,278,255,205,7,0,0,564,120,5,4,4,48
20111000201,2499,1073,720,684,22,0,0,1940,290,12,35,27,195
20111000202,1576,766,397,405,8,0,0,1234,121,7,38,28,148
20111000203,681,298,176,204,3,0,0,505,100,0,15,8,53
20111000300,2645,781,1012,817,35,0,0,1657,748,20,50,13,157
20111000400,1471,455,513,479,24,0,0,1145,158,14,21,12,121
20111000500,2073,497,908,647,21,0,0,1196,694,17,26,8,132
20111000600,1632,878,454,281,19,0,0,1477,44,2,13,5,91
20111000700,1722,911,492,306,13,0,0,1512,55,0,5,7,143
20111000800,2433,1352,644,415,22,0,0,2091,76,5,10,2,249
20029977100,1450,978,282,178,12,0,0,1255,13,2,5,10,165
20029977200,1297,791,291,205,10,0,0,1127,25,1,11,8,125
20029977300,1869,1092,399,363,15,0,0,1616,39,0,2,17,195
20029977400,946,646,169,127,4,0,0,836,7,0,2,11,90
20069962600,1669,1080,325,246,18,0,0,1334,119,1,11,10,194
20069962700,1406,973,265,154,14,0,0,1147,104,1,14,4,136
20205097100,1220,802,269,137,12,0,0,1147,8,0,5,5,55
20205097200,710,508,137,61,4,0,0,641,13,2,3,7,44
20205097300,1498,1062,244,176,16,0,0,1355,30,1,9,9,94
20205097400,1639,1023,353,246,17,0,0,1478,36,3,13,2,107
20195955800,1786,1151,360,261,14,0,0,1504,13,4,29,15,221
20095961100,1693,1105,350,230,8,0,0,1518,28,0,18,8,121
20095961200,2009,1262,451,282,14,0,0,1793,42,0,13,3,158
20095961300,1230,824,199,195,12,0,0,1102,17,0,5,2,104
20179952800,1555,1130,226,195,4,0,0,1296,26,2,5,8,218
20005081600,3176,1771,742,648,15,0,0,2785,22,25,2,6,336
20005081701,2543,962,841,714,26,0,0,2093,37,116,16,20,261
20005081702,1069,414,378,264,13,0,0,799,34,94,12,10,120
20005081800,1985,705,719,554,7,0,0,1678,41,19,12,16,219
20005081900,2026,704,726,579,17,0,0,1693,46,45,13,19,210
20035493100,1668,1109,321,222,16,0,0,1517,20,0,7,2,122
20035493200,2061,1231,483,332,15,0,0,1858,34,1,6,5,157
20035493300,1936,1150,402,370,14,0,0,1693,48,7,23,10,155
20035493400,1474,726,394,344,10,0,0,1227,70,5,24,5,143
20035493500,2213,999,638,551,25,0,0,1857,110,8,30,12,196
20035493600,2226,991,626,594,15,0,0,1850,119,18,37,12,190
20035493700,1710,777,467,455,11,0,0,1403,140,19,9,11,128
20035493800,2161,955,609,575,22,0,0,1738,198,62,7,8,148
20035493900,2192,1283,496,398,15,0,0,1931,80,2,11,20,148
20035494000,864,331,296,222,15,0,0,724,73,6,5,2,54
20035494100,570,208,221,132,9,0,0,427,92,1,7,4,39
20047969600,842,577,143,120,2,0,0,678,98,0,3,2,61
20047969700,946,599,185,155,7,0,0,778,74,1,5,4,84
