FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48245010600,3337,1197,1456,684,0,0,2457,540,21,84,38,197
48245010700,2236,824,1117,295,0,0,1740,267,5,26,23,175
48245010800,3223,1163,1539,521,0,0,2586,304,10,42,17,264
48245010901,2230,744,1151,335,0,0,1785,223,14,42,20,146
48245010902,3381,1162,1858,361,0,0,2707,322,9,82,28,233
48245011001,3085,1086,1404,595,0,0,2247,409,53,91,59,226
48245011002,2355,773,1170,412,0,0,1905,226,6,26,28,164
48245011101,3202,975,1764,463,0,0,2506,362,8,39,19,268
48245011102,1480,492,685,303,0,0,1189,143,8,17,13,110
48245011204,3355,1045,1845,465,0,0,2542,311,52,118,48,284
48245011205,1423,422,688,313,0,0,1130,136,9,20,10,118
48245011303,1743,519,956,268,0,0,1462,127,27,10,3,114
48245011304,2734,1065,1307,362,0,0,1878,222,365,42,28,199
48245011401,2011,630,1106,275,0,0,1605,131,113,12,10,140
48245011402,3366,1673,1255,438,0,0,1914,277,887,49,21,218
48245011500,2114,691,1134,289,0,0,1601,143,178,16,17,159
48245011600,960,295,497,168,0,0,745,103,13,8,7,84
48245011700,688,530,49,109,0,0,193,152,301,7,4,31
48245011800,1135,1084,21,30,0,0,116,64,907,7,8,33
48245980000,1,0,1,0,0,0,1,0,0,0,0,0
48245980200,21,5,4,12,0,0,7,9,5,0,0,0
48245980300,0,0,0,0,0,0,0,0,0,0,0,0
48245990000,0,0,0,0,0,0,0,0,0,0,0,0
48491020106,3031,707,2017,307,0,0,2449,258,9,48,46,221
48491020108,2775,723,1734,318,0,0,2292,218,3,24,29,209
48491020109,3773,947,2505,321,0,0,3017,324,10,38,53,331
48491020111,2533,712,1546,275,0,0,2043,211,6,35,19,219
48491020113,1418,533,581,304,0,0,950,311,22,11,23,101
48491020114,2920,990,1339,591,0,0,2140,493,49,25,31,182
48491020115,3426,908,2219,299,0,0,2714,287,7,50,50,318
48491020116,3555,944,2413,198,0,0,3095,104,3,25,34,294
48491020117,2087,572,1347,168,0,0,1761,110,1,18,34,163
48491020118,5151,1312,3514,325,0,0,4296,223,13,59,52,508
48491020119,2243,590,1502,151,0,0,1808,149,2,32,18,234
48491020120,2725,797,1602,326,0,0,2020,346,20,53,43,243
48491020121,4289,1377,2321,591,0,0,3172,485,28,99,77,428
48491020122,2369,585,1619,165,0,0,1882,162,6,52,36,231
48491020123,2347,706,1283,358,0,0,1856,238,18,26,26,183
48491020124,4000,1033,2573,394,0,0,3053,396,6,82,79,384
48491020201,1099,265,661,173,0,0,868,134,1,9,10,77
48491020203,2939,774,2024,141,0,0,2529,98,8,22,32,250
48491020205,3294,816,2159,319,0,0,2590,311,72,27,31,263
48491020206,1522,404,878,240,0,0,1165,220,8,6,21,102
48491020207,5349,1341,3188,820,0,0,4074,630,44,78,73,450
48491020208,1867,466,1118,283,0,0,1450,214,10,29,11,153
48491020310,2990,884,1838,268,0,0,2130,307,15,217,71,250
48491020311,4083,1662,1425,996,0,0,2238,584,59,587,272,343
48491020319,4247,1612,2013,622,0,0,2878,734,44,126,123,342
48491020321,1278,478,555,245,0,0,844,288,11,16,19,100
48491020323,1496,590,592,314,0,0,984,299,25,41,29,118
48491020325,1151,532,407,212,0,0,659,303,39,31,22,97
48491020326,4419,1679,2319,421,0,0,3100,497,29,243,122,428
48491020327,2265,857,943,465,0,0,1558,398,11,61,49,188
48491020329,4422,1456,2170,796,0,0,3147,688,43,65,65,414
48491020330,3387,790,2135,462,0,0,2716,324,6,26,36,279
48491020331,3609,1454,1575,580,0,0,2356,779,75,81,51,267
48491020332,2030,762,805,463,0,0,1251,484,21,50,58,166
48491020333,3550,1537,1486,527,0,0,2525,448,20,159,71,327
48491020334,3352,1322,1228,802,0,0,2243,515,47,145,97,305
48491020335,2670,1013,1303,354,0,0,2016,307,16,82,46,203
48491020336,3294,1357,1290,647,0,0,2284,495,45,164,76,230
48491020337,3214,1086,1749,379,0,0,2259,454,26,146,68,261
48491020338,6768,2618,2950,1200,0,0,4378,1170,86,332,173,629
48491020339,1489,468,706,315,0,0,1001,203,7,95,41,142
48491020340,1748,558,885,305,0,0,1254,253,4,48,35,154
48491020341,2058,716,1045,297,0,0,1526,266,15,32,35,184
48491020342,1781,641,853,287,0,0,1220,306,29,37,54,135
48491020343,1529,602,616,311,0,0,993,315,23,32,28,138
48491020344,2617,993,1123,501,0,0,1763,457,33,58,51,255
48491020345,4034,1553,1920,561,0,0,2132,404,40,883,209,366
48491020346,489,185,167,137,0,0,325,56,12,33,17,46
48491020347,1443,546,645,252,0,0,880,213,57,96,79,118
48491020348,1710,692,610,408,0,0,1061,285,43,115,48,158
48491020349,1999,796,813,390,0,0,1326,423,15,62,24,149
48491020350,3688,1358,1807,523,0,0,2415,463,30,341,100,339
48491020351,3522,1330,1696,496,0,0,2629,479,28,64,39,283
48491020352,1481,569,614,298,0,0,1073,213,12,50,12,121
48491020353,2277,915,985,377,0,0,1566,393,26,54,48,190
48491020354,2571,1083,1162,326,0,0,1807,403,66,53,61,181
48491020355,1932,691,874,367,0,0,1216,202,25,201,112,176
48491020356,1600,634,550,416,0,0,1127,249,7,51,37,129
48491020403,1289,617,498,174,0,0,904,200,10,66,32,77
48491020404,2375,1128,926,321,0,0,1679,321,25,115,53,182
48491020405,3463,1715,924,824,0,0,2232,642,77,158,94,260
48491020406,3799,1791,757,1251,0,0,2400,743,95,146,77,338
48491020408,3002,1393,852,757,0,0,2041,418,68,125,84,266
48491020409,3404,1551,1132,721,0,0,2260,474,80,166,80,344
48491020410,3492,1807,993,692,0,0,2244,477,62,290,114,305
48491020411,4240,2177,1372,691,0,0,2622,642,73,302,137,464
48491020503,4179,1639,2149,391,0,0,2977,482,21,281,79,339
48491020505,2105,824,1096,185,0,0,1496,220,8,133,53,195
48491020507,1942,815,798,329,0,0,1171,276,37,196,95,167
48491020508,3069,1313,826,930,0,0,1905,524,81,152,102,305
48491020509,4304,1837,2016,451,0,0,2494,463,20,759,167,401
48491020511,1616,891,380,345,0,0,877,549,52,27,13,98
48491020512,1721,842,356,523,0,0,996,497,73,30,31,94
48491020513,936,445,178,313,0,0,515,245,45,36,28,67
48491020514,3181,1422,1455,304,0,0,2080,403,41,255,96,306
48491020515,2650,1186,1064,400,0,0,1664,402,22,272,84,206
48491020516,3380,1291,1679,410,0,0,1466,325,16,1063,216,294
48491020517,3738,1628,1732,378,0,0,2532,423,39,281,152,311
48491020602,3015,1341,1281,393,0,0,1965,641,39,82,54,234
48491020604,4695,1597,2535,563,0,0,3323,606,35,284,87,360
48491020606,2514,909,1409,196,0,0,1585,292,28,329,97,183
48491020607,3704,1288,2156,260,0,0,2462,299,62,432,96,353
48491020608,4007,1489,2009,509,0,0,2780,580,42,173,131,301
48491020609,1404,477,772,155,0,0,915,152,8,118,45,166
48491020701,1364,652,338,374,0,0,749,431,56,9,32,87
48491020704,2738,1481,615,642,0,0,1518,890,80,39,48,163
48491020706,2970,1208,1472,290,0,0,1864,497,44,210,106,249
48491020707,3579,1735,1142,702,0,0,2051,814,138,200,107,269
48491020709,2307,1130,668,509,0,0,1376,599,102,40,28,162
48491020710,1518,739,349,430,0,0,806,335,119,104,41,113
48491020711,2877,1278,1264,335,0,0,1741,491,73,233,93,246
