FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34029737000,2416,517,907,960,11,5,2,0,2025,96,8,20,39,228
34029738001,2211,542,763,897,5,2,1,0,1819,65,6,5,42,274
34029738002,1266,317,440,497,6,3,0,0,1073,31,0,9,16,137
34029738100,1835,491,576,761,2,1,0,0,1505,43,1,9,35,242
34029739000,2224,502,751,950,5,5,2,0,1893,65,0,17,32,217
34029739100,1374,398,431,532,4,3,0,0,1122,65,2,9,28,148
34029739200,1916,340,596,975,3,0,0,0,1658,35,4,18,27,174
34029980000,15,2,9,4,0,0,0,0,9,0,0,0,1,5
34029980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34029990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34037371000,2670,501,832,1293,5,15,7,0,2076,180,12,30,76,296
34037371100,2998,541,993,1415,12,5,1,0,2360,158,8,16,74,382
34037371200,1275,287,472,478,9,4,5,0,982,125,4,14,22,128
34037371300,2696,590,946,1122,13,8,4,0,2171,178,10,18,59,260
34037371400,2348,519,843,937,15,9,8,0,1868,161,4,23,55,237
34037371502,3874,965,1449,1410,15,7,3,0,3125,228,3,27,105,386
34037371503,1990,413,758,790,10,7,3,0,1541,142,1,3,43,260
34037371600,2210,554,858,748,18,5,2,0,1698,203,8,16,52,233
34037371700,3767,835,1384,1480,17,7,7,0,2990,268,14,31,75,389
34037371801,2959,485,944,1488,14,8,1,0,2486,133,2,24,56,258
34037371802,2347,434,796,1066,13,3,4,0,1890,180,2,7,46,222
34037371900,1451,290,416,718,7,4,6,0,1183,67,4,21,33,143
34037372000,2397,542,681,1144,12,3,3,0,1980,117,7,10,65,218
34037372100,1514,330,476,694,4,1,0,0,1210,102,5,16,34,147
34037372200,1691,324,443,903,7,6,2,0,1450,65,1,3,17,155
34037372300,3169,538,822,1773,9,4,2,0,2558,149,9,34,52,367
34037372400,1906,349,596,929,11,8,2,0,1552,107,16,17,27,187
34037372500,2356,585,830,900,13,3,5,0,1780,179,20,53,80,244
34037372600,4007,885,1371,1710,12,4,3,0,3126,270,15,78,88,430
34037372700,2486,602,889,954,13,8,2,0,1860,235,15,48,64,264
34037372800,1133,259,424,429,7,5,1,0,879,98,4,18,25,109
34037372900,2302,516,701,1041,10,6,2,0,1725,258,9,24,61,225
34037373000,1745,432,610,672,3,6,4,0,1357,157,1,13,43,174
34037373100,4587,1045,1707,1785,16,7,1,0,3392,346,19,121,169,540
34037373200,2771,672,1025,1043,12,4,4,0,2139,189,12,32,98,301
34037373300,2394,602,848,920,8,3,1,0,1833,186,6,57,91,221
34037373400,5702,1524,2001,2126,20,10,5,0,4558,305,10,83,166,580
34037373500,2668,624,806,1202,13,8,3,0,2135,189,18,16,53,257
34037373600,2096,512,631,917,11,7,5,0,1659,143,6,21,48,219
34037373700,2401,677,841,832,14,10,8,0,1773,229,41,12,70,276
34037373800,2778,789,989,942,13,10,9,0,2062,311,35,36,75,259
34037373900,3154,688,922,1502,12,9,9,0,2605,131,2,19,61,336
34037374000,2702,550,807,1322,7,3,3,0,2154,164,2,27,61,294
34037374100,2878,559,966,1328,7,9,0,0,2274,184,7,30,80,303
34037374200,1816,423,668,698,8,5,5,0,1464,104,12,21,47,168
34037374300,2653,667,883,1061,15,5,5,0,2099,170,8,30,87,259
34037374400,1895,466,685,719,9,4,2,0,1410,160,11,24,62,228
34037374500,1404,327,471,578,9,5,3,0,1066,124,7,26,41,140
34037374600,2660,748,953,916,16,4,3,0,1972,254,16,45,87,286
34037374700,3105,780,985,1281,20,7,5,0,2290,374,19,33,55,334
34037374800,3094,785,1151,1104,22,5,7,0,2161,445,22,50,94,322
34037374900,3024,776,1163,1016,29,15,2,0,2082,474,31,58,80,299
34027040101,2964,735,1104,1078,13,8,3,0,1962,358,14,70,216,344
34027040102,4630,1358,1802,1417,21,8,2,0,3037,563,19,202,309,500
34027040200,5459,1429,2036,1942,19,5,4,0,4016,481,15,91,222,634
34027040301,3612,1046,1202,1347,6,5,2,0,2815,140,11,48,89,509
34027040302,3297,645,1212,1422,8,0,1,0,2592,203,3,39,102,358
34027040400,3131,730,1087,1285,11,1,1,0,2199,256,11,126,161,378
34027040500,2477,706,901,838,10,8,3,0,1827,245,3,48,110,244
34027040600,3207,759,1269,1144,8,4,3,0,2279,346,9,58,162,353
34027040701,4884,1089,1597,2159,22,5,1,0,3648,244,10,130,256,596
34027040702,3370,741,1121,1482,8,5,3,0,2471,185,14,128,158,414
34027040801,4172,941,1416,1779,9,5,4,0,2758,252,10,362,259,531
34027040803,4976,1445,1851,1635,12,7,5,0,2748,363,43,775,342,705
34027040804,2899,803,1006,1070,9,4,0,0,1730,169,4,409,194,393
34027040805,4909,1146,1836,1892,9,5,5,0,2983,260,13,737,269,647
34027040900,3656,852,1150,1623,10,5,2,0,2680,171,7,177,184,437
34027041000,3840,1277,1248,1279,11,8,5,0,2500,360,47,106,378,449
34027041100,2491,820,792,852,10,4,0,0,1652,220,43,70,214,292
34027041200,3429,1136,1293,987,1,1,1,0,2385,127,2,342,161,412
34027041300,3897,1066,1214,1593,8,5,1,0,3068,195,4,117,130,383
34027041400,4719,1415,1492,1756,15,8,3,0,3521,268,18,179,187,546
34027041500,4902,1215,1711,1924,22,7,4,0,3260,349,19,391,233,650
34027041602,2134,804,634,669,8,2,4,0,1468,141,18,211,88,208
34027041603,2784,883,900,970,7,3,6,0,1378,238,13,707,175,273
34027041604,3732,1023,1271,1404,9,7,1,0,2185,356,31,612,191,357
34027041605,2790,903,1108,762,4,2,4,0,1339,159,30,676,209,377
34027041606,2182,778,822,554,10,3,3,0,1070,179,32,446,185,270
34027041701,3226,1042,1078,1058,8,10,3,0,1650,409,43,504,310,310
34027041702,2351,802,747,773,9,4,1,0,1211,304,15,352,204,265
34027041704,2913,904,1060,908,9,6,4,0,1314,256,39,665,333,306
34027041705,1127,323,407,385,2,2,0,0,548,92,1,292,76,118
34027041706,2795,969,1022,755,16,8,2,0,1456,300,59,437,204,339
34027041801,1392,437,492,440,3,4,2,0,649,161,9,346,96,131
34027041802,3833,1200,1231,1339,11,11,5,0,1763,303,16,1198,239,314
34027041803,3716,1046,1241,1402,9,2,5,0,1582,226,15,1197,296,400
34027041901,4869,1217,1635,1978,17,7,1,0,3531,414,24,329,154,417
34027041902,4305,1056,1513,1702,13,5,3,0,2759,330,35,492,206,483
34027042000,3628,825,1232,1549,8,0,2,0,2355,215,9,495,123,431
34027042100,3342,729,1053,1530,7,6,1,0,2432,168,9,276,127,330
34027042200,4275,1133,1385,1725,13,5,4,0,2891,296,10,379,177,522
34027042301,1855,603,537,697,9,0,1,0,1487,123,7,44,37,157
34027042302,3060,1036,1022,984,7,3,2,0,2239,203,42,162,98,316
34027042500,2796,619,850,1311,6,0,0,0,2190,125,5,102,69,305
34027042601,1767,530,598,630,4,1,2,0,1206,107,38,73,93,250
34027042602,3994,1240,1305,1417,8,5,3,0,2696,254,94,235,180,535
34027042700,2968,1020,1159,772,7,4,1,0,2163,207,15,161,122,300
34027042800,3668,1201,1327,1128,7,2,0,0,2836,131,3,166,148,384
34027042900,2565,964,835,749,5,5,2,0,1812,272,36,108,89,248
34027043000,3407,1279,1175,932,5,1,3,0,2460,317,67,161,99,303
34027043100,2934,968,1045,909,3,3,0,0,2373,101,6,88,66,300
34027043200,2772,1063,1059,631,8,2,1,0,2027,189,22,124,79,331
34027043301,2038,878,630,517,7,3,0,0,1192,194,294,80,72,206
34027043302,3145,1054,1054,1022,3,4,1,0,2313,173,14,136,98,411
34027043303,3226,1072,1103,1030,8,3,4,0,2342,148,13,163,97,463
34027043401,5315,1833,1799,1632,16,11,6,0,3825,384,80,230,174,622
34027043402,4527,1707,1437,1347,14,9,2,0,3298,237,44,191,152,605
34027043500,1352,859,384,76,3,7,10,0,282,459,512,21,17,61
34027043601,2023,839,705,457,11,3,2,0,1368,175,66,66,97,251
34027043602,1505,664,490,334,10,2,0,0,993,155,110,32,41,174
34027043700,2693,1174,824,681,7,2,1,0,1956,175,30,76,91,365
34027043801,1728,802,563,350,6,2,1,0,1130,193,73,57,53,222
34027043802,2161,1075,660,394,8,2,3,0,1206,443,114,68,62,268
34027043900,3938,1216,1259,1447,9,2,0,0,2895,171,39,228,147,458
34027044000,4308,1306,1412,1571,7,2,2,0,3164,186,11,331,190,426
34027044101,2442,651,893,878,9,3,0,0,1750,149,4,180,73,286
34027044102,4337,1166,1561,1572,14,10,1,0,3116,336,6,238,150,491
34027044200,3501,761,1066,1653,12,3,2,0,2775,115,18,103,92,398
34027044300,4740,1417,1625,1631,23,8,9,0,3078,692,37,273,198,462
34027044401,3862,838,1179,1813,17,5,1,0,2926,249,17,88,120,462
34027044403,3945,1300,1378,1220,9,14,3,0,2605,380,13,149,192,606
34027044404,3260,1016,1150,1067,11,8,1,0,2242,333,12,94,127,452
34027044502,2735,903,958,842,7,1,1,0,1580,564,22,187,136,246
34027044503,2008,681,547,773,2,3,0,0,1393,154,6,48,77,330
34027044504,2881,927,998,934,9,2,1,0,1723,305,42,306,147,358
34027044601,3587,744,1311,1492,17,4,4,0,2748,261,8,51,87,432
34027044602,4446,965,1561,1862,19,13,4,0,3563,252,12,35,130,454
34027044701,3431,819,1248,1301,23,9,6,0,2654,271,13,34,81,378
34027044702,4286,1100,1547,1581,17,13,4,0,2876,403,40,285,196,486
34027044800,3636,1808,1260,494,16,10,8,0,1097,2113,63,56,63,244
34027044900,2895,1467,907,471,13,11,4,0,896,1646,41,49,59,204
34027045000,2315,1126,784,350,10,10,9,0,690,1300,46,49,70,160
34027045100,4669,1743,1555,1286,16,19,7,0,2374,1484,33,154,174,450
34027045200,2776,925,968,826,14,10,8,0,1656,641,32,60,90,297
34027045300,3188,850,1206,1078,16,10,3,0,2129,495,13,89,113,349
34027045402,3855,1029,1464,1290,27,12,6,0,2638,598,40,80,100,399
34027045403,2622,692,899,995,10,2,10,0,1888,252,25,83,85,289
34027045404,1969,538,599,815,6,1,1,0,1432,186,10,43,94,204
34027045501,4203,1003,1595,1573,11,5,1,0,3138,326,15,122,134,468
34027045503,3137,731,1183,1188,14,4,3,0,2325,268,20,130,63,331
34027045504,3595,925,1376,1250,13,4,8,0,2410,350,39,250,146,400
34027045603,3103,1027,1186,841,11,9,3,0,1790,603,41,170,150,349
34027045701,4919,1453,1843,1586,16,6,1,0,3411,383,31,331,173,590
34027045703,3075,973,1161,917,9,2,2,0,2051,204,10,188,152,470
34027045704,4470,1434,1714,1291,12,4,2,0,2981,280,17,267,150,775
34027045804,4589,1256,1539,1770,14,5,1,0,3426,176,7,209,171,600
34027045901,1349,320,418,601,3,2,1,0,1043,82,7,28,38,151
34027045903,2529,582,852,1075,9,3,0,0,1893,115,17,87,105,312
34027045904,3644,863,1176,1588,8,1,2,0,2760,224,2,134,118,406
34027046000,2212,642,709,819,6,5,7,0,1544,350,25,40,47,206
34027046103,4523,1348,1662,1456,15,11,5,0,3174,494,66,139,124,526
34027046104,4370,1259,1485,1583,14,6,6,0,3068,380,57,189,150,526
34027046107,1707,527,675,469,10,3,4,0,999,270,43,75,107,213
34027046108,2993,931,1160,833,18,10,8,0,1881,465,43,93,138,373
34027046109,2298,662,865,739,12,4,3,0,1405,227,24,252,93,297
34027046110,3943,1207,1459,1233,14,7,2,0,2446,402,99,254,228,514
34027046201,4658,1153,1706,1769,12,4,3,0,3392,336,39,195,149,547
34027046202,3094,743,1114,1217,7,6,1,0,2427,136,1,60,75,395
34027046297,2832,595,1004,1209,8,4,0,0,2178,165,14,53,80,342
34027046298,4007,932,1412,1636,12,3,1,0,3155,205,8,81,115,443
34027046400,4319,1229,1327,1736,12,6,3,0,3417,208,10,82,132,470
34027046500,4852,1665,1872,1255,16,9,6,0,2710,818,115,407,232,570
34011010101,2213,514,840,824,6,7,9,0,1832,98,20,5,17,241
34011010103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34011010200,3055,964,1139,884,15,10,6,0,2312,190,273,8,31,241
34011010301,2065,525,821,687,10,3,2,0,1604,160,92,7,18,184
34011010302,1003,203,310,471,6,1,2,0,834,39,16,2,11,101
34011010401,3282,1690,1006,536,9,6,6,0,1302,264,1547,7,24,138
34011010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34011010500,1619,390,549,666,2,3,1,0,1335,52,49,6,35,142
34011010600,3438,936,1256,1200,8,5,7,0,2704,221,85,24,37,367
34011010701,2791,908,1055,769,13,2,7,0,1873,289,348,47,29,205
34011010702,2805,790,1064,913,7,4,5,0,2086,209,96,74,44,296
34011010800,2065,592,763,676,5,3,8,0,1499,204,142,11,20,189
34011020100,288,144,114,21,1,2,1,0,75,118,78,6,0,11
34011020200,644,274,275,75,2,3,1,0,213,246,138,7,5,35
34011020301,666,303,294,47,4,2,0,0,211,213,222,4,2,14
34011020302,843,389,342,86,4,5,7,0,295,357,150,4,1,36
34011020400,1563,700,607,228,3,2,4,0,677,417,350,13,14,92
34011020502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34011020503,1985,1066,744,114,5,8,3,0,255,261,1393,12,9,55
34011020600,1990,848,766,335,7,2,7,0,986,409,455,7,21,112
34011030100,537,206,236,74,4,0,6,0,259,93,134,7,4,40
34011030200,3220,1252,1407,461,11,8,21,0,1554,690,768,17,18,173
34011030300,2157,823,948,324,12,4,8,0,1225,339,451,8,19,115
34011030401,2629,978,974,623,11,6,7,0,1727,400,187,28,51,236
34011030402,2716,888,1075,720,4,5,7,0,1960,272,183,26,63,212
34011030501,4637,1424,1809,1314,20,10,15,0,3634,334,128,46,54,441
34011030502,2703,961,1107,588,7,1,12,0,1614,554,303,19,31,182
34011040300,2376,938,982,402,9,4,10,0,990,1056,159,15,31,125
34011040400,4225,1721,1712,684,17,13,14,0,1690,1925,309,23,59,219
34011040500,3557,1526,1464,469,14,14,13,0,1079,1778,471,25,46,158
34011040601,2362,796,923,596,9,6,6,0,1422,559,129,19,43,190
34011040602,2401,1016,1070,242,8,9,14,0,649,1318,284,23,33,94
34011040701,3195,1112,1183,860,12,5,1,0,1906,714,126,77,77,295
34011040702,2457,835,933,647,8,0,7,0,1485,628,101,14,50,179
34011040800,4114,1328,1558,1164,17,8,10,0,2657,569,176,176,146,390
34011040901,1902,694,796,373,8,4,1,0,970,585,194,5,26,122
34011040902,4469,1556,1793,1021,17,8,14,0,2484,1329,220,27,66,343
34011041001,3049,867,1189,949,5,8,6,0,2240,378,70,16,61,284
34011041002,2377,851,934,536,8,4,8,0,1343,647,116,31,48,192
34011041101,2033,950,837,176,8,7,13,0,453,1193,285,19,24,59
34011041102,1541,642,695,146,11,1,14,0,262,1126,84,3,11,55
34011990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34023000101,2370,678,947,713,7,5,4,0,1648,245,11,78,66,322
34023000102,3252,1045,1350,809,11,10,7,0,2152,458,10,145,118,369
34023000200,4007,1495,1574,862,13,8,9,0,2072,1045,126,211,193,360
34023000300,4414,1656,1745,925,23,11,13,0,2572,1035,155,101,154,397
34023000401,2827,1362,1025,398,6,7,6,0,1230,513,381,310,152,241
34023000403,3931,1874,1525,475,13,6,9,0,1301,449,574,974,294,339
34023000404,3669,1659,1446,499,8,9,7,0,1479,533,402,750,154,351
34023000501,3510,1999,1147,318,10,5,7,0,762,756,1469,207,125,191
34023000503,1574,792,547,211,7,0,2,0,550,237,252,313,107,115
34023000504,1855,947,707,151,11,6,1,0,594,335,323,366,97,140
34023000603,3758,1375,2047,312,4,7,3,0,1434,411,241,836,382,454
34023000608,1003,504,397,90,4,0,2,0,289,98,111,280,131,94
34023000609,1673,897,597,158,4,7,2,0,406,168,336,491,175,97
34023000610,3388,1745,1248,357,6,3,2,0,787,315,766,980,312,228
34023000701,2421,1197,903,294,11,2,3,0,1014,302,210,477,170,248
34023000702,4500,2505,1374,576,10,8,4,0,1844,452,941,467,399,397
34023000801,2656,1081,1044,487,11,5,3,0,1466,492,316,91,82,209
34023000802,1987,631,829,500,5,7,2,0,1244,303,55,116,65,204
34023000901,1634,586,651,374,6,0,3,0,1034,240,41,62,61,196
34023000902,3343,1222,1396,666,16,8,6,0,2026,578,187,137,107,308
34023001001,1893,650,807,418,4,2,4,0,1164,232,58,161,82,196
34023001003,3668,1394,1618,604,7,8,6,0,1581,529,212,729,259,358
34023001004,1088,455,473,145,4,0,2,0,385,115,88,339,53,108
34023001100,3275,1979,958,312,4,6,1,0,1703,268,83,291,221,709
34023001200,3495,1961,1099,393,12,6,5,0,1566,475,277,215,209,753
34023001300,3162,2064,780,289,10,9,0,0,1764,249,58,143,167,781
34023001409,2514,1365,822,307,2,1,3,0,664,132,19,1160,242,297
34023001410,3035,1581,1121,310,4,6,2,0,644,183,32,1654,276,246
34023001411,2534,1321,867,326,4,6,2,0,649,152,115,1159,228,231
34023001412,1981,957,718,298,3,0,0,0,661,108,17,789,165,241
34023001413,3503,1871,1259,340,6,3,4,0,693,159,332,1704,328,287
34023001414,2682,1303,1106,253,4,2,2,0,639,141,43,1310,229,320
34023001415,3992,2019,1360,584,6,5,0,0,1478,177,10,1506,372,449
34023001417,1461,761,485,208,1,0,0,0,442,86,9,614,166,144
34023001418,2377,1110,974,269,2,2,1,0,427,136,10,1431,207,166
34023001419,594,235,288,56,2,2,2,0,201,64,22,154,78,75
34023001502,3902,1815,1308,731,11,9,2,0,1812,343,51,507,308,881
34023001504,2790,1419,1021,303,4,6,9,0,985,284,198,812,234,277
34023001505,857,460,318,65,5,2,0,0,208,70,59,357,90,73
34023001506,1951,932,817,175,6,3,4,0,647,291,165,427,185,236
34023001600,3021,1438,1110,427,10,7,3,0,1437,540,122,425,160,337
34023001701,3611,1710,1272,583,13,6,6,0,1748,492,64,665,254,388
34023001702,2555,1230,934,359,15,1,3,0,1283,364,73,400,164,271
34023001803,2194,1059,768,333,8,3,6,0,1054,347,72,271,146,304
34023001804,2449,1166,879,369,7,4,6,0,1052,402,65,500,197,233
34023001805,2940,1451,1073,378,9,5,5,0,1229,407,140,576,288,300
34023001806,1746,836,685,191,7,3,1,0,552,351,167,337,128,211
34023001901,2871,1375,1030,428,6,4,4,0,1099,440,187,556,256,333
34023001902,1591,711,575,282,5,3,1,0,782,356,42,102,136,173
34023001903,2518,1192,911,382,4,5,5,0,1297,452,79,226,155,309
34023002000,3053,1446,1071,513,8,2,2,0,1577,305,142,407,198,424
34023002101,2163,1086,719,341,6,2,2,0,1418,170,15,148,75,337
34023002102,2765,1364,909,470,9,2,0,0,1734,180,18,272,125,436
34023002200,2665,1301,907,430,11,5,3,0,1630,213,78,231,131,382
34023002301,2942,1133,1207,566,13,4,4,0,1645,473,136,160,153,375
34023002302,2692,989,1111,561,8,4,2,0,1355,486,29,291,196,335
34023002401,4079,1561,1693,774,8,6,8,0,2345,599,142,304,210,479
34023002402,1145,463,432,240,0,1,2,0,549,92,2,280,106,116
34023002500,4382,2043,1650,626,17,5,9,0,1206,420,61,1815,512,368
34023002603,2683,1375,934,339,6,3,4,0,1027,300,191,644,289,232
34023002604,4416,1990,1662,702,12,9,3,0,1958,534,196,891,406,431
34023002605,2003,844,738,392,6,4,3,0,1165,323,52,152,120,191
34023002701,2687,1198,1066,368,10,7,6,0,1016,572,198,287,335,279
34023002703,4062,1882,1530,586,16,9,3,0,1872,884,317,302,267,420
34023002805,1998,852,755,368,5,6,3,0,1174,383,54,82,87,218
34023002901,1955,857,751,310,7,3,3,0,1048,439,109,79,83,197
34023002902,2064,943,769,311,11,5,5,0,1033,579,60,85,115,192
34023003001,3380,1490,1274,562,13,7,4,0,1816,734,75,168,213,374
34023003002,2169,971,857,310,7,2,4,0,938,295,128,345,207,256
34023003101,1985,862,789,308,11,1,3,0,744,401,69,344,188,239
34023003102,2877,1394,1060,379,10,6,0,0,1149,680,219,309,197,323
34023003201,2294,1011,879,366,6,4,4,0,1174,602,56,101,131,230
34023003203,2803,1265,1047,434,10,13,4,0,1262,853,118,105,147,318
34023003300,3344,1506,1346,421,14,15,10,0,1085,1685,93,67,125,289
34023003401,2612,1131,1015,428,10,3,6,0,1366,674,100,88,111,273
34023003500,2408,1147,849,378,5,2,3,0,869,711,79,377,129,243
34023003601,4352,2199,1595,471,14,13,13,0,1212,1545,306,641,308,340
34023003700,2619,1311,930,340,4,6,5,0,887,679,112,445,257,239
34023003801,3930,2058,1380,436,14,7,6,0,1424,1137,189,516,301,363
34023003802,1868,1046,664,104,6,5,9,0,391,753,419,90,79,136
34023004000,2814,1462,1070,232,11,3,4,0,601,1864,123,23,36,167
34023004100,1813,919,709,157,5,1,7,0,319,1321,33,9,15,116
34023004200,1881,890,793,167,8,3,3,0,252,1486,15,18,31,79
34023004300,2271,1059,956,191,12,8,6,0,335,1783,20,9,23,101
34023004400,2479,1111,1124,193,11,5,5,0,343,1916,47,15,33,125
34023004501,2020,913,914,151,7,5,5,0,192,1731,13,6,13,65
34023004502,1596,886,565,109,5,3,6,0,301,699,481,31,37,47
34023004600,2523,1215,1043,211,11,8,5,0,316,1971,49,27,33,127
34023004700,1966,912,828,182,5,3,10,0,336,1390,95,25,30,90
34023004800,2569,1277,1048,188,12,7,7,0,285,2098,43,13,24,106
34023004900,2538,1341,939,207,7,9,10,0,424,1867,71,29,29,118
34023005000,2601,1279,1027,228,13,8,7,0,367,2031,46,21,19,117
34023005100,2800,1020,1559,201,9,2,3,0,1431,236,62,345,170,556
34023005200,2085,964,957,136,5,7,0,0,923,517,121,150,109,265
34023005300,690,301,339,35,2,2,1,0,163,365,26,43,27,66
34023005500,1592,870,601,82,5,1,8,0,278,638,557,28,25,66
34023005601,1058,553,394,79,2,6,6,0,242,605,89,27,16,79
34023005602,2481,1147,1135,147,9,7,6,0,741,1179,204,71,69,217
34023005700,2233,1216,833,131,9,4,5,0,459,1009,518,75,49,123
34023005800,1733,920,703,72,8,5,6,0,559,781,178,54,42,119
34023006001,1402,819,404,155,7,4,3,0,601,408,131,51,77,134
34023006002,1705,831,755,90,4,6,6,0,567,487,305,108,67,171
34023006101,2589,1142,1031,371,10,3,9,0,980,925,110,146,179,249
34023006103,3048,1485,1132,385,12,5,2,0,1142,708,334,336,224,304
34023006104,2930,1324,1133,438,6,6,3,0,1152,416,317,499,223,323
34023006204,1041,512,410,99,5,3,1,0,355,111,123,269,91,92
34023006205,4626,2245,1778,546,12,5,10,0,1786,472,480,924,485,479
34023006206,1557,679,579,287,0,2,1,0,874,127,49,183,110,214
34023006207,4561,2129,1781,557,17,12,11,0,1698,818,713,516,357,459
34023006208,3638,1826,1481,269,9,9,8,0,1072,311,533,947,418,357
34023006209,1720,650,682,365,6,5,2,0,942,170,20,194,151,243
34023006300,5290,1830,2241,1161,19,7,6,0,3755,469,28,180,244,614
34023006403,2057,794,826,416,8,5,3,0,953,215,17,412,215,245
34023006500,5639,2089,2355,1144,14,6,9,0,2837,440,26,985,548,803
34023006601,1894,688,752,435,5,5,1,0,985,117,4,251,203,334
34023006604,4738,1817,2003,872,17,6,3,0,1829,341,62,1047,717,742
34023006605,2863,1165,1122,564,4,2,0,0,1314,165,27,384,288,685
34023006606,2420,955,983,463,5,2,2,0,868,129,17,515,340,551
34023006607,2272,875,861,515,10,2,3,0,1230,213,27,208,173,421
34023006608,2739,1001,1175,540,4,5,2,0,1175,200,30,511,380,443
34023006701,3177,1186,1271,691,9,7,2,0,1683,333,56,340,303,462
34023006703,4142,1543,1737,811,15,8,8,0,1687,432,72,881,520,550
34023006800,2623,911,1118,546,5,9,5,0,1405,603,47,69,159,340
34023006900,1420,509,609,276,3,3,3,0,701,380,40,18,82,199
34023007000,4736,1763,1876,1020,21,10,9,0,2327,945,191,276,330,667
34023007101,2536,1068,985,455,6,1,3,0,1426,395,87,199,149,280
34023007102,3549,1440,1382,667,12,7,8,0,1857,538,110,378,274,392
34023007103,2056,1014,795,202,4,1,7,0,422,410,677,83,237,227
34023007202,3430,1364,1382,629,12,8,5,0,1720,479,65,479,307,380
34023007203,2834,1196,1078,532,5,4,6,0,1474,453,125,219,255,308
34023007301,2253,822,891,501,6,7,7,0,1394,383,24,99,140,213
34023007303,1445,559,552,313,3,5,3,0,842,223,46,62,77,195
34023007305,2073,838,837,363,8,3,7,0,1020,296,132,146,240,239
34023007306,1996,929,733,307,7,3,2,0,753,297,227,312,211,196
34023007402,3730,1454,1420,793,16,10,5,0,2356,501,131,187,146,409
34023007500,2072,900,773,354,11,8,8,0,1357,361,21,35,69,229
34023007600,3766,1546,1400,752,21,8,9,0,2413,606,31,148,153,415
34023007702,4080,1244,1772,1014,11,11,1,0,1961,420,97,605,478,519
34023007703,2217,675,915,597,7,7,1,0,1387,303,47,101,108,271
34023007704,2099,663,904,511,8,3,0,0,1359,281,37,78,110,234
34023007801,2183,815,914,420,9,6,3,0,1182,339,62,145,174,281
34023007804,3883,1239,1632,967,12,9,4,0,2160,484,41,320,402,476
34023007805,4035,1242,1650,1096,15,3,4,0,2491,537,31,212,273,491
34023007806,2872,931,1150,757,10,5,2,0,1880,363,51,117,141,320
34023007905,1652,610,659,362,5,2,4,0,962,265,22,90,140,173
34023007906,886,360,348,163,4,3,0,0,462,155,61,66,41,101
34023007907,2229,796,895,500,7,6,3,0,1322,268,32,143,184,280
34023007908,1864,882,751,185,6,9,7,0,533,306,267,148,418,192
34023007909,2963,913,1212,809,5,3,4,0,1812,305,34,253,213,346
34023007910,2532,844,974,689,6,2,1,0,1575,299,55,175,131,297
34023007911,2656,840,1105,671,6,3,5,0,1396,283,41,380,238,318
34023007913,2771,959,1133,656,6,0,2,0,1279,275,56,437,333,391
34023007914,2644,905,1022,692,8,4,1,0,1521,287,41,268,194,333
34023008001,4594,1666,1750,1092,15,15,10,0,2893,625,109,191,261,515
34023008101,3201,900,1338,919,11,5,5,0,2123,306,43,110,177,442
34023008102,2656,822,1089,708,10,7,3,0,1759,254,30,106,171,336
34023008103,1684,498,729,436,7,1,1,0,1153,150,18,46,90,227
34023008204,4541,1998,1355,1159,5,2,3,0,2862,249,36,330,210,854
34023008205,3495,1792,898,790,2,4,1,0,2212,168,16,134,168,797
34023008206,3139,1341,910,880,4,1,0,0,2245,195,25,153,108,413
34023008207,2715,1395,706,597,2,2,1,0,1558,99,14,171,147,726
34023008209,2924,862,1207,804,15,12,2,0,2019,232,10,121,139,403
34023008210,2793,917,1245,604,6,2,2,0,1307,194,45,695,178,374
34023008211,4796,1397,2083,1258,12,10,7,0,2699,403,50,668,355,621
34023008212,4142,1288,1896,910,7,10,3,0,1859,346,96,958,336,547
34023008213,5019,1780,1874,1331,7,7,1,0,2919,230,41,438,374,1017
34023008214,6041,2356,2526,1111,7,10,9,0,2276,252,65,1893,512,1043
34023008300,3359,1195,1410,706,10,8,5,0,2088,510,126,101,161,373
34023008403,5375,2468,2161,702,14,7,6,0,1934,345,152,1692,601,651
34023008404,2808,1055,1156,558,12,7,6,0,1579,290,44,327,228,340
34023008405,3863,1730,1599,504,7,9,1,0,1354,165,85,1440,326,493
34023008406,1578,655,652,255,2,6,2,0,826,113,8,292,140,199
34023008501,1866,863,740,226,8,4,3,0,686,224,259,305,193,199
34023008502,4093,1724,1707,636,6,4,1,0,1485,222,71,1440,382,493
34023008504,5139,2287,2081,738,10,7,3,0,2144,264,91,1475,507,658
34023008505,3319,1477,1388,417,8,3,5,0,1001,218,105,1193,364,438
34023008506,2658,1212,1073,336,7,11,4,0,1013,195,156,692,307,295
34023008601,3554,1566,1524,451,0,5,3,0,1338,118,61,1319,240,478
34023008602,2941,1226,1364,326,9,6,2,0,979,196,85,1130,216,335
34023008604,3204,1448,1360,364,8,3,2,0,1226,202,61,1129,226,360
34023008605,1560,690,695,153,5,4,1,0,578,175,99,460,76,172
