GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28135950400,1736,619,300,814,2,1,0,813,11,824,3,3,82
28067950101,2815,1076,1187,551,0,1,0,1787,36,858,9,7,118
28067950102,1295,514,612,169,0,0,0,971,17,183,4,12,108
28067950201,1988,614,1165,209,0,0,0,1698,30,150,8,16,86
28067950202,1745,522,712,511,0,0,0,927,27,705,10,2,74
28067950301,3427,1026,1898,502,0,1,0,2587,33,615,11,9,172
28067950302,2275,675,1409,190,0,1,0,2007,31,78,12,6,141
28067950401,2097,728,1061,308,0,0,0,1607,48,269,25,19,129
28067950402,3311,1554,732,1025,0,0,0,1443,97,1627,26,14,104
28067950500,2306,1111,501,694,0,0,0,890,42,1257,28,17,72
28067950601,2666,1410,46,1210,0,0,0,221,52,2364,9,4,16
28067950602,995,453,337,205,0,0,0,697,40,180,16,4,58
28067950700,2266,987,507,770,0,2,0,834,22,1349,3,5,53
28067950801,2031,795,1020,216,0,0,0,1633,29,264,6,8,91
28067950802,1749,673,955,121,0,0,0,1574,17,35,6,2,115
28067950901,2308,870,1127,311,0,0,0,1788,35,326,11,6,142
28067950902,2845,1093,1483,268,0,1,0,2364,54,252,5,4,166
28067951000,2113,904,727,482,0,0,0,1221,30,734,9,8,111
28067951101,1665,584,902,179,0,0,0,1368,28,188,6,6,69
28067951102,2428,1001,1144,282,0,1,0,1919,44,311,5,9,140
28067980000,2,2,0,0,0,0,0,2,0,0,0,0,0
28111950101,3427,1341,1401,684,0,1,0,2705,32,492,15,4,179
28111950102,2634,1019,1076,537,0,2,0,1828,29,622,14,1,140
28111950200,2313,866,826,621,0,0,0,1448,31,721,5,14,94
28101050100,2736,988,1412,336,0,0,0,2319,28,249,8,2,130
28101050200,3227,1168,1558,501,0,0,0,2493,23,577,10,6,118
28101050301,2121,816,774,530,0,1,0,1179,24,801,11,13,93
28101050302,1468,719,508,241,0,0,0,1095,13,225,7,11,117
28101050400,3443,1231,1360,852,0,0,0,2077,50,1167,19,12,118
28101050500,2539,1251,410,876,0,2,0,768,34,1639,21,16,61
28059040103,2972,1252,1464,256,0,0,0,2389,39,329,18,12,185
28059040104,1942,770,1071,101,0,0,0,1702,23,88,6,8,115
28059040105,3071,1300,1605,166,0,0,0,2716,44,66,15,11,219
28059040106,1852,759,1001,91,0,1,0,1605,35,43,13,4,152
28059040203,3162,1596,1324,240,0,2,0,2606,103,105,55,26,267
28059040205,2330,1065,1131,133,0,1,0,2011,52,59,15,10,183
28059040206,3118,1348,1515,254,0,1,0,2636,71,172,17,15,207
28059040207,2286,1312,778,195,0,1,0,1828,68,101,45,16,228
28059040208,1546,774,655,117,0,0,0,1257,56,60,33,8,132
28059040301,2255,1336,649,270,0,0,0,1607,100,208,114,16,210
28059040302,1410,840,412,158,0,0,0,994,69,120,80,16,131
28059040401,2090,1247,544,299,0,0,0,1460,84,288,87,19,152
28059040402,2639,1259,1035,345,0,0,0,2010,103,145,110,33,238
28059040500,2714,966,1191,557,0,0,0,2134,86,210,35,21,228
28059040600,3686,1606,1460,620,0,0,0,3022,117,160,36,38,313
28059040701,2817,1303,1088,426,0,0,0,2193,129,124,86,36,249
28059040702,3564,1669,1395,500,0,0,0,2797,153,177,80,42,315
28059040801,1402,781,473,148,0,0,0,1025,100,144,10,18,105
28059040802,2453,1212,877,364,0,0,0,1695,136,437,30,14,141
28059040901,3201,1744,1033,424,0,0,0,2435,168,291,42,35,230
28059040902,2562,1323,911,328,0,0,0,2013,140,102,51,23,233
28059040903,1685,918,554,213,0,0,0,1355,78,92,16,3,141
28059041001,1247,568,494,185,0,0,0,880,82,169,29,11,76
28059041002,1989,1115,461,413,0,0,0,954,111,789,13,12,110
28059041101,1591,855,408,328,0,0,0,673,113,717,11,4,73
28059041102,2451,1263,753,435,0,0,0,1382,185,700,29,26,129
28059041301,2606,1208,959,439,0,0,0,1742,69,605,18,9,163
28059041302,934,453,406,75,0,0,0,775,24,49,13,2,71
28059041400,2077,733,577,767,0,0,0,870,55,1060,13,5,74
28059041500,925,397,68,460,0,0,0,149,22,722,3,1,28
28059041600,1545,824,43,678,0,0,0,102,42,1351,9,2,39
28059041700,1611,782,26,803,0,0,0,39,22,1497,11,0,42
28059041800,2030,1007,30,993,0,0,0,98,25,1862,12,1,32
28059041900,1524,702,545,277,0,0,0,806,97,511,15,14,81
28059042000,2557,1569,356,632,0,0,0,759,454,1230,23,17,74
28059042100,1704,1067,343,294,0,0,0,729,285,608,13,13,56
28059042201,1177,694,301,182,0,0,0,556,171,379,11,6,54
28059042202,1089,577,312,200,0,0,0,556,121,328,10,9,65
28059042500,1515,606,740,169,0,0,0,1213,79,103,7,9,104
28059042600,1892,661,1035,196,0,0,0,1538,113,106,27,13,95
28059042700,492,247,203,42,0,0,0,409,13,40,2,0,28
28059042900,1319,665,383,271,0,0,0,794,86,374,5,4,56
28059990000,0,0,0,0,0,0,0,0,0,0,0,0,0
28021950100,1995,699,165,1130,0,1,0,450,11,1444,9,14,67
28021950200,1262,532,47,683,0,0,0,144,8,1070,17,4,19
28021950300,2439,891,117,1431,0,0,0,332,24,2003,14,12,54
28029950101,1774,740,340,694,0,0,0,619,28,1037,12,6,72
