FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13297110302,2710,1382,728,600,0,0,1147,86,1339,20,18,100
13297110400,4942,2248,1354,1340,0,0,2453,140,2084,32,27,206
13297110503,2932,463,1061,1408,0,0,2298,106,283,34,22,189
13297110504,3509,942,1402,1165,0,0,2287,217,671,66,49,219
13297110505,3651,719,1423,1509,0,0,2646,254,426,36,56,233
13297110506,4456,756,1574,2126,0,0,3337,229,458,81,66,285
13297110508,3815,878,1328,1609,0,0,2760,137,613,52,58,195
13297110509,4213,1918,1256,1039,0,0,1977,272,1590,80,74,220
13297110510,2456,384,860,1212,0,0,1967,93,216,14,24,142
13297110601,4057,556,1460,2041,0,0,3289,113,299,46,35,275
13297110602,4318,445,1428,2445,0,0,3678,95,189,56,36,264
13297110603,4053,707,1715,1631,0,0,3056,173,465,51,34,274
13297110701,3420,818,966,1636,0,0,2431,105,571,50,45,218
13297110702,2724,623,1022,1079,0,0,1978,92,494,17,25,118
13297110801,3019,843,866,1310,0,0,2083,52,670,11,24,179
13297110802,2434,638,819,977,0,0,1709,49,529,35,10,102
13159010100,1802,314,720,768,0,0,1403,57,226,13,5,98
13159010200,2313,239,922,1152,0,0,1992,44,139,17,17,104
13159010501,2535,399,952,1184,0,0,2112,62,209,13,15,124
13159010502,1998,839,448,711,0,0,1133,51,736,4,17,57
13159010503,1963,633,457,873,0,0,1301,33,539,11,9,70
13231010101,2312,301,719,1292,0,0,1943,26,187,19,14,123
13231010102,3108,440,1086,1582,0,0,2580,51,314,15,17,131
13231010200,2984,249,1089,1646,0,0,2623,44,106,18,19,174
13231010300,3047,531,999,1517,0,0,2373,55,429,13,16,161
13231010400,2513,269,822,1422,0,0,2154,37,171,11,5,135
13279970101,1353,432,432,489,0,0,771,116,405,10,9,42
13279970102,1128,288,320,520,0,0,768,62,244,4,4,46
13279970201,1578,257,549,772,0,0,1230,73,189,4,13,69
13279970202,1690,839,300,551,0,0,761,37,834,6,14,38
13279970301,1927,642,508,777,0,0,1187,77,563,17,9,74
13279970302,1753,573,370,810,0,0,1097,53,497,13,20,73
13279970400,2659,1021,678,960,0,0,1468,102,940,39,12,98
13279970500,2275,364,866,1045,0,0,1718,220,215,11,19,92
13279970600,1937,283,626,1028,0,0,1582,105,146,6,20,78
13155950100,1611,223,567,821,0,0,1441,35,55,6,4,70
13155950201,2027,1083,279,665,0,0,930,33,982,9,11,62
13155950202,2332,572,625,1135,0,0,1764,48,388,17,6,109
13243790100,1079,873,108,98,0,0,498,10,534,2,4,31
13243790200,3059,2508,242,309,0,0,1022,36,1890,10,12,89
13147960101,1099,171,250,678,0,0,931,10,49,30,9,70
13147960102,617,87,146,384,0,0,554,3,12,0,1,47
13147960103,2518,401,830,1287,0,0,2128,52,132,30,10,166
13147960200,2620,403,934,1283,0,0,2205,59,174,19,14,149
13147960300,1929,376,656,897,0,0,1550,37,228,31,13,70
13147960401,741,221,232,288,0,0,538,9,139,13,1,41
13147960402,2872,839,798,1235,0,0,2002,56,609,56,13,136
13147960501,943,320,241,382,0,0,605,19,261,16,3,39
13147960502,1134,413,237,484,0,0,725,17,319,11,5,57
13147960503,2794,999,674,1121,0,0,1831,56,750,28,17,112
13021010100,1001,911,60,30,0,0,71,28,883,2,5,12
13021010200,1526,952,297,277,0,0,775,47,590,15,12,87
13021010400,1459,1402,39,18,0,0,39,9,1401,2,5,3
13021010500,816,575,226,15,0,0,211,18,544,10,8,25
13021010800,1247,746,317,184,0,0,724,30,404,14,13,62
13021011001,2679,1902,411,366,0,0,1064,43,1442,15,19,96
13021011002,786,659,97,30,0,0,120,10,618,4,5,29
13021011100,1360,1290,63,7,0,0,48,11,1283,6,4,8
13021011500,823,762,48,13,0,0,40,8,766,1,3,5
13021011701,1785,1601,111,73,0,0,167,18,1572,4,4,20
13021011702,3118,2887,152,79,0,0,222,20,2834,5,4,33
13021011800,2461,1303,526,632,0,0,1488,54,709,30,24,156
13021011900,1519,993,283,243,0,0,683,39,716,15,10,56
13021012000,3640,1784,785,1071,0,0,2213,94,1012,56,33,232
13021012101,1593,878,207,508,0,0,990,19,468,23,16,77
13021012102,3412,1744,694,974,0,0,1905,101,1171,57,28,150
13021012200,1738,1336,239,163,0,0,418,32,1222,15,15,36
13021012400,2844,2689,103,52,0,0,121,17,2681,0,7,18
13021012500,2110,1991,73,46,0,0,89,9,1985,4,2,21
13021012600,2809,2518,178,113,0,0,272,29,2461,3,8,36
13021012700,1187,1099,71,17,0,0,56,22,1092,3,5,9
13021012800,1753,1563,145,45,0,0,154,31,1537,5,9,17
13021012900,924,706,182,36,0,0,206,32,669,0,5,12
13021013101,3481,2976,342,163,0,0,406,83,2910,17,10,55
13021013102,2975,2632,213,130,0,0,275,65,2584,17,7,27
13021013201,3646,3261,261,124,0,0,320,53,3187,14,23,49
13021013202,1622,1384,167,71,0,0,181,37,1352,22,8,22
13021013302,2794,2271,324,199,0,0,496,26,2204,8,6,54
13021013407,3210,1859,662,689,0,0,1442,82,1445,56,33,152
13021013408,3927,1480,936,1511,0,0,2601,106,686,198,87,249
13021013409,2821,1370,693,758,0,0,1456,92,1045,92,34,102
13021013411,3002,1394,789,819,0,0,1605,98,999,74,46,180
13021013412,3291,1149,649,1493,0,0,2448,70,467,81,51,174
13021013413,1795,683,447,665,0,0,1072,50,453,65,42,113
13021013502,1043,332,402,309,0,0,709,29,248,6,4,47
