GEOID20,total_reg,party_dem,party_rep,party_npp,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
32031000201,1709,763,320,484,73,24,5,40,0,920,588,13,20,40,128
32031000202,1781,816,290,533,69,29,8,36,0,1236,256,40,28,38,183
32031000301,1191,567,250,293,49,11,3,18,0,915,96,5,26,24,125
32031000302,1685,768,313,452,84,30,5,33,0,1241,160,13,49,41,181
32031000401,2059,891,536,461,100,28,7,36,0,1587,176,6,46,33,211
32031000402,1844,825,524,365,72,24,6,27,0,1482,113,2,19,44,184
32031000701,1563,744,305,394,70,20,5,25,0,981,336,7,37,41,161
32031000702,1810,744,353,537,93,23,8,52,0,1125,417,23,34,51,160
32031000900,1698,648,306,587,93,19,5,40,0,876,605,21,36,32,128
32031001005,2105,768,689,494,85,25,7,37,0,1479,259,13,75,57,222
32031001010,3146,866,1317,712,151,40,7,52,0,2423,232,26,98,67,300
32031001011,3247,842,1557,629,138,33,3,45,0,2508,178,2,112,88,359
32031001012,2667,739,1236,498,110,33,5,46,0,2038,189,2,84,81,273
32031001013,5463,1369,2709,1026,223,70,3,62,0,4278,256,3,229,132,565
32031001014,2330,751,890,523,85,25,5,50,0,1713,176,5,105,58,273
32031001015,3668,1225,1493,706,156,34,7,47,0,2866,210,6,138,103,345
32031001016,1015,405,230,299,42,13,3,23,0,643,177,17,39,37,102
32031001017,703,290,178,183,25,7,6,14,0,492,89,3,29,22,68
32031001018,1101,415,220,367,52,17,2,28,0,618,281,23,18,23,138
32031001019,985,351,203,308,61,25,4,33,0,605,231,17,25,13,94
32031001101,2329,971,724,484,86,29,6,29,0,1853,141,4,36,41,254
32031001103,4377,1493,1875,762,161,34,3,47,0,3476,192,2,181,117,409
32031001104,3682,1420,1321,713,140,41,3,42,0,2873,245,8,83,74,399
32031001105,3189,1219,1189,598,106,30,11,35,0,2512,174,2,112,76,313
32031001201,1889,671,539,497,107,28,9,38,0,1417,196,4,54,28,190
32031001203,2133,778,515,631,102,40,6,60,0,1446,351,24,58,49,205
32031001204,1232,479,317,337,52,15,3,29,0,870,165,11,28,33,125
32031001300,2632,1104,662,638,126,53,9,39,0,1917,333,18,68,51,245
32031001400,1880,841,366,497,91,41,10,34,0,1331,224,15,67,44,199
32031001501,3192,1324,811,810,135,41,7,64,0,2020,607,32,143,73,317
32031001503,1747,739,305,561,81,24,6,30,0,952,487,35,46,53,174
32031001504,1692,743,332,500,58,29,9,21,0,1046,265,22,88,60,211
32031001701,1728,695,325,549,86,22,5,45,0,954,494,70,38,29,143
32031001703,1644,688,361,450,66,23,7,49,0,862,524,43,33,36,146
32031001704,1377,560,339,358,67,25,1,27,0,789,316,16,80,36,140
32031001801,1645,821,218,479,74,19,4,30,0,621,758,68,34,42,122
32031001802,1349,633,237,395,46,5,2,30,0,552,620,9,43,29,96
32031001901,1949,786,418,566,91,23,11,54,0,1077,636,24,40,27,145
32031001903,1739,704,383,499,87,30,4,32,0,1029,490,25,27,37,131
32031001904,1402,527,301,437,76,31,7,22,0,924,255,22,33,24,144
32031002103,2027,592,865,420,99,23,1,27,0,1541,195,9,71,34,177
32031002104,2914,1037,1015,633,141,33,7,48,0,2100,422,12,65,48,267
32031002105,2070,758,599,536,109,27,4,37,0,1348,451,7,61,34,169
32031002106,2242,881,651,542,82,28,4,54,0,1312,671,5,55,38,161
32031002107,906,421,148,264,44,7,1,20,0,471,306,8,19,18,84
32031002204,2522,1051,523,735,122,28,6,55,0,1304,880,22,54,80,182
32031002207,3595,1110,1383,816,178,46,5,57,0,2464,391,9,227,106,398
32031002208,2359,741,914,528,102,27,4,43,0,1760,233,8,59,50,249
32031002210,3406,936,1516,706,145,46,4,53,0,2624,226,2,172,71,311
32031002211,1336,552,238,425,66,20,3,32,0,636,515,8,22,46,109
32031002212,1457,615,236,495,63,17,4,27,0,741,556,20,22,31,87
