GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
10003014200,1313,588,344,355,9,2,3,0,1018,56,42,44,16,137
10003014301,1148,493,335,301,3,1,2,0,928,41,14,21,35,109
10003014302,1944,886,512,500,10,3,4,0,1513,50,77,55,49,200
10003014402,1672,907,297,424,7,8,3,0,1269,69,78,51,36,169
10003014403,2373,1320,433,567,10,6,12,0,1631,139,227,61,64,251
10003014404,2752,1350,671,652,14,9,14,0,2083,79,125,89,76,300
10003014501,532,265,93,147,2,5,7,0,370,35,25,24,15,63
10003014502,854,471,129,225,3,4,3,0,604,39,48,32,32,99
10003014702,1428,716,337,335,9,1,6,0,1007,91,135,36,45,114
10003014703,3091,1634,631,734,8,8,18,0,2007,377,361,65,64,217
10003014705,4032,2106,865,973,12,2,12,0,2416,370,649,124,174,299
10003014706,1973,1203,328,401,4,5,6,0,830,149,711,78,75,130
10003014803,3086,1395,802,827,3,3,9,0,2264,147,121,156,90,308
10003014808,5162,3095,884,1063,13,2,25,0,2525,370,1626,150,134,357
10003014809,6318,3448,1316,1429,23,4,13,0,3561,348,1697,187,116,409
10003014810,5324,2766,1278,1176,10,6,21,0,3174,305,1219,134,130,362
10003014811,4686,2250,1201,1131,13,3,11,0,2920,218,597,370,162,419
10003014812,3584,1802,872,843,12,2,9,0,2082,165,728,200,109,300
10003014813,3306,1674,747,801,10,5,11,0,1969,203,502,220,135,277
10003014814,3105,1572,674,797,2,3,15,0,1849,192,482,157,130,295
10003014903,4280,2970,463,749,5,8,34,0,1267,570,2123,64,86,170
10003014904,3508,2074,707,668,6,3,7,0,1647,297,1195,102,60,207
10003014906,3421,2317,386,645,5,5,14,0,1027,281,1722,141,106,144
10003014907,3450,2279,422,690,4,2,11,0,1198,248,1677,73,102,152
10003014908,1402,1031,130,214,1,1,11,0,331,120,845,23,32,51
10003014909,3950,2669,499,693,11,5,14,0,1232,403,2026,61,67,161
10003015000,3796,2203,706,815,6,4,11,0,2073,456,911,48,70,238
10003015100,2682,1499,551,563,6,4,10,0,1736,278,422,25,38,183
10003015200,3568,2073,578,832,13,3,20,0,1901,758,648,35,34,192
10003015400,2209,1817,113,242,4,1,19,0,132,196,1811,28,24,18
10003015502,1997,1472,176,297,4,1,20,0,470,222,1203,15,30,57
10003015600,1760,1316,170,255,1,0,6,0,418,353,901,12,15,61
10003015802,1473,879,259,301,3,2,12,0,757,404,221,5,16,70
10003015900,2515,1550,370,545,8,2,8,0,1252,333,728,22,31,149
10003016000,1960,1420,207,299,2,3,13,0,477,207,1175,18,15,68
10003016100,1666,1003,312,319,2,2,5,0,1041,67,399,10,23,126
10003016200,1958,1087,343,483,8,2,7,0,1310,138,335,20,33,122
10003016301,4831,2722,976,1041,8,3,18,0,2907,385,921,143,92,383
10003016306,3166,2053,474,580,6,5,10,0,1170,327,1355,72,81,161
10003016307,2251,1391,392,427,5,1,6,0,989,178,850,72,72,90
10003016308,2877,2127,227,476,5,4,4,0,547,237,1804,132,62,95
10003016309,3063,2038,435,543,8,0,13,0,1090,245,1436,54,51,187
10003016401,5186,2846,1161,1093,13,3,14,0,2623,257,1504,347,141,314
10003016404,2507,1178,611,637,13,6,11,0,1796,128,296,36,54,197
10003016608,4818,2114,1475,1130,11,1,8,0,3647,179,383,109,116,384
10003016609,4772,1631,1837,1209,17,3,9,0,3756,188,208,67,87,466
10003016610,4394,2236,1072,991,12,4,16,0,2678,267,964,74,68,343
10003016611,5414,2617,1421,1277,17,2,14,0,3781,269,521,243,139,461
10003016612,5544,2495,1690,1241,18,2,8,0,3852,214,610,208,112,548
10003016613,4191,2454,749,916,9,1,11,0,1907,334,1466,153,92,239
10003016614,4812,2501,1112,1080,19,4,11,0,2896,253,1011,159,114,379
10003016805,1437,490,509,397,5,2,6,0,1229,40,50,4,15,99
10003016806,4618,2441,1081,1012,10,3,18,0,2769,195,1025,135,100,394
10003016807,1531,656,496,361,5,1,3,0,1084,79,201,25,18,124
10003016808,5173,2580,1342,1150,15,2,15,0,3127,249,1128,105,90,474
10003016901,1793,629,661,463,8,0,2,0,1578,42,19,6,10,138
10003016904,1170,403,466,281,0,0,7,0,1045,22,12,7,11,73
10003980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005050101,2997,848,1378,693,5,3,15,0,2428,164,112,7,34,252
10005050103,3740,1278,1503,878,6,2,11,0,2984,151,185,45,57,318
10005050104,3088,1147,1085,782,6,4,4,0,2249,288,248,26,28,249
10005050105,3876,1685,1209,883,10,2,10,0,2347,351,887,17,39,235
10005050200,2462,1006,857,537,6,1,11,0,1547,136,542,17,26,194
10005050302,3449,1036,1626,707,7,3,14,0,2609,285,295,17,40,203
10005050303,2031,650,879,453,6,2,6,0,1481,92,292,16,18,132
10005050304,3402,1162,1439,723,6,3,10,0,2478,164,411,23,46,280
10005050401,2664,716,1355,521,12,5,9,0,2215,73,188,18,19,151
10005050403,2179,843,866,421,9,2,7,0,1533,158,323,20,7,138
10005050405,2811,1039,1097,603,8,1,4,0,2086,159,314,33,28,191
10005050406,3373,1583,1002,718,5,1,11,0,1940,225,920,45,30,213
10005050407,3806,1640,1308,783,11,3,8,0,2146,181,1147,59,29,244
10005050408,2970,1198,1074,649,3,2,5,0,1954,170,614,21,16,195
10005050501,2700,917,1158,561,13,1,7,0,2097,212,177,24,31,159
10005050503,1811,848,524,406,6,1,3,0,1086,391,197,7,17,113
10005050505,1040,346,459,216,1,1,2,0,772,78,69,5,20,96
10005050506,2611,898,1117,537,6,1,3,0,1934,258,204,16,25,174
10005050601,3745,1145,1740,788,8,3,5,0,2974,165,263,16,26,301
10005050603,2664,914,1105,580,5,1,6,0,2068,95,108,53,59,281
10005050604,2823,1157,1035,567,9,5,7,0,1986,159,425,34,27,192
10005050701,4487,1732,1700,959,7,2,5,0,3249,159,560,26,55,438
10005050703,1421,545,560,299,0,1,1,0,1091,60,144,5,10,111
10005050706,1299,413,602,265,2,0,2,0,1106,28,6,9,19,131
10005050707,1982,760,772,409,2,0,3,0,1666,41,28,16,31,200
10005050708,2241,778,914,504,2,2,3,0,1824,69,68,29,24,227
10005050709,1616,478,754,351,2,0,3,0,1385,34,4,6,28,159
10005050710,1215,441,481,264,1,0,5,0,1001,50,25,1,12,126
10005050711,925,318,369,215,0,0,3,0,755,43,19,4,13,91
10005050801,2969,1181,1066,647,13,1,1,0,2294,142,213,36,25,259
10005050804,3431,1232,1346,787,7,1,4,0,2613,106,317,27,49,319
10005050805,2433,903,911,570,13,0,2,0,2004,68,92,18,31,220
10005050806,3468,1231,1376,791,6,0,7,0,2686,144,156,27,50,405
10005050807,1506,531,591,356,1,0,3,0,1193,44,12,20,26,211
10005050808,3155,1231,1110,741,7,6,4,0,2551,113,63,39,52,337
10005050903,1824,794,554,442,6,3,4,0,1502,46,67,9,25,175
10005050904,2307,1009,733,518,8,4,1,0,1915,53,74,14,36,215
10005050905,2398,833,944,570,7,0,1,0,1970,61,21,32,43,271
10005051008,2891,1241,952,640,5,0,7,0,2349,87,47,30,51,327
10005051009,1985,901,597,461,1,2,3,0,1486,55,162,42,44,196
10005051010,3189,1309,1100,716,6,4,7,0,2541,92,54,49,57,396
10005051011,2945,1194,1033,675,8,3,1,0,2297,108,96,85,40,319
10005051012,1608,664,604,299,5,3,4,0,1325,48,20,19,15,181
10005051013,3221,1138,1286,735,7,1,8,0,2659,81,64,44,50,323
10005051014,1691,626,601,430,2,1,1,0,1403,45,7,22,35,179
10005051015,1560,594,556,381,4,0,1,0,1304,42,7,18,15,174
10005051016,1611,675,573,336,4,0,3,0,1343,26,9,25,36,172
10005051017,3233,1501,1010,654,14,2,6,0,2636,112,53,55,41,336
10005051101,667,282,242,133,1,0,0,0,540,14,3,6,9,95
10005051102,961,427,321,200,3,2,0,0,805,15,3,8,27,103
10005051103,802,331,265,187,3,2,1,0,666,13,12,5,16,90
10005051201,1238,334,590,295,1,1,0,0,1048,33,8,5,18,126
10005051202,775,262,324,177,2,1,0,0,646,18,2,6,6,97
10005051203,721,263,301,141,2,1,0,0,610,4,9,3,15,80
10005051204,616,209,242,154,2,0,1,0,518,6,0,9,6,77
10005051205,541,147,285,104,2,0,1,0,461,7,2,2,5,64
10005051302,4180,1255,1940,897,7,5,11,0,3429,107,106,24,42,472
10005051307,2394,779,1094,488,1,3,2,0,1982,39,14,22,41,296
10005051308,3382,938,1667,716,9,2,7,0,2951,59,8,22,29,313
10005051309,1103,303,555,232,1,0,1,0,925,16,4,6,24,128
10005051310,1641,447,855,306,2,0,2,0,1367,29,33,14,22,176
10005051311,1511,415,750,319,4,1,3,0,1213,35,11,11,19,222
10005051312,2159,659,1071,391,2,2,2,0,1807,50,38,10,26,228
10005051313,2940,956,1303,626,5,3,0,0,2451,65,26,21,33,344
10005051314,2206,742,940,483,5,2,1,0,1823,66,32,26,36,223
10005051400,2430,864,1016,504,2,0,3,0,1759,166,283,23,16,183
10005051501,1454,589,586,259,1,0,1,0,944,102,301,13,7,87
10005051502,2367,832,1037,455,6,2,6,0,1840,86,235,16,26,164
10005051701,2956,806,1464,627,7,1,2,0,2466,101,123,39,21,206
10005051702,4608,1314,2283,914,18,4,8,0,3855,108,298,40,34,273
10005051801,3219,1004,1420,732,11,1,8,0,2596,133,233,35,25,197
10005051802,2817,1229,958,572,7,0,4,0,1711,102,767,22,29,186
10005051900,3463,1160,1470,748,13,1,6,0,2705,91,386,42,21,218
10005980000,3,0,2,1,0,0,0,0,3,0,0,0,0,0
10005990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001040100,5211,1749,1980,1338,17,3,21,0,4225,203,339,25,43,376
10001040201,3730,1792,938,897,28,1,10,0,2448,194,726,31,43,288
10001040203,3649,1852,821,895,7,10,5,0,2037,175,1074,49,61,253
10001040204,4500,2319,1086,995,13,4,11,0,2642,218,1119,68,108,345
10001040205,3200,1736,649,749,8,7,9,0,2015,204,652,28,48,253
10001040206,5888,3042,1467,1274,17,1,12,0,3508,306,1407,98,99,470
10001040501,3393,1848,749,718,9,3,19,0,1522,266,1334,55,40,176
10001040502,1876,930,525,390,7,0,3,0,1174,143,368,22,23,146
10001040700,3765,1968,904,825,5,2,4,0,1957,191,1193,112,74,238
10001040900,1463,703,354,376,2,2,6,0,1026,88,168,38,20,123
10001041000,4285,2428,817,951,16,5,16,0,1864,376,1652,63,68,262
10001041101,637,248,181,195,0,0,5,0,402,89,75,14,7,50
10001041200,2971,1459,755,694,9,2,12,0,1483,236,853,128,68,203
10001041300,2080,1100,419,506,7,4,8,0,1071,130,690,27,37,125
10001041400,2564,1596,405,515,7,2,9,0,941,169,1268,27,21,138
10001041500,2719,1376,650,646,4,2,12,0,1462,180,835,22,54,166
10001041600,1614,571,628,387,3,4,6,0,1205,89,142,15,29,134
10001041701,4643,2038,1334,1163,17,3,5,0,2919,242,990,88,65,339
10001041702,3411,1515,1055,764,4,3,9,0,2056,174,791,108,59,223
10001041802,4208,2018,1228,876,10,3,13,0,2368,233,1093,124,61,329
10001041803,3114,1512,816,715,8,0,11,0,1812,198,798,35,28,243
10001041804,4687,2060,1408,1106,16,7,10,0,2988,220,983,76,69,351
10001041900,3445,929,1473,964,10,3,14,0,2924,116,89,17,25,274
10001042000,2077,556,941,539,5,2,11,0,1763,55,66,14,19,160
10001042100,2917,968,1099,774,7,0,8,0,2186,128,266,31,26,280
10001042203,3768,1556,1190,931,14,6,9,0,2432,213,683,83,93,264
10001042204,3421,1429,1073,834,14,2,8,0,2258,215,585,66,59,238
10001042205,2045,886,618,502,4,1,7,0,1220,137,502,16,21,149
10001042206,2112,690,836,535,3,1,4,0,1595,84,200,24,23,186
10001042207,1876,685,659,489,5,0,3,0,1348,92,253,22,26,135
10001042208,2906,1138,956,746,9,3,6,0,1998,208,435,24,42,199
10001042500,2348,1117,639,539,8,1,7,0,1251,212,696,29,27,133
10001042801,1432,341,647,414,8,1,2,0,1243,33,27,3,5,121
10001042802,4193,1533,1575,1011,13,3,6,0,3047,176,588,47,62,273
10001042900,3921,1115,1705,996,9,5,11,0,3006,182,374,30,39,290
10001043000,3664,1386,1246,943,7,6,18,0,2615,191,530,31,31,266
10001043100,1945,477,941,486,4,2,5,0,1696,33,69,11,17,119
10001043202,2717,850,1109,699,7,0,4,0,2158,164,113,16,19,247
10001043300,2801,1574,486,669,6,5,9,0,1224,139,1199,33,38,168
10001043400,3912,1354,1503,981,4,1,18,0,2842,234,426,52,44,314
10001980000,107,32,20,50,0,0,1,0,67,16,3,3,2,16
10001990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
