GEOID20,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
38049955900,1755,1125,480,150,0,0,1471,13,0,18,34,219
38027959200,1511,883,451,177,0,0,1210,29,0,6,17,249
38083960200,900,566,276,58,0,0,734,10,0,11,17,128
38095951500,1910,867,440,603,0,0,1516,24,1,9,69,291
38061940300,691,262,312,117,0,0,507,29,2,1,40,112
38061940400,1576,381,946,249,0,0,1137,86,5,16,93,239
38061955200,2846,1417,1088,341,0,0,2246,90,2,35,51,422
38059020100,2949,1479,1097,373,0,0,2308,70,7,43,46,475
38059020200,5091,2869,1569,653,0,0,4021,100,1,52,89,828
38059020301,3667,1931,1251,485,0,0,2823,86,3,31,63,661
38059020302,2218,1437,479,302,0,0,1729,48,1,31,36,373
38059020303,933,392,459,82,0,0,716,22,1,8,12,174
38059020400,2255,1466,504,285,0,0,1862,29,3,19,21,321
38059020500,2233,1257,751,225,0,0,1679,39,1,40,28,446
38103959800,1092,624,363,105,0,0,875,6,0,11,11,189
38103960000,1612,1060,434,118,0,0,1303,5,1,13,4,286
38015010100,1621,585,764,272,0,0,1287,40,4,10,28,252
38015010200,2264,944,1102,218,0,0,1822,49,5,21,41,326
38015010300,3297,1555,1235,507,0,0,2621,72,16,38,49,501
38015010400,2284,1163,679,442,0,0,1859,38,6,19,31,331
38015010500,2998,1363,928,707,0,0,2396,49,3,18,58,474
38015010600,2723,1435,681,607,0,0,2190,37,2,17,60,417
38015010700,2218,1372,530,316,0,0,1749,49,2,12,39,367
38015010800,1706,602,949,155,0,0,1322,39,1,14,37,293
38015010900,2710,1539,733,438,0,0,2213,44,2,14,36,401
38015011001,4228,2372,1349,507,0,0,3393,55,6,35,58,681
38015011002,4814,2928,1046,840,0,0,3834,53,0,39,82,806
38015011101,3519,1893,954,672,0,0,2829,59,8,30,39,554
38015011103,1571,816,360,395,0,0,1259,23,2,14,31,242
38015011104,4862,2835,536,1491,0,0,3927,50,0,44,78,763
38015011105,4414,2734,599,1081,0,0,3510,50,4,36,73,741
38015011200,5152,2787,1437,928,0,0,4022,78,7,43,97,905
38015011300,4513,2495,1507,511,0,0,3549,83,1,40,68,772
38015011400,2082,1385,417,280,0,0,1700,27,1,21,28,305
38015011500,984,634,258,92,0,0,780,6,0,3,33,162
38093967000,1819,1121,424,274,0,0,1460,9,0,5,26,319
38093967200,1638,1012,484,142,0,0,1334,10,2,7,33,252
38093967300,1334,742,373,219,0,0,1068,13,1,7,16,229
38093967401,605,204,317,84,0,0,457,19,1,7,3,118
38093967402,2388,1176,888,324,0,0,1927,37,3,17,35,369
38093967500,2096,1169,701,226,0,0,1693,19,1,24,31,328
38093967800,2119,953,961,205,0,0,1729,31,2,17,18,322
38009952300,1251,648,427,176,0,0,1031,13,0,7,10,190
38009952400,1711,1112,357,242,0,0,1359,10,4,7,14,317
38009952500,1059,711,269,79,0,0,882,12,0,5,14,146
38091968700,1152,648,363,141,0,0,876,13,1,4,8,250
38035010100,1531,319,143,1069,0,0,1194,49,2,22,40,224
38035010200,2165,503,199,1463,0,0,1697,72,7,14,23,352
38035010301,889,57,120,712,0,0,677,19,2,20,18,153
38035010302,253,1,29,223,0,0,176,11,3,7,10,46
38035010400,2399,462,294,1643,0,0,1848,83,14,56,46,352
38035010600,1031,152,52,827,0,0,832,22,2,7,11,157
38035010700,1087,257,3,827,0,0,863,32,0,14,27,151
38035010801,2845,1135,568,1142,0,0,2216,50,9,64,77,429
