GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
24003731313,2145,778,818,513,16,6,12,0,1576,126,146,43,50,204
24003740103,6338,3422,1352,1469,35,11,32,0,2772,509,2041,406,180,430
24003740104,5864,3556,920,1304,27,12,25,0,1833,396,2767,338,151,379
24003740105,2224,1511,228,450,8,6,17,0,409,166,1475,65,38,71
24003740106,1627,712,485,412,6,4,7,0,1118,107,115,93,46,148
24003740107,3459,2102,462,851,11,2,20,0,1188,272,1130,449,142,278
24003740108,3438,1856,631,900,19,9,19,0,1662,243,764,360,129,280
24003740203,4627,1769,1714,1088,21,9,17,0,3192,248,466,174,110,437
24003740204,2296,1282,505,474,12,4,16,0,1091,122,797,97,58,131
24003740205,2060,978,576,464,10,6,21,0,1374,146,273,61,37,169
24003740303,3463,1465,1052,903,13,2,18,0,2209,236,506,139,86,287
24003740304,4263,2024,1107,1076,25,3,18,0,2619,272,755,138,79,400
24003740305,6695,4574,670,1359,34,10,33,0,1382,427,4189,195,181,321
24003740400,9,5,0,4,0,0,0,0,1,0,8,0,0,0
24003740501,3407,2424,257,669,15,6,24,0,690,195,2075,143,111,193
24003740502,3342,2261,344,699,13,4,14,0,878,227,1689,201,141,206
24003740601,1478,777,267,398,17,1,15,0,673,136,386,110,35,138
24003740602,836,393,194,231,9,1,6,0,425,108,199,20,19,65
24003740603,548,218,123,198,5,0,4,0,274,70,117,15,13,59
24003740701,4234,2118,1056,1007,18,3,17,0,2872,229,515,144,100,374
24003740703,3928,1688,1223,970,19,2,14,0,2758,153,359,166,121,371
24003740704,5414,2787,1330,1228,17,5,26,0,3441,262,840,213,125,533
24003740800,3676,1308,1499,814,22,10,14,0,2892,148,134,66,64,372
24003740900,5810,2612,1610,1498,30,7,37,0,3628,387,934,194,162,505
24003741000,1978,637,815,496,9,5,11,0,1465,90,101,108,28,186
24003750101,2498,1220,641,581,16,3,25,0,1634,191,396,25,51,201
24003750102,1809,903,403,467,7,6,19,0,1135,122,317,19,34,182
24003750201,1979,1121,461,372,9,3,8,0,970,84,718,37,40,130
24003750204,3193,1373,1064,704,19,6,16,0,2322,181,279,35,65,311
24003750300,1708,641,605,434,10,2,12,0,1313,84,47,37,33,194
24003750400,3197,1205,1277,666,14,3,17,0,2558,100,58,69,80,332
24003750801,3918,1467,1533,865,20,3,20,0,3072,164,144,81,95,362
24003750803,3791,2143,808,768,15,7,37,0,1720,248,1385,106,70,262
24003750804,2515,1070,854,558,13,3,14,0,1871,138,220,46,38,202
24003750900,2342,924,846,528,13,2,20,0,1742,131,138,56,55,220
24003751000,2598,1007,942,595,16,4,20,0,1953,152,176,45,35,237
24003751102,2887,1594,691,561,8,4,14,0,1501,160,966,58,38,164
24003751103,4062,1526,1524,953,25,4,21,0,3130,178,208,47,63,436
24003751200,3870,1622,1353,853,11,3,21,0,2772,189,226,157,80,446
24003751400,3292,1494,1027,728,20,4,14,0,2039,167,586,141,47,312
24003751500,3875,2266,661,876,25,8,31,0,1566,695,1123,122,97,272
24003751600,4381,1815,1661,847,13,6,12,0,3409,166,172,71,87,476
24003751700,2393,811,997,554,15,0,11,0,1792,75,104,89,58,275
24003980000,3,1,1,1,0,0,0,0,3,0,0,0,0,0
24003990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24001000100,2426,429,1565,402,11,1,9,0,2150,17,14,12,11,222
24001000200,2139,512,1231,354,7,7,13,0,1885,12,5,6,22,209
24001000500,1234,411,539,250,12,4,10,0,1014,22,67,15,13,103
24001000600,1940,700,873,336,5,4,12,0,1624,37,61,10,17,191
24001000700,2010,716,826,423,13,3,14,0,1719,32,48,17,16,178
24001000800,1178,398,456,294,6,6,7,0,1038,6,22,8,9,95
24001001000,1317,533,454,293,14,5,6,0,1095,30,52,14,18,108
24001001100,908,389,312,183,9,4,6,0,754,19,32,10,13,80
24001001200,2238,837,956,405,11,6,9,0,1855,48,42,56,36,201
24001001300,1381,413,707,235,8,4,4,0,1234,15,6,6,6,114
24001001401,3059,832,1707,480,17,1,10,0,2648,42,7,33,32,297
24001001402,1084,334,557,182,3,1,5,0,950,10,18,9,8,89
24001001502,1207,248,748,193,1,4,8,0,1067,12,4,5,7,112
24001001503,1217,271,712,228,0,1,2,0,1095,3,2,5,12,100
24001001600,1096,356,541,187,2,3,2,0,952,9,5,17,5,108
24001001700,2935,859,1479,532,24,8,13,0,2570,26,29,46,23,241
24001001800,2032,730,829,424,17,6,13,0,1623,49,101,31,23,205
24001001900,1658,311,1135,202,2,1,4,0,1489,12,6,8,10,133
24001002000,3874,1058,2126,623,14,4,21,0,3384,35,11,45,41,358
24001002100,2024,323,1380,302,8,0,5,0,1878,14,3,6,14,109
24001002200,2357,528,1378,420,6,2,7,0,2118,28,6,9,6,190
24001002300,3874,1239,1832,742,17,5,14,0,3352,53,68,29,26,346
24031700101,3757,1624,1224,848,20,4,21,0,2315,317,199,261,225,440
24031700103,4557,2050,1452,1000,12,7,19,0,2712,343,219,447,333,503
24031700104,3671,2133,621,851,16,4,24,0,1515,651,629,290,194,392
24031700105,4239,2429,757,986,12,4,31,0,1711,829,664,386,250,399
24031700204,1557,520,672,348,10,0,6,0,1172,151,24,22,36,152
24031700206,4398,1753,1624,967,28,3,13,0,3117,411,75,189,151,455
24031700207,3599,1689,932,921,18,3,24,0,2050,557,343,174,121,354
24031700208,1802,653,681,446,10,1,8,0,1263,194,34,55,67,189
24031700209,3509,1400,1219,838,19,2,17,0,2462,296,61,171,132,387
24031700210,4916,2739,680,1433,14,6,30,0,1791,460,234,1419,363,649
24031700306,4750,2786,699,1203,19,5,26,0,1840,595,819,676,347,473
24031700308,4153,2423,721,947,18,11,24,0,1986,611,622,271,194,469
24031700309,3393,2112,397,816,11,9,31,0,1145,544,912,256,227,309
24031700310,3951,2378,543,961,11,8,36,0,1618,600,810,334,225,364
24031700313,2210,1310,318,541,8,8,19,0,811,286,404,351,156,202
24031700314,2976,1630,505,800,6,2,23,0,983,270,185,921,272,345
24031700315,4282,2317,795,1122,12,4,19,0,1481,455,390,1167,305,484
24031700316,2119,1129,350,610,11,2,9,0,680,269,255,530,146,239
24031700317,4086,2171,792,1067,19,2,21,0,1797,428,329,729,237,566
24031700318,2039,1118,353,537,8,3,14,0,764,222,288,420,125,220
24031700400,1869,847,572,419,11,3,10,0,1378,90,110,64,50,177
24031700500,5445,2276,1726,1344,25,8,35,0,3862,337,182,253,192,619
24031700604,5718,2567,1590,1493,19,8,18,0,3447,261,104,753,382,771
24031700606,3306,1891,487,885,10,8,11,0,1427,139,36,921,303,480
24031700608,4744,2198,1075,1429,8,5,12,0,1806,155,131,1480,544,628
24031700610,1490,771,338,362,3,5,6,0,862,141,38,180,91,178
24031700611,4281,2287,703,1252,11,3,18,0,1247,298,266,1650,389,431
24031700613,4675,2446,855,1316,15,8,18,0,1839,383,417,1165,348,523
24031700614,3382,2068,448,807,16,5,24,0,1180,630,705,329,175,363
24031700615,2314,1179,556,547,9,2,8,0,1331,132,56,284,160,351
24031700616,3357,1881,596,841,11,3,14,0,1447,209,107,665,399,530
24031700617,1742,942,239,546,5,1,8,0,591,89,38,633,125,266
24031700618,3873,1990,576,1264,11,7,15,0,1103,115,38,1752,338,527
24031700706,2321,1324,302,641,17,7,21,0,839,313,322,427,169,251
24031700710,4037,2285,705,979,12,13,27,0,1617,791,372,555,277,425
24031700711,3911,2301,590,965,10,7,20,0,1722,590,297,560,276,466
24031700713,2172,1424,220,488,6,6,24,0,530,530,547,176,151,238
24031700715,3842,2355,551,851,20,7,40,0,1221,1055,609,278,250,429
24031700718,3446,2098,472,810,8,10,24,0,1620,233,271,546,225,551
24031700720,2024,1185,307,491,11,7,15,0,749,402,287,259,124,203
24031700721,1419,885,179,324,6,4,18,0,449,233,348,96,120,173
24031700723,2236,1407,413,374,7,1,14,0,1251,186,342,177,69,211
24031700724,1033,643,107,261,1,5,11,0,225,246,271,122,52,117
24031700725,2130,1387,224,487,6,6,11,0,684,527,516,134,79,190
24031700726,1451,895,184,342,13,1,11,0,437,369,219,234,69,123
24031700727,830,438,157,215,5,3,7,0,460,179,45,44,24,78
24031700728,1214,695,189,303,5,2,16,0,560,159,43,240,73,139
24031700729,1468,869,208,363,5,5,16,0,428,301,246,178,140,175
24031700730,3392,1936,593,796,19,8,23,0,1297,662,473,387,243,330
24031700731,1788,1141,236,384,6,3,15,0,614,393,362,125,81,213
24031700732,1706,1045,222,415,3,5,11,0,476,449,309,159,121,192
24031700733,2622,1685,329,564,8,11,19,0,805,545,517,259,193,303
24031700810,3422,2081,514,777,12,5,20,0,1324,643,587,216,206,446
24031700811,2667,1736,318,572,7,5,18,0,739,659,748,132,148,241
24031700812,2785,1614,502,610,11,11,19,0,1157,582,341,233,169,303
24031700813,3579,2187,560,769,15,8,28,0,1347,771,606,231,230,394
24031700815,5074,3141,627,1212,17,12,46,0,1447,967,1236,591,327,506
24031700818,2839,1846,307,642,8,5,24,0,809,540,903,164,130,293
24031700819,3966,2444,530,923,25,8,27,0,1454,751,752,286,260,463
24031700820,991,566,141,268,4,1,9,0,330,164,139,186,77,95
24031700822,1075,651,129,258,12,3,15,0,373,243,150,111,68,130
24031700823,2413,1343,393,642,8,2,16,0,1258,212,105,301,228,309
24031700824,2129,1130,450,514,6,2,14,0,1303,154,68,140,135,329
24031700826,4553,2569,801,1125,14,6,14,0,2541,254,123,506,340,789
24031700828,1965,1067,345,535,4,0,10,0,921,81,32,472,137,322
24031700829,2293,1207,351,710,5,5,10,0,872,206,65,583,247,320
24031700830,1112,689,142,267,3,1,7,0,288,159,372,136,55,102
24031700832,1634,1027,214,371,8,1,11,0,471,496,363,117,70,117
24031700833,2419,1426,333,623,8,2,20,0,708,415,434,435,199,228
24031700834,2972,1832,357,737,15,3,20,0,828,594,843,250,161,296
24031700835,3256,1784,580,857,15,1,13,0,1107,410,346,742,309,342
24031700836,962,534,147,259,6,2,8,0,357,134,62,205,91,113
24031700837,2633,1579,340,675,10,3,19,0,936,553,329,343,196,276
24031700838,2358,1339,338,633,16,6,16,0,1084,231,360,221,161,301
24031700839,2677,1495,431,716,14,2,14,0,1152,284,183,449,241,368
24031700901,3432,2079,439,845,11,5,30,0,1607,323,293,509,224,476
24031700902,2334,1413,314,559,13,8,18,0,921,508,351,203,110,241
24031700903,1051,686,131,214,4,2,14,0,496,196,123,61,52,123
24031700904,1517,935,165,401,7,2,4,0,652,217,105,205,126,212
24031700905,1549,974,174,390,4,0,2,0,604,124,47,209,151,414
24031701001,3918,2407,550,919,9,4,14,0,1879,343,156,532,381,627
24031701002,3186,1870,578,697,13,2,14,0,1651,180,77,306,310,662
24031701004,4261,2705,595,899,11,12,19,0,2373,304,355,335,245,649
24031701005,2480,1389,397,665,12,4,5,0,1346,158,75,400,177,324
24031701006,4134,2313,697,1067,10,6,19,0,1971,192,54,868,358,691
24031701007,1978,1124,298,529,4,4,12,0,854,147,146,350,166,315
24031701101,3054,1844,501,652,15,9,16,0,1590,559,89,252,163,401
24031701102,3676,2148,566,910,4,14,25,0,1725,875,174,338,179,385
24031701201,3448,2011,517,879,14,10,14,0,1569,775,119,304,270,411
24031701202,2318,1549,305,426,6,4,11,0,1562,165,18,121,106,346
24031701205,5299,3192,889,1154,17,9,14,0,2859,257,121,400,420,1242
24031701206,5043,2865,867,1255,12,7,22,0,2264,292,67,927,429,1064
24031701210,3150,1793,550,764,8,4,12,0,1564,141,37,458,241,709
24031701211,4025,2258,571,1147,11,3,25,0,1670,401,201,853,362,538
24031701212,2446,1298,534,580,7,6,9,0,1428,227,92,242,140,317
24031701214,2183,1375,266,513,8,3,11,0,1219,188,109,176,149,342
24031701215,2914,1840,363,665,12,3,14,0,1479,217,99,307,316,496
24031701216,3523,2169,438,857,10,4,29,0,1592,261,259,429,333,649
24031701218,1635,1050,169,376,6,2,13,0,744,167,86,136,151,351
24031701219,1315,853,119,327,2,2,7,0,492,279,137,104,99,204
24031701220,3117,1606,516,958,8,1,15,0,1185,96,72,1095,271,398
24031701221,3204,1725,489,952,2,6,14,0,1026,119,163,1054,276,566
24031701222,2690,1655,401,603,4,0,13,0,1345,151,47,281,282,584
24031701223,1727,1032,260,408,11,2,6,0,999,138,46,121,146,277
24031701303,3044,1546,763,689,13,4,15,0,1948,223,46,229,148,450
24031701304,4837,2448,1355,973,17,11,20,0,3288,363,149,229,154,654
24031701306,2398,1199,620,551,12,1,6,0,1608,163,58,153,125,291
24031701307,3220,1577,800,813,16,1,5,0,1674,231,232,499,192,392
24031701308,3461,1744,836,841,9,5,14,0,1690,330,243,533,241,424
24031701312,4976,2739,1131,1045,19,3,25,0,2936,427,315,364,240,694
24031701313,2819,1575,624,596,3,5,13,0,1509,339,232,256,112,371
24031701314,2117,1214,400,477,6,2,11,0,1125,275,165,165,103,284
24031701315,3153,1850,585,688,6,2,11,0,1597,279,373,294,169,441
24031701316,5100,2688,1286,1057,17,6,19,0,2975,349,531,429,210,606
24031701317,3667,1773,1062,789,9,2,21,0,2263,240,182,319,154,509
24031701407,4450,2857,718,838,6,4,15,0,1800,442,962,506,260,480
24031701408,4960,2718,1096,1087,15,9,14,0,2298,562,681,616,300,503
24031701409,3424,1972,677,723,17,6,20,0,1450,307,595,513,200,359
24031701414,5288,3539,623,1055,7,10,40,0,1349,574,2026,680,216,443
24031701415,5678,3770,700,1126,13,13,38,0,1624,840,1870,612,260,472
24031701417,3463,2519,235,661,12,7,25,0,588,293,1925,315,134,208
24031701418,2416,1671,217,496,12,5,11,0,439,205,1136,339,123,174
24031701422,979,764,47,153,2,1,10,0,69,107,700,26,40,37
24031701423,2817,2062,168,541,7,3,26,0,367,320,1630,198,105,197
24031701424,4526,2990,801,649,4,4,18,0,2063,421,950,429,133,530
24031701425,1613,1202,89,297,4,3,12,0,160,183,961,116,79,114
24031701426,3422,2433,290,674,2,5,15,0,540,305,1851,305,218,203
24031701427,2316,1518,289,480,7,7,13,0,499,246,878,370,138,185
24031701503,5271,3470,683,1025,21,14,35,0,1572,853,1456,655,221,514
24031701505,4237,2905,464,791,13,11,37,0,1064,541,1684,260,158,530
24031701506,3948,2549,520,826,11,5,20,0,1613,400,937,312,171,515
24031701507,4111,2591,658,822,7,3,13,0,1577,370,908,603,189,464
24031701508,1966,1427,113,398,4,3,17,0,222,181,1255,118,76,114
24031701509,2752,1956,242,511,8,4,23,0,709,518,952,188,88,297
24031701601,960,688,59,195,2,1,10,0,101,190,461,87,44,77
24031701602,2324,1514,263,502,9,7,25,0,417,829,443,270,43,322
24031701701,2495,2064,78,309,9,10,10,0,1372,147,456,69,88,363
24031701702,1180,865,64,223,2,8,12,0,367,172,471,37,33,100
24031701703,2236,1714,113,376,4,5,17,0,811,297,703,109,85,231
24031701704,2095,1738,61,263,6,9,13,0,928,180,639,58,59,231
24031701800,3305,2741,95,436,6,3,16,0,1421,178,1056,106,148,396
24031701900,1292,955,61,236,4,18,10,0,571,194,336,19,32,140
24031702000,1884,1398,120,342,5,3,11,0,409,640,472,146,57,160
24031702101,2918,2109,234,536,5,5,24,0,541,623,991,369,140,254
24031702102,2616,1674,432,481,7,3,10,0,1908,141,133,100,57,277
24031702200,3092,2327,268,467,5,6,9,0,1899,316,229,162,97,389
24031702301,1663,1214,108,315,5,6,9,0,484,294,572,66,76,171
24031702302,2575,1923,177,439,8,7,15,0,1260,248,581,91,98,297
24031702401,2059,1659,92,285,3,7,6,0,1163,188,293,68,78,269
24031702402,2959,2263,147,516,9,4,15,0,1194,276,925,127,117,320
24031702501,2560,1895,120,508,10,6,14,0,1012,189,838,110,90,321
24031702502,767,588,26,142,4,3,2,0,257,83,272,41,35,79
24031702503,2083,1578,110,374,4,2,4,0,747,133,801,81,73,248
24031702602,2578,1864,154,528,8,3,8,0,946,224,951,101,96,260
24031702603,1007,763,44,190,3,1,4,0,365,81,362,37,39,123
24031702604,1486,1096,89,279,7,5,4,0,602,134,453,59,76,162
24031702700,4177,3130,301,693,10,8,19,0,1836,456,838,166,216,665
24031702800,4342,3275,291,720,15,5,20,0,2206,339,939,201,126,531
24031702900,4335,3390,304,600,9,6,13,0,2536,229,551,191,151,677
24031703000,1350,925,154,261,3,1,1,0,827,149,124,64,30,156
24031703100,3105,2137,362,569,11,8,12,0,1540,571,326,188,106,374
24031703201,4925,2989,751,1122,16,8,25,0,2273,1075,228,491,245,613
24031703202,4342,2359,951,990,11,5,12,0,2573,520,157,294,218,580
24031703206,2661,1689,358,576,7,7,14,0,1055,372,463,311,150,310
24031703207,2383,1526,334,485,8,4,17,0,795,502,479,150,114,343
24031703208,4091,2374,791,892,7,3,11,0,1766,318,383,152,240,1232
24031703209,3492,2295,420,731,11,8,21,0,1220,526,565,388,174,619
24031703210,2577,1784,258,505,7,4,11,0,1079,473,410,197,71,347
24031703213,2008,1397,157,413,6,6,19,0,345,575,698,94,85,211
24031703214,2740,1915,222,575,3,2,18,0,642,680,932,154,118,214
24031703215,1802,1177,234,357,8,3,7,0,590,312,532,148,63,157
24031703216,3064,2055,496,469,3,2,18,0,1488,261,637,187,116,375
24031703218,2632,1735,525,328,1,4,8,0,1763,110,131,157,78,393
24031703219,2377,1652,423,270,0,0,8,0,1471,109,139,175,78,405
24031703220,3222,2190,351,637,12,8,16,0,851,597,1121,239,131,283
24031703221,3374,2105,495,729,15,6,16,0,1118,466,855,388,176,371
24031703222,2538,1718,258,527,5,7,18,0,614,477,777,260,142,268
24031703223,4442,2836,549,1019,11,9,13,0,1388,562,1029,664,245,554
24031703301,2604,1582,389,590,16,4,19,0,868,983,120,242,127,264
24031703302,2189,1361,328,468,7,4,17,0,670,878,135,193,99,214
24031703401,2614,1687,337,549,8,8,17,0,764,1044,189,206,129,282
24031703402,2047,1312,288,421,4,5,11,0,599,760,186,237,98,167
24031703403,1915,1315,209,372,6,1,10,0,599,805,112,109,80,210
24031703404,1443,1001,137,274,6,6,15,0,300,761,149,82,42,109
24031703501,3531,2328,374,777,14,7,20,0,903,1165,697,223,179,364
24031703502,2101,1351,260,456,4,6,12,0,1176,311,188,101,117,208
24031703601,3044,1944,374,681,16,3,15,0,1562,615,223,152,115,377
24031703602,2067,1364,296,388,4,2,7,0,1304,205,135,119,66,238
24031703701,2169,1427,237,482,6,3,8,0,607,967,209,126,67,193
24031703702,2356,1623,239,472,5,6,8,0,917,752,186,193,72,236
24031703800,2119,1492,151,446,8,5,12,0,782,260,619,129,87,242
24031703901,2254,1584,261,389,6,3,6,0,1207,252,241,157,99,298
24031703902,4550,3102,481,895,21,9,24,0,1749,907,898,378,161,457
24031704000,4389,3093,416,831,9,6,20,0,1966,783,653,305,163,519
24031704100,4045,2286,915,787,14,2,17,0,3021,238,76,116,112,482
24031704200,1515,958,239,297,2,4,6,0,1044,144,46,57,55,169
24031704300,3007,1857,512,609,6,3,7,0,2086,181,27,171,121,421
24031704401,2648,1609,380,632,6,2,5,0,1325,182,111,333,265,432
24031704403,1080,694,137,237,0,2,5,0,536,62,28,91,133,230
24031704404,3769,2368,537,806,13,8,14,0,2126,247,111,329,283,673
24031704501,2598,1518,415,637,5,8,9,0,1340,238,70,291,250,409
24031704502,2059,1299,291,452,5,3,4,0,1242,97,24,203,141,352
24031704503,2993,1815,460,682,10,5,12,0,1917,173,28,267,147,461
24031704600,3733,2458,427,810,5,6,14,0,2234,191,45,377,238,648
24031704700,3374,2270,420,652,10,4,7,0,2145,152,31,205,159,682
24031704803,2335,1516,271,516,11,3,12,0,1389,193,102,137,131,383
24031704804,1266,788,175,289,4,0,1,0,745,82,24,71,93,251
24031704805,1655,1073,183,373,2,3,14,0,926,118,66,142,120,283
24031704806,2192,1364,244,553,9,3,11,0,1272,182,98,138,127,375
24031705000,3097,1999,416,641,8,9,12,0,2011,168,48,153,150,567
24031705100,4412,2708,828,817,20,6,11,0,3035,204,157,169,198,649
24031705200,2724,1837,365,485,4,2,12,0,1882,78,63,76,110,515
24031705300,1751,1105,321,314,3,1,1,0,1325,39,4,55,47,281
24031705400,2496,1718,293,459,5,3,7,0,1742,97,16,107,88,446
24031705501,1234,801,147,274,0,4,4,0,741,98,31,83,109,172
24031705502,3314,2182,443,646,11,3,7,0,2119,131,22,147,235,660
24031705601,2249,1542,257,433,5,3,6,0,1530,116,17,85,112,389
24031705602,2933,2015,310,553,6,1,12,0,1624,195,62,140,298,614
24031705701,3267,1965,596,658,17,4,12,0,2170,178,69,119,200,531
24031705702,3702,2231,684,747,6,7,7,0,2638,180,19,134,173,558
24031705800,4910,3324,589,939,14,6,19,0,3264,240,40,290,291,785
24031705901,3492,2098,591,769,2,3,10,0,1966,168,28,356,286,688
24031705902,3234,2090,421,671,9,7,13,0,1944,123,46,292,249,580
24031705903,3496,2220,502,740,4,3,6,0,1847,171,33,411,310,724
24031706005,3744,1785,887,1026,6,2,21,0,1787,155,83,663,376,680
24031706007,5923,3308,1066,1477,14,4,17,0,2544,225,76,1407,582,1089
24031706008,4420,2112,1158,1097,8,2,17,0,2433,168,37,705,419,658
24031706009,4390,2265,1030,1046,5,6,14,0,2444,187,98,561,401,699
24031706010,2178,1249,364,542,6,2,7,0,940,136,212,355,211,324
24031706011,4215,2363,736,1061,10,3,14,0,1875,184,53,850,422,831
24031706012,2212,1305,314,553,9,3,16,0,837,261,132,324,335,323
24031706013,2324,1176,547,577,3,4,9,0,1314,120,19,301,189,381
