GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
41033361500,2533,499,1043,784,24,10,40,0,2087,122,3,23,33,265
41033361601,4455,953,1988,1149,36,17,60,0,3682,261,4,42,51,415
41033361602,3348,916,1395,782,27,16,45,0,2767,158,6,35,36,346
41005020101,2079,878,585,479,8,6,4,0,1603,73,0,123,59,221
41005020102,1938,888,457,446,12,5,14,0,1556,62,0,46,52,222
41005020201,3488,1460,866,883,20,4,20,0,2786,115,4,103,81,399
41005020202,2062,893,505,525,10,1,12,0,1584,79,1,107,64,227
41005020302,3113,1315,956,641,21,5,17,0,2348,139,12,192,93,329
41005020303,3545,1559,989,760,18,8,24,0,2626,126,6,233,134,420
41005020304,4080,1700,1220,891,23,11,17,0,2889,175,6,405,166,439
41005020401,4390,1901,1230,946,36,11,26,0,3410,171,3,219,104,483
41005020403,2974,1243,721,811,19,6,11,0,2309,90,5,150,79,341
41005020404,3451,1554,765,908,18,7,17,0,2756,108,1,131,92,363
41005020503,2082,941,548,447,10,5,12,0,1671,68,2,91,49,201
41005020504,5223,2223,1317,1321,26,7,27,0,4171,156,13,185,125,573
41005020505,2282,1047,494,605,10,2,9,0,1829,59,0,85,63,246
41005020506,2495,909,704,696,14,2,21,0,1948,101,3,85,87,271
41005020507,3037,1045,927,851,23,2,12,0,2254,111,12,219,113,328
41005020601,2628,1121,784,547,23,8,17,0,2088,113,3,65,66,293
41005020602,4157,1597,1194,1084,27,4,21,0,3248,160,10,208,113,418
41005020700,3075,1280,786,782,33,5,25,0,2547,103,3,74,56,292
41005020800,3605,1667,1083,554,35,23,40,0,2928,169,16,61,58,373
41005020900,3100,1452,961,465,19,14,23,0,2484,186,16,45,74,295
41005021000,3693,1708,1087,645,30,14,39,0,2891,255,5,75,105,362
41005021100,4584,2007,1429,832,32,17,45,0,3589,276,9,92,114,504
41005021200,3036,1491,863,474,18,13,35,0,2389,177,18,60,53,339
41005021300,4818,2084,1503,874,47,17,37,0,3853,297,12,89,80,487
41005021400,4075,1691,1258,824,26,24,42,0,3202,243,8,72,86,464
41005021500,4063,1793,1069,935,30,11,32,0,3178,185,8,151,102,439
41005021601,4324,1618,1728,627,35,21,53,0,3187,504,18,112,100,403
41005021602,3741,1442,1326,690,33,17,53,0,2775,357,23,122,126,338
41005021700,5110,2067,1631,1021,48,19,42,0,4089,297,8,97,83,536
41005021801,4844,2008,1281,1195,34,14,43,0,3878,219,11,117,89,530
41005021802,3236,1201,1109,660,37,4,43,0,2541,226,14,72,66,317
41005021900,2723,950,967,560,18,13,23,0,2157,199,7,34,42,284
41005022000,5569,2066,1722,1363,34,9,48,0,4461,332,12,92,138,534
41005022101,5321,1891,1744,1300,51,13,43,0,4257,394,20,104,92,454
41005022105,5039,1605,1770,1318,48,5,49,0,3411,340,24,501,226,537
41005022107,2704,880,1128,492,24,4,28,0,1891,272,17,102,89,333
41005022108,2161,696,854,419,26,7,31,0,1648,217,9,37,50,200
41005022109,2393,744,892,612,11,2,15,0,1419,159,5,406,153,251
41005022110,3174,1037,1190,730,22,5,24,0,2015,247,14,511,126,261
41005022201,3268,1123,1409,479,38,12,34,0,2165,457,49,145,112,340
41005022205,3028,1083,978,785,13,4,19,0,2091,169,31,353,95,289
41005022206,5740,1871,2016,1500,40,10,38,0,3543,338,44,872,336,607
41005022207,4706,1508,1557,1331,20,4,35,0,3012,196,3,745,228,522
41005022208,6498,2012,2323,1751,44,6,35,0,4040,322,43,1025,378,690
41005022301,3626,1144,1076,1133,33,5,30,0,2871,180,3,61,120,391
41005022302,5276,1623,1638,1604,52,11,47,0,4292,240,1,107,123,513
41005022400,3390,1251,1165,649,40,16,36,0,2802,169,5,39,59,316
41005022501,2591,990,753,657,21,7,17,0,2143,122,0,39,36,251
41005022502,3179,1020,1246,651,32,5,37,0,2533,201,9,49,60,327
41005022602,3795,1216,1128,1194,36,2,24,0,3095,181,5,84,66,364
41005022603,2840,852,1011,766,23,3,30,0,2203,247,9,40,72,269
41005022605,5520,1689,1877,1516,50,14,53,0,4392,309,12,114,120,573
41005022606,4575,1397,1420,1425,27,9,35,0,3691,226,3,90,69,496
41005022702,5838,1902,1430,2114,40,3,27,0,4670,182,3,253,151,579
41005022707,6101,2081,1901,1613,52,15,31,0,4611,424,10,240,133,683
41005022708,3095,977,967,964,22,2,16,0,2384,245,9,82,58,317
41005022710,1883,577,706,420,23,4,17,0,1404,163,1,52,70,193
41005022800,3837,1228,730,1606,17,7,22,0,3211,138,6,46,64,372
41005022901,3477,946,994,1300,28,1,18,0,2821,223,2,49,38,344
41005022904,2477,707,845,757,18,5,18,0,1902,294,2,36,18,225
41005022905,3446,1010,905,1313,26,3,28,0,2772,241,5,41,51,336
41005022906,2273,655,676,765,24,2,14,0,1797,193,1,32,22,228
41005022907,2611,729,919,786,11,4,16,0,1947,345,5,45,38,231
41005023001,3090,862,899,1083,21,5,23,0,2543,116,5,51,51,324
41005023002,3177,893,930,1126,20,6,33,0,2679,127,1,30,33,307
41005023100,5582,1621,1607,1949,37,11,43,0,4582,186,0,116,123,575
41005023201,4004,1107,1199,1434,23,7,38,0,3047,185,3,184,147,438
41005023202,5940,1704,1933,1884,40,10,38,0,4354,294,12,268,273,739
41005023300,4333,1112,1312,1626,29,5,28,0,3529,173,6,95,95,435
41005023401,3958,995,1208,1444,36,12,50,0,3205,234,0,61,97,361
41005023403,4631,1222,1683,1380,49,11,31,0,3693,271,5,77,79,506
41005023404,5108,1269,1805,1615,63,11,40,0,4187,255,1,68,92,505
