FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31089974300,2610,1936,342,316,16,0,0,2157,52,0,7,25,369
31027977100,2946,1821,705,403,17,0,0,2340,21,0,9,8,568
31027977200,2585,1818,364,378,25,0,0,2145,30,1,6,6,397
31183973600,531,409,73,44,5,0,0,420,3,0,5,0,103
31129960000,1345,909,267,160,9,0,0,1163,20,0,3,16,143
31129960100,1468,917,298,242,11,0,0,1304,22,1,1,9,131
31177050101,2155,1211,460,453,29,2,0,1881,40,0,11,20,203
31177050102,3405,1897,731,718,58,1,0,2906,67,6,22,32,372
31177050201,3408,2043,640,686,37,2,0,2912,47,2,15,26,406
31177050202,2463,1331,534,563,35,0,0,2136,23,2,11,24,267
31177050300,3095,1975,513,574,33,0,0,2601,42,0,9,21,422
31029961900,2449,1898,262,270,19,0,0,2039,93,2,6,25,284
31021963200,1500,922,263,299,16,0,0,1346,16,3,3,8,124
31021963300,1728,957,453,295,23,0,0,1493,23,0,3,23,186
31021963400,1370,681,407,269,12,1,0,1192,29,0,8,10,131
31167962100,946,678,143,119,6,0,0,730,5,0,4,13,194
31167962200,2582,1719,417,420,25,1,0,2088,101,2,12,21,358
31103975400,498,414,44,39,1,0,0,426,6,0,4,1,61
31159960100,3113,1805,701,573,30,4,0,2486,40,2,9,58,518
31159960200,1601,872,359,338,31,1,0,1337,29,0,6,32,197
31159960300,3173,1889,686,560,38,0,0,2545,66,4,12,52,494
31159960400,3085,1878,580,574,51,2,0,2582,48,1,14,19,421
31151960601,1772,667,703,367,34,1,0,1160,324,4,41,17,226
31151960602,1315,470,524,291,30,0,0,802,314,3,23,12,161
31151960700,1351,758,344,236,13,0,0,1110,43,1,2,21,174
31151960800,990,503,347,130,10,0,0,771,23,2,3,27,164
31151960900,1921,881,659,362,19,0,0,1481,77,4,10,34,315
31125966100,2175,1318,537,301,19,0,0,1782,49,3,4,13,324
31163970100,1944,1141,586,200,17,0,0,1597,24,2,6,20,295
31181965000,941,614,172,142,13,0,0,782,15,1,4,5,134
31181965100,1118,759,185,165,9,0,0,974,20,1,5,3,115
31001965400,3168,2174,473,488,33,0,0,2655,48,0,17,18,430
31001965500,2791,1486,667,597,41,0,0,2275,126,2,41,27,320
31001965600,2833,1460,738,581,53,1,0,2303,107,9,22,28,364
31001965700,790,385,214,180,11,0,0,627,64,0,9,11,79
31001965800,1226,629,280,297,18,2,0,953,93,5,27,6,142
31001965900,2926,1681,678,536,31,0,0,2451,102,3,35,24,311
31001966000,2333,1258,525,524,24,2,0,1870,162,5,45,14,237
31001966100,899,461,263,161,14,0,0,699,75,1,4,6,114
31001966200,1560,1096,227,227,10,0,0,1311,15,0,5,10,219
31093970500,1262,869,215,168,10,0,0,1072,28,1,2,11,148
31093970600,3129,1908,750,431,40,0,0,2649,45,0,15,48,372
31013951100,1534,1109,192,218,15,0,0,1357,24,0,6,13,134
31013951200,3055,1869,596,557,30,3,0,2418,203,2,35,35,362
31013951300,2384,1376,459,512,36,1,0,1907,215,4,20,24,214
31043010101,1370,319,672,360,19,0,0,592,545,39,32,68,94
31043010102,1046,281,463,285,17,0,0,560,270,13,28,92,83
31043010200,3216,979,1349,845,43,0,0,1716,1087,14,58,92,249
31043010300,2245,935,716,563,31,0,0,1585,405,5,29,23,198
31043010400,2201,1109,592,485,15,0,0,1864,64,0,5,7,261
31109000100,1916,613,727,534,42,0,0,1547,77,13,13,31,235
31109000201,3099,1081,1208,745,64,1,0,2438,149,14,44,45,409
31109000202,1757,520,677,506,52,2,0,1370,98,17,29,35,208
31109000300,1778,482,756,490,48,2,0,1402,70,55,31,33,187
31109000400,2062,460,961,586,54,1,0,1344,174,115,71,105,253
31109000500,800,182,357,237,23,1,0,608,44,31,10,14,93
31109000600,398,119,191,76,12,0,0,280,33,3,14,14,54
31109000700,792,205,341,223,23,0,0,497,39,32,101,43,80
31109000800,1574,340,737,451,45,1,0,1092,144,71,47,45,175
31109000900,1805,485,795,494,30,1,0,1380,88,21,38,41,237
31109001001,1807,586,736,449,36,0,0,1469,68,13,29,27,201
31109001002,929,304,399,211,15,0,0,697,54,6,42,11,119
31109001003,1937,578,824,490,45,0,0,1505,116,15,49,23,229
31109001101,3189,1281,1155,703,50,0,0,2575,85,5,44,57,423
31109001102,2234,890,803,498,41,2,0,1827,68,8,49,29,253
31109001200,3972,1579,1411,905,75,2,0,3228,120,15,92,69,448
31109001301,2732,1209,1018,471,33,1,0,2223,75,11,33,46,344
31109001302,2208,880,862,435,31,0,0,1841,63,6,28,53,217
31109001400,2918,1033,1194,634,53,4,0,2311,126,20,55,50,356
31109001500,2801,943,1095,698,64,1,0,2226,118,16,63,70,308
31109001600,3559,1029,1611,847,70,2,0,2849,155,24,52,58,421
31109001700,2139,421,1171,516,31,0,0,1539,109,83,79,78,251
31109001800,704,148,328,200,28,0,0,484,54,29,36,18,83
31109001900,554,137,271,136,10,0,0,429,29,4,11,14,67
31109002001,1087,181,547,330,28,1,0,771,70,50,30,32,134
31109002002,956,173,479,275,28,1,0,679,89,33,23,19,113
31109002100,999,211,449,316,23,0,0,677,168,12,19,22,101
31109002200,2754,595,1368,734,56,1,0,2059,206,58,55,87,289
31109002300,3500,781,1847,806,62,4,0,2827,138,30,39,66,400
31109002400,2394,732,1163,477,22,0,0,2001,58,0,25,39,271
31109002500,3640,1307,1472,808,52,1,0,2935,121,10,54,55,465
31109002701,1578,548,578,418,34,0,0,1233,114,15,22,28,166
31109002702,3683,1474,1449,706,54,0,0,2981,110,18,51,47,476
31109002800,3430,1029,1559,786,54,2,0,2786,103,16,58,56,411
31109002900,2866,1012,1062,718,74,0,0,2191,140,33,86,86,330
31109003002,1766,538,723,471,33,1,0,1318,120,27,68,44,189
31109003003,2474,832,992,595,52,3,0,1692,169,75,159,91,288
31109003004,1684,752,592,320,20,0,0,1273,44,10,133,47,177
31109003005,2817,1213,973,595,34,2,0,1912,99,20,337,111,338
31109003102,3827,1608,1211,938,70,0,0,3019,144,16,88,73,487
31109003103,1161,372,424,341,24,0,0,743,115,16,84,66,137
31109003104,2652,828,985,777,59,3,0,1804,284,29,125,96,314
31109003202,1475,436,589,420,29,1,0,1124,114,18,16,39,164
31109003301,2116,734,768,562,52,0,0,1581,133,28,100,43,231
31109003302,2571,1012,805,689,65,0,0,1819,187,24,65,115,361
31109003401,3033,1171,1033,773,55,1,0,2295,175,19,109,80,355
31109003402,3378,1183,1261,860,73,1,0,2307,239,63,200,160,409
31109003500,72,33,20,17,2,0,0,61,1,3,1,0,6
31109003601,0,0,0,0,0,0,0,0,0,0,0,0,0
31109003604,2977,1532,847,564,34,0,0,2433,63,0,51,42,388
31109003605,2312,820,853,592,46,1,0,1833,90,9,39,81,260
31109003607,2591,1146,848,553,44,0,0,1998,83,18,99,91,302
31109003608,863,369,295,187,11,1,0,723,16,1,7,16,100
31109003609,2017,1022,608,375,12,0,0,1640,38,6,47,54,232
31109003704,2925,1006,1141,714,64,0,0,2314,119,20,39,70,363
31109003708,3169,1438,1064,622,45,0,0,2582,103,7,63,64,350
31109003709,3859,1717,1265,832,44,1,0,3098,109,10,61,76,505
31109003713,2056,1099,564,380,13,0,0,1667,44,8,52,35,250
31109003714,3149,1515,895,708,31,0,0,2556,66,7,72,42,406
31109003715,1877,938,564,356,19,0,0,1518,35,3,51,38,232
31109003716,3440,1463,1215,698,63,1,0,2704,93,19,103,72,449
31109003718,2770,1539,703,495,33,0,0,2268,46,4,78,32,342
31109003719,4019,2019,1129,817,54,0,0,3270,111,6,99,55,478
31109003721,3099,1357,1075,628,39,0,0,2572,84,7,53,38,345
31109003722,1270,527,489,237,17,0,0,1042,34,8,9,19,158
31109003723,2664,1129,934,563,38,0,0,2176,69,4,41,46,328
31109003724,3147,1518,989,610,30,0,0,2549,65,6,64,59,404
31109003725,2180,1131,579,446,24,0,0,1782,42,0,46,41,269
31109003726,1567,823,388,333,22,1,0,1256,40,0,60,44,167
31109003727,1924,924,586,380,34,0,0,1553,58,1,67,28,217
31109003728,2600,1162,837,564,35,2,0,2074,77,3,51,52,343
31109003801,3422,1620,1112,655,34,1,0,2803,71,7,53,59,429
31109003802,2111,969,698,422,22,0,0,1740,58,10,18,31,254
31109010100,4855,2599,1189,986,81,0,0,4014,90,4,29,88,630
31109010202,3604,1862,927,773,42,0,0,3047,55,4,21,42,435
31109010203,1022,491,295,220,16,0,0,808,14,1,30,39,130
31109010204,2242,878,727,593,44,0,0,1527,125,12,181,97,300
31109010300,3356,1842,795,678,41,0,0,2816,46,4,25,26,439
31109010401,3141,1707,706,696,32,0,0,2652,42,0,14,28,405
31109010402,3625,2051,760,756,57,1,0,3041,52,0,24,38,470
31109983200,5,4,1,0,0,0,0,4,0,0,0,0,1
31165950100,747,594,74,73,6,0,0,629,17,0,4,1,96
31137967000,1563,1024,269,240,30,0,0,1334,46,0,8,17,158
31137967100,2236,1651,292,274,18,1,0,1937,45,0,11,7,236
31137967200,2155,1653,244,238,20,0,0,1887,31,1,7,12,217
31157952900,1777,1089,315,350,23,0,0,1406,150,0,9,7,205
31157953000,2067,1307,373,366,21,0,0,1618,234,0,12,13,190
31157953100,1431,859,254,302,15,1,0,1123,139,0,14,14,141
31157953200,1122,788,139,180,15,0,0,923,46,0,2,8,143
31157953300,2112,1171,504,404,31,2,0,1642,232,0,18,15,205
31157953400,2168,1377,420,351,20,0,0,1748,142,3,24,18,233
31157953500,1713,745,472,456,39,1,0,1200,352,1,10,9,141
31157953600,1658,840,415,380,21,2,0,1230,262,2,11,14,139
31157953700,1749,571,673,473,31,1,0,792,808,0,10,7,132
31157953800,2837,1588,650,560,38,1,0,2094,460,1,20,16,246
31157953900,3384,2023,729,586,44,2,0,2604,369,3,34,20,354
31037964600,1519,954,392,167,6,0,0,1186,32,0,12,27,262
31037964700,1069,702,227,132,8,0,0,784,41,2,1,28,213
31037964800,2428,881,1079,429,39,0,0,987,1026,4,17,84,310
