FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31119960802,2481,1733,378,350,19,1,0,2088,38,0,13,29,313
31119960900,2394,1251,557,539,46,1,0,1792,262,11,16,28,285
31119961000,1515,678,398,412,27,0,0,1073,231,8,9,19,175
31119961100,1016,588,211,210,7,0,0,748,146,2,7,10,103
31119961200,2489,1710,327,425,26,1,0,2031,44,0,10,6,398
31119961300,2750,1749,533,430,36,2,0,1918,427,4,20,24,357
31179978600,2297,1715,272,291,19,0,0,1932,45,0,14,24,282
31179978700,2696,1519,620,502,54,1,0,2176,99,6,27,20,368
31161951600,1448,1015,192,231,10,0,0,1224,35,0,11,26,152
31161951700,1999,1475,257,254,13,0,0,1688,27,5,12,27,240
31087962700,1901,1352,249,284,16,0,0,1610,26,0,11,8,246
31085961500,415,334,32,43,6,0,0,329,20,0,0,4,62
31107976200,1971,1303,382,272,14,0,0,1634,23,0,9,9,296
31107976300,1529,1018,282,220,9,0,0,1341,25,0,9,11,143
31107976400,1933,1095,520,299,19,0,0,1602,26,0,9,20,276
31099966600,2445,1694,401,327,22,1,0,2152,34,0,5,6,248
31099966700,2012,1304,364,308,36,0,0,1719,79,1,10,11,192
31007954000,419,332,29,56,2,0,0,378,9,0,0,0,32
31035962100,2176,1508,336,305,27,0,0,1740,88,0,10,8,330
31035962200,1933,1364,314,237,18,0,0,1684,27,2,3,30,187
31097967500,1239,750,285,185,19,0,0,988,18,0,7,6,220
31097967600,1477,861,356,247,13,0,0,1116,75,1,10,8,267
31091956700,577,474,59,44,0,0,0,502,1,0,1,1,72
31039972700,1482,1010,257,199,15,1,0,1165,34,0,4,3,276
31039972800,2557,1648,465,426,18,0,0,1948,163,3,10,24,409
31039972900,1385,876,264,231,13,1,0,1162,33,3,14,10,163
31005958300,266,229,25,11,1,0,0,239,3,0,3,4,17
31083964200,2328,1622,383,316,7,0,0,2002,39,0,9,18,260
31145963100,1744,1243,207,285,9,0,0,1504,32,0,3,7,198
31145963200,3044,2105,436,469,34,0,0,2617,87,1,11,23,305
31145963300,1785,1145,270,348,22,0,0,1502,72,1,14,9,187
31115972800,483,383,70,28,2,0,0,431,3,0,0,0,49
31015975800,1356,1040,160,150,6,0,0,1154,9,0,11,7,175
31055000200,2071,421,1044,568,37,1,0,1284,104,512,8,17,146
31055000300,1259,124,811,300,24,0,0,344,70,755,20,11,59
31055000400,672,179,261,214,16,2,0,443,101,57,5,5,61
31055000500,988,259,473,247,9,0,0,650,61,120,14,16,127
31055000600,658,46,451,155,6,0,0,131,45,443,5,6,28
