GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
18083955900,3375,1091,1461,811,12,0,2901,46,17,15,2,394
18161960700,2491,901,1093,478,19,0,2244,16,1,10,13,207
18161960800,1895,802,779,303,11,0,1699,17,3,4,5,167
18163000100,1197,709,207,280,1,0,1039,26,15,22,8,87
18163000203,2000,809,621,566,4,0,1721,32,16,26,14,191
18163000204,3100,1396,822,878,4,0,2610,80,22,60,41,287
18163000205,1272,574,328,369,1,0,1116,18,8,7,16,107
18163000300,1711,908,301,501,1,0,1447,36,75,8,15,130
18163000400,1466,553,398,515,0,0,1271,25,14,6,11,139
18163000500,1556,569,445,541,1,0,1335,21,11,18,7,164
18163000600,1227,488,243,495,1,0,1041,21,38,6,13,108
18163000800,1714,771,227,715,1,0,1252,43,270,8,11,130
18163000900,3315,1659,558,1095,3,0,2765,85,189,16,20,240
18163001000,2146,1046,278,822,0,0,1612,43,327,20,9,135
18163001101,1406,418,96,892,0,0,597,34,673,16,6,80
18163001200,1086,352,89,644,1,0,563,18,416,10,12,67
18163001300,1098,292,70,736,0,0,382,34,610,6,11,55
18163001400,1320,511,90,716,3,0,613,27,566,6,6,102
18163001500,1221,271,66,883,1,0,353,27,762,6,6,67
18163001700,1422,503,212,702,5,0,956,34,319,9,8,96
18163001800,514,267,94,152,1,0,403,14,29,7,10,51
18163001900,551,322,72,156,1,0,450,12,19,10,4,56
18163002000,475,244,62,167,2,0,384,8,44,3,5,31
18163002100,1086,699,142,245,0,0,945,38,25,6,5,67
18163002300,1190,684,178,327,1,0,1018,32,37,6,9,88
18163002400,1847,932,377,537,1,0,1619,35,19,5,9,160
18163002500,1077,667,120,289,1,0,868,39,64,3,3,100
18163002600,1411,846,172,390,3,0,1176,29,85,13,9,99
18163003000,3018,1436,690,889,3,0,2623,40,14,17,15,309
18163003100,1544,770,324,448,2,0,1376,21,7,6,3,131
18163003200,2301,1106,535,660,0,0,2023,30,17,15,16,200
18163003300,2196,1120,482,593,1,0,1924,38,22,15,10,187
18163003400,1902,822,530,549,1,0,1685,32,9,9,11,156
18163003500,1905,816,603,485,1,0,1656,36,17,9,16,171
18163003600,2534,1334,396,802,2,0,2112,48,178,4,13,179
18163003701,1333,565,389,378,1,0,1130,26,42,17,13,105
18163003702,2386,1090,449,847,0,0,1858,73,238,12,19,186
18163003801,3754,1518,1066,1167,3,0,3095,75,128,50,41,365
18163003803,3740,1460,1250,1030,0,0,3172,61,43,55,46,363
18163003805,4093,1777,1028,1285,3,0,3439,83,197,41,34,299
18163003900,2059,967,548,541,3,0,1797,29,23,14,15,181
18163010101,1219,688,184,343,4,0,985,29,52,17,27,109
18163010102,2465,1069,664,728,4,0,2091,48,74,43,25,184
18163010204,4842,1994,1817,1028,3,0,4184,55,17,50,51,485
18163010205,2099,1130,489,479,1,0,1838,34,7,21,10,189
18163010206,4182,1738,1407,1031,6,0,3682,46,10,50,29,365
18163010207,2465,1065,784,615,1,0,2137,38,12,15,26,237
18163010208,3806,1524,1351,929,2,0,3287,42,14,88,41,334
18163010404,4864,1866,1733,1261,4,0,4273,61,10,40,25,455
18163010405,1326,620,332,373,1,0,1134,25,11,6,8,142
18163010406,1417,491,542,383,1,0,1277,11,2,4,6,117
18163010501,2512,986,933,593,0,0,2230,28,0,4,12,238
18163010502,2786,1067,980,738,1,0,2408,18,4,11,19,326
18163010600,1237,450,542,243,2,0,1071,8,0,2,3,153
18163010701,2777,1257,943,576,1,0,2396,33,5,15,26,302
18163010702,4593,1779,1916,894,4,0,3975,45,4,27,27,515
18163010800,2051,972,456,623,0,0,1796,37,2,2,10,204
18163980100,10,7,2,1,0,0,9,0,0,0,0,1
18163980200,3,1,2,0,0,0,3,0,0,0,0,0
18163980300,2,0,1,1,0,0,2,0,0,0,0,0
18163980500,8,3,3,2,0,0,5,0,3,0,0,0
18163980600,0,0,0,0,0,0,0,0,0,0,0,0
18093950400,2534,986,1184,326,38,0,2347,20,0,4,5,158
18093950500,3361,1357,1483,484,37,0,3030,27,3,21,20,260
18093950601,2052,887,880,269,16,0,1857,27,2,6,15,145
18093950602,3001,1266,1234,422,79,0,2707,33,3,21,6,231
18093950701,2614,943,1215,334,122,0,2407,13,3,7,12,172
18093950702,1714,715,767,211,21,0,1562,21,2,4,21,104
18093950800,2373,882,1040,427,24,0,2123,41,1,12,20,176
18093950900,1907,885,672,319,31,0,1711,28,10,18,6,134
18093951000,2310,1022,913,359,16,0,2074,34,11,17,7,167
18093951100,1879,821,732,305,21,0,1691,42,2,14,3,127
18093951201,2324,960,1019,319,26,0,2125,21,2,5,1,170
18093951202,1694,687,698,267,42,0,1536,20,1,8,10,119
18093951300,2054,1026,690,326,12,0,1918,29,4,5,4,94
18067000200,2209,766,219,1224,0,0,1073,70,913,13,20,120
18067000300,1750,856,394,497,3,0,1527,62,32,10,8,111
18067000400,1820,1043,322,452,3,0,1542,49,64,2,8,155
18067000500,2095,1050,502,542,1,0,1794,65,44,14,9,169
18067000600,2062,932,557,570,3,0,1778,60,47,11,20,146
18067000700,3519,1213,1393,905,8,0,3099,84,39,17,23,257
18067000800,3875,1395,1441,1024,15,0,3350,104,52,41,33,295
18067000900,2221,1165,492,563,1,0,1863,66,82,20,14,176
18067001000,1217,501,370,345,1,0,1096,24,9,4,6,78
18067001100,3587,1670,993,918,6,0,3013,103,125,37,37,272
18067001200,1867,1060,368,434,5,0,1588,57,52,14,8,148
18067001300,1764,792,483,489,0,0,1526,42,63,12,8,113
18067001400,3257,1195,1189,869,4,0,2818,77,86,34,19,223
18067001500,2373,1187,683,501,2,0,2020,68,37,20,18,210
18067010100,4484,1580,2134,758,12,0,4054,57,10,10,13,340
18067010201,2626,862,1217,543,4,0,2323,34,16,16,23,214
18067010202,1598,602,674,322,0,0,1390,21,13,10,10,154
18067010300,3123,1106,1326,685,6,0,2735,66,19,37,17,249
18067010400,2826,1022,1297,505,2,0,2488,35,2,17,21,263
18067010500,3694,1421,1612,661,0,0,3289,55,6,9,10,325
18067010600,3689,1360,1605,716,8,0,3144,86,25,74,41,319
18181958100,1526,638,640,247,1,0,1312,47,0,7,9,151
18181958200,1338,603,564,171,0,0,1084,111,0,6,6,131
18181958300,1461,560,730,171,0,0,1240,29,0,5,17,170
18181958400,1569,564,788,217,0,0,1372,39,5,7,15,131
18181958501,1152,477,506,167,2,0,993,23,1,9,9,117
18181958502,1404,485,703,216,0,0,1241,38,2,5,16,102
18181958600,3206,1364,1315,526,1,0,2607,204,15,16,25,339
18181958700,1781,674,878,229,0,0,1514,62,0,7,14,184
18181958800,2312,969,947,393,3,0,2056,33,4,10,16,193
18079960200,3124,1176,1272,648,28,0,2812,26,3,8,12,263
18079960301,2575,1017,1132,405,21,0,2330,15,1,4,40,185
18079960302,2185,1150,629,393,13,0,1973,40,3,6,10,153
18079960400,4175,1561,1586,996,32,0,3724,58,14,21,10,348
18079960500,1469,606,478,381,4,0,1342,29,8,2,2,86
18079960600,3248,1166,1218,701,163,0,2984,23,4,7,9,221
18047960100,3507,1398,1452,626,31,0,2898,34,3,27,34,511
18047969600,4171,1760,1712,466,233,0,3719,29,7,5,24,387
18047969700,1825,683,769,356,17,0,1623,10,1,13,5,173
18047969800,3857,1620,1690,514,33,0,3390,23,2,5,14,423
18047969900,2243,965,974,287,17,0,2041,11,1,7,6,177
18011810100,2646,910,1379,340,17,0,2370,36,0,11,10,219
18011810200,2539,916,1272,340,11,0,2339,29,2,11,7,151
18011810300,4127,1497,1996,624,10,0,3688,83,12,32,11,301
18011810400,3784,1945,1263,562,14,0,3375,98,2,23,11,275
18011810500,4801,1973,2048,766,14,0,4245,107,19,28,45,357
18011810601,5880,2402,2243,1173,62,0,4902,150,37,106,92,593
18011810604,4847,1565,2123,1107,52,0,3906,88,11,174,100,568
18011810605,5538,1730,2226,1523,59,0,4558,160,43,113,78,586
18011810606,6105,1989,2761,1273,82,0,4974,129,15,146,143,698
18011810607,5463,2273,1812,1316,62,0,4255,181,39,249,135,604
18011810700,3403,1313,1611,456,23,0,3066,33,7,20,23,254
18041954000,2678,980,1084,608,6,0,2457,12,1,14,14,180
18041954100,1560,685,483,383,9,0,1412,12,3,3,4,126
18041954200,2202,843,899,453,7,0,2008,15,3,17,2,157
18041954300,1534,691,472,365,6,0,1375,14,11,5,4,125
18041954400,2446,1221,667,555,3,0,2193,21,24,5,9,194
18041954500,2146,895,752,494,5,0,1902,25,8,5,11,195
18041954600,2094,944,734,410,6,0,1940,8,2,4,4,136
18095000300,1332,662,223,426,21,0,1125,58,54,5,4,86
18095000400,1493,384,136,944,29,0,543,46,833,11,6,54
18095000500,1593,435,171,951,36,0,719,48,748,11,9,58
18095000800,968,538,133,292,5,0,821,72,21,4,6,44
18095000900,767,413,98,250,6,0,638,44,24,12,3,46
18095001000,1513,774,256,468,15,0,1276,54,61,8,2,112
18095001100,1232,586,291,350,5,0,1037,38,51,5,13,88
18095001200,2006,748,611,631,16,0,1788,46,27,10,12,123
18095001300,3317,1097,1135,1063,22,0,2845,65,97,18,29,263
18095001400,2354,1019,626,687,22,0,2090,39,34,14,8,169
18095001500,2521,826,864,799,32,0,2218,50,65,11,18,159
18095001600,2272,629,934,667,42,0,2029,43,13,10,8,169
18095001700,2574,675,492,1352,55,0,1442,66,909,19,15,123
18095001801,2317,859,755,687,16,0,1979,69,87,16,12,154
18095001802,1155,450,336,356,13,0,955,21,42,43,3,91
18095001901,2059,804,573,672,10,0,1817,55,14,10,11,152
18095001902,1563,546,389,617,11,0,1291,53,117,4,5,93
18095002000,2624,1006,742,858,18,0,2253,75,77,35,17,167
18095010100,1974,716,752,482,24,0,1839,30,0,1,7,97
18095010200,2830,1312,638,778,102,0,2548,68,2,17,5,190
18095010300,1828,813,369,528,118,0,1579,47,5,9,9,179
18095010400,2030,703,736,494,97,0,1811,40,0,12,17,150
18095010500,2318,767,1003,528,20,0,2098,29,1,4,15,171
18095010600,3297,1465,1012,783,37,0,2949,90,2,3,19,234
18095010700,2407,778,960,656,13,0,2158,30,16,4,9,190
18095010800,2289,776,870,630,13,0,2068,42,8,6,8,157
18095010900,1466,488,549,395,34,0,1303,30,6,5,11,111
18095011000,1370,461,634,267,8,0,1240,13,4,9,14,90
18095011100,2653,992,1069,578,14,0,2419,21,0,10,10,193
18095011200,4815,1535,1893,1346,41,0,4347,56,30,26,29,327
18095011300,1690,715,492,474,9,0,1544,31,4,6,2,103
18095011400,2900,1099,1159,628,14,0,2609,23,2,10,22,234
18095011501,4058,1521,1537,947,53,0,3657,53,7,27,24,290
18095011502,2884,979,1088,628,189,0,2668,21,5,20,13,157
18095011600,14,8,3,1,2,0,11,0,1,0,0,2
18095011700,1893,697,680,509,7,0,1714,31,4,8,6,130
18095011800,4461,2115,1410,886,50,0,3848,107,37,25,48,396
18095011900,1046,410,175,445,16,0,785,25,165,2,8,61
18095012000,1526,557,175,745,49,0,946,70,406,8,8,88
18013974600,2119,912,836,366,5,0,1893,24,1,3,11,187
18013974700,2444,876,1017,544,7,0,2222,18,5,9,9,181
18013974800,3287,1124,1243,911,9,0,2958,44,1,13,18,253
18013974901,1272,437,486,344,5,0,1145,29,1,10,4,83
18013974902,2451,801,889,754,7,0,2149,31,1,10,19,241
18137968401,1523,708,599,211,5,0,1338,29,0,2,5,149
18137968402,3358,1576,1300,464,18,0,2859,53,2,34,14,396
18137968500,3454,1574,1284,586,10,0,2847,61,1,19,13,513
18137968600,3094,1235,1454,393,12,0,2728,30,1,7,13,315
18137968700,2273,932,1016,310,15,0,2037,19,2,9,7,199
18137968800,2233,1005,903,310,15,0,2004,23,4,11,12,179
18137968900,3369,1505,1334,432,98,0,3013,23,1,15,5,312
18175967200,2690,1115,934,601,40,0,2476,29,1,13,11,160
18175967300,2785,961,1167,620,37,0,2538,20,3,11,12,201
18175967400,2808,1081,1096,600,31,0,2586,26,5,6,10,175
18175967500,1969,825,628,476,40,0,1790,18,4,10,4,143
18175967600,2739,1043,1042,620,34,0,2533,24,3,9,8,162
18175967701,1949,894,664,382,9,0,1784,25,2,1,9,128
18175967702,2636,1157,917,549,13,0,2396,20,3,5,10,202
18131958900,1673,628,727,313,5,0,1479,22,17,2,4,149
18131959000,2300,828,1046,423,3,0,1994,45,1,15,10,235
18131959100,2216,990,823,402,1,0,1909,57,2,7,19,222
18131959200,1951,674,997,279,1,0,1677,31,1,8,17,217
18049953000,1881,704,817,319,41,0,1688,26,7,8,14,138
18049953100,3324,1525,1145,581,73,0,2856,99,6,30,20,313
18049953200,2230,943,779,404,104,0,1946,38,12,10,14,210
18049953300,1202,401,552,237,12,0,1047,14,15,5,6,115
18049953400,1866,640,861,318,47,0,1620,25,0,14,8,199
18049953500,1608,807,580,206,15,0,1297,139,0,11,6,155
18101950100,1736,549,714,452,21,0,1577,12,2,11,3,131
18101950200,2719,900,964,847,8,0,2521,17,0,9,5,167
18101950300,2603,761,1078,737,27,0,2338,27,4,1,5,228
18081610101,3732,1875,1317,532,8,0,2691,91,36,608,66,240
18081610102,7119,3574,2327,1195,23,0,5820,240,49,337,89,584
18081610201,2930,1493,907,516,14,0,2540,96,17,38,23,216
18081610203,3710,1690,1335,673,12,0,3085,100,28,132,42,323
18081610204,3150,1514,1013,607,16,0,2624,109,29,84,34,270
18081610300,2399,940,982,469,8,0,2105,65,6,28,19,176
18081610401,3810,1851,1267,685,7,0,3231,104,44,69,28,334
18081610403,4255,2400,1101,736,18,0,3461,160,35,154,40,405
18081610404,3552,1445,1479,623,5,0,3036,97,10,41,38,330
18081610501,1763,839,670,251,3,0,1559,29,2,20,15,138
18081610502,3515,1695,1278,537,5,0,3160,54,5,12,14,270
18081610603,5155,2081,2078,976,20,0,4502,102,11,65,28,447
18081610605,3737,1643,1380,703,11,0,3235,81,14,68,37,302
18081610606,4375,1772,1734,847,22,0,3717,114,9,49,33,453
18081610607,4637,2162,1638,823,14,0,3948,103,13,87,45,441
18081610608,1442,555,649,236,2,0,1296,12,0,20,15,99
18081610703,4663,1743,2103,800,17,0,4060,88,1,82,54,378
18081610704,5833,2479,2368,962,24,0,4854,137,26,150,101,565
18081610705,4268,1872,1773,614,9,0,3680,79,16,109,46,338
18081610706,1867,815,746,306,0,0,1645,32,7,8,12,163
18081610801,4348,1697,2005,640,6,0,3936,52,2,28,17,313
18081610802,4336,2123,1530,676,7,0,3775,90,22,46,35,368
18081610900,3383,1393,1346,640,4,0,3004,74,22,23,19,241
18081611000,2014,786,814,412,2,0,1790,35,3,19,11,156
18081611100,2320,805,1081,428,6,0,2062,36,2,32,11,177
18081611200,3444,1570,1415,454,5,0,3033,83,6,51,25,246
18081611300,2244,1207,733,300,4,0,2071,31,2,3,8,129
18081611400,5674,2290,2645,728,11,0,5089,53,40,21,22,449
18003000100,1536,712,431,393,0,0,1252,69,12,15,25,163
18003000300,2160,857,574,727,2,0,1798,75,14,17,16,240
18003000400,1644,753,295,594,2,0,1356,68,38,16,18,148
18003000500,1531,823,284,419,5,0,1199,83,59,34,13,143
18003000600,941,603,107,231,0,0,730,77,17,6,9,102
18003000701,1713,1021,274,417,1,0,1375,117,37,19,20,145
18003000704,1371,759,281,329,2,0,1063,66,30,38,26,148
18003000800,2634,1314,618,701,1,0,2143,124,38,27,27,275
18003000900,1608,954,291,362,1,0,1276,114,22,14,13,169
18003001000,646,400,102,144,0,0,500,35,15,4,7,85
18003001100,1225,548,189,483,5,0,966,57,36,16,12,138
18003001200,839,400,149,289,1,0,665,30,43,13,13,75
18003001300,1054,502,111,440,1,0,648,40,203,22,27,114
18003001600,992,520,89,383,0,0,543,117,240,21,5,66
18003001700,1149,286,31,832,0,0,212,108,762,14,13,40
18003002000,1624,921,172,530,1,0,1038,196,198,22,18,152
18003002100,1068,687,123,254,4,0,755,138,59,11,14,91
18003002200,2556,1240,493,820,3,0,1781,261,231,20,30,233
18003002300,2305,729,120,1450,6,0,613,236,1250,78,38,90
18003002500,2029,884,423,717,5,0,1588,139,67,14,19,202
18003002600,1936,1005,275,654,2,0,1297,248,150,61,20,160
18003002800,1199,296,22,881,0,0,171,153,841,10,3,21
18003002900,1239,316,25,898,0,0,215,154,823,8,6,33
18003003000,1979,547,85,1345,2,0,443,203,1234,27,14,58
18003003100,1337,571,129,637,0,0,630,206,382,24,23,72
18003003200,3627,1419,784,1415,9,0,2659,280,238,87,36,327
18003003301,1552,867,339,345,1,0,1184,82,24,62,21,179
18003003304,2029,1204,328,497,0,0,1334,141,115,99,91,249
18003003400,2964,1304,769,886,5,0,2433,105,52,48,31,295
18003003500,2228,921,499,805,3,0,1540,80,230,121,40,217
18003003600,3247,1250,320,1669,8,0,1276,288,1291,158,45,189
18003003700,1666,781,447,436,2,0,1327,100,78,12,12,137
18003003800,1800,902,418,475,5,0,1439,85,114,18,12,132
18003003901,2203,964,683,554,2,0,1776,118,25,31,26,227
18003003902,1664,669,314,681,0,0,1078,86,332,11,23,134
18003004000,1844,405,73,1365,1,0,282,137,1274,73,22,56
18003004101,1659,733,516,408,2,0,1318,66,48,36,32,159
18003004103,2889,1657,534,694,4,0,2199,162,101,64,52,311
18003004300,1373,436,63,870,4,0,376,121,776,14,27,59
18003004400,1616,560,58,994,4,0,401,247,879,14,11,64
18003010100,2092,893,943,256,0,0,1828,24,2,5,12,221
18003010201,5446,2246,2424,769,7,0,4672,69,9,53,57,586
18003010202,3715,1494,1823,392,6,0,3240,76,4,21,25,349
18003010304,6165,2476,2577,1107,5,0,5109,127,25,75,93,736
18003010305,5608,2236,2466,896,10,0,4607,129,10,159,82,621
18003010306,5437,2483,2084,859,11,0,4495,137,14,88,80,623
18003010307,3279,1527,1079,670,3,0,2528,140,18,112,92,389
18003010308,5223,2262,1998,946,17,0,4235,165,39,119,99,566
18003010400,3017,1258,1323,434,2,0,2583,58,6,28,23,319
18003010500,2029,887,767,373,2,0,1659,53,6,17,29,265
18003010601,3178,1344,1000,832,2,0,2553,133,68,65,43,316
18003010602,2805,1529,736,539,1,0,2268,100,40,59,25,313
18003010603,1141,530,397,214,0,0,916,64,3,9,14,135
18003010604,1166,719,234,212,1,0,927,96,8,8,11,116
18003010705,3572,1545,1154,870,3,0,2880,140,52,89,57,354
18003010706,3105,1445,961,689,10,0,2272,148,76,138,117,354
18003010707,3766,1511,1357,894,4,0,3031,112,50,90,67,416
18003010803,3539,1559,1077,898,5,0,2882,142,50,62,62,341
18003010804,2809,1164,932,700,13,0,2293,94,45,49,37,291
18003010807,3122,1392,1012,714,4,0,2619,100,35,18,37,313
18003010808,3789,1417,1554,815,3,0,3089,117,38,50,58,437
18003010809,3854,1627,1277,945,5,0,3066,117,152,62,49,408
18003010811,3788,1586,1197,998,7,0,2995,144,133,52,54,410
18003010812,3163,1237,1192,729,5,0,2618,89,40,21,40,355
18003010813,2420,1169,732,516,3,0,1939,108,31,29,36,277
18003010815,4081,1654,1619,804,4,0,3307,94,66,65,41,508
18003010816,4384,1663,1780,933,8,0,3564,138,65,73,73,471
18003010817,2912,1108,1007,795,2,0,2382,86,66,51,34,293
18003010819,2930,1312,865,751,2,0,2352,108,107,41,39,283
18003010821,2887,1337,798,751,1,0,2232,130,121,74,34,296
18003010900,3271,1436,1444,388,3,0,2777,41,3,12,21,417
18003011000,1853,718,846,283,6,0,1585,19,0,4,26,219
18003011100,1803,896,575,330,2,0,1481,70,7,9,16,220
18003011201,980,658,168,153,1,0,837,34,11,3,3,92
18003011202,2030,1058,604,363,5,0,1709,49,7,25,18,222
18003011204,2346,899,950,490,7,0,1925,67,52,8,24,270
18003011205,2150,926,824,393,7,0,1785,52,4,11,19,279
18003011302,2498,820,232,1441,5,0,756,127,1212,211,60,132
18003011303,931,422,86,423,0,0,381,82,308,71,9,80
18003011304,3171,1042,428,1700,1,0,1386,196,1283,93,25,188
18003011501,2314,1113,573,627,1,0,1834,91,64,40,27,258
18003011502,1873,799,614,458,2,0,1537,69,29,17,25,196
18003011603,5027,1812,1935,1273,7,0,4131,166,20,78,68,564
18003011604,3005,1116,1129,754,6,0,2495,103,21,37,22,327
18003011605,2268,809,896,563,0,0,1869,82,16,45,28,228
18003011606,3393,1272,1341,777,3,0,2699,101,45,89,66,393
18003011607,3882,1545,1371,962,4,0,3144,133,55,100,50,400
18003011608,6203,2643,2255,1298,7,0,4615,222,119,348,170,729
18003011609,5725,2047,2428,1240,10,0,4647,140,34,140,157,607
18003011701,2982,1258,1127,592,5,0,2434,97,10,31,27,383
18003011702,2154,924,725,503,2,0,1710,88,79,20,14,243
18003011801,2653,1126,1074,450,3,0,2217,60,3,11,16,346
18003011802,1159,504,503,151,1,0,1013,13,1,3,9,120
18003011900,1219,537,430,243,9,0,1086,18,0,4,9,102
18003980001,160,131,4,25,0,0,103,14,18,2,3,20
18003980002,92,75,9,8,0,0,67,1,0,18,1,5
18097310104,2792,974,589,1198,31,0,2053,91,277,65,91,215
18097310105,2789,874,394,1489,32,0,1509,139,863,43,42,193
18097310106,2444,843,416,1150,35,0,1368,126,687,43,38,182
18097310108,3076,920,983,1141,32,0,2456,98,92,68,64,298
18097310110,1796,575,161,1038,22,0,878,95,659,19,31,114
18097310111,2192,654,208,1272,58,0,965,121,895,38,52,121
18097310112,5298,1474,1160,2317,347,0,3486,134,879,182,138,479
18097310113,1093,285,312,457,39,0,779,25,160,34,15,80
18097310201,2987,968,353,1618,48,0,1390,204,1034,61,63,235
