GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
26147633100,2364,818,1059,487,0,0,1994,55,0,11,16,288
26147633200,2193,747,966,480,0,0,1784,45,1,7,17,339
26147634100,3220,1060,1282,878,0,0,2675,71,11,20,43,400
26147634600,4646,1539,1743,1364,0,0,3884,130,4,30,56,542
26147635000,4998,1957,1877,1164,0,0,4195,128,23,18,61,573
26147636000,3025,2221,520,284,0,0,2420,93,138,23,22,329
26147637100,3012,1143,1220,649,0,0,2548,70,2,23,58,311
26147637200,3043,1200,1035,808,0,0,2560,65,6,9,31,372
26147637300,1818,971,585,262,0,0,1453,54,0,16,33,262
26147640100,1763,642,832,289,0,0,1441,21,1,15,56,229
26147640200,1996,723,929,344,0,0,1650,43,6,12,33,252
26147640600,1889,572,943,374,0,0,1557,32,1,17,27,255
26147641000,2892,1011,1432,449,0,0,2402,31,1,11,50,397
26147642000,4392,1824,1752,816,0,0,3631,85,6,28,47,595
26147643000,3114,1201,1397,516,0,0,2568,41,2,21,42,440
26147644000,3456,1390,1137,929,0,0,2832,79,2,18,37,488
26147645000,2735,977,1195,563,0,0,2243,51,2,13,32,394
26147646000,3797,1194,1647,956,0,0,3162,50,2,19,56,508
26147647000,2807,812,1430,565,0,0,2262,41,2,14,82,406
26147648000,943,298,474,171,0,0,772,5,1,0,24,141
26147649000,3348,1227,1216,905,0,0,2771,49,3,17,42,466
26147650100,3014,1039,1195,780,0,0,2471,58,11,14,59,401
26147650200,911,244,465,202,0,0,736,25,0,0,12,138
26147651100,1533,502,761,270,0,0,1210,16,0,10,33,264
26147651200,1599,540,670,389,0,0,1295,33,7,9,34,221
26147651600,3296,998,1548,750,0,0,2688,68,4,24,63,449
26147652100,1953,573,909,471,0,0,1663,26,0,6,23,235
26147652600,2581,894,1145,542,0,0,2064,35,53,20,55,354
26147655100,3848,1385,1635,828,0,0,3242,102,1,11,69,423
26147655600,2703,965,1196,542,0,0,2286,46,1,16,32,322
26147657100,1312,542,411,359,0,0,1018,130,1,3,25,135
26147657200,4247,1302,2053,892,0,0,3445,146,2,19,90,545
26147658100,2008,707,946,355,0,0,1629,41,1,9,40,288
26147658500,2823,879,1318,626,0,0,2292,69,1,16,40,405
26147989000,5,1,2,2,0,0,2,0,0,0,0,3
26147990000,0,0,0,0,0,0,0,0,0,0,0,0
26161400100,1196,922,37,237,0,0,692,48,30,148,75,203
26161400300,5166,3956,49,1161,0,0,2886,164,20,588,194,1314
26161400400,2996,2315,127,554,0,0,2133,97,27,126,95,518
26161400500,5224,4612,54,558,0,0,3088,274,57,598,247,960
26161400600,4294,3168,173,953,0,0,3081,189,42,230,138,614
26161400700,2468,1870,81,517,0,0,1752,91,80,113,81,351
26161400800,2316,1924,31,361,0,0,1335,129,22,279,108,443
26161402100,1976,1509,81,386,0,0,1254,99,47,187,96,293
26161402201,2294,1818,40,436,0,0,1224,164,30,386,112,378
26161402300,2095,1478,216,401,0,0,1385,59,7,275,100,269
26161402500,1400,1068,120,212,0,0,831,59,17,218,87,188
26161402601,956,754,72,130,0,0,547,48,53,139,58,111
26161402700,3971,2901,355,715,0,0,2410,178,52,580,250,501
26161403100,1358,1081,148,129,0,0,954,48,3,104,54,195
26161403200,3051,2411,151,489,0,0,2247,95,77,136,92,404
26161403300,3679,2747,334,598,0,0,2699,139,99,161,146,435
26161403400,2777,2194,156,427,0,0,2129,90,17,78,70,393
26161403500,2393,1829,117,447,0,0,1749,98,54,88,74,330
26161403600,3138,2347,209,582,0,0,1481,148,53,818,309,329
26161403800,2331,1838,152,341,0,0,1224,94,446,165,154,248
26161404100,2617,2067,137,413,0,0,1970,102,22,97,71,355
26161404200,1438,1201,49,188,0,0,817,72,219,69,91,170
26161404300,2390,1822,216,352,0,0,1864,67,12,95,58,294
26161404400,1833,1376,205,252,0,0,1316,66,14,114,76,247
