GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37019990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37173940100,2618,956,1133,512,15,0,0,0,878,88,55,15,1477,105
37173960200,1861,668,631,549,10,3,0,0,1643,26,21,8,58,105
37173960301,2452,726,895,814,13,4,0,0,2189,35,9,25,84,110
37173960302,2059,635,703,709,10,0,0,0,1795,48,10,5,108,93
37173980200,4,0,3,1,0,0,0,0,4,0,0,0,0,0
37191000102,4459,1041,1263,2127,24,1,0,0,3288,140,734,52,66,179
37191000103,1353,348,361,637,6,0,0,0,1059,36,189,3,13,53
37191000104,2933,717,812,1378,22,2,0,0,2177,128,470,13,19,126
37191000200,1989,727,446,804,11,1,0,0,1302,55,553,7,12,60
37191000302,3702,1704,930,1047,18,2,0,0,1807,144,1637,16,22,76
37191000303,4038,1176,1096,1729,30,1,0,0,2738,203,877,35,31,154
37191000304,3246,890,845,1497,10,0,0,0,2395,109,563,12,40,127
37191000401,3868,1101,1017,1732,15,1,0,0,2730,215,717,38,29,139
37191000402,2154,808,653,673,16,2,0,0,1200,197,678,17,12,50
37191000500,402,117,171,105,7,2,0,0,208,54,98,9,4,29
37191000601,2277,1315,524,430,6,0,0,0,648,195,1373,5,11,45
37191000603,2344,898,641,786,17,1,0,0,1226,370,672,14,12,50
37191000604,1180,293,370,510,4,2,0,0,807,250,79,5,5,34
37191000700,1455,854,307,289,3,0,0,0,468,72,884,1,7,23
37191000800,1105,455,307,339,2,1,0,0,657,63,349,1,6,29
37191000901,2512,867,676,956,12,0,0,0,1542,176,692,10,17,75
37191000902,2720,1092,702,909,9,2,0,0,1487,222,929,11,16,55
37191001000,2390,487,601,1287,14,0,0,0,2082,91,139,5,7,66
37191001102,1909,502,532,863,11,1,0,0,1433,77,280,13,29,77
37191001103,1729,411,489,817,11,0,0,0,1392,49,190,6,20,72
37191001104,2074,444,606,1000,14,4,0,0,1684,78,216,15,18,63
37191001200,2491,1220,568,693,9,1,0,0,1087,78,1155,55,31,85
37191001301,3681,1791,956,906,22,3,0,0,1607,139,1733,73,35,94
37191001302,2160,925,552,672,8,2,0,0,1201,103,706,47,21,82
37191001401,2503,1536,588,370,9,0,0,0,719,62,1648,6,16,52
37191001402,1416,1009,353,50,2,1,0,0,51,38,1312,3,4,8
37191001500,1503,1105,328,61,6,1,0,0,97,41,1350,1,8,6
37191001800,1526,1004,389,125,8,0,0,0,230,31,1238,3,7,17
37191001900,2412,1446,568,375,15,0,0,0,714,59,1583,12,9,35
37191002000,816,502,202,108,3,1,0,0,202,11,575,3,6,19
37053110101,1021,194,479,336,10,1,0,0,847,36,13,13,10,102
37053110102,948,113,401,425,7,0,0,0,847,22,0,3,6,70
37053110201,3229,472,1299,1416,36,5,0,0,2583,109,283,21,35,198
37053110202,2634,358,994,1253,27,0,0,0,2176,81,151,14,29,183
37053110301,3281,424,1301,1516,32,2,0,0,2787,101,114,19,34,226
37053110302,2297,397,964,910,23,0,0,0,1846,67,205,10,18,151
37053110401,2427,440,1047,924,11,1,0,0,2118,56,55,15,19,164
37053110403,1106,270,439,384,9,2,0,0,898,30,80,8,7,83
37053110404,1785,341,808,619,13,3,0,0,1520,40,78,1,15,131
37053990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37109070100,3124,1090,998,1014,17,4,0,0,2228,185,513,17,27,154
37109070201,2536,727,844,941,20,0,0,0,1705,328,311,27,30,135
37109070202,2372,510,684,1162,15,0,0,0,1962,112,132,33,14,119
37109070300,2507,585,785,1122,12,1,0,0,2082,135,124,22,21,123
37109070400,3773,765,1217,1766,20,4,0,0,3246,203,89,19,20,196
37109070500,3113,604,965,1524,14,0,0,0,2797,103,49,13,25,126
37109070600,2926,523,850,1536,11,0,0,0,2603,109,56,13,16,129
37109070700,2394,444,777,1155,16,1,0,0,2106,92,28,9,18,141
37109070800,3833,959,1231,1622,14,1,0,0,2822,331,481,23,29,147
37109070901,2416,348,750,1302,14,0,0,0,2143,79,42,16,12,124
37109070902,5023,761,1568,2654,31,3,0,0,4299,166,218,27,52,261
37109071001,3904,740,1246,1893,20,2,0,0,3288,138,250,19,31,178
37109071002,1961,403,576,954,25,0,0,0,1581,45,215,10,15,95
37109071101,5368,985,1847,2489,36,1,0,0,4292,250,305,38,70,413
37109071102,5150,868,1884,2362,31,1,0,0,4319,138,210,58,66,359
37109071201,1464,200,514,742,6,0,0,0,1286,42,12,9,21,94
