GEOID20,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
33011001100,3584,1352,1151,1081,0,0,2921,138,19,68,111,327
33011001200,1184,477,393,314,0,0,940,72,8,20,29,115
33011001300,1322,551,514,257,0,0,954,138,29,28,49,124
33011001400,722,316,281,125,0,0,463,116,8,21,23,91
33011001500,823,329,355,139,0,0,446,169,20,25,54,109
33011001600,1445,629,543,273,0,0,925,235,29,68,47,141
33011001700,1079,402,447,230,0,0,750,134,14,31,30,120
33011001800,3000,1135,1064,801,0,0,2249,252,26,121,79,273
33011001900,1294,539,482,273,0,0,835,174,26,66,51,142
33011002000,784,306,292,186,0,0,543,96,16,24,22,83
33011002100,2332,1018,814,500,0,0,1783,182,28,50,50,239
33011002200,2049,799,675,575,0,0,1716,95,10,18,27,183
33011002300,2209,876,750,583,0,0,1757,124,35,47,65,181
33011002400,3921,1570,1321,1030,0,0,2893,328,61,87,183,369
33011002500,3619,1424,1189,1006,0,0,2770,241,11,127,111,359
33011002600,3658,1362,1067,1229,0,0,2892,172,12,111,108,363
33011002701,2877,1153,762,962,0,0,2536,65,2,17,37,220
33011002702,4796,1841,1233,1722,0,0,4191,96,3,26,68,412
33011002801,927,327,279,321,0,0,816,16,5,3,10,77
33011002802,3687,1591,1046,1050,0,0,3061,168,12,41,60,345
33011002901,6025,2215,1565,2245,0,0,4781,173,11,224,156,680
33011002902,4682,1631,1258,1793,0,0,3808,121,9,121,121,502
33011002903,6297,2206,1589,2502,0,0,5035,193,11,203,179,676
33011010100,3974,1531,1321,1122,0,0,3156,244,16,107,81,370
33011010201,2829,1202,912,715,0,0,2110,167,17,152,76,307
33011010202,1504,653,492,359,0,0,1071,144,16,56,45,172
33011010301,3544,1438,1173,933,0,0,2764,133,6,156,100,385
33011010302,2908,1190,975,743,0,0,2238,206,13,89,72,290
33011010400,3600,1376,1351,873,0,0,2830,282,9,54,57,368
33011010500,2109,885,840,384,0,0,1424,363,34,23,36,229
33011010600,2820,1202,1126,492,0,0,1951,542,26,29,38,234
33011010700,825,315,347,163,0,0,579,126,15,13,16,76
33011010801,996,392,440,164,0,0,606,265,10,9,15,91
33011010802,2234,841,1018,375,0,0,1376,591,27,34,34,172
33011010900,3636,1462,1395,779,0,0,2681,524,17,44,64,306
33011011000,3522,1493,1162,867,0,0,2857,206,21,73,68,297
33011011101,1918,874,690,354,0,0,1386,164,31,63,55,219
33011011102,1608,760,552,296,0,0,1165,148,14,68,45,168
33011011200,5450,2399,1688,1363,0,0,3833,167,6,612,189,643
33011011300,3300,1437,1012,851,0,0,2717,170,3,59,61,290
33011011401,3974,1711,1230,1033,0,0,2918,195,10,343,127,381
33011011402,3407,1479,1135,793,0,0,2413,184,14,346,109,341
33011011500,1687,710,525,452,0,0,1422,68,1,27,30,139
